Requirement ID,Authority kind,Normative authority expression,Resolved targets,Historical prompt approval,Result,Defect details
KBDL-PRO-008,prompt-derived,"explicit mandatory clause of the approved KBDL-009 prompt's Profile Selection and Declaration section; also extends the already-Approved Accessibility by Default principle, [principles.md §6.8](principles.md#68-accessibility-by-default)",AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-PRO-010,prompt-derived,"consolidates the already-Approved Showcase interpretation already established in [principles.md §9.1](principles.md#91-showcase-profile), [foundations/README.md §4.1](foundations/README.md#41-showcase), [themes/README.md §8](themes/README.md#8-project-profile-theme-interpretation) Showcase, [motion/patterns.md §10.1](motion/patterns.md#101-showcase), and [responsive.md §28](responsive.md#28-showcase-profile-interpretation)",AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-PRO-011,prompt-derived,"consolidates the already-Approved Precision interpretation in [principles.md §9.2](principles.md#92-precision-profile), [foundations/README.md §4.2](foundations/README.md#42-precision), [themes/README.md §8](themes/README.md#8-project-profile-theme-interpretation) Precision, [motion/patterns.md §10.2](motion/patterns.md#102-precision), and [responsive.md §29](responsive.md#29-precision-profile-interpretation)",AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-PRO-012,prompt-derived,"consolidates the already-Approved Flow interpretation in [principles.md §9.3](principles.md#93-flow-profile), [foundations/README.md §4.3](foundations/README.md#43-flow), [themes/README.md §8](themes/README.md#8-project-profile-theme-interpretation) Flow, [motion/patterns.md §10.3](motion/patterns.md#103-flow), and [responsive.md §30](responsive.md#30-flow-profile-interpretation)",AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-PRO-013,other,"restates the already-Approved `KBDL-CMP-051`, `KBDL-CMP-066`, `KBDL-CMP-055` hover-independent- discoverability prohibition, `KBDL-CMP-072` tooltip-naming- independence rule, and `KBDL-CMP-107` carousel pause/stop/hide requirement",KBDL-CMP-051; KBDL-CMP-066; KBDL-CMP-055; KBDL-CMP-072; KBDL-CMP-107,UNRECOVERED where prompt-derived,PASS,None
KBDL-PRO-014,other,"restates the already-Approved `KBDL-CMP-051`, `KBDL-CMP-066`, `KBDL-CMP-010` WCAG 24×24 target- size minimum, `KBDL-CMP-070` native-table/grid-misuse prohibition, and `KBDL-CMP-055` hover-independent-discoverability prohibition",KBDL-CMP-051; KBDL-CMP-066; KBDL-CMP-010; KBDL-CMP-070; KBDL-CMP-055,UNRECOVERED where prompt-derived,PASS,None
KBDL-PRO-015,other,"restates the already-Approved `KBDL-CMP-051`, `KBDL-CMP-066`, and `KBDL-CMP-090` toast critical-information-persistence requirement",KBDL-CMP-051; KBDL-CMP-066; KBDL-CMP-090,UNRECOVERED where prompt-derived,PASS,None
KBDL-PRO-019,other,"restates the already-Approved `KBDL-PRN-003`, extended explicitly to per-profile mapping",KBDL-PRN-003,UNRECOVERED where prompt-derived,PASS,None
KBDL-PRO-020,other,restates and extends the already- Approved `KBDL-CMP-051` explicitly to this module's own mapping,KBDL-CMP-051,UNRECOVERED where prompt-derived,PASS,None
KBDL-PRO-021,other,restates and extends the already- Approved `KBDL-CMP-066` explicitly to this module's own mapping,KBDL-CMP-066,UNRECOVERED where prompt-derived,PASS,None
KBDL-PRO-022,other,"restates the already-Approved Consumer Comprehension principle, [principles.md §6.3](principles.md#63-consumer-comprehension), and the already-Approved `KBDL-CMP-101`/`103` honest-system-state- communication rules",KBDL-CMP-101,UNRECOVERED where prompt-derived,PASS,None
KBDL-PRO-023,prompt-derived,"restates the already-Approved `KBDL-CMP-063`, `064`, `098`, `101`, `103`, `104` security and correctness principles, extended explicitly to profile emphasis by the approved KBDL-009 prompt's Security Requirements section",KBDL-CMP-063,UNRECOVERED where prompt-derived,PASS,None
KBDL-PRO-024,prompt-derived,restates [principles.md §8](principles.md#8-design-decision-hierarchy) and [governance.md § Exception process](governance.md#exception-process),AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-PRO-025,prompt-derived,"scope-control requirement, explicit mandatory clause of the approved KBDL-009 prompt",AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-PRO-026,prompt-derived,explicit mandatory field list from the approved KBDL-009 prompt's Profile Adoption and Change Management section,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-RSP-001,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-RSP-006,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-RSP-007,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-RSP-009,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-RSP-010,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-RSP-012,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-RSP-013,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-RSP-014,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-RSP-015,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-RSP-016,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-RSP-017,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-RSP-018,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-RSP-019,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-RSP-020,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-RSP-021,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-RSP-022,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-THM-001,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-THM-002,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-THM-003,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-THM-004,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-THM-005,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-THM-006,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-THM-007,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-THM-008,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-THM-009,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-THM-010,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-THM-011,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-THM-012,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-THM-012a,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-THM-013,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-THM-014,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-THM-015,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-VAL-001,prompt-derived,approved KBDL-011 prompt. Evidence class: A.,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-VAL-002,prompt-derived,approved prompt. Evidence class: A.,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-VAL-003,prompt-derived,approved prompt and GOV-003. Evidence class: B.,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-VAL-004,prompt-derived,approved prompt and GOV-003. Evidence class: B.,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-VAL-005,prompt-derived,approved prompt. Evidence class: B.,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-VAL-006,prompt-derived,approved prompt. Evidence class: A.,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-VAL-007,prompt-derived,approved prompt. Evidence class: A.,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-VAL-008,prompt-derived,approved prompt and prior shared-architecture rules. Evidence class: C.,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-VAL-009,prompt-derived,approved prompt. Evidence class: D.,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-VAL-010,prompt-derived,approved prompt. Evidence class: E.,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-VAL-011,prompt-derived,approved prompt. Evidence class: F.,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-VAL-012,prompt-derived,approved KBDL-011 prompt. Evidence class: B.,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
