Requirement ID,Validation classification,Evidence value,Referenced paths,Resolved paths,Result
KBDL-THM-002,Verified,"Parity matrix in themes/semantic-roles.md § Parity Matrix — 72 unique roles, 72 light mappings, 72 dark mappings, 1 role-level alias (corrected under KBDL-004-R3, previously miscounted as 2), 0 unresolved; recorded in the KBDL-004-R3 commit. The KBDL-004-R1 re-run found and fixed a real table-formatting defect (an inserted paragraph had broken the Status Families table in light-theme.md §5, orphaning its ""Neutral status"" row)",themes/semantic-roles.md; light-theme.md,docs/kbdl/themes/semantic-roles.md,PASS
KBDL-THM-003,Not verified,Not verified — no implementation exists yet,None,None,PASS
KBDL-THM-004,Not verified,"Not verified — no implementation exists yet; approval is a lifecycle decision, not validation evidence",None,None,PASS
KBDL-THM-005,Not verified,Not verified — no project theme or PRO module exists yet,None,None,PASS
KBDL-THM-006,Not verified,Not verified — no project theme or PRO module exists yet,None,None,PASS
KBDL-THM-007,Mixed — Verified / Not verified,"themes/validation.md §3 — 52 pairs tested, all opaque, all passing their applicable threshold except 4 explicitly decorative-exempt borders/gridlines. The two Informational failures identified in the original KBDL-004 report (3.78:1, 4.21:1) are resolved by a revised hue (#164499) for the Text/Icon/Border/Strong-surface roles, with neutral-10 correctly retained for On-strong-surface content (role assignment corrected under KBDL-004-R2) — see adaptation.md §5.2. The Media caption row was corrected under KBDL-004-R2 to describe a fully opaque neutral-100 band (17.17:1 is directly correct for this pair, not inherited or assumed)",themes/validation.md; adaptation.md,docs/kbdl/themes/validation.md,PASS
KBDL-THM-008,Mixed — Verified / Not verified,"themes/validation.md §3 — 52 pairs tested, all opaque, all passing their applicable threshold except 4 explicitly decorative-exempt borders/gridlines. The two Informational failures identified in the original KBDL-004 report (3.78:1, 4.21:1) are resolved by a revised hue (#164499) for the Text/Icon/Border/Strong-surface roles, with neutral-10 correctly retained for On-strong-surface content (role assignment corrected under KBDL-004-R2) — see adaptation.md §5.2. The Media caption row was corrected under KBDL-004-R2 to describe a fully opaque neutral-100 band (17.17:1 is directly correct for this pair, not inherited or assumed)",themes/validation.md; adaptation.md,docs/kbdl/themes/validation.md,PASS
KBDL-THM-009,Mixed — Verified / Not verified,"themes/validation.md §3 for the recalculated pairs and themes/adaptation.md §5.2 for the Informational correction record. themes/adaptation.md §4.3 documents both gradient endpoints tested against both candidate text colors and the corrected, fully-opaque caption-band resolution (KBDL-004-R2)",themes/validation.md; themes/adaptation.md; themes/adaptation.md,docs/kbdl/themes/validation.md; docs/kbdl/themes/adaptation.md; docs/kbdl/themes/adaptation.md,PASS
KBDL-THM-010,Mixed — Verified / Not verified,"themes/validation.md §3 for the recalculated pairs and themes/adaptation.md §5.2 for the Informational correction record. themes/adaptation.md §4.3 documents both gradient endpoints tested against both candidate text colors and the corrected, fully-opaque caption-band resolution (KBDL-004-R2)",themes/validation.md; themes/adaptation.md; themes/adaptation.md,docs/kbdl/themes/validation.md; docs/kbdl/themes/adaptation.md; docs/kbdl/themes/adaptation.md,PASS
KBDL-THM-011,Not applicable,"themes/validation.md §3 for the recalculated pairs and themes/adaptation.md §5.2 for the Informational correction record. themes/adaptation.md §4.3 documents both gradient endpoints tested against both candidate text colors and the corrected, fully-opaque caption-band resolution (KBDL-004-R2)",themes/validation.md; themes/adaptation.md; themes/adaptation.md,docs/kbdl/themes/validation.md; docs/kbdl/themes/adaptation.md; docs/kbdl/themes/adaptation.md,PASS
KBDL-THM-012,Not verified,Manual scope-compliance review recorded in the KBDL-004 commit — confirmed zero millisecond/easing values anywhere in docs/kbdl/themes/,None,None,PASS
KBDL-THM-012a,Not verified,Manual scope-compliance review recorded in the KBDL-004 commit — confirmed zero millisecond/easing values anywhere in docs/kbdl/themes/,None,None,PASS
KBDL-THM-013,Not verified,"Not verified — approval is a lifecycle decision, not validation evidence",None,None,PASS
KBDL-THM-014,Not verified,"Not verified — approval is a lifecycle decision, not validation evidence",None,None,PASS
KBDL-THM-015,Not verified,"Not verified — approval is a lifecycle decision, not validation evidence",None,None,PASS
KBDL-VAL-001,Verified,Executed evidence — docs/kbdl/evidence/kbdl-011-r8/artifacts/validation-output.txt; stated repository method PASS.,docs/kbdl/evidence/kbdl-011-r8/artifacts/validation-output.txt,docs/kbdl/evidence/kbdl-011-r8/artifacts/validation-output.txt,PASS
KBDL-VAL-002,Verified,Executed evidence — docs/kbdl/evidence/kbdl-011-r8/artifacts/validation-output.txt; stated repository method PASS.,docs/kbdl/evidence/kbdl-011-r8/artifacts/validation-output.txt,docs/kbdl/evidence/kbdl-011-r8/artifacts/validation-output.txt,PASS
KBDL-VAL-003,Verified,Executed evidence — docs/kbdl/evidence/kbdl-011-r14/artifacts/val-003-audit.txt; corrected method PASS.,docs/kbdl/evidence/kbdl-011-r14/artifacts/val-003-audit.txt,docs/kbdl/evidence/kbdl-011-r14/artifacts/val-003-audit.txt,PASS
KBDL-VAL-004,Not verified,R12 source-derived audit records the unresolved source coverage; no PASS claimed,None,None,PASS
KBDL-VAL-005,Verified,Executed evidence — docs/kbdl/evidence/kbdl-011-r8/artifacts/validation-output.txt; stated repository method PASS.,docs/kbdl/evidence/kbdl-011-r8/artifacts/validation-output.txt,docs/kbdl/evidence/kbdl-011-r8/artifacts/validation-output.txt,PASS
KBDL-VAL-006,Verified,Executed evidence — docs/kbdl/evidence/kbdl-011-r14/artifacts/val-006-audit.txt; corrected method PASS.,docs/kbdl/evidence/kbdl-011-r14/artifacts/val-006-audit.txt,docs/kbdl/evidence/kbdl-011-r14/artifacts/val-006-audit.txt,PASS
KBDL-VAL-007,Verified,Executed evidence — docs/kbdl/evidence/kbdl-011-r11/artifacts/val-007-audit.txt; complete stated method PASS.,docs/kbdl/evidence/kbdl-011-r11/artifacts/val-007-audit.txt,docs/kbdl/evidence/kbdl-011-r11/artifacts/val-007-audit.txt,PASS
KBDL-VAL-008,Not verified,Executed evidence — No executed independent method covers every stated cross-module invariant; complete method not established,None,None,PASS
KBDL-VAL-009,Verified,Executed evidence — docs/kbdl/evidence/kbdl-011-r8/artifacts/validation-output.txt; stated repository method PASS.,docs/kbdl/evidence/kbdl-011-r8/artifacts/validation-output.txt,docs/kbdl/evidence/kbdl-011-r8/artifacts/validation-output.txt,PASS
KBDL-VAL-010,Not verified,Executed evidence — No independent per-ID ledger-coverage proof covers the complete stated method,None,None,PASS
KBDL-VAL-011,Not verified,Not verified — validation method has not been executed,None,None,PASS
KBDL-VAL-012,Verified,Executed evidence — docs/kbdl/evidence/kbdl-011-r8/artifacts/validation-output.txt; stated repository method PASS.,docs/kbdl/evidence/kbdl-011-r8/artifacts/validation-output.txt,docs/kbdl/evidence/kbdl-011-r8/artifacts/validation-output.txt,PASS
