Requirement ID,Lifecycle/readiness class,Ledger packet destination,Resolved source,Contingent,Deferred,Result
KBDL-RSP-021,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
KBDL-RSP-022,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
KBDL-THM-001,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
KBDL-THM-002,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
KBDL-THM-003,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
KBDL-THM-004,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
KBDL-THM-005,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
KBDL-THM-006,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
KBDL-THM-007,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
KBDL-THM-008,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
KBDL-THM-009,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
KBDL-THM-010,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
KBDL-THM-011,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
KBDL-THM-012,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
KBDL-THM-012a,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
KBDL-THM-013,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
KBDL-THM-014,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
KBDL-THM-015,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
KBDL-VAL-001,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
KBDL-VAL-002,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
KBDL-VAL-003,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
KBDL-VAL-004,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
KBDL-VAL-005,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
KBDL-VAL-006,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
KBDL-VAL-007,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
KBDL-VAL-008,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
KBDL-VAL-009,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
KBDL-VAL-010,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
KBDL-VAL-011,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
KBDL-VAL-012,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
