Requirement ID,Independent authority source,Expected authority,Effective authority,Targets,Invalid targets,Resolved
KBDL-CMP-079,components-system.md authoritative block/prompt state,"Approved (restates KBDL-CMP-071 and the already-adopted WCAG 2.2 SC 2.1.2 No Keyboard Trap, applied to the definition of modality itself — this is the ""modal integrity"" rule)","Approved (restates KBDL-CMP-071 and the already-adopted WCAG 2.2 SC 2.1.2 No Keyboard Trap, applied to the definition of modality itself — this is the ""modal integrity"" rule)",KBDL-CMP-071,None,True
KBDL-CMP-081,components-system.md authoritative block/prompt state,Approved (restates the adopted WAI-ARIA 1.2 alertdialog role definition),Approved (restates the adopted WAI-ARIA 1.2 alertdialog role definition),Prompt/standard,None,True
KBDL-CMP-082,components-system.md authoritative block/prompt state,"Approved (scope-control requirement, restates KBDL-CMP-005/KBDL-CMP-052)","Approved (scope-control requirement, restates KBDL-CMP-005/KBDL-CMP-052)",KBDL-CMP-005; KBDL-CMP-052,None,True
KBDL-CMP-084,components-system.md authoritative block/prompt state,"Approved (dictated outcome of the already-adopted WCAG 2.2 SC 2.4.3 Focus Order and SC 2.1.2 No Keyboard Trap applied to nested layered content — not a new policy choice, since any other outcome would create an indeterminate or trapped focus state)","Approved (dictated outcome of the already-adopted WCAG 2.2 SC 2.4.3 Focus Order and SC 2.1.2 No Keyboard Trap applied to nested layered content — not a new policy choice, since any other outcome would create an indeterminate or trapped focus state)",Prompt/standard,None,True
KBDL-CMP-086,components-system.md authoritative block/prompt state,Approved (restates KBDL-A11Y-031 and the adopted WAI-ARIA 1.2 live-region role definitions),Approved (restates KBDL-A11Y-031 and the adopted WAI-ARIA 1.2 live-region role definitions),KBDL-A11Y-031,None,True
KBDL-CMP-087,components-system.md authoritative block/prompt state,Approved (restates KBDL-CMP-004's already- Approved state-clarity rule and the adopted WCAG 2.2 SC 1.4.1 Use of Color),Approved (restates KBDL-CMP-004's already- Approved state-clarity rule and the adopted WCAG 2.2 SC 1.4.1 Use of Color),KBDL-CMP-004,None,True
KBDL-CMP-088,components-system.md authoritative block/prompt state,"""important, time-sensitive messages"" and ""must not move focus by default"" restate the adopted WAI-ARIA 1.2 alert role definition, which specifies an assertive live region for important, time-sensitive information without describing any inherent focus-moving behavior. ""Must not be used for routine or successful updates"" is not itself dictated by the ARIA alert role definition (which describes what the role announces, not which messages a component must avoid); this restriction is normative because the approved KBDL-008 prompt explicitly requires ""Do not use alert for every successful or routine update"" as a mandatory Alert constraint","""important, time-sensitive messages"" and ""must not move focus by default"" restate the adopted WAI-ARIA 1.2 alert role definition, which specifies an assertive live region for important, time-sensitive information without describing any inherent focus-moving behavior. ""Must not be used for routine or successful updates"" is not itself dictated by the ARIA alert role definition (which describes what the role announces, not which messages a component must avoid); this restriction is normative because the approved KBDL-008 prompt explicitly requires ""Do not use alert for every successful or routine update"" as a mandatory Alert constraint",Prompt/standard,None,True
KBDL-CMP-090,components-system.md authoritative block/prompt state,"""sensitive information must not be exposed"" extends the existing KBDL security-safe-disclosure principle, components-core.md §37. ""Critical information must not be presented only in a transient toast without a persistent path"" and ""must not move focus to itself by default"" are not directly dictated by WCAG 2.2 SC 2.2.1 Timing Adjustable (which governs user-adjustable time limits on content generally, not the specific toast/persistent-path pattern) or by KBDL-A11Y-031 (which requires programmatic determinability, not a persistence guarantee); these two clauses are normative because the approved KBDL-008 prompt explicitly lists both as mandatory Toast/Snackbar ""Do not"" constraints. SC 2.2.1's adjustable-timing principle is cited as supporting rationale, not as the direct source of the persistent-path requirement","""sensitive information must not be exposed"" extends the existing KBDL security-safe-disclosure principle, components-core.md §37. ""Critical information must not be presented only in a transient toast without a persistent path"" and ""must not move focus to itself by default"" are not directly dictated by WCAG 2.2 SC 2.2.1 Timing Adjustable (which governs user-adjustable time limits on content generally, not the specific toast/persistent-path pattern) or by KBDL-A11Y-031 (which requires programmatic determinability, not a persistence guarantee); these two clauses are normative because the approved KBDL-008 prompt explicitly lists both as mandatory Toast/Snackbar ""Do not"" constraints. SC 2.2.1's adjustable-timing principle is cited as supporting rationale, not as the direct source of the persistent-path requirement",KBDL-A11Y-031,None,True
KBDL-CMP-092,components-system.md authoritative block/prompt state,Approved (restates KBDL-A11Y-031 and the adopted WAI-ARIA 1.2 status/log role and aria-live/aria-atomic definitions),Approved (restates KBDL-A11Y-031 and the adopted WAI-ARIA 1.2 status/log role and aria-live/aria-atomic definitions),KBDL-A11Y-031,None,True
KBDL-CMP-093,components-system.md authoritative block/prompt state,"Approved (restates the adopted WCAG 2.2 SC 1.1.1 Non-text Content and SC 4.1.2 Name, Role, Value)","Approved (restates the adopted WCAG 2.2 SC 1.1.1 Non-text Content and SC 4.1.2 Name, Role, Value)",Prompt/standard,None,True
KBDL-CMP-094,components-system.md authoritative block/prompt state,Approved (restates the adopted WAI-ARIA 1.2 progressbar role definition and native <progress> semantics),Approved (restates the adopted WAI-ARIA 1.2 progressbar role definition and native <progress> semantics),Prompt/standard,None,True
KBDL-CMP-095,components-system.md authoritative block/prompt state,Approved (restates the adopted WAI-ARIA 1.2 meter role definition and native <meter> semantics),Approved (restates the adopted WAI-ARIA 1.2 meter role definition and native <meter> semantics),Prompt/standard,None,True
KBDL-CMP-096,components-system.md authoritative block/prompt state,"""hidden from assistive technology as decorative"" restates the adopted WAI-ARIA 1.2 aria-hidden semantics for purely decorative content. ""An equivalent loading announcement must be available through a separate status mechanism"" restates KBDL-A11Y-031. ""Must not expose meaningless placeholder shapes as if they were content"" is not itself dictated by either of those sources; it is normative because the approved KBDL-008 prompt explicitly requires ""Decorative accessibility treatment"" and ""Equivalent loading announcement"" as mandatory Skeleton fields, which together imply placeholder shapes must not be presented as meaningful content","""hidden from assistive technology as decorative"" restates the adopted WAI-ARIA 1.2 aria-hidden semantics for purely decorative content. ""An equivalent loading announcement must be available through a separate status mechanism"" restates KBDL-A11Y-031. ""Must not expose meaningless placeholder shapes as if they were content"" is not itself dictated by either of those sources; it is normative because the approved KBDL-008 prompt explicitly requires ""Decorative accessibility treatment"" and ""Equivalent loading announcement"" as mandatory Skeleton fields, which together imply placeholder shapes must not be presented as meaningful content",KBDL-A11Y-031,None,True
KBDL-CMP-097,components-system.md authoritative block/prompt state,"Approved (restates KBDL-A11Y-031 and the locked component-state-clarity rule, principles.md §5.1)","Approved (restates KBDL-A11Y-031 and the locked component-state-clarity rule, principles.md §5.1)",KBDL-A11Y-031,None,True
KBDL-CMP-098,components-system.md authoritative block/prompt state,"Approved (extends the already-Approved KBDL-007 submit-loading/duplicate-submission-prevention contract, components-core.md §23, to the surface-level loading indicator); project-owner-approved KBDL-007/008 implementation prompt","Approved (extends the already-Approved KBDL-007 submit-loading/duplicate-submission-prevention contract, components-core.md §23, to the surface-level loading indicator); project-owner-approved KBDL-007/008 implementation prompt",Prompt/standard,None,True
KBDL-CMP-100,components-system.md authoritative block/prompt state,"this requirement is normative because the approved KBDL-008 prompt explicitly requires ""Preservation of entered criteria"" as a mandatory No-Results State field. WCAG 2.2 SC 3.3.7 Redundant Entry (which prohibits requiring re-entry of information already supplied earlier in the same process) is cited as supporting rationale by analogy, not as a direct restatement — SC 3.3.7 governs multi-step process re-entry generally and does not by itself mandate preserving search/filter state specifically on a no-results result","this requirement is normative because the approved KBDL-008 prompt explicitly requires ""Preservation of entered criteria"" as a mandatory No-Results State field. WCAG 2.2 SC 3.3.7 Redundant Entry (which prohibits requiring re-entry of information already supplied earlier in the same process) is cited as supporting rationale by analogy, not as a direct restatement — SC 3.3.7 governs multi-step process re-entry generally and does not by itself mandate preserving search/filter state specifically on a no-results result",Prompt/standard,None,True
KBDL-CMP-101,components-system.md authoritative block/prompt state,"that an error must be identified and described restates the already-adopted WCAG 2.2 SC 3.3.1 Error Identification, which requires errors be identified and described in text, but does not itself require classifying an error as ""recoverable or blocking"" or specifying a ""retry or alternative action"" — SC 3.3.1 governs identification, not remediation-path taxonomy. The recoverable/blocking classification and the retry/alternative-action requirement are normative because the approved KBDL-008 prompt explicitly requires ""Recoverable versus blocking error,"" ""Retry,"" and ""Alternative action"" as mandatory Error State fields, consistent with the already-Approved Technical Utility recovery-support principle, principles.md §3. The prohibition on exposing stack traces, internal exception details, credentials, or private data restates KBDL-CMP-064","that an error must be identified and described restates the already-adopted WCAG 2.2 SC 3.3.1 Error Identification, which requires errors be identified and described in text, but does not itself require classifying an error as ""recoverable or blocking"" or specifying a ""retry or alternative action"" — SC 3.3.1 governs identification, not remediation-path taxonomy. The recoverable/blocking classification and the retry/alternative-action requirement are normative because the approved KBDL-008 prompt explicitly requires ""Recoverable versus blocking error,"" ""Retry,"" and ""Alternative action"" as mandatory Error State fields, consistent with the already-Approved Technical Utility recovery-support principle, principles.md §3. The prohibition on exposing stack traces, internal exception details, credentials, or private data restates KBDL-CMP-064",KBDL-CMP-064,None,True
KBDL-CMP-103,components-system.md authoritative block/prompt state,"Approved (extends the already-Approved KBDL correctness/safety principle, principles.md §4 item 1, and the existing KBDL-007 form-recovery data-preservation pattern); project-owner-approved KBDL-007/008 implementation prompt","Approved (extends the already-Approved KBDL correctness/safety principle, principles.md §4 item 1, and the existing KBDL-007 form-recovery data-preservation pattern); project-owner-approved KBDL-007/008 implementation prompt",Prompt/standard,None,True
KBDL-CMP-104,components-system.md authoritative block/prompt state,"Approved (extends the existing KBDL security principle already established in components-core.md §37, ""a disabled button is not access control""); project-owner-approved KBDL-007/008 implementation prompt","Approved (extends the existing KBDL security principle already established in components-core.md §37, ""a disabled button is not access control""); project-owner-approved KBDL-007/008 implementation prompt",Prompt/standard,None,True
KBDL-CMP-107,components-system.md authoritative block/prompt state,Approved (restates the already-adopted WCAG 2.2 SC 2.2.2),Approved (restates the already-adopted WCAG 2.2 SC 2.2.2),Prompt/standard,None,True
KBDL-CMP-109,components-system.md authoritative block/prompt state,"Approved (restates the already-adopted WCAG 2.2 SC 1.4.1 Use of Color, SC 1.3.1 Info and Relationships, and SC 2.1.1 Keyboard, applied to chart content, using the existing approved Data-display roles rather than inventing new ones)","Approved (restates the already-adopted WCAG 2.2 SC 1.4.1 Use of Color, SC 1.3.1 Info and Relationships, and SC 2.1.1 Keyboard, applied to chart content, using the existing approved Data-display roles rather than inventing new ones)",Prompt/standard,None,True
KBDL-CUS-001,customization.md authoritative block/prompt state,KBDL-DEC-004 plus the mandatory KBDL-010 prompt,KBDL-DEC-004 plus the mandatory KBDL-010 prompt,KBDL-DEC-004,None,True
KBDL-CUS-002,customization.md authoritative block/prompt state,KBDL lifecycle conventions and mandatory KBDL-010 prompt,KBDL lifecycle conventions and mandatory KBDL-010 prompt; project-owner-approved KBDL-010 implementation prompt,Prompt/standard,None,True
KBDL-CUS-003,customization.md authoritative block/prompt state,Mandatory KBDL-010 classification model,Mandatory KBDL-010 classification model; project-owner-approved KBDL-010 implementation prompt,Prompt/standard,None,True
KBDL-CUS-004,customization.md authoritative block/prompt state,Mandatory KBDL-010 Class A rule and owning-module lifecycle rules,Mandatory KBDL-010 Class A rule and owning-module lifecycle rules; project-owner-approved KBDL-010 implementation prompt,Prompt/standard,None,True
KBDL-CUS-005,customization.md authoritative block/prompt state,"KBDL-PRN-005, KBDL-PRO-005, and mandatory KBDL-010 prompt","KBDL-PRN-005, KBDL-PRO-005, and mandatory KBDL-010 prompt",KBDL-PRN-005; KBDL-PRO-005,None,True
KBDL-CUS-006,customization.md authoritative block/prompt state,KBDL governance plus mandatory KBDL-010 Classes C and D,KBDL governance plus mandatory KBDL-010 Classes C and D; project-owner-approved KBDL-010 implementation prompt,Prompt/standard,None,True
KBDL-CUS-007,customization.md authoritative block/prompt state,"KBDL-GOV-002, governance exception process, and mandatory KBDL-010 Classes E/F","KBDL-GOV-002, governance exception process, and mandatory KBDL-010 Classes E/F",KBDL-GOV-002,None,True
KBDL-CUS-008,customization.md authoritative block/prompt state,Mandatory KBDL-010 workflow,Mandatory KBDL-010 workflow; project-owner-approved KBDL-010 implementation prompt,Prompt/standard,None,True
KBDL-CUS-009,customization.md authoritative block/prompt state,Mandatory KBDL-010 intake fields,Mandatory KBDL-010 intake fields; project-owner-approved KBDL-010 implementation prompt,Prompt/standard,None,True
KBDL-CUS-010,customization.md authoritative block/prompt state,"KBDL-DEC-004, conventions, and mandatory KBDL-010 record fields","KBDL-DEC-004, conventions, and mandatory KBDL-010 record fields",KBDL-DEC-004,None,True
KBDL-CUS-011,customization.md authoritative block/prompt state,Mandatory KBDL-010 impact and evidence clauses,Mandatory KBDL-010 impact and evidence clauses; project-owner-approved KBDL-010 implementation prompt,Prompt/standard,None,True
KBDL-CUS-012,customization.md authoritative block/prompt state,Mandatory KBDL-010 change and rollback clauses,Mandatory KBDL-010 change and rollback clauses; project-owner-approved KBDL-010 implementation prompt,Prompt/standard,None,True
KBDL-CUS-013,customization.md authoritative block/prompt state,Approved foundation requirements plus mandatory KBDL-010 boundary,Approved foundation requirements plus mandatory KBDL-010 boundary; project-owner-approved KBDL-010 implementation prompt,Prompt/standard,None,True
KBDL-CUS-014,customization.md authoritative block/prompt state,"Approved KBDL-THM-003, 005, 006, 013, 014 plus mandatory KBDL-010 boundary","Approved KBDL-THM-003, 005, 006, 013, 014 plus mandatory KBDL-010 boundary",KBDL-THM-003,None,True
KBDL-CUS-015,customization.md authoritative block/prompt state,Approved motion requirements plus mandatory KBDL-010 boundary,Approved motion requirements plus mandatory KBDL-010 boundary; project-owner-approved KBDL-010 implementation prompt,Prompt/standard,None,True
KBDL-CUS-016,customization.md authoritative block/prompt state,Approved responsive requirements plus mandatory KBDL-010 boundary,Approved responsive requirements plus mandatory KBDL-010 boundary; project-owner-approved KBDL-010 implementation prompt,Prompt/standard,None,True
KBDL-CUS-017,customization.md authoritative block/prompt state,"KBDL-GOV-002, Approved accessibility requirements, and mandatory KBDL-010 boundary","KBDL-GOV-002, Approved accessibility requirements, and mandatory KBDL-010 boundary",KBDL-GOV-002,None,True
KBDL-CUS-018,customization.md authoritative block/prompt state,Approved KBDL-007 requirements plus mandatory KBDL-010 boundary,Approved KBDL-007 requirements plus mandatory KBDL-010 boundary; project-owner-approved KBDL-010 implementation prompt,Prompt/standard,None,True
KBDL-CUS-019,customization.md authoritative block/prompt state,Approved KBDL-008 requirements plus mandatory KBDL-010 boundary,Approved KBDL-008 requirements plus mandatory KBDL-010 boundary; project-owner-approved KBDL-010 implementation prompt,Prompt/standard,None,True
KBDL-CUS-020,customization.md authoritative block/prompt state,"Approved KBDL-PRO-001–008, 010–015, 019–026 plus mandatory KBDL-010 boundary","Approved KBDL-PRO-001–008, 010–015, 019–026 plus mandatory KBDL-010 boundary",KBDL-PRO-001,None,True
KBDL-CUS-021,customization.md authoritative block/prompt state,Prior Approved security/correctness requirements plus mandatory KBDL-010 boundary,Prior Approved security/correctness requirements plus mandatory KBDL-010 boundary; project-owner-approved KBDL-010 implementation prompt,Prompt/standard,None,True
KBDL-CUS-022,customization.md authoritative block/prompt state,Mandatory KBDL-010 handoff and scope clauses,Mandatory KBDL-010 handoff and scope clauses; project-owner-approved KBDL-010 implementation prompt,Prompt/standard,None,True
KBDL-FND-001,foundations/README.md authoritative block/prompt state,Project-owner-approved KBDL-003 implementation prompt; authoritative provenance: Confirmed (derived from KBDL-002),Project-owner-approved KBDL-003 implementation prompt; authoritative provenance: Confirmed (derived from KBDL-002),Prompt/standard,None,True
KBDL-FND-002,foundations/README.md authoritative block/prompt state,Project-owner-approved KBDL-003 implementation prompt; authoritative provenance: Confirmed,Project-owner-approved KBDL-003 implementation prompt; authoritative provenance: Confirmed,Prompt/standard,None,True
KBDL-FND-003,foundations/README.md authoritative block/prompt state,Project-owner-approved KBDL-003 implementation prompt; authoritative provenance: Confirmed,Project-owner-approved KBDL-003 implementation prompt; authoritative provenance: Confirmed,Prompt/standard,None,True
KBDL-FND-004,foundations/README.md authoritative block/prompt state,Project-owner-approved KBDL-003 implementation prompt; authoritative provenance: Confirmed,Project-owner-approved KBDL-003 implementation prompt; authoritative provenance: Confirmed,Prompt/standard,None,True
KBDL-FND-005,foundations/README.md authoritative block/prompt state,Project-owner-approved KBDL-003 implementation prompt; authoritative provenance: Confirmed,Project-owner-approved KBDL-003 implementation prompt; authoritative provenance: Confirmed,Prompt/standard,None,True
KBDL-FND-006,foundations/README.md authoritative block/prompt state,Project-owner-approved KBDL-003 implementation prompt; authoritative provenance: Confirmed,Project-owner-approved KBDL-003 implementation prompt; authoritative provenance: Confirmed,Prompt/standard,None,True
KBDL-FND-007,foundations/README.md authoritative block/prompt state,Project-owner-approved KBDL-003 implementation prompt; authoritative provenance: Confirmed,Project-owner-approved KBDL-003 implementation prompt; authoritative provenance: Confirmed,Prompt/standard,None,True
KBDL-FND-008,foundations/README.md authoritative block/prompt state,Project-owner-approved KBDL-003 implementation prompt; authoritative provenance: Confirmed,Project-owner-approved KBDL-003 implementation prompt; authoritative provenance: Confirmed,Prompt/standard,None,True
KBDL-FND-009,foundations/README.md authoritative block/prompt state,Approved (project owner approved via the foundation decision packet; see KBDL-DEC-012),Approved (project owner approved via the foundation decision packet; see KBDL-DEC-012),KBDL-DEC-012,None,True
KBDL-FND-010,foundations/README.md authoritative block/prompt state,Approved (project owner approved via the foundation decision packet; see KBDL-DEC-012),Approved (project owner approved via the foundation decision packet; see KBDL-DEC-012),KBDL-DEC-012,None,True
KBDL-FND-011,foundations/README.md authoritative block/prompt state,Approved (project owner approved via the foundation decision packet; see KBDL-DEC-012),Approved (project owner approved via the foundation decision packet; see KBDL-DEC-012),KBDL-DEC-012,None,True
KBDL-FND-012,foundations/README.md authoritative block/prompt state,Approved (project owner approved via the foundation decision packet; see KBDL-DEC-012),Approved (project owner approved via the foundation decision packet; see KBDL-DEC-012),KBDL-DEC-012,None,True
KBDL-GOV-001,governance.md authoritative block/prompt state,Project-owner-approved KBDL-001 prompt and KBDL-DEC-002,Project-owner-approved KBDL-001 prompt and KBDL-DEC-002,KBDL-DEC-002,None,True
KBDL-GOV-002,governance.md authoritative block/prompt state,Project-owner-approved KBDL-001 prompt and KBDL-DEC-010,Project-owner-approved KBDL-001 prompt and KBDL-DEC-010,KBDL-DEC-010,None,True
KBDL-GOV-003,governance.md authoritative block/prompt state,Project-owner-approved KBDL-001 prompt and KBDL-DEC-011,Project-owner-approved KBDL-001 prompt and KBDL-DEC-011,KBDL-DEC-011,None,True
KBDL-MOT-001,motion/README.md authoritative block/prompt state,"Approved (directly restates the locked Motion Purpose rule, principles.md §5.1); project-owner-approved KBDL-005 implementation prompt","Approved (directly restates the locked Motion Purpose rule, principles.md §5.1); project-owner-approved KBDL-005 implementation prompt",Prompt/standard,None,True
KBDL-MOT-002,motion/README.md authoritative block/prompt state,Project-owner-approved KBDL-005 implementation prompt; authoritative provenance: User-provided,Project-owner-approved KBDL-005 implementation prompt; authoritative provenance: User-provided,Prompt/standard,None,True
KBDL-MOT-003,motion/README.md authoritative block/prompt state,Approved (directly extends KBDL-PRN-002),Approved (directly extends KBDL-PRN-002),KBDL-PRN-002,None,True
KBDL-MOT-004,motion/README.md authoritative block/prompt state,"Approved (structural requirement; the categories' exact intensity defaults remain Recommended, see KBDL-MOT-006)","Approved (structural requirement; the categories' exact intensity defaults remain Recommended, see KBDL-MOT-006)",KBDL-MOT-006,None,True
KBDL-MOT-005,motion/README.md authoritative block/prompt state,Approved (per KBDL-DEC-014; the specific five-level structure and names were new KBDL-005 policy until this approval),Approved (per KBDL-DEC-014; the specific five-level structure and names were new KBDL-005 policy until this approval),KBDL-DEC-014,None,True
KBDL-MOT-006,motion/README.md authoritative block/prompt state,"Approved (per KBDL-DEC-014, decision packet item 14)","Approved (per KBDL-DEC-014, decision packet item 14)",KBDL-DEC-014,None,True
KBDL-MOT-007,motion/README.md authoritative block/prompt state,"Approved (per KBDL-DEC-014, decision packet item 2, together with KBDL-MOT-008, as one timing system)","Approved (per KBDL-DEC-014, decision packet item 2, together with KBDL-MOT-008, as one timing system)",KBDL-DEC-014; KBDL-MOT-008,None,True
KBDL-MOT-008,motion/README.md authoritative block/prompt state,"Approved (per KBDL-DEC-014, decision packet item 2, together with KBDL-MOT-007, as one timing system)","Approved (per KBDL-DEC-014, decision packet item 2, together with KBDL-MOT-007, as one timing system)",KBDL-DEC-014; KBDL-MOT-007,None,True
KBDL-MOT-009,motion/README.md authoritative block/prompt state,"Approved (per KBDL-DEC-014, decision packet item 3)","Approved (per KBDL-DEC-014, decision packet item 3)",KBDL-DEC-014,None,True
KBDL-MOT-010,motion/README.md authoritative block/prompt state,"Approved (per KBDL-DEC-014, decision packet item 4)","Approved (per KBDL-DEC-014, decision packet item 4)",KBDL-DEC-014,None,True
KBDL-MOT-011,motion/README.md authoritative block/prompt state,"Approved (per KBDL-DEC-014, decision packet item 5)","Approved (per KBDL-DEC-014, decision packet item 5)",KBDL-DEC-014,None,True
KBDL-MOT-012,motion/README.md authoritative block/prompt state,Approved (directly restates the safety/correctness priority already established in KBDL-PRN-002 and §3.3),Approved (directly restates the safety/correctness priority already established in KBDL-PRN-002 and §3.3),KBDL-PRN-002,None,True
KBDL-MOT-013,motion/README.md authoritative block/prompt state,"Approved (per KBDL-DEC-014, decision packet item 15)","Approved (per KBDL-DEC-014, decision packet item 15)",KBDL-DEC-014,None,True
KBDL-MOT-014,motion/README.md authoritative block/prompt state,"Approved (directly restates Technical Utility's ""visible progress"" and ""error prevention"" qualities); project-owner-approved KBDL-005 implementation prompt","Approved (directly restates Technical Utility's ""visible progress"" and ""error prevention"" qualities); project-owner-approved KBDL-005 implementation prompt",Prompt/standard,None,True
KBDL-MOT-015,motion/README.md authoritative block/prompt state,Approved (directly restates accessibility's requirement for a non-gesture equivalent); project-owner-approved KBDL-005 implementation prompt,Approved (directly restates accessibility's requirement for a non-gesture equivalent); project-owner-approved KBDL-005 implementation prompt,Prompt/standard,None,True
KBDL-MOT-016,motion/README.md authoritative block/prompt state,"Approved (directly restates the locked component-state-clarity rule — ""must not rely on color/motion alone"" — and Accessibility by Default); project-owner-approved KBDL-005 implementation prompt","Approved (directly restates the locked component-state-clarity rule — ""must not rely on color/motion alone"" — and Accessibility by Default); project-owner-approved KBDL-005 implementation prompt",Prompt/standard,None,True
KBDL-MOT-017,motion/README.md authoritative block/prompt state,"Approved (directly restates the locked Motion Purpose rule that continuous motion must be controlled, and the already-Approved reduced-motion requirement KBDL-THM-012a)","Approved (directly restates the locked Motion Purpose rule that continuous motion must be controlled, and the already-Approved reduced-motion requirement KBDL-THM-012a)",KBDL-THM-012a,None,True
KBDL-MOT-018,motion/README.md authoritative block/prompt state,"Approved (directly restates accessibility's requirement that content remain accessible without script/animation, and the reduced-motion requirement); project-owner-approved KBDL-005 implementation prompt","Approved (directly restates accessibility's requirement that content remain accessible without script/animation, and the reduced-motion requirement); project-owner-approved KBDL-005 implementation prompt",Prompt/standard,None,True
KBDL-MOT-019,motion/README.md authoritative block/prompt state,"Approved (directly restates WCAG 2.2 AA's autoplay-with-sound prohibition and pause/stop requirement, already adopted under KBDL-DEC-010)","Approved (directly restates WCAG 2.2 AA's autoplay-with-sound prohibition and pause/stop requirement, already adopted under KBDL-DEC-010)",KBDL-DEC-010,None,True
KBDL-MOT-020,motion/README.md authoritative block/prompt state,"Approved (per KBDL-DEC-014, decision packet item 10; the underlying non-blocking, readable, focus-preserving requirements were already Approved under KBDL-THM-012/012a and are unaffected)","Approved (per KBDL-DEC-014, decision packet item 10; the underlying non-blocking, readable, focus-preserving requirements were already Approved under KBDL-THM-012/012a and are unaffected)",KBDL-DEC-014; KBDL-THM-012,None,True
KBDL-MOT-021,motion/README.md authoritative block/prompt state,Approved (directly restates safety/correctness and state-comprehension priorities); project-owner-approved KBDL-005 implementation prompt,Approved (directly restates safety/correctness and state-comprehension priorities); project-owner-approved KBDL-005 implementation prompt,Prompt/standard,None,True
KBDL-MOT-022,motion/README.md authoritative block/prompt state,"Approved (directly restates KBDL-THM-012a and KBDL's enhanced motion-safety baseline, KBDL-DEC-010)","Approved (directly restates KBDL-THM-012a and KBDL's enhanced motion-safety baseline, KBDL-DEC-010)",KBDL-DEC-010; KBDL-THM-012a,None,True
KBDL-MOT-023,motion/README.md authoritative block/prompt state,"Approved (directly restates KBDL's enhanced motion-safety requirement, KBDL-DEC-010)","Approved (directly restates KBDL's enhanced motion-safety requirement, KBDL-DEC-010)",KBDL-DEC-010,None,True
KBDL-MOT-024,motion/README.md authoritative block/prompt state,"Approved (directly restates Performance-Aware Enhancement, KBDL-PRN-003/§6.9)","Approved (directly restates Performance-Aware Enhancement, KBDL-PRN-003/§6.9)",KBDL-PRN-003,None,True
KBDL-MOT-025,motion/README.md authoritative block/prompt state,Approved (directly restates Accessibility by Default); project-owner-approved KBDL-005 implementation prompt,Approved (directly restates Accessibility by Default); project-owner-approved KBDL-005 implementation prompt,Prompt/standard,None,True
KBDL-MOT-026,motion/README.md authoritative block/prompt state,"Approved (directly restates KBDL-PRN-007, Adaptability Without Fragmentation)","Approved (directly restates KBDL-PRN-007, Adaptability Without Fragmentation)",KBDL-PRN-007,None,True
KBDL-MOT-027,motion/README.md authoritative block/prompt state,Approved (this governance rule itself directly restates conventions.md §1.1); project-owner-approved KBDL-005 implementation prompt,Approved (this governance rule itself directly restates conventions.md §1.1); project-owner-approved KBDL-005 implementation prompt,Prompt/standard,None,True
KBDL-MOT-028,motion/README.md authoritative block/prompt state,"Approved (per KBDL-DEC-014, decision packet item 6)","Approved (per KBDL-DEC-014, decision packet item 6)",KBDL-DEC-014,None,True
KBDL-MOT-029,motion/README.md authoritative block/prompt state,"Approved (per KBDL-DEC-014, decision packet item 7)","Approved (per KBDL-DEC-014, decision packet item 7)",KBDL-DEC-014,None,True
KBDL-MOT-030,motion/README.md authoritative block/prompt state,"Approved (per KBDL-DEC-014, decision packet item 8)","Approved (per KBDL-DEC-014, decision packet item 8)",KBDL-DEC-014,None,True
KBDL-MOT-031,motion/README.md authoritative block/prompt state,"Approved (per KBDL-DEC-014, decision packet item 9)","Approved (per KBDL-DEC-014, decision packet item 9)",KBDL-DEC-014,None,True
KBDL-MOT-032,motion/README.md authoritative block/prompt state,"Approved (per KBDL-DEC-014, decision packet item 11)","Approved (per KBDL-DEC-014, decision packet item 11)",KBDL-DEC-014,None,True
KBDL-MOT-033,motion/README.md authoritative block/prompt state,"Approved (per KBDL-DEC-014, decision packet item 12)","Approved (per KBDL-DEC-014, decision packet item 12)",KBDL-DEC-014,None,True
KBDL-MOT-034,motion/README.md authoritative block/prompt state,"Approved (per KBDL-DEC-014, decision packet item 13)","Approved (per KBDL-DEC-014, decision packet item 13)",KBDL-DEC-014,None,True
KBDL-PRN-001,principles.md authoritative block/prompt state,Project-owner-approved KBDL-002 implementation prompt; authoritative provenance: User-provided (blueprint) and Confirmed (derived from KBDL-001 decisions),Project-owner-approved KBDL-002 implementation prompt; authoritative provenance: User-provided (blueprint) and Confirmed (derived from KBDL-001 decisions),Prompt/standard,None,True
KBDL-PRN-002,principles.md authoritative block/prompt state,Project-owner-approved KBDL-002 implementation prompt; authoritative provenance: User-provided,Project-owner-approved KBDL-002 implementation prompt; authoritative provenance: User-provided,Prompt/standard,None,True
KBDL-PRN-003,principles.md authoritative block/prompt state,Project-owner-approved KBDL-002 implementation prompt; authoritative provenance: User-provided,Project-owner-approved KBDL-002 implementation prompt; authoritative provenance: User-provided,Prompt/standard,None,True
KBDL-PRN-004,principles.md authoritative block/prompt state,Project-owner-approved KBDL-002 implementation prompt; authoritative provenance: User-provided,Project-owner-approved KBDL-002 implementation prompt; authoritative provenance: User-provided,Prompt/standard,None,True
KBDL-PRN-005,principles.md authoritative block/prompt state,Project-owner-approved KBDL-002 implementation prompt; authoritative provenance: User-provided,Project-owner-approved KBDL-002 implementation prompt; authoritative provenance: User-provided,Prompt/standard,None,True
