Requirement ID,Method,Evidence,Independent attribution rule,Mismatch
KBDL-MOT-003,Manual review of motion decisions against the priority order; disputes escalated per [governance.md](../governance.md),Manual review recorded in motion/validation.md §6,same requirement and stated method,None
KBDL-MOT-004,Manual completeness review per category,Manual review recorded in motion/validation.md §1,same requirement and stated method,None
KBDL-MOT-005,"Manual review of Exceptional-level usage once implemented; project-owner review (performed, see [KBDL-DEC-014](../decision-register.md#kbdl-dec-014--kbdl-005-motion-decisions-approved))",Manual review recorded in motion/validation.md §1,same requirement and stated method,None
KBDL-MOT-006,"Manual review of intensity assessments once implemented; project-owner review (performed, see [KBDL-DEC-014](../decision-register.md#kbdl-dec-014--kbdl-005-motion-decisions-approved))",Manual review recorded in motion/validation.md §1,same requirement and stated method,None
KBDL-MOT-007,"Manual review of timing-class usage once implemented; project-owner review (performed, see [KBDL-DEC-014](../decision-register.md#kbdl-dec-014--kbdl-005-motion-decisions-approved))","motion/validation.md §2 — every value has a stated purpose, exit durations are equal to or shorter than paired entrances, and no value is marked Verified without implementation evidence",same requirement and stated method,None
KBDL-MOT-008,"Project-owner review (performed, see [KBDL-DEC-014](../decision-register.md#kbdl-dec-014--kbdl-005-motion-decisions-approved)); manual implementation review once an implementation exists","motion/validation.md §2 — every value has a stated purpose, exit durations are equal to or shorter than paired entrances, and no value is marked Verified without implementation evidence",same requirement and stated method,None
KBDL-MOT-009,"Manual conceptual review (performed, see [timing-easing.md §3](timing-easing.md#3-easing-architecture)); project-owner approval (performed, see [KBDL-DEC-014](../decision-register.md#kbdl-dec-014--kbdl-005-motion-decisions-approved))","motion/validation.md §2 — every value has a stated purpose, exit durations are equal to or shorter than paired entrances, and no value is marked Verified without implementation evidence",same requirement and stated method,None
KBDL-MOT-010,"Manual review once implemented; project-owner review (performed, see [KBDL-DEC-014](../decision-register.md#kbdl-dec-014--kbdl-005-motion-decisions-approved))",Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-MOT-011,"Manual review once implemented; project-owner review (performed, see [KBDL-DEC-014](../decision-register.md#kbdl-dec-014--kbdl-005-motion-decisions-approved))",Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-MOT-012,Manual review once implemented; project-owner review (not yet performed),Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-MOT-013,"Manual review once implemented; project-owner review (performed, see [KBDL-DEC-014](../decision-register.md#kbdl-dec-014--kbdl-005-motion-decisions-approved))",Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-MOT-014,Manual review once implemented; project-owner review (not yet performed),Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-MOT-015,Manual review once implemented; project-owner review (not yet performed),Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-MOT-016,Manual review once implemented; project-owner review (not yet performed),Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-MOT-017,Manual review once implemented; project-owner review (not yet performed),Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-MOT-018,Manual review once implemented; project-owner review (not yet performed),Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-MOT-019,Manual review once implemented; project-owner review (not yet performed),Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-MOT-020,"Manual review of the worked example (performed, see [patterns.md §8](patterns.md#8-theme-transition-motion)); project-owner review (performed, see [KBDL-DEC-014](../decision-register.md#kbdl-dec-014--kbdl-005-motion-decisions-approved))","motion/patterns.md §8 — conceptually verified against the already-Verified opaque contrast pair (17.17:1, unrelated example) and the KBDL-004 non-blocking/readability requirements; no live implementation has been rendered or measured",same requirement and stated method,None
KBDL-MOT-021,Manual review once implemented; project-owner review (not yet performed),"motion/validation.md §3 (reduced-motion parity, passed) and motion/validation.md §4 (pattern coverage, passed)",same requirement and stated method,None
KBDL-MOT-022,"Manual parity review per pattern (performed, see [accessibility-performance.md §1](accessibility-performance.md#1-reduced-motion-and-no-motion-parity)); implementation-level review not yet performed","motion/validation.md §3 (reduced-motion parity, passed) and motion/validation.md §4 (pattern coverage, passed)",same requirement and stated method,None
KBDL-MOT-023,Manual review once implemented; project-owner review (not yet performed),"motion/validation.md §3 (reduced-motion parity, passed) and motion/validation.md §4 (pattern coverage, passed)",same requirement and stated method,None
KBDL-MOT-024,Implementation-level performance measurement (not yet performed — no implementation exists),"motion/validation.md §3 (reduced-motion parity, passed) and motion/validation.md §4 (pattern coverage, passed)",same requirement and stated method,None
KBDL-MOT-025,Manual review once implemented; project-owner review (not yet performed),"motion/validation.md §3 (reduced-motion parity, passed) and motion/validation.md §4 (pattern coverage, passed)",same requirement and stated method,None
KBDL-MOT-026,Manual cross-profile review once the project-profiles module is approved,"motion/validation.md §3 (reduced-motion parity, passed) and motion/validation.md §4 (pattern coverage, passed)",same requirement and stated method,None
KBDL-MOT-027,Manual review confirming no Recommended motion value is implemented or marked Approved without a decision-register entry,"motion/validation.md §3 (reduced-motion parity, passed) and motion/validation.md §4 (pattern coverage, passed)",same requirement and stated method,None
KBDL-MOT-028,"Manual review once implemented; project-owner review (performed, see [KBDL-DEC-014](../decision-register.md#kbdl-dec-014--kbdl-005-motion-decisions-approved))",Not verified — no implementation exists yet; conceptual manual review recorded in motion/validation.md where applicable,same requirement and stated method,None
KBDL-MOT-029,"Manual review once implemented; project-owner review (performed, see [KBDL-DEC-014](../decision-register.md#kbdl-dec-014--kbdl-005-motion-decisions-approved))",Not verified — no implementation exists yet; conceptual manual review recorded in motion/validation.md where applicable,same requirement and stated method,None
KBDL-MOT-030,"Manual review once implemented; project-owner review (performed, see [KBDL-DEC-014](../decision-register.md#kbdl-dec-014--kbdl-005-motion-decisions-approved))",Not verified — no implementation exists yet; conceptual manual review recorded in motion/validation.md where applicable,same requirement and stated method,None
KBDL-MOT-031,"Manual review once implemented; project-owner review (performed, see [KBDL-DEC-014](../decision-register.md#kbdl-dec-014--kbdl-005-motion-decisions-approved))",Not verified — no implementation exists yet; conceptual manual review recorded in motion/validation.md where applicable,same requirement and stated method,None
KBDL-MOT-032,"Manual review (performed, see [motion/validation.md §3](validation.md#3-reduced-motion-matrix-review-performed)); project-owner review (performed, see [KBDL-DEC-014](../decision-register.md#kbdl-dec-014--kbdl-005-motion-decisions-approved))",Not verified — no implementation exists yet; conceptual manual review recorded in motion/validation.md where applicable,same requirement and stated method,None
KBDL-MOT-033,"Manual review once implemented; project-owner review (performed, see [KBDL-DEC-014](../decision-register.md#kbdl-dec-014--kbdl-005-motion-decisions-approved))",Not verified — no implementation exists yet; conceptual manual review recorded in motion/validation.md where applicable,same requirement and stated method,None
KBDL-MOT-034,"Manual cross-profile review once the project-profiles module is approved; project-owner review (performed, see [KBDL-DEC-014](../decision-register.md#kbdl-dec-014--kbdl-005-motion-decisions-approved))",Not verified — no implementation exists yet; conceptual manual review recorded in motion/validation.md where applicable,same requirement and stated method,None
KBDL-PRN-001,Manual design review against this section at each later module's approval gate,"Not verified — validation method has not yet been run against a later module, since none exist yet",same requirement and stated method,None
KBDL-PRN-002,Manual review of design decisions against the priority order; disputes escalated per Section 8,Not verified,same requirement and stated method,None
KBDL-PRN-003,"Manual review using each principle's review questions, at each later module's approval gate",Not verified — the requirement's later-module approval-gate method has not been executed completely,same requirement and stated method,None
KBDL-PRN-004,"Manual cross-reference review once foundation, theme, and responsive modules are approved",Not verified — dependent modules do not exist yet,same requirement and stated method,None
KBDL-PRN-005,Manual review of any proposed exception against the exception process,Not verified — the requirement's full later-module and implementation review has not been executed,same requirement and stated method,None
KBDL-PRN-006,Manual review of decision records against the hierarchy; conflicts escalated per governance's conflict-resolution process,Not verified — no real design decision has been escalated through this hierarchy yet,same requirement and stated method,None
KBDL-PRN-007,Manual cross-profile consistency review once the project-profiles module is approved,Not verified — the project-profiles module (PRO) does not exist yet,same requirement and stated method,None
KBDL-PRN-008,"Manual conformance review against the pattern list at each later module's approval gate, recorded in the [conformance checklist](conformance-checklist.md). ---",Not verified — example-count evidence does not execute the requirement's later-module conformance-review method,same requirement and stated method,None
KBDL-PRO-001,"Manual cross-profile architecture review (performed for this document's own consistency, see implementation report).",Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-PRO-002,Manual terminology-consistency review.,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-PRO-003,Manual review once a project profile is implemented.,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-PRO-004,Manual review once a project profile is implemented.,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-PRO-005,Manual review once a project profile is implemented.,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-PRO-006,"Manual scope-compliance review (performed, see implementation report).",Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-PRO-007,Manual review of a project's declaration once one exists.,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-PRO-008,Manual review of a project's stated selection rationale.,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-PRO-009,Project-owner review (not yet performed).,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-PRO-010,Manual cross-module consistency review.,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-PRO-011,Manual cross-module consistency review.,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-PRO-012,Manual cross-module consistency review.,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-PRO-013,Manual component-composition review.,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-PRO-014,Manual component-composition review. This requirement does not adopt the pending grid-versus-table threshold (KBDL-CMP-105) or data-dense transformation strategy (KBDL-RSP-011) as authority — both remain cited only as unapproved context (see [§37](#37-kbdl-008-approval-boundary-audit)).,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-PRO-015,Manual component-composition review. This requirement does not adopt the pending button-hierarchy (KBDL-CMP-015) or form-action-row-ordering (KBDL-CMP-036) recommendations as authority for Flow's action sequences — both remain cited only as unapproved context (see [§36](#36-kbdl-007-approval-boundary-audit)).,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-PRO-016,Project-owner review (not yet performed); not independently approvable until KBDL-CMP-067 is approved.,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-PRO-017,Project-owner review (not yet performed).,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-PRO-018,Project-owner review (not yet performed); not independently approvable until KBDL-CMP-015/036 are approved.,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-PRO-019,Manual principle-by-principle review using each principle's review questions ([principles.md §6](principles.md#6-core-principles)).,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-PRO-020,Manual cross-profile component-semantics review.,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-PRO-021,Manual cross-profile component-semantics review.,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-PRO-022,Manual content review. Showcase may emphasize editorial storytelling and project narrative; Precision may emphasize scannable labels and operational precision; Flow may emphasize reassuring instructions and recovery guidance — none of these emphases changes the shared requirements above.,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-PRO-023,Manual security review. Precision density must not obscure permissions or errors; Showcase expression must not expose private media or metadata; Flow reassurance must not make unconfirmed success claims — each restates the shared rule above for its own emphasis area.,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-PRO-024,Manual review of any proposed exception against the governance exception process.,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-PRO-025,"Manual scope-compliance review (performed, see implementation report).",Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-PRO-026,Manual review of a project's adoption record once one exists.,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-PRO-027,Project-owner review (not yet performed).,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-PRO-028,Project-owner review (not yet performed).,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-PRO-029,Project-owner review (not yet performed).,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-RSP-001,Manual review once implemented; comparing content inventory across breakpoints,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-RSP-002,Project-owner review (not yet performed); manual implementation review once an implementation exists,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-RSP-003,Project-owner review (not yet performed),Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-RSP-004,Project-owner review (not yet performed),Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-RSP-005,Project-owner review (not yet performed),Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-RSP-006,Manual reflow testing once an implementation exists (documented as a distinct method in [§34](#34-responsive-validation-matrix)),Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-RSP-007,Manual keyboard/screen-reader order review once implemented,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-RSP-008,Manual review once implemented; project-owner review of thresholds (not yet performed),Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-RSP-009,Manual review once implemented,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-RSP-010,Manual review once implemented,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-RSP-011,Manual review once implemented; project-owner review (not yet performed),Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-RSP-012,Manual review once implemented,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-RSP-013,Manual keyboard-focus review once implemented,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-RSP-014,Manual review on representative devices once implemented,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-RSP-015,Manual orientation testing once implemented,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-RSP-016,Manual zoom/reflow testing once implemented,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-RSP-017,Manual mobile testing once implemented,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-RSP-018,Manual cross-input testing once implemented,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-RSP-019,Manual review once implemented,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-RSP-020,Manual keyboard testing once implemented,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-RSP-021,Manual review once implemented,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-RSP-022,Manual review; implementation-level performance measurement once an implementation exists,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-THM-001,Manual review of role usage against the inventory at each later module's approval gate,Not verified — no component module exists yet to check role usage against,same requirement and stated method,None
KBDL-THM-002,"Parity-matrix completeness check (performed, see validation.md)","Parity matrix in themes/semantic-roles.md § Parity Matrix — 72 unique roles, 72 light mappings, 72 dark mappings, 1 role-level alias (corrected under KBDL-004-R3, previously miscounted as 2), 0 unresolved; recorded in the KBDL-004-R3 commit. The KBDL-004-R1 re-run found and fixed a real table-formatting defect (an inserted paragraph had broken the Status Families table in light-theme.md §5, orphaning its ""Neutral status"" row)",same requirement and stated method,None
KBDL-THM-003,Manual review of precedence logic once implemented,Not verified — no implementation exists yet,same requirement and stated method,None
KBDL-THM-004,Manual review of persistence design once implemented (not yet performed — approval does not require this to have happened),"Not verified — no implementation exists yet; approval is a lifecycle decision, not validation evidence",same requirement and stated method,None
KBDL-THM-005,Manual review of any project theme against the documented boundaries,Not verified — no project theme or PRO module exists yet,same requirement and stated method,None
KBDL-THM-006,Manual cross-profile review once the project-profiles module is approved,Not verified — no project theme or PRO module exists yet,same requirement and stated method,None
KBDL-THM-007,"WCAG relative-luminance contrast calculation (completed, see validation.md); project-owner approval (recorded, see [KBDL-DEC-013](../decision-register.md#kbdl-dec-013--kbdl-004-theme-decisions-approved))","themes/validation.md §3 — 52 pairs tested, all opaque, all passing their applicable threshold except 4 explicitly decorative-exempt borders/gridlines. The two Informational failures identified in the original KBDL-004 report (3.78:1, 4.21:1) are resolved by a revised hue (#164499) for the Text/Icon/Border/Strong-surface roles, with neutral-10 correctly retained for On-strong-surface content (role assignment corrected under KBDL-004-R2) — see adaptation.md §5.2. The Media caption row was corrected under KBDL-004-R2 to describe a fully opaque neutral-100 band (17.17:1 is directly correct for this pair, not inherited or assumed)",same requirement and stated method,None
KBDL-THM-008,"WCAG relative-luminance contrast calculation (completed, see validation.md); project-owner approval (recorded, see [KBDL-DEC-013](../decision-register.md#kbdl-dec-013--kbdl-004-theme-decisions-approved))","themes/validation.md §3 — 52 pairs tested, all opaque, all passing their applicable threshold except 4 explicitly decorative-exempt borders/gridlines. The two Informational failures identified in the original KBDL-004 report (3.78:1, 4.21:1) are resolved by a revised hue (#164499) for the Text/Icon/Border/Strong-surface roles, with neutral-10 correctly retained for On-strong-surface content (role assignment corrected under KBDL-004-R2) — see adaptation.md §5.2. The Media caption row was corrected under KBDL-004-R2 to describe a fully opaque neutral-100 band (17.17:1 is directly correct for this pair, not inherited or assumed)",same requirement and stated method,None
KBDL-THM-009,"WCAG relative-luminance contrast calculation (completed, see validation.md); project-owner approval (recorded, see [KBDL-DEC-013](../decision-register.md#kbdl-dec-013--kbdl-004-theme-decisions-approved))","themes/validation.md §3 for the recalculated pairs and themes/adaptation.md §5.2 for the Informational correction record. themes/adaptation.md §4.3 documents both gradient endpoints tested against both candidate text colors and the corrected, fully-opaque caption-band resolution (KBDL-004-R2)",same requirement and stated method,None
KBDL-THM-010,"Manual review of worst-case text-over-gradient contrast (performed for the documented example, see validation.md); project-owner approval (recorded, see [KBDL-DEC-013](../decision-register.md#kbdl-dec-013--kbdl-004-theme-decisions-approved))","themes/validation.md §3 for the recalculated pairs and themes/adaptation.md §5.2 for the Informational correction record. themes/adaptation.md §4.3 documents both gradient endpoints tested against both candidate text colors and the corrected, fully-opaque caption-band resolution (KBDL-004-R2)",same requirement and stated method,None
KBDL-THM-011,"Project-owner approval (recorded, see [KBDL-DEC-013](../decision-register.md#kbdl-dec-013--kbdl-004-theme-decisions-approved))","themes/validation.md §3 for the recalculated pairs and themes/adaptation.md §5.2 for the Informational correction record. themes/adaptation.md §4.3 documents both gradient endpoints tested against both candidate text colors and the corrected, fully-opaque caption-band resolution (KBDL-004-R2)",same requirement and stated method,None
KBDL-THM-012,"Manual review confirming no timing/easing values were introduced (performed); project-owner approval (recorded, see [KBDL-DEC-013](../decision-register.md#kbdl-dec-013--kbdl-004-theme-decisions-approved))",Manual scope-compliance review recorded in the KBDL-004 commit — confirmed zero millisecond/easing values anywhere in docs/kbdl/themes/,same requirement and stated method,None
KBDL-THM-012a,Manual review confirming reduced-motion behavior is honored once implemented,Manual scope-compliance review recorded in the KBDL-004 commit — confirmed zero millisecond/easing values anywhere in docs/kbdl/themes/,same requirement and stated method,None
KBDL-THM-013,"Manual review of the full precedence flow once implemented; project-owner approval (recorded, see [KBDL-DEC-013](../decision-register.md#kbdl-dec-013--kbdl-004-theme-decisions-approved))","Not verified — approval is a lifecycle decision, not validation evidence",same requirement and stated method,None
KBDL-THM-014,"Manual review of the override list once a project theme exists; project-owner approval (recorded, see [KBDL-DEC-013](../decision-register.md#kbdl-dec-013--kbdl-004-theme-decisions-approved))","Not verified — approval is a lifecycle decision, not validation evidence",same requirement and stated method,None
KBDL-THM-015,"Manual review of context usage against the defined set and rules once implemented; project-owner approval (recorded, see [KBDL-DEC-013](../decision-register.md#kbdl-dec-013--kbdl-004-theme-decisions-approved))","Not verified — approval is a lifecycle decision, not validation evidence",same requirement and stated method,None
KBDL-VAL-001,Classification audit executed by the final validator; PASS,Executed evidence — Classification audit executed by the final validator; PASS,same requirement and stated method,None
KBDL-VAL-002,"Parser inventory; 317 unique requirements, zero gaps/duplicates","Executed evidence — Parser inventory; 317 unique requirements, zero gaps/duplicates",same requirement and stated method,None
KBDL-VAL-003,Documentary comparison; zero mismatches/unsupported authority,Executed evidence — Documentary comparison; zero mismatches/unsupported authority,same requirement and stated method,None
KBDL-VAL-004,Status/evidence audit; unsupported Verified claims zero,Executed evidence — Status/evidence audit; unsupported Verified claims zero,same requirement and stated method,None
KBDL-VAL-005,Decision/packet audit; zero orphan or untracked items,Executed evidence — Decision/packet audit; zero orphan or untracked items,same requirement and stated method,None
KBDL-VAL-006,"R7 independently validates 317 source/readable-group/ledger effective records, all override fields, anchors, authority chains, packets, dependencies, evidence, and limitations with zero defects","Executed evidence — R7 independently validates 317 source/readable-group/ledger effective records, all override fields, anchors, authority chains, packets, dependencies, evidence, and limitations with zero defects",same requirement and stated method,None
KBDL-VAL-007,Dependency-free repository validator; PASS,Executed evidence — Dependency-free repository validator; PASS,same requirement and stated method,None
KBDL-VAL-008,No executed independent method covers every stated cross-module invariant; complete method not established,Executed evidence — No executed independent method covers every stated cross-module invariant; complete method not established,same requirement and stated method,None
KBDL-VAL-009,WCAG contrast script; PASS and checksum recorded,Executed evidence — WCAG contrast script; PASS and checksum recorded,same requirement and stated method,None
KBDL-VAL-010,No independent per-ID ledger-coverage proof covers the complete stated method,Executed evidence — No independent per-ID ledger-coverage proof covers the complete stated method,same requirement and stated method,None
KBDL-VAL-011,"Project absence is established, but complete project-ledger coverage is not independently proven",Not verified — validation method has not been executed,same requirement and stated method,None
KBDL-VAL-012,Completion-claim scan; zero decisions/claims,Executed evidence — Completion-claim scan; zero decisions/claims,same requirement and stated method,None
