Requirement ID,Authoritative/group limitation,Effective limitation,Mismatch
KBDL-CUS-007,Exact local operational policies remain Recommended; implementation behavior is absent,No exception is created here,No
KBDL-CUS-008,Exact local operational policies remain Recommended; implementation behavior is absent,No real workflow history exists,No
KBDL-CUS-009,Exact local operational policies remain Recommended; implementation behavior is absent,Inapplicable fields require project rationale,No
KBDL-CUS-010,Exact local operational policies remain Recommended; implementation behavior is absent,No machine-readable format is mandated,No
KBDL-CUS-011,Exact local operational policies remain Recommended; implementation behavior is absent,Final KBDL validation remains later scope,No
KBDL-CUS-012,Exact local operational policies remain Recommended; implementation behavior is absent,Exact cadence/expiry are Recommended,No
KBDL-CUS-013,No project implementation exists; every listed earlier recommendation remains excluded,Project implementation absent,No
KBDL-CUS-014,No project implementation exists; every listed earlier recommendation remains excluded,Pending theme items remain excluded,No
KBDL-CUS-015,No project implementation exists; every listed earlier recommendation remains excluded,Exact component values and technology remain excluded,No
KBDL-CUS-016,No project implementation exists; every listed earlier recommendation remains excluded,Pending exact values remain excluded,No
KBDL-CUS-017,No project implementation exists; every listed earlier recommendation remains excluded,Implementation testing is absent,No
KBDL-CUS-018,No project implementation exists; every listed earlier recommendation remains excluded,Pending KBDL-007 items remain excluded,No
KBDL-CUS-019,No project implementation exists; every listed earlier recommendation remains excluded,Pending KBDL-008 items remain excluded,No
KBDL-CUS-020,No project implementation exists; every listed earlier recommendation remains excluded,Pending KBDL-009 policies remain excluded,No
KBDL-CUS-021,No project implementation exists; every listed earlier recommendation remains excluded,Backend architecture is out of scope,No
KBDL-CUS-022,No project implementation exists; every listed earlier recommendation remains excluded,No implementation handoff exists,No
KBDL-CUS-023,Exact policies are not authorized,Records use a visible placeholder meanwhile,No
KBDL-CUS-024,Exact policies are not authorized,Current governance does not define exact local roles,No
KBDL-CUS-025,Exact policies are not authorized,KBDL-011 does not approve this discretionary policy,No
KBDL-CUS-026,Exact policies are not authorized,No default time period is authorized,No
KBDL-CUS-027,Exact policies are not authorized,Conflicts stop under current rules,No
KBDL-CUS-028,Exact policies are not authorized,Reuse always triggers review until a threshold is approved,No
KBDL-CUS-029,Exact policies are not authorized,Exact retention and evidence rules are not authorized,No
KBDL-CUS-030,No machine-readable format or tooling is authorized,"No JSON, YAML, schema, API, plugin, or automation is authorized",No
KBDL-FND-001,Cannot be fully validated until THM and CMP requirements exist,Cannot be fully validated until THM and CMP requirements exist,No
KBDL-FND-002,Cannot be fully validated until THM and CMP requirements exist,Cannot be fully validated until THM and CMP requirements exist,No
KBDL-FND-003,Cannot be fully validated until RSP requirements exist,Cannot be fully validated until RSP requirements exist,No
KBDL-FND-004,Cannot be fully validated until RSP requirements exist,Cannot be fully validated until RSP requirements exist,No
KBDL-FND-005,None identified,None identified,No
KBDL-FND-006,None identified,None identified,No
KBDL-FND-007,None identified,None identified,No
KBDL-FND-008,Cannot be fully validated until PRO requirements exist,Cannot be fully validated until PRO requirements exist,No
KBDL-FND-009,"Approval authorizes these defaults for implementation; it does not itself constitute rendering, brand-suitability, or licensing validation — those remain Not verified as noted above","Approval authorizes these defaults for implementation; it does not itself constitute rendering, brand-suitability, or licensing validation — those remain Not verified as noted above",No
KBDL-FND-010,"Approval authorizes these defaults for implementation; it does not itself constitute rendering, brand-suitability, or licensing validation — those remain Not verified as noted above","Approval authorizes these defaults for implementation; it does not itself constitute rendering, brand-suitability, or licensing validation — those remain Not verified as noted above",No
KBDL-FND-011,"Approval authorizes these defaults for implementation; it does not itself constitute rendering, brand-suitability, or licensing validation — those remain Not verified as noted above","Approval authorizes these defaults for implementation; it does not itself constitute rendering, brand-suitability, or licensing validation — those remain Not verified as noted above",No
KBDL-FND-012,"Approval authorizes these defaults for implementation; it does not itself constitute rendering, brand-suitability, or licensing validation — those remain Not verified as noted above","Approval authorizes these defaults for implementation; it does not itself constitute rendering, brand-suitability, or licensing validation — those remain Not verified as noted above",No
KBDL-GOV-001,"No automated Markdown linter or link checker was available in this environment; verification is manual, not tool-based","No automated Markdown linter or link checker was available in this environment; verification is manual, not tool-based",No
KBDL-GOV-002,"Cannot be validated against a real accessibility requirement, since none exist yet","Cannot be validated against a real accessibility requirement, since none exist yet",No
KBDL-GOV-003,None identified,None identified,No
KBDL-MOT-001,"Per-component purpose assignment depends on the Components module (CMP), not yet reached","Per-component purpose assignment depends on the Components module (CMP), not yet reached",No
KBDL-MOT-002,"Per-component purpose assignment depends on the Components module (CMP), not yet reached","Per-component purpose assignment depends on the Components module (CMP), not yet reached",No
KBDL-MOT-003,"Per-component purpose assignment depends on the Components module (CMP), not yet reached","Per-component purpose assignment depends on the Components module (CMP), not yet reached",No
KBDL-MOT-004,"Exceptional-level (Level 4) usage requires project-owner review each time; not yet exercised, since no implementation exists","Exceptional-level (Level 4) usage requires project-owner review each time; not yet exercised, since no implementation exists",No
KBDL-MOT-005,"Exceptional-level (Level 4) usage requires project-owner review each time; not yet exercised, since no implementation exists","Exceptional-level (Level 4) usage requires project-owner review each time; not yet exercised, since no implementation exists",No
KBDL-MOT-006,"Exceptional-level (Level 4) usage requires project-owner review each time; not yet exercised, since no implementation exists","Exceptional-level (Level 4) usage requires project-owner review each time; not yet exercised, since no implementation exists",No
KBDL-MOT-007,"Approval is a lifecycle decision, not implementation validation; these values must not be treated as Verified until an implementation exists and is measured","Approval is a lifecycle decision, not implementation validation; these values must not be treated as Verified until an implementation exists and is measured",No
KBDL-MOT-008,"Approval is a lifecycle decision, not implementation validation; these values must not be treated as Verified until an implementation exists and is measured","Approval is a lifecycle decision, not implementation validation; these values must not be treated as Verified until an implementation exists and is measured",No
KBDL-MOT-009,"Approval is a lifecycle decision, not implementation validation; these values must not be treated as Verified until an implementation exists and is measured","Approval is a lifecycle decision, not implementation validation; these values must not be treated as Verified until an implementation exists and is measured",No
KBDL-MOT-010,Exact pixel/percentage movement and scale values are deferred to the Components module,Exact pixel/percentage movement and scale values are deferred to the Components module,No
KBDL-MOT-011,Exact pixel/percentage movement and scale values are deferred to the Components module,Exact pixel/percentage movement and scale values are deferred to the Components module,No
KBDL-MOT-012,Exact pixel/percentage movement and scale values are deferred to the Components module,Exact pixel/percentage movement and scale values are deferred to the Components module,No
KBDL-MOT-013,Exact repetition limits (attention motion) and scroll thresholds remain qualitative pending implementation-level review,Exact repetition limits (attention motion) and scroll thresholds remain qualitative pending implementation-level review,No
KBDL-MOT-014,Exact repetition limits (attention motion) and scroll thresholds remain qualitative pending implementation-level review,Exact repetition limits (attention motion) and scroll thresholds remain qualitative pending implementation-level review,No
KBDL-MOT-015,Exact repetition limits (attention motion) and scroll thresholds remain qualitative pending implementation-level review,Exact repetition limits (attention motion) and scroll thresholds remain qualitative pending implementation-level review,No
KBDL-MOT-016,Exact repetition limits (attention motion) and scroll thresholds remain qualitative pending implementation-level review,Exact repetition limits (attention motion) and scroll thresholds remain qualitative pending implementation-level review,No
KBDL-MOT-017,Exact repetition limits (attention motion) and scroll thresholds remain qualitative pending implementation-level review,Exact repetition limits (attention motion) and scroll thresholds remain qualitative pending implementation-level review,No
KBDL-MOT-018,Exact repetition limits (attention motion) and scroll thresholds remain qualitative pending implementation-level review,Exact repetition limits (attention motion) and scroll thresholds remain qualitative pending implementation-level review,No
KBDL-MOT-019,Exact repetition limits (attention motion) and scroll thresholds remain qualitative pending implementation-level review,Exact repetition limits (attention motion) and scroll thresholds remain qualitative pending implementation-level review,No
KBDL-MOT-020,No intermediate-frame contrast measurement has actually been performed against a live implementation,No intermediate-frame contrast measurement has actually been performed against a live implementation,No
KBDL-MOT-021,"No implementation exists to measure actual frame rate, input latency, or cross-input-method behavior","No implementation exists to measure actual frame rate, input latency, or cross-input-method behavior",No
KBDL-MOT-022,"No implementation exists to measure actual frame rate, input latency, or cross-input-method behavior","No implementation exists to measure actual frame rate, input latency, or cross-input-method behavior",No
KBDL-MOT-023,"No implementation exists to measure actual frame rate, input latency, or cross-input-method behavior","No implementation exists to measure actual frame rate, input latency, or cross-input-method behavior",No
KBDL-MOT-024,"No implementation exists to measure actual frame rate, input latency, or cross-input-method behavior","No implementation exists to measure actual frame rate, input latency, or cross-input-method behavior",No
KBDL-MOT-025,"No implementation exists to measure actual frame rate, input latency, or cross-input-method behavior","No implementation exists to measure actual frame rate, input latency, or cross-input-method behavior",No
KBDL-MOT-026,"No implementation exists to measure actual frame rate, input latency, or cross-input-method behavior","No implementation exists to measure actual frame rate, input latency, or cross-input-method behavior",No
KBDL-MOT-027,"No implementation exists to measure actual frame rate, input latency, or cross-input-method behavior","No implementation exists to measure actual frame rate, input latency, or cross-input-method behavior",No
KBDL-MOT-028,"Approval is a lifecycle decision, not implementation validation; these values must not be treated as Verified until an implementation exists and is measured","Approval is a lifecycle decision, not implementation validation; these values must not be treated as Verified until an implementation exists and is measured",No
KBDL-MOT-029,"Approval is a lifecycle decision, not implementation validation; these values must not be treated as Verified until an implementation exists and is measured","Approval is a lifecycle decision, not implementation validation; these values must not be treated as Verified until an implementation exists and is measured",No
KBDL-MOT-030,"Approval is a lifecycle decision, not implementation validation; these values must not be treated as Verified until an implementation exists and is measured","Approval is a lifecycle decision, not implementation validation; these values must not be treated as Verified until an implementation exists and is measured",No
KBDL-MOT-031,"Approval is a lifecycle decision, not implementation validation; these values must not be treated as Verified until an implementation exists and is measured","Approval is a lifecycle decision, not implementation validation; these values must not be treated as Verified until an implementation exists and is measured",No
KBDL-MOT-032,"Approval is a lifecycle decision, not implementation validation; these values must not be treated as Verified until an implementation exists and is measured","Approval is a lifecycle decision, not implementation validation; these values must not be treated as Verified until an implementation exists and is measured",No
KBDL-MOT-033,"Approval is a lifecycle decision, not implementation validation; these values must not be treated as Verified until an implementation exists and is measured","Approval is a lifecycle decision, not implementation validation; these values must not be treated as Verified until an implementation exists and is measured",No
KBDL-MOT-034,"Approval is a lifecycle decision, not implementation validation; these values must not be treated as Verified until an implementation exists and is measured","Approval is a lifecycle decision, not implementation validation; these values must not be treated as Verified until an implementation exists and is measured",No
KBDL-PRN-001,"Cannot be checked against real foundation, theme, or component content until those modules exist","Cannot be checked against real foundation, theme, or component content until those modules exist",No
KBDL-PRN-002,No real design decisions exist yet to test the priority order against,No real design decisions exist yet to test the priority order against,No
KBDL-PRN-003,Complete evidence across every later module is unavailable,Complete evidence across every later module is unavailable,No
KBDL-PRN-004,"Cannot be fully validated until FND, THM, and RSP requirements exist","Cannot be fully validated until FND, THM, and RSP requirements exist",No
KBDL-PRN-005,Controlled-variable ranges are intentionally undefined pending later modules,Controlled-variable ranges are intentionally undefined pending later modules,No
KBDL-PRN-006,None identified,None identified,No
KBDL-PRN-007,Cannot be fully validated until PRO requirements exist,Cannot be fully validated until PRO requirements exist,No
KBDL-PRN-008,Examples are conceptual; no mockups or token values exist to check them against yet,Examples are conceptual; no mockups or token values exist to check them against yet,No
KBDL-PRO-001,"implementation-dependent, not yet verified. KBDL-PRO-009: Recommended, grants no implementation authority pending project-owner review",Implementation-level profile behavior is not verified; no coded project profile exists yet to test against,No
KBDL-PRO-002,"implementation-dependent, not yet verified. KBDL-PRO-009: Recommended, grants no implementation authority pending project-owner review",Implementation-level profile behavior is not verified; no coded project profile exists yet to test against,No
KBDL-PRO-003,"implementation-dependent, not yet verified. KBDL-PRO-009: Recommended, grants no implementation authority pending project-owner review",Implementation-level profile behavior is not verified; no coded project profile exists yet to test against,No
KBDL-PRO-004,"implementation-dependent, not yet verified. KBDL-PRO-009: Recommended, grants no implementation authority pending project-owner review",Implementation-level profile behavior is not verified; no coded project profile exists yet to test against,No
KBDL-PRO-005,"implementation-dependent, not yet verified. KBDL-PRO-009: Recommended, grants no implementation authority pending project-owner review","Not applicable — restates an existing scope/governance rule, not independently testable against an implementation",No
KBDL-PRO-006,"implementation-dependent, not yet verified. KBDL-PRO-009: Recommended, grants no implementation authority pending project-owner review","Not applicable — scope-control requirement, not independently testable against an implementation",No
KBDL-PRO-007,"implementation-dependent, not yet verified. KBDL-PRO-009: Recommended, grants no implementation authority pending project-owner review",No project profile declaration exists yet to review against this requirement's field list,No
KBDL-PRO-008,"implementation-dependent, not yet verified. KBDL-PRO-009: Recommended, grants no implementation authority pending project-owner review","No project profile declaration exists yet to review against this requirement. Whether a project must select exactly one primary profile, may select a secondary profile, or may use a hybrid model is new governance policy:",No
KBDL-PRO-009,KBDL-PRO-001–008,Recommended — grants no implementation authority pending project-owner review; see the decision packet,No
KBDL-PRO-010,KBDL-PRO-016 additionally depends on the unapproved KBDL-008 KBDL-CMP-067; KBDL-PRO-018 additionally depends on the unapproved KBDL-007 KBDL-CMP-015/036,Implementation-level profile behavior is not verified; no coded project profile exists yet to test against. ### 10.2 Component Interpretation,No
KBDL-PRO-011,KBDL-PRO-016 additionally depends on the unapproved KBDL-008 KBDL-CMP-067; KBDL-PRO-018 additionally depends on the unapproved KBDL-007 KBDL-CMP-015/036,Implementation-level profile behavior is not verified; no coded project profile exists yet to test against. ### 11.2 Component Interpretation,No
KBDL-PRO-012,KBDL-PRO-016 additionally depends on the unapproved KBDL-008 KBDL-CMP-067; KBDL-PRO-018 additionally depends on the unapproved KBDL-007 KBDL-CMP-015/036,Implementation-level profile behavior is not verified; no coded project profile exists yet to test against. ### 12.2 Component Interpretation,No
KBDL-PRO-013,KBDL-PRO-016 additionally depends on the unapproved KBDL-008 KBDL-CMP-067; KBDL-PRO-018 additionally depends on the unapproved KBDL-007 KBDL-CMP-015/036,Implementation-level profile behavior is not verified; no coded project profile exists yet to test against. Any exact Showcase card-variant or composition default remains new policy:,No
KBDL-PRO-014,KBDL-PRO-016 additionally depends on the unapproved KBDL-008 KBDL-CMP-067; KBDL-PRO-018 additionally depends on the unapproved KBDL-007 KBDL-CMP-015/036,Implementation-level profile behavior is not verified; no coded project profile exists yet to test against. Any exact Precision density or component-variant default remains new policy:,No
KBDL-PRO-015,Approved,Implementation-level profile behavior is not verified; no coded project profile exists yet to test against. Any exact Flow action-hierarchy or workflow-component default remains new policy:,No
KBDL-PRO-016,Approved,Contingent on the unapproved KBDL-008 KBDL-CMP-067; cannot be approved independently through the KBDL-009 packet until KBDL-CMP-067 is approved or replaced,No
KBDL-PRO-017,KBDL-PRO-016 additionally depends on the unapproved KBDL-008 KBDL-CMP-067; KBDL-PRO-018 additionally depends on the unapproved KBDL-007 KBDL-CMP-015/036,Recommended — grants no implementation authority pending project-owner review; see the decision packet,No
KBDL-PRO-018,Approved,Contingent on the unapproved KBDL-007 KBDL-CMP-015/036; cannot be approved independently through the KBDL-009 packet until those are approved or replaced,No
KBDL-PRO-019,"implementation-dependent, not yet verified. KBDL-PRO-027, 029: Recommended, grants no implementation authority pending project-owner review. KBDL-PRO-028: Recommended, grants no implementation authority pending project-owner review",Implementation-level profile behavior is not verified; no coded project profile exists yet to test against,No
KBDL-PRO-020,"implementation-dependent, not yet verified. KBDL-PRO-027, 029: Recommended, grants no implementation authority pending project-owner review. KBDL-PRO-028: Recommended, grants no implementation authority pending project-owner review",Implementation-level profile behavior is not verified; no coded project profile exists yet to test against,No
KBDL-PRO-021,"implementation-dependent, not yet verified. KBDL-PRO-027, 029: Recommended, grants no implementation authority pending project-owner review. KBDL-PRO-028: Recommended, grants no implementation authority pending project-owner review",Implementation-level profile behavior is not verified; no coded project profile exists yet to test against,No
KBDL-PRO-022,"implementation-dependent, not yet verified. KBDL-PRO-027, 029: Recommended, grants no implementation authority pending project-owner review. KBDL-PRO-028: Recommended, grants no implementation authority pending project-owner review",Implementation-level profile behavior is not verified; no coded project profile exists yet to test against,No
KBDL-PRO-023,"implementation-dependent, not yet verified. KBDL-PRO-027, 029: Recommended, grants no implementation authority pending project-owner review. KBDL-PRO-028: Recommended, grants no implementation authority pending project-owner review",Implementation-level profile behavior is not verified; no coded project profile exists yet to test against,No
KBDL-PRO-024,"implementation-dependent, not yet verified. KBDL-PRO-027, 029: Recommended, grants no implementation authority pending project-owner review. KBDL-PRO-028: Recommended, grants no implementation authority pending project-owner review",Implementation-level profile behavior is not verified; no coded project profile exists yet to test against,No
KBDL-PRO-025,"implementation-dependent, not yet verified. KBDL-PRO-027, 029: Recommended, grants no implementation authority pending project-owner review. KBDL-PRO-028: Recommended, grants no implementation authority pending project-owner review","Not applicable — scope-control requirement, not independently testable against an implementation",No
KBDL-PRO-026,"implementation-dependent, not yet verified. KBDL-PRO-027, 029: Recommended, grants no implementation authority pending project-owner review. KBDL-PRO-028: Recommended, grants no implementation authority pending project-owner review","No project profile adoption record exists yet to review against this requirement's field list. Whether a profile may change after adoption, whether a project may have multiple profile scopes, and how migration is governed are new decisions:",No
KBDL-PRO-027,KBDL-PRO-019–026,Recommended — grants no implementation authority pending project-owner review; see the decision packet,No
KBDL-PRO-028,KBDL-PRO-019–026,Recommended — grants no implementation authority pending project-owner review; see the decision packet,No
KBDL-PRO-029,KBDL-PRO-019–026,Recommended — grants no implementation authority pending project-owner review; see the decision packet. Manual customization of a project's KBDL implementation is governed by [customization.md](customization.md); this profile document does not itself authorize a project customization,No
KBDL-RSP-001,Implementation-dependent; cannot be tested until a real layout exists,Implementation-dependent; cannot be tested until a real layout exists,No
KBDL-RSP-002,These are recommendations awaiting project-owner approval; must not be treated as Approved or implemented until that approval is recorded,These are recommendations awaiting project-owner approval; must not be treated as Approved or implemented until that approval is recorded,No
KBDL-RSP-003,These are recommendations awaiting project-owner approval; must not be treated as Approved or implemented until that approval is recorded,These are recommendations awaiting project-owner approval; must not be treated as Approved or implemented until that approval is recorded,No
KBDL-RSP-004,These are recommendations awaiting project-owner approval; must not be treated as Approved or implemented until that approval is recorded,These are recommendations awaiting project-owner approval; must not be treated as Approved or implemented until that approval is recorded,No
KBDL-RSP-005,These are recommendations awaiting project-owner approval; must not be treated as Approved or implemented until that approval is recorded,These are recommendations awaiting project-owner approval; must not be treated as Approved or implemented until that approval is recorded,No
KBDL-RSP-006,Implementation-dependent; cannot be tested until a real layout exists,Implementation-dependent; cannot be tested until a real layout exists,No
KBDL-RSP-007,Implementation-dependent; cannot be tested until a real layout exists,Implementation-dependent; cannot be tested until a real layout exists,No
KBDL-RSP-008,Exact collapse thresholds and per-project column-priority rules remain qualitative pending implementation-level review,Exact collapse thresholds and per-project column-priority rules remain qualitative pending implementation-level review,No
KBDL-RSP-009,Exact collapse thresholds and per-project column-priority rules remain qualitative pending implementation-level review,Exact collapse thresholds and per-project column-priority rules remain qualitative pending implementation-level review,No
KBDL-RSP-010,Exact collapse thresholds and per-project column-priority rules remain qualitative pending implementation-level review,Exact collapse thresholds and per-project column-priority rules remain qualitative pending implementation-level review,No
KBDL-RSP-011,Exact collapse thresholds and per-project column-priority rules remain qualitative pending implementation-level review,Exact collapse thresholds and per-project column-priority rules remain qualitative pending implementation-level review,No
KBDL-RSP-012,Exact collapse thresholds and per-project column-priority rules remain qualitative pending implementation-level review,Exact collapse thresholds and per-project column-priority rules remain qualitative pending implementation-level review,No
KBDL-RSP-013,Implementation- and device-dependent,Implementation- and device-dependent,No
KBDL-RSP-014,Implementation- and device-dependent,Implementation- and device-dependent,No
KBDL-RSP-015,Implementation-dependent; cannot be tested until a real layout exists,Implementation-dependent; cannot be tested until a real layout exists,No
KBDL-RSP-016,Implementation-dependent; cannot be tested until a real layout exists,Implementation-dependent; cannot be tested until a real layout exists,No
KBDL-RSP-017,Implementation- and device-dependent,Implementation- and device-dependent,No
KBDL-RSP-018,Implementation- and device-dependent,Implementation- and device-dependent,No
KBDL-RSP-019,Implementation- and device-dependent,Implementation- and device-dependent,No
KBDL-RSP-020,Implementation-dependent; cannot be tested until a real layout exists,Implementation-dependent; cannot be tested until a real layout exists,No
KBDL-RSP-021,Performance claims cannot be Verified without a real implementation to measure,Performance claims cannot be Verified without a real implementation to measure,No
KBDL-RSP-022,Performance claims cannot be Verified without a real implementation to measure,Performance claims cannot be Verified without a real implementation to measure,No
KBDL-THM-001,Cannot be fully validated until component modules (CMP) exist,Cannot be fully validated until component modules (CMP) exist,No
KBDL-THM-002,None identified,None identified,No
KBDL-THM-003,Cannot be validated until an implementation exists,Cannot be validated until an implementation exists,No
KBDL-THM-004,Cannot be validated until an implementation exists,Cannot be validated until an implementation exists,No
KBDL-THM-005,Cannot be fully validated until PRO requirements exist,Cannot be fully validated until PRO requirements exist,No
KBDL-THM-006,Cannot be fully validated until PRO requirements exist,Cannot be fully validated until PRO requirements exist,No
KBDL-THM-007,"Approval covers the opaque mappings only; opacity values must not be treated as Approved or implemented until a future decision addresses them. The dark theme was independently designed, not inverted from light — see dark-theme.md § Design Strategy for the neutral-60/neutral-50 asymmetry this produced. Translucent opacity values remain entirely out of scope for this row","Approval covers the opaque mappings only; opacity values must not be treated as Approved or implemented until a future decision addresses them. The dark theme was independently designed, not inverted from light — see dark-theme.md § Design Strategy for the neutral-60/neutral-50 asymmetry this produced. Translucent opacity values remain entirely out of scope for this row",No
KBDL-THM-008,"Approval covers the opaque mappings only; opacity values must not be treated as Approved or implemented until a future decision addresses them. The dark theme was independently designed, not inverted from light — see dark-theme.md § Design Strategy for the neutral-60/neutral-50 asymmetry this produced. Translucent opacity values remain entirely out of scope for this row","Approval covers the opaque mappings only; opacity values must not be treated as Approved or implemented until a future decision addresses them. The dark theme was independently designed, not inverted from light — see dark-theme.md § Design Strategy for the neutral-60/neutral-50 asymmetry this produced. Translucent opacity values remain entirely out of scope for this row",No
KBDL-THM-009,"New dark-mode status hues (#7CC4FF, #6FD19A, #E0A840, #FF8A80) were introduced here since the light-mode-only values from KBDL-003 fail contrast against a dark canvas; these dark hues, along with the light-mode Informational value revised to #164499 under KBDL-004-R1, are now Approved as part of the theme layer under KBDL-004-A1 (its correct role assignment — #164499 for Text/Icon/Border/Strong-surface, neutral-10 for On-strong-surface content — was clarified under KBDL-004-R2). Any translucent caption-band variant remains outside this row's approved scope","New dark-mode status hues (#7CC4FF, #6FD19A, #E0A840, #FF8A80) were introduced here since the light-mode-only values from KBDL-003 fail contrast against a dark canvas; these dark hues, along with the light-mode Informational value revised to #164499 under KBDL-004-R1, are now Approved as part of the theme layer under KBDL-004-A1 (its correct role assignment — #164499 for Text/Icon/Border/Strong-surface, neutral-10 for On-strong-surface content — was clarified under KBDL-004-R2). Any translucent caption-band variant remains outside this row's approved scope",No
KBDL-THM-010,"New dark-mode status hues (#7CC4FF, #6FD19A, #E0A840, #FF8A80) were introduced here since the light-mode-only values from KBDL-003 fail contrast against a dark canvas; these dark hues, along with the light-mode Informational value revised to #164499 under KBDL-004-R1, are now Approved as part of the theme layer under KBDL-004-A1 (its correct role assignment — #164499 for Text/Icon/Border/Strong-surface, neutral-10 for On-strong-surface content — was clarified under KBDL-004-R2). Any translucent caption-band variant remains outside this row's approved scope","New dark-mode status hues (#7CC4FF, #6FD19A, #E0A840, #FF8A80) were introduced here since the light-mode-only values from KBDL-003 fail contrast against a dark canvas; these dark hues, along with the light-mode Informational value revised to #164499 under KBDL-004-R1, are now Approved as part of the theme layer under KBDL-004-A1 (its correct role assignment — #164499 for Text/Icon/Border/Strong-surface, neutral-10 for On-strong-surface content — was clarified under KBDL-004-R2). Any translucent caption-band variant remains outside this row's approved scope",No
KBDL-THM-011,"New dark-mode status hues (#7CC4FF, #6FD19A, #E0A840, #FF8A80) were introduced here since the light-mode-only values from KBDL-003 fail contrast against a dark canvas; these dark hues, along with the light-mode Informational value revised to #164499 under KBDL-004-R1, are now Approved as part of the theme layer under KBDL-004-A1 (its correct role assignment — #164499 for Text/Icon/Border/Strong-surface, neutral-10 for On-strong-surface content — was clarified under KBDL-004-R2). Any translucent caption-band variant remains outside this row's approved scope","New dark-mode status hues (#7CC4FF, #6FD19A, #E0A840, #FF8A80) were introduced here since the light-mode-only values from KBDL-003 fail contrast against a dark canvas; these dark hues, along with the light-mode Informational value revised to #164499 under KBDL-004-R1, are now Approved as part of the theme layer under KBDL-004-A1 (its correct role assignment — #164499 for Text/Icon/Border/Strong-surface, neutral-10 for On-strong-surface content — was clarified under KBDL-004-R2). Any translucent caption-band variant remains outside this row's approved scope",No
KBDL-THM-012,"Exact timing/easing depends entirely on KBDL-005, which is eligible for its own future prompt and has not been started by this approval","Exact timing/easing depends entirely on KBDL-005, which is eligible for its own future prompt and has not been started by this approval",No
KBDL-THM-012a,"Exact timing/easing depends entirely on KBDL-005, which is eligible for its own future prompt and has not been started by this approval","Exact timing/easing depends entirely on KBDL-005, which is eligible for its own future prompt and has not been started by this approval",No
KBDL-THM-013,Cannot be validated until an implementation exists,Cannot be validated until an implementation exists,No
KBDL-THM-014,Cannot be validated until a project theme exists,Cannot be validated until a project theme exists,No
KBDL-THM-015,Cannot be validated until an implementation exists,Cannot be validated until an implementation exists,No
KBDL-VAL-001,These methods validate repository evidence only; they do not execute an implementation,Runtime claims remain Class E,No
KBDL-VAL-002,These methods validate repository evidence only; they do not execute an implementation,None,No
KBDL-VAL-003,These methods validate repository evidence only; they do not execute an implementation,Historical GOV provenance format noted,No
KBDL-VAL-004,These methods validate repository evidence only; they do not execute an implementation,Implementation ledger remains unverified by design,No
KBDL-VAL-005,"Static agreement does not establish runtime, assistive-technology, device, security, or production conformance",Pending choices remain unavailable for implementation,No
KBDL-VAL-006,"Static agreement does not establish runtime, assistive-technology, device, security, or production conformance",implementation conformance remains Not verified,No
KBDL-VAL-007,"Static agreement does not establish runtime, assistive-technology, device, security, or production conformance",No external-site availability claim,No
KBDL-VAL-008,"Static agreement does not establish runtime, assistive-technology, device, security, or production conformance",static and runtime architecture require further evidence,No
KBDL-VAL-009,"009 excludes unknown alpha/media contexts; 010 and 011 verify ledger honesty, not implementation or project conformance; 012 records a pending gate",Translucency/media remain unverified,No
KBDL-VAL-010,"009 excludes unknown alpha/media contexts; 010 and 011 verify ledger honesty, not implementation or project conformance; 012 records a pending gate",listed behavior and ledger completeness remain Not verified,No
KBDL-VAL-011,"009 excludes unknown alpha/media contexts; 010 and 011 verify ledger honesty, not implementation or project conformance; 012 records a pending gate",No adopting project,No
KBDL-VAL-012,"009 excludes unknown alpha/media contexts; 010 and 011 verify ledger honesty, not implementation or project conformance; 012 records a pending gate",Candidate status is not approval,No
