Requirement ID,Independent source,Expected exact location,Effective location,Invalid anchors,Match
KBDL-MOT-007,motion/README.md authoritative block,motion/timing-easing.md#1-timing-architecture,motion/timing-easing.md#1-timing-architecture,None,True
KBDL-MOT-008,motion/README.md authoritative block,motion/timing-easing.md#2-duration-recommendations,motion/timing-easing.md#2-duration-recommendations,None,True
KBDL-MOT-009,motion/README.md authoritative block,motion/timing-easing.md#3-easing-architecture,motion/timing-easing.md#3-easing-architecture,None,True
KBDL-MOT-010,motion/README.md authoritative block,motion/foundations.md#6-spatial-movement,motion/foundations.md#6-spatial-movement,None,True
KBDL-MOT-011,motion/README.md authoritative block,motion/foundations.md#5-choreography-and-sequencing,motion/foundations.md#5-choreography-and-sequencing,None,True
KBDL-MOT-012,motion/README.md authoritative block,motion/foundations.md#7-entrance-and-exit-behavior,motion/foundations.md#7-entrance-and-exit-behavior,None,True
KBDL-MOT-013,motion/README.md authoritative block,motion/patterns.md#1-navigation-and-spatial-continuity,motion/patterns.md#1-navigation-and-spatial-continuity,None,True
KBDL-MOT-014,motion/README.md authoritative block,motion/patterns.md#2-loading-and-progress,motion/patterns.md#2-loading-and-progress,None,True
KBDL-MOT-015,motion/README.md authoritative block,motion/patterns.md#3-direct-manipulation-and-gesture-response,motion/patterns.md#3-direct-manipulation-and-gesture-response,None,True
KBDL-MOT-016,motion/README.md authoritative block,motion/patterns.md#4-attention-motion,motion/patterns.md#4-attention-motion,None,True
KBDL-MOT-017,motion/README.md authoritative block,motion/patterns.md#5-ambient-and-continuous-motion,motion/patterns.md#5-ambient-and-continuous-motion,None,True
KBDL-MOT-018,motion/README.md authoritative block,motion/patterns.md#6-scroll-linked-motion,motion/patterns.md#6-scroll-linked-motion,None,True
KBDL-MOT-019,motion/README.md authoritative block,motion/patterns.md#7-media-motion,motion/patterns.md#7-media-motion,None,True
KBDL-MOT-020,motion/README.md authoritative block,motion/patterns.md#8-theme-transition-motion,motion/patterns.md#8-theme-transition-motion,None,True
KBDL-MOT-021,motion/README.md authoritative block,motion/patterns.md#9-interruption-reversal-and-recovery,motion/patterns.md#9-interruption-reversal-and-recovery,None,True
KBDL-MOT-022,motion/README.md authoritative block,motion/accessibility-performance.md#1-reduced-motion-and-no-motion-parity,motion/accessibility-performance.md#1-reduced-motion-and-no-motion-parity,None,True
KBDL-MOT-023,motion/README.md authoritative block,motion/accessibility-performance.md#2-motion-safety,motion/accessibility-performance.md#2-motion-safety,None,True
KBDL-MOT-024,motion/README.md authoritative block,motion/accessibility-performance.md#3-performance-requirements,motion/accessibility-performance.md#3-performance-requirements,None,True
KBDL-MOT-025,motion/README.md authoritative block,motion/accessibility-performance.md#4-mobile-and-input-method-considerations,motion/accessibility-performance.md#4-mobile-and-input-method-considerations,None,True
KBDL-MOT-026,motion/README.md authoritative block,motion/patterns.md#10-profile-level-motion-interpretation,motion/patterns.md#10-profile-level-motion-interpretation,None,True
KBDL-MOT-027,motion/README.md authoritative block,motion/README.md#10-motion-decision-packet,motion/README.md#10-motion-decision-packet,None,True
KBDL-MOT-028,motion/README.md authoritative block,motion/foundations.md#7-entrance-and-exit-behavior,motion/foundations.md#7-entrance-and-exit-behavior,None,True
KBDL-MOT-029,motion/README.md authoritative block,motion/patterns.md#4-attention-motion,motion/patterns.md#4-attention-motion,None,True
KBDL-MOT-030,motion/README.md authoritative block,motion/patterns.md#5-ambient-and-continuous-motion,motion/patterns.md#5-ambient-and-continuous-motion,None,True
KBDL-MOT-031,motion/README.md authoritative block,motion/patterns.md#6-scroll-linked-motion,motion/patterns.md#6-scroll-linked-motion,None,True
KBDL-MOT-032,motion/README.md authoritative block,motion/accessibility-performance.md#14-per-category-parity-matrix,motion/accessibility-performance.md#14-per-category-parity-matrix,None,True
KBDL-MOT-033,motion/README.md authoritative block,motion/timing-easing.md#4-conceptual-motion-tokens,motion/timing-easing.md#4-conceptual-motion-tokens,None,True
KBDL-MOT-034,motion/README.md authoritative block,motion/patterns.md#10-profile-level-motion-interpretation,motion/patterns.md#10-profile-level-motion-interpretation,None,True
KBDL-PRN-001,principles.md authoritative block,principles.md#1-identity-statement,principles.md#1-identity-statement,None,True
KBDL-PRN-002,principles.md authoritative block,principles.md#4-relationship-between-luxury-and-utility,principles.md#4-relationship-between-luxury-and-utility,None,True
KBDL-PRN-003,principles.md authoritative block,principles.md#6-core-principles,principles.md#6-core-principles,None,True
KBDL-PRN-004,principles.md authoritative block,principles.md#7-visual-consistency,principles.md#7-visual-consistency,None,True
KBDL-PRN-005,principles.md authoritative block,principles.md#5-stable-and-variable-identity-elements,principles.md#5-stable-and-variable-identity-elements,None,True
KBDL-PRN-006,principles.md authoritative block,principles.md#8-design-decision-hierarchy,principles.md#8-design-decision-hierarchy,None,True
KBDL-PRN-007,principles.md authoritative block,principles.md#9-profile-level-interpretation,principles.md#9-profile-level-interpretation,None,True
KBDL-PRN-008,principles.md authoritative block,principles.md#10-conforming-design-directions; principles.md#11-non-conforming-design-directions,principles.md#10-conforming-design-directions; principles.md#11-non-conforming-design-directions,None,True
KBDL-PRO-001,profiles.md authoritative block,profiles.md#5-profile-architecture; profiles.md#9-cross-profile-invariants,profiles.md#5-profile-architecture; profiles.md#9-cross-profile-invariants,None,True
KBDL-PRO-002,profiles.md authoritative block,profiles.md#4-project-profile-terminology,profiles.md#4-project-profile-terminology,None,True
KBDL-PRO-003,profiles.md authoritative block,profiles.md#7-locked-controlled-and-open-profile-decisions,profiles.md#7-locked-controlled-and-open-profile-decisions,None,True
KBDL-PRO-004,profiles.md authoritative block,profiles.md#7-locked-controlled-and-open-profile-decisions,profiles.md#7-locked-controlled-and-open-profile-decisions,None,True
KBDL-PRO-005,profiles.md authoritative block,profiles.md#7-locked-controlled-and-open-profile-decisions,profiles.md#7-locked-controlled-and-open-profile-decisions,None,True
KBDL-PRO-006,profiles.md authoritative block,profiles.md#7-locked-controlled-and-open-profile-decisions; profiles.md#35-kbdl-006-approval-boundary-audit; profiles.md#37-kbdl-008-approval-boundary-audit,profiles.md#7-locked-controlled-and-open-profile-decisions; profiles.md#35-kbdl-006-approval-boundary-audit; profiles.md#37-kbdl-008-approval-boundary-audit,None,True
KBDL-PRO-007,profiles.md authoritative block,profiles.md#8-profile-selection-and-declaration,profiles.md#8-profile-selection-and-declaration,None,True
KBDL-PRO-008,profiles.md authoritative block,profiles.md#8-profile-selection-and-declaration,profiles.md#8-profile-selection-and-declaration,None,True
KBDL-PRO-009,profiles.md authoritative block,profiles.md#8-profile-selection-and-declaration; profiles.md#33-kbdl-009-decision-packet,profiles.md#8-profile-selection-and-declaration; profiles.md#33-kbdl-009-decision-packet,None,True
KBDL-PRO-010,profiles.md authoritative block,profiles.md#101-purpose,profiles.md#101-purpose,None,True
KBDL-PRO-011,profiles.md authoritative block,profiles.md#111-purpose,profiles.md#111-purpose,None,True
KBDL-PRO-012,profiles.md authoritative block,profiles.md#121-purpose,profiles.md#121-purpose,None,True
KBDL-PRO-013,profiles.md authoritative block,profiles.md#102-component-interpretation,profiles.md#102-component-interpretation,None,True
KBDL-PRO-014,profiles.md authoritative block,profiles.md#112-component-interpretation,profiles.md#112-component-interpretation,None,True
KBDL-PRO-015,profiles.md authoritative block,profiles.md#122-component-interpretation,profiles.md#122-component-interpretation,None,True
KBDL-PRO-016,profiles.md authoritative block,profiles.md#102-component-interpretation; profiles.md#34-approval-ready-versus-contingent-decisions,profiles.md#102-component-interpretation; profiles.md#34-approval-ready-versus-contingent-decisions,None,True
KBDL-PRO-017,profiles.md authoritative block,profiles.md#112-component-interpretation; profiles.md#33-kbdl-009-decision-packet,profiles.md#112-component-interpretation; profiles.md#33-kbdl-009-decision-packet,None,True
KBDL-PRO-018,profiles.md authoritative block,profiles.md#122-component-interpretation; profiles.md#34-approval-ready-versus-contingent-decisions,profiles.md#122-component-interpretation; profiles.md#34-approval-ready-versus-contingent-decisions,None,True
KBDL-PRO-019,profiles.md authoritative block,profiles.md#14-principles-mapping,profiles.md#14-principles-mapping,None,True
KBDL-PRO-020,profiles.md authoritative block,profiles.md#20-core-component-mapping,profiles.md#20-core-component-mapping,None,True
KBDL-PRO-021,profiles.md authoritative block,profiles.md#21-system-component-mapping,profiles.md#21-system-component-mapping,None,True
KBDL-PRO-022,profiles.md authoritative block,profiles.md#22-content-and-communication-considerations,profiles.md#22-content-and-communication-considerations,None,True
KBDL-PRO-023,profiles.md authoritative block,profiles.md#23-security-privacy-and-correctness,profiles.md#23-security-privacy-and-correctness,None,True
KBDL-PRO-024,profiles.md authoritative block,profiles.md#24-profile-conflicts-and-exception-handling,profiles.md#24-profile-conflicts-and-exception-handling,None,True
KBDL-PRO-025,profiles.md authoritative block,profiles.md#24-profile-conflicts-and-exception-handling,profiles.md#24-profile-conflicts-and-exception-handling,None,True
KBDL-PRO-026,profiles.md authoritative block,profiles.md#25-profile-adoption-and-change-management,profiles.md#25-profile-adoption-and-change-management,None,True
KBDL-PRO-027,profiles.md authoritative block,profiles.md#25-profile-adoption-and-change-management; profiles.md#33-kbdl-009-decision-packet,profiles.md#25-profile-adoption-and-change-management; profiles.md#33-kbdl-009-decision-packet,None,True
KBDL-PRO-028,profiles.md authoritative block,profiles.md#8-profile-selection-and-declaration; profiles.md#33-kbdl-009-decision-packet,profiles.md#8-profile-selection-and-declaration; profiles.md#33-kbdl-009-decision-packet,None,True
KBDL-PRO-029,profiles.md authoritative block,profiles.md#25-profile-adoption-and-change-management; profiles.md#33-kbdl-009-decision-packet,profiles.md#25-profile-adoption-and-change-management; profiles.md#33-kbdl-009-decision-packet,None,True
KBDL-RSP-001,responsive.md authoritative block,responsive.md#4-responsive-content-priority,responsive.md#4-responsive-content-priority,None,True
KBDL-RSP-002,responsive.md authoritative block,responsive.md#7-proposed-exact-breakpoint-thresholds,responsive.md#7-proposed-exact-breakpoint-thresholds,None,True
KBDL-RSP-003,responsive.md authoritative block,responsive.md#8-grid-and-column-behavior,responsive.md#8-grid-and-column-behavior,None,True
KBDL-RSP-004,responsive.md authoritative block,responsive.md#9-container-widths-and-reading-measures,responsive.md#9-container-widths-and-reading-measures,None,True
KBDL-RSP-005,responsive.md authoritative block,responsive.md#10-gutters-and-responsive-spacing,responsive.md#10-gutters-and-responsive-spacing,None,True
KBDL-RSP-006,responsive.md authoritative block,responsive.md#11-layout-reflow,responsive.md#11-layout-reflow,None,True
KBDL-RSP-007,responsive.md authoritative block,responsive.md#12-source-order-and-reading-order,responsive.md#12-source-order-and-reading-order,None,True
KBDL-RSP-008,responsive.md authoritative block,responsive.md#13-navigation-adaptation,responsive.md#13-navigation-adaptation,None,True
KBDL-RSP-009,responsive.md authoritative block,responsive.md#14-content-density-adaptation,responsive.md#14-content-density-adaptation,None,True
KBDL-RSP-010,responsive.md authoritative block,responsive.md#15-media-and-image-adaptation,responsive.md#15-media-and-image-adaptation,None,True
KBDL-RSP-011,responsive.md authoritative block,responsive.md#16-data-dense-and-tabular-content,responsive.md#16-data-dense-and-tabular-content,None,True
KBDL-RSP-012,responsive.md authoritative block,responsive.md#17-full-bleed-and-asymmetric-layouts,responsive.md#17-full-bleed-and-asymmetric-layouts,None,True
KBDL-RSP-013,responsive.md authoritative block,responsive.md#18-sticky-and-fixed-regions,responsive.md#18-sticky-and-fixed-regions,None,True
KBDL-RSP-014,responsive.md authoritative block,responsive.md#19-safe-areas-and-viewport-edges,responsive.md#19-safe-areas-and-viewport-edges,None,True
KBDL-RSP-015,responsive.md authoritative block,responsive.md#20-orientation-changes,responsive.md#20-orientation-changes,None,True
KBDL-RSP-016,responsive.md authoritative block,responsive.md#21-zoom-and-enlarged-text,responsive.md#21-zoom-and-enlarged-text,None,True
KBDL-RSP-017,responsive.md authoritative block,responsive.md#22-virtual-keyboard-behavior,responsive.md#22-virtual-keyboard-behavior,None,True
KBDL-RSP-018,responsive.md authoritative block,responsive.md#23-touch-pointer-keyboard-and-hybrid-input,responsive.md#23-touch-pointer-keyboard-and-hybrid-input,None,True
KBDL-RSP-019,responsive.md authoritative block,responsive.md#24-hover-independent-discoverability,responsive.md#24-hover-independent-discoverability,None,True
KBDL-RSP-020,responsive.md authoritative block,responsive.md#25-responsive-focus-management,responsive.md#25-responsive-focus-management,None,True
KBDL-RSP-021,responsive.md authoritative block,responsive.md#26-responsive-motion-behavior,responsive.md#26-responsive-motion-behavior,None,True
KBDL-RSP-022,responsive.md authoritative block,responsive.md#27-performance-and-low-capability-contexts,responsive.md#27-performance-and-low-capability-contexts,None,True
KBDL-THM-001,themes/README.md authoritative block,themes/semantic-roles.md#1-semantic-role-inventory,themes/semantic-roles.md#1-semantic-role-inventory,None,True
KBDL-THM-002,themes/README.md authoritative block,themes/semantic-roles.md#2-semantic-parity,themes/semantic-roles.md#2-semantic-parity,None,True
KBDL-THM-003,themes/README.md authoritative block,themes/README.md#5-theme-selection-precedence,themes/README.md#5-theme-selection-precedence,None,True
KBDL-THM-004,themes/README.md authoritative block,themes/README.md#7-persistence-guidance,themes/README.md#7-persistence-guidance,None,True
KBDL-THM-005,themes/README.md authoritative block,themes/adaptation.md#12-projects-must-not,themes/adaptation.md#12-projects-must-not,None,True
KBDL-THM-006,themes/README.md authoritative block,themes/README.md#8-project-profile-theme-interpretation,themes/README.md#8-project-profile-theme-interpretation,None,True
KBDL-THM-007,themes/README.md authoritative block,themes/light-theme.md#1-canvas-and-surfaces,themes/light-theme.md#1-canvas-and-surfaces,None,True
KBDL-THM-008,themes/README.md authoritative block,themes/dark-theme.md#1-elevation-strategy,themes/dark-theme.md#1-elevation-strategy,None,True
KBDL-THM-009,themes/README.md authoritative block,themes/adaptation.md#5-status-family-theme-behavior,themes/adaptation.md#5-status-family-theme-behavior,None,True
KBDL-THM-010,themes/README.md authoritative block,themes/adaptation.md#4-gradient-strategy,themes/adaptation.md#4-gradient-strategy,None,True
KBDL-THM-011,themes/README.md authoritative block,themes/adaptation.md#6-color-value-expression,themes/adaptation.md#6-color-value-expression,None,True
KBDL-THM-012,themes/README.md authoritative block,themes/adaptation.md#7-theme-transition-guidance,themes/adaptation.md#7-theme-transition-guidance,None,True
KBDL-THM-012a,themes/README.md authoritative block,themes/adaptation.md#71-requirements,themes/adaptation.md#71-requirements,None,True
KBDL-THM-013,themes/README.md authoritative block,themes/README.md#5-theme-selection-precedence,themes/README.md#5-theme-selection-precedence,None,True
KBDL-THM-014,themes/README.md authoritative block,themes/adaptation.md#1-project-controlled-adaptation,themes/adaptation.md#1-project-controlled-adaptation,None,True
KBDL-THM-015,themes/README.md authoritative block,themes/adaptation.md#2-local-contrast-contexts,themes/adaptation.md#2-local-contrast-contexts,None,True
KBDL-VAL-001,validation.md authoritative block,validation.md#4-evidence-classification,validation.md#4-evidence-classification,None,True
KBDL-VAL-002,validation.md authoritative block,validation.md#8-requirement-inventory,validation.md#8-requirement-inventory,None,True
KBDL-VAL-003,validation.md authoritative block,validation.md#9-lifecycle-status-audit; validation.md#12-approved-authority-audit,validation.md#9-lifecycle-status-audit; validation.md#12-approved-authority-audit,None,True
KBDL-VAL-004,validation.md authoritative block,validation.md#11-validation-status-audit,validation.md#11-validation-status-audit,None,True
KBDL-VAL-005,validation.md authoritative block,validation.md#13-decision-register-audit; validation.md#14-pending-and-deferred-inventory,validation.md#13-decision-register-audit; validation.md#14-pending-and-deferred-inventory,None,True
KBDL-VAL-006,validation.md authoritative block,validation.md#15-traceability-audit,validation.md#15-traceability-audit,None,True
KBDL-VAL-007,validation.md authoritative block,validation.md#16-cross-reference-and-documentation-integrity-audit,validation.md#16-cross-reference-and-documentation-integrity-audit,None,True
KBDL-VAL-008,validation.md authoritative block,validation.md#17-governance-and-conventions-audit; validation.md#28-security-privacy-correctness-and-data-integrity-audit,validation.md#17-governance-and-conventions-audit; validation.md#28-security-privacy-correctness-and-data-integrity-audit,None,True
KBDL-VAL-009,validation.md authoritative block,validation.md#20-theme-audit,validation.md#20-theme-audit,None,True
KBDL-VAL-010,validation.md authoritative block,validation.md#29-implementation-dependent-validation-ledger,validation.md#29-implementation-dependent-validation-ledger,None,True
KBDL-VAL-011,validation.md authoritative block,validation.md#30-project-specific-validation-ledger,validation.md#30-project-specific-validation-ledger,None,True
KBDL-VAL-012,validation.md authoritative block,validation.md#41-completion-and-approval-boundary,validation.md#41-completion-and-approval-boundary,None,True
