Requirement ID,Containing normative location,Explicit normative location,Readable-group supported locations,Exact expected locations,Ledger location,All anchors resolve,Exact comparison,Result
KBDL-CMP-082,components-system.md#118-drawer-and-sheet,components-system.md#118-drawer-and-sheet,components-system.md#118-drawer-and-sheet,components-system.md#118-drawer-and-sheet,components-system.md#118-drawer-and-sheet,True,True,PASS
KBDL-CMP-083,components-system.md#118-drawer-and-sheet,components-system.md#118-drawer-and-sheet,components-system.md#118-drawer-and-sheet; components-system.md#33-kbdl-008-decision-packet,components-system.md#118-drawer-and-sheet; components-system.md#33-kbdl-008-decision-packet,components-system.md#118-drawer-and-sheet; components-system.md#33-kbdl-008-decision-packet,True,True,PASS
KBDL-CMP-084,components-system.md#12-overlay-layering-and-nesting,components-system.md#12-overlay-layering-and-nesting,components-system.md#12-overlay-layering-and-nesting,components-system.md#12-overlay-layering-and-nesting,components-system.md#12-overlay-layering-and-nesting,True,True,PASS
KBDL-CMP-085,components-system.md#12-overlay-layering-and-nesting,components-system.md#12-overlay-layering-and-nesting,components-system.md#12-overlay-layering-and-nesting; components-system.md#33-kbdl-008-decision-packet,components-system.md#12-overlay-layering-and-nesting; components-system.md#33-kbdl-008-decision-packet,components-system.md#12-overlay-layering-and-nesting; components-system.md#33-kbdl-008-decision-packet,True,True,PASS
KBDL-CMP-086,components-system.md#13-feedback-architecture,components-system.md#13-feedback-architecture,components-system.md#13-feedback-architecture,components-system.md#13-feedback-architecture,components-system.md#13-feedback-architecture,True,True,PASS
KBDL-CMP-087,components-system.md#141-inline-feedback,components-system.md#141-inline-feedback,components-system.md#141-inline-feedback,components-system.md#141-inline-feedback,components-system.md#141-inline-feedback,True,True,PASS
KBDL-CMP-088,components-system.md#142-alert,components-system.md#142-alert,components-system.md#142-alert,components-system.md#142-alert,components-system.md#142-alert,True,True,PASS
KBDL-CMP-089,components-system.md#143-banner,components-system.md#143-banner,components-system.md#143-banner; components-system.md#33-kbdl-008-decision-packet,components-system.md#143-banner; components-system.md#33-kbdl-008-decision-packet,components-system.md#143-banner; components-system.md#33-kbdl-008-decision-packet,True,True,PASS
KBDL-CMP-090,components-system.md#144-toast-or-snackbar,components-system.md#144-toast-or-snackbar,components-system.md#144-toast-or-snackbar,components-system.md#144-toast-or-snackbar,components-system.md#144-toast-or-snackbar,True,True,PASS
KBDL-CMP-091,components-system.md#144-toast-or-snackbar,components-system.md#144-toast-or-snackbar,components-system.md#144-toast-or-snackbar; components-system.md#33-kbdl-008-decision-packet,components-system.md#144-toast-or-snackbar; components-system.md#33-kbdl-008-decision-packet,components-system.md#144-toast-or-snackbar; components-system.md#33-kbdl-008-decision-packet,True,True,PASS
KBDL-CMP-092,components-system.md#145-status-region-and-log,components-system.md#145-status-region-and-log,components-system.md#145-status-region-and-log,components-system.md#145-status-region-and-log,components-system.md#145-status-region-and-log,True,True,PASS
KBDL-CMP-093,components-system.md#146-badge-or-count-indicator,components-system.md#146-badge-or-count-indicator,components-system.md#146-badge-or-count-indicator,components-system.md#146-badge-or-count-indicator,components-system.md#146-badge-or-count-indicator,True,True,PASS
KBDL-CMP-094,components-system.md#147-progress-indicator,components-system.md#147-progress-indicator,components-system.md#147-progress-indicator,components-system.md#147-progress-indicator,components-system.md#147-progress-indicator,True,True,PASS
KBDL-CMP-095,components-system.md#148-meter,components-system.md#148-meter,components-system.md#148-meter,components-system.md#148-meter,components-system.md#148-meter,True,True,PASS
KBDL-CMP-096,components-system.md#149-skeleton,components-system.md#149-skeleton,components-system.md#149-skeleton,components-system.md#149-skeleton,components-system.md#149-skeleton,True,True,PASS
KBDL-CMP-097,components-system.md#15-system-state-architecture,components-system.md#15-system-state-architecture,components-system.md#15-system-state-architecture,components-system.md#15-system-state-architecture,components-system.md#15-system-state-architecture,True,True,PASS
KBDL-CMP-098,components-system.md#161-loading-state,components-system.md#161-loading-state,components-system.md#161-loading-state,components-system.md#161-loading-state,components-system.md#161-loading-state,True,True,PASS
KBDL-CMP-099,components-system.md#162-empty-state,components-system.md#162-empty-state,components-system.md#162-empty-state; components-system.md#33-kbdl-008-decision-packet,components-system.md#162-empty-state; components-system.md#33-kbdl-008-decision-packet,components-system.md#162-empty-state; components-system.md#33-kbdl-008-decision-packet,True,True,PASS
KBDL-CMP-100,components-system.md#163-no-results-state,components-system.md#163-no-results-state,components-system.md#163-no-results-state,components-system.md#163-no-results-state,components-system.md#163-no-results-state,True,True,PASS
KBDL-CMP-101,components-system.md#164-error-state,components-system.md#164-error-state,components-system.md#164-error-state,components-system.md#164-error-state,components-system.md#164-error-state,True,True,PASS
KBDL-CMP-102,components-system.md#164-error-state,components-system.md#164-error-state,components-system.md#164-error-state; components-system.md#168-maintenance-unavailable-and-degraded-state; components-system.md#33-kbdl-008-decision-packet,components-system.md#164-error-state; components-system.md#168-maintenance-unavailable-and-degraded-state; components-system.md#33-kbdl-008-decision-packet,components-system.md#164-error-state; components-system.md#168-maintenance-unavailable-and-degraded-state; components-system.md#33-kbdl-008-decision-packet,True,True,PASS
KBDL-CMP-103,components-system.md#165-offline-and-reconnecting-state,components-system.md#165-offline-and-reconnecting-state,components-system.md#165-offline-and-reconnecting-state,components-system.md#165-offline-and-reconnecting-state,components-system.md#165-offline-and-reconnecting-state,True,True,PASS
KBDL-CMP-104,components-system.md#166-permission-denied-and-restricted-state,components-system.md#166-permission-denied-and-restricted-state,components-system.md#166-permission-denied-and-restricted-state,components-system.md#166-permission-denied-and-restricted-state,components-system.md#166-permission-denied-and-restricted-state,True,True,PASS
KBDL-CMP-105,components-system.md#181-interactive-grid,components-system.md#181-interactive-grid,components-system.md#181-interactive-grid; components-system.md#33-kbdl-008-decision-packet,components-system.md#181-interactive-grid; components-system.md#33-kbdl-008-decision-packet,components-system.md#181-interactive-grid; components-system.md#33-kbdl-008-decision-packet,True,True,PASS
KBDL-CMP-106,components-system.md#182-tree-and-treegrid,components-system.md#182-tree-and-treegrid,components-system.md#182-tree-and-treegrid; components-system.md#33-kbdl-008-decision-packet,components-system.md#182-tree-and-treegrid; components-system.md#33-kbdl-008-decision-packet,components-system.md#182-tree-and-treegrid; components-system.md#33-kbdl-008-decision-packet,True,True,PASS
KBDL-CMP-107,components-system.md#183-carousel,components-system.md#183-carousel,components-system.md#183-carousel,components-system.md#183-carousel,components-system.md#183-carousel,True,True,PASS
KBDL-CMP-108,components-system.md#183-carousel,components-system.md#183-carousel,components-system.md#183-carousel; components-system.md#33-kbdl-008-decision-packet,components-system.md#183-carousel; components-system.md#33-kbdl-008-decision-packet,components-system.md#183-carousel; components-system.md#33-kbdl-008-decision-packet,True,True,PASS
KBDL-CMP-109,components-system.md#184-data-visualization,components-system.md#184-data-visualization,components-system.md#184-data-visualization,components-system.md#184-data-visualization,components-system.md#184-data-visualization,True,True,PASS
KBDL-CMP-110,components-system.md#184-data-visualization,components-system.md#184-data-visualization,components-system.md#184-data-visualization; components-system.md#33-kbdl-008-decision-packet,components-system.md#184-data-visualization; components-system.md#33-kbdl-008-decision-packet,components-system.md#184-data-visualization; components-system.md#33-kbdl-008-decision-packet,True,True,PASS
KBDL-CMP-111,components-system.md#19-responsive-transformation-policy,components-system.md#19-responsive-transformation-policy,components-system.md#19-responsive-transformation-policy; components-system.md#33-kbdl-008-decision-packet,components-system.md#19-responsive-transformation-policy; components-system.md#33-kbdl-008-decision-packet,components-system.md#19-responsive-transformation-policy; components-system.md#33-kbdl-008-decision-packet,True,True,PASS
KBDL-CUS-001,customization.md#30-normative-kbdl-cus-requirements,customization.md#1-purpose-and-scope,customization.md#1-purpose-and-scope,customization.md#1-purpose-and-scope,customization.md#1-purpose-and-scope,True,True,PASS
KBDL-CUS-002,customization.md#30-normative-kbdl-cus-requirements,customization.md#5-customization-authority-model,customization.md#5-customization-authority-model,customization.md#5-customization-authority-model,customization.md#5-customization-authority-model,True,True,PASS
KBDL-CUS-003,customization.md#30-normative-kbdl-cus-requirements,customization.md#6-locked-controlled-open-proposed-and-exception-classifications,customization.md#6-locked-controlled-open-proposed-and-exception-classifications,customization.md#6-locked-controlled-open-proposed-and-exception-classifications,customization.md#6-locked-controlled-open-proposed-and-exception-classifications,True,True,PASS
KBDL-CUS-004,customization.md#30-normative-kbdl-cus-requirements,customization.md#12-approval-and-escalation-paths,customization.md#12-approval-and-escalation-paths,customization.md#12-approval-and-escalation-paths,customization.md#12-approval-and-escalation-paths,True,True,PASS
KBDL-CUS-005,customization.md#30-normative-kbdl-cus-requirements,customization.md#24-content-and-open-brand-expression,customization.md#24-content-and-open-brand-expression,customization.md#24-content-and-open-brand-expression,customization.md#24-content-and-open-brand-expression,True,True,PASS
KBDL-CUS-006,customization.md#30-normative-kbdl-cus-requirements,customization.md#26-reusable-versus-project-local-customization,customization.md#26-reusable-versus-project-local-customization,customization.md#26-reusable-versus-project-local-customization,customization.md#26-reusable-versus-project-local-customization,True,True,PASS
KBDL-CUS-007,customization.md#30-normative-kbdl-cus-requirements,customization.md#27-conflict-handling-and-exceptions,customization.md#27-conflict-handling-and-exceptions,customization.md#27-conflict-handling-and-exceptions,customization.md#27-conflict-handling-and-exceptions,True,True,PASS
KBDL-CUS-008,customization.md#30-normative-kbdl-cus-requirements,customization.md#7-manual-customization-workflow,customization.md#7-manual-customization-workflow,customization.md#7-manual-customization-workflow,customization.md#7-manual-customization-workflow,True,True,PASS
KBDL-CUS-009,customization.md#30-normative-kbdl-cus-requirements,customization.md#8-customization-request-intake,customization.md#8-customization-request-intake,customization.md#8-customization-request-intake,customization.md#8-customization-request-intake,True,True,PASS
KBDL-CUS-010,customization.md#30-normative-kbdl-cus-requirements,customization.md#11-customization-record,customization.md#11-customization-record,customization.md#11-customization-record,customization.md#11-customization-record,True,True,PASS
KBDL-CUS-011,customization.md#30-normative-kbdl-cus-requirements,customization.md#10-impact-assessment,customization.md#10-impact-assessment; customization.md#14-validation-and-evidence-planning,customization.md#10-impact-assessment; customization.md#14-validation-and-evidence-planning,customization.md#10-impact-assessment; customization.md#14-validation-and-evidence-planning,True,True,PASS
KBDL-CUS-012,customization.md#30-normative-kbdl-cus-requirements,customization.md#15-review-expiry-change-and-rollback,customization.md#15-review-expiry-change-and-rollback,customization.md#15-review-expiry-change-and-rollback,customization.md#15-review-expiry-change-and-rollback,True,True,PASS
KBDL-CUS-013,customization.md#30-normative-kbdl-cus-requirements,customization.md#16-foundations-customization,customization.md#16-foundations-customization,customization.md#16-foundations-customization,customization.md#16-foundations-customization,True,True,PASS
KBDL-CUS-014,customization.md#30-normative-kbdl-cus-requirements,customization.md#17-theme-customization,customization.md#17-theme-customization,customization.md#17-theme-customization,customization.md#17-theme-customization,True,True,PASS
KBDL-CUS-015,customization.md#30-normative-kbdl-cus-requirements,customization.md#18-motion-customization,customization.md#18-motion-customization,customization.md#18-motion-customization,customization.md#18-motion-customization,True,True,PASS
KBDL-CUS-016,customization.md#30-normative-kbdl-cus-requirements,customization.md#19-responsive-customization,customization.md#19-responsive-customization,customization.md#19-responsive-customization,customization.md#19-responsive-customization,True,True,PASS
KBDL-CUS-017,customization.md#30-normative-kbdl-cus-requirements,customization.md#20-accessibility-customization-boundary,customization.md#20-accessibility-customization-boundary,customization.md#20-accessibility-customization-boundary,customization.md#20-accessibility-customization-boundary,True,True,PASS
KBDL-CUS-018,customization.md#30-normative-kbdl-cus-requirements,customization.md#21-core-component-customization,customization.md#21-core-component-customization,customization.md#21-core-component-customization,customization.md#21-core-component-customization,True,True,PASS
KBDL-CUS-019,customization.md#30-normative-kbdl-cus-requirements,customization.md#22-system-component-customization,customization.md#22-system-component-customization,customization.md#22-system-component-customization,customization.md#22-system-component-customization,True,True,PASS
KBDL-CUS-020,customization.md#30-normative-kbdl-cus-requirements,customization.md#23-project-profile-customization,customization.md#23-project-profile-customization,customization.md#23-project-profile-customization,customization.md#23-project-profile-customization,True,True,PASS
KBDL-CUS-021,customization.md#30-normative-kbdl-cus-requirements,customization.md#25-security-privacy-correctness-and-data-integrity,customization.md#25-security-privacy-correctness-and-data-integrity,customization.md#25-security-privacy-correctness-and-data-integrity,customization.md#25-security-privacy-correctness-and-data-integrity,True,True,PASS
KBDL-CUS-022,customization.md#30-normative-kbdl-cus-requirements,customization.md#13-implementation-handoff-boundary,customization.md#13-implementation-handoff-boundary,customization.md#13-implementation-handoff-boundary,customization.md#13-implementation-handoff-boundary,True,True,PASS
KBDL-CUS-023,customization.md#30-normative-kbdl-cus-requirements,customization.md#11-customization-record,customization.md#11-customization-record,customization.md#11-customization-record,customization.md#11-customization-record,True,True,PASS
KBDL-CUS-024,customization.md#30-normative-kbdl-cus-requirements,customization.md#12-approval-and-escalation-paths,customization.md#12-approval-and-escalation-paths,customization.md#12-approval-and-escalation-paths,customization.md#12-approval-and-escalation-paths,True,True,PASS
KBDL-CUS-025,customization.md#30-normative-kbdl-cus-requirements,customization.md#14-validation-and-evidence-planning,customization.md#14-validation-and-evidence-planning,customization.md#14-validation-and-evidence-planning,customization.md#14-validation-and-evidence-planning,True,True,PASS
KBDL-CUS-026,customization.md#30-normative-kbdl-cus-requirements,customization.md#15-review-expiry-change-and-rollback,customization.md#15-review-expiry-change-and-rollback,customization.md#15-review-expiry-change-and-rollback,customization.md#15-review-expiry-change-and-rollback,True,True,PASS
KBDL-CUS-027,customization.md#30-normative-kbdl-cus-requirements,customization.md#15-review-expiry-change-and-rollback,customization.md#15-review-expiry-change-and-rollback,customization.md#15-review-expiry-change-and-rollback,customization.md#15-review-expiry-change-and-rollback,True,True,PASS
KBDL-CUS-028,customization.md#30-normative-kbdl-cus-requirements,customization.md#26-reusable-versus-project-local-customization,customization.md#26-reusable-versus-project-local-customization,customization.md#26-reusable-versus-project-local-customization,customization.md#26-reusable-versus-project-local-customization,True,True,PASS
KBDL-CUS-029,customization.md#30-normative-kbdl-cus-requirements,customization.md#15-review-expiry-change-and-rollback,customization.md#15-review-expiry-change-and-rollback; customization.md#24-content-and-open-brand-expression,customization.md#15-review-expiry-change-and-rollback; customization.md#24-content-and-open-brand-expression,customization.md#15-review-expiry-change-and-rollback; customization.md#24-content-and-open-brand-expression,True,True,PASS
KBDL-CUS-030,customization.md#30-normative-kbdl-cus-requirements,customization.md#41-deferred-and-unresolved-items,customization.md#41-deferred-and-unresolved-items,customization.md#41-deferred-and-unresolved-items,customization.md#41-deferred-and-unresolved-items,True,True,PASS
KBDL-FND-001,foundations/README.md#7-normative-requirements,foundations/color.md#1-architectural-principles-approved,foundations/color.md#1-architectural-principles-approved,foundations/color.md#1-architectural-principles-approved,foundations/color.md#1-architectural-principles-approved,True,True,PASS
KBDL-FND-002,foundations/README.md#7-normative-requirements,foundations/color.md#24-status-roles,foundations/color.md#24-status-roles; foundations/iconography-media.md#11-required-principles-approved,foundations/color.md#24-status-roles; foundations/iconography-media.md#11-required-principles-approved,foundations/color.md#24-status-roles; foundations/iconography-media.md#11-required-principles-approved,True,True,PASS
KBDL-FND-003,foundations/README.md#7-normative-requirements,foundations/spacing-layout.md#1-spacing-and-sizing-logic,foundations/spacing-layout.md#1-spacing-and-sizing-logic,foundations/spacing-layout.md#1-spacing-and-sizing-logic,foundations/spacing-layout.md#1-spacing-and-sizing-logic,True,True,PASS
KBDL-FND-004,foundations/README.md#7-normative-requirements,foundations/spacing-layout.md#3-content-driven-breakpoint-philosophy-approved-principle-recommended-values,foundations/spacing-layout.md#3-content-driven-breakpoint-philosophy-approved-principle-recommended-values,foundations/spacing-layout.md#3-content-driven-breakpoint-philosophy-approved-principle-recommended-values,foundations/spacing-layout.md#3-content-driven-breakpoint-philosophy-approved-principle-recommended-values,True,True,PASS
KBDL-FND-005,foundations/README.md#7-normative-requirements,foundations/shape-depth.md#3-elevation-and-depth,foundations/shape-depth.md#3-elevation-and-depth,foundations/shape-depth.md#3-elevation-and-depth,foundations/shape-depth.md#3-elevation-and-depth,True,True,PASS
KBDL-FND-006,foundations/README.md#7-normative-requirements,foundations/iconography-media.md#1-iconography,foundations/iconography-media.md#1-iconography,foundations/iconography-media.md#1-iconography,foundations/iconography-media.md#1-iconography,True,True,PASS
KBDL-FND-007,foundations/README.md#7-normative-requirements,foundations/iconography-media.md#2-imagery-and-media,foundations/iconography-media.md#2-imagery-and-media,foundations/iconography-media.md#2-imagery-and-media,foundations/iconography-media.md#2-imagery-and-media,True,True,PASS
KBDL-FND-008,foundations/README.md#7-normative-requirements,foundations/README.md#4-project-profile-adjustments--foundation-summary,foundations/README.md#4-project-profile-adjustments--foundation-summary,foundations/README.md#4-project-profile-adjustments--foundation-summary,foundations/README.md#4-project-profile-adjustments--foundation-summary,True,True,PASS
KBDL-FND-009,foundations/README.md#7-normative-requirements,foundations/color.md#3-default-foundation,foundations/color.md#3-default-foundation,foundations/color.md#3-default-foundation,foundations/color.md#3-default-foundation,True,True,PASS
KBDL-FND-010,foundations/README.md#7-normative-requirements,foundations/typography.md#3-type-scale-and-text-roles,foundations/typography.md#3-type-scale-and-text-roles,foundations/typography.md#3-type-scale-and-text-roles,foundations/typography.md#3-type-scale-and-text-roles,True,True,PASS
KBDL-FND-011,foundations/README.md#7-normative-requirements,foundations/spacing-layout.md#13-default-modular-spacing-system,foundations/spacing-layout.md#13-default-modular-spacing-system,foundations/spacing-layout.md#13-default-modular-spacing-system,foundations/spacing-layout.md#13-default-modular-spacing-system,True,True,PASS
KBDL-FND-012,foundations/README.md#7-normative-requirements,foundations/shape-depth.md#13-default-corner-system,foundations/shape-depth.md#13-default-corner-system,foundations/shape-depth.md#13-default-corner-system,foundations/shape-depth.md#13-default-corner-system,True,True,PASS
KBDL-GOV-001,governance.md#kbdl-governance-and-change-control,ABSENT,governance.md#kbdl-gov-001--specification-architecture-is-established,governance.md#kbdl-gov-001--specification-architecture-is-established,governance.md#kbdl-gov-001--specification-architecture-is-established,True,True,PASS
KBDL-GOV-002,governance.md#kbdl-gov-001--specification-architecture-is-established,ABSENT,governance.md#kbdl-gov-002--accessibility-requirements-are-protected,governance.md#kbdl-gov-002--accessibility-requirements-are-protected,governance.md#kbdl-gov-002--accessibility-requirements-are-protected,True,True,PASS
KBDL-GOV-003,governance.md#kbdl-gov-002--accessibility-requirements-are-protected,ABSENT,governance.md#kbdl-gov-003--documentation-governance-process,governance.md#kbdl-gov-003--documentation-governance-process,governance.md#kbdl-gov-003--documentation-governance-process,True,True,PASS
KBDL-MOT-001,motion/README.md#9-normative-requirements,motion/foundations.md#1-motion-purposes,motion/foundations.md#1-motion-purposes,motion/foundations.md#1-motion-purposes,motion/foundations.md#1-motion-purposes,True,True,PASS
KBDL-MOT-002,motion/README.md#9-normative-requirements,motion/README.md#2-motion-terminology,motion/README.md#2-motion-terminology,motion/README.md#2-motion-terminology,motion/README.md#2-motion-terminology,True,True,PASS
KBDL-MOT-003,motion/README.md#9-normative-requirements,motion/README.md#33-relationship-and-conflict-resolution,motion/README.md#33-relationship-and-conflict-resolution,motion/README.md#33-relationship-and-conflict-resolution,motion/README.md#33-relationship-and-conflict-resolution,True,True,PASS
KBDL-MOT-004,motion/README.md#9-normative-requirements,motion/foundations.md#2-motion-categories,motion/foundations.md#2-motion-categories,motion/foundations.md#2-motion-categories,motion/foundations.md#2-motion-categories,True,True,PASS
KBDL-MOT-005,motion/README.md#9-normative-requirements,motion/foundations.md#3-motion-hierarchy,motion/foundations.md#3-motion-hierarchy,motion/foundations.md#3-motion-hierarchy,motion/foundations.md#3-motion-hierarchy,True,True,PASS
KBDL-MOT-006,motion/README.md#9-normative-requirements,motion/foundations.md#4-motion-intensity,motion/foundations.md#4-motion-intensity,motion/foundations.md#4-motion-intensity,motion/foundations.md#4-motion-intensity,True,True,PASS
KBDL-MOT-007,motion/README.md#9-normative-requirements,motion/timing-easing.md#1-timing-architecture,motion/timing-easing.md#1-timing-architecture,motion/timing-easing.md#1-timing-architecture,motion/timing-easing.md#1-timing-architecture,True,True,PASS
KBDL-MOT-008,motion/README.md#9-normative-requirements,motion/timing-easing.md#2-duration-recommendations,motion/timing-easing.md#2-duration-recommendations,motion/timing-easing.md#2-duration-recommendations,motion/timing-easing.md#2-duration-recommendations,True,True,PASS
KBDL-MOT-009,motion/README.md#9-normative-requirements,motion/timing-easing.md#3-easing-architecture,motion/timing-easing.md#3-easing-architecture,motion/timing-easing.md#3-easing-architecture,motion/timing-easing.md#3-easing-architecture,True,True,PASS
KBDL-MOT-010,motion/README.md#9-normative-requirements,motion/foundations.md#6-spatial-movement,motion/foundations.md#6-spatial-movement,motion/foundations.md#6-spatial-movement,motion/foundations.md#6-spatial-movement,True,True,PASS
KBDL-MOT-011,motion/README.md#9-normative-requirements,motion/foundations.md#5-choreography-and-sequencing,motion/foundations.md#5-choreography-and-sequencing,motion/foundations.md#5-choreography-and-sequencing,motion/foundations.md#5-choreography-and-sequencing,True,True,PASS
KBDL-MOT-012,motion/README.md#9-normative-requirements,motion/foundations.md#7-entrance-and-exit-behavior,motion/foundations.md#7-entrance-and-exit-behavior,motion/foundations.md#7-entrance-and-exit-behavior,motion/foundations.md#7-entrance-and-exit-behavior,True,True,PASS
KBDL-MOT-013,motion/README.md#9-normative-requirements,motion/patterns.md#1-navigation-and-spatial-continuity,motion/patterns.md#1-navigation-and-spatial-continuity,motion/patterns.md#1-navigation-and-spatial-continuity,motion/patterns.md#1-navigation-and-spatial-continuity,True,True,PASS
KBDL-MOT-014,motion/README.md#9-normative-requirements,motion/patterns.md#2-loading-and-progress,motion/patterns.md#2-loading-and-progress,motion/patterns.md#2-loading-and-progress,motion/patterns.md#2-loading-and-progress,True,True,PASS
KBDL-MOT-015,motion/README.md#9-normative-requirements,motion/patterns.md#3-direct-manipulation-and-gesture-response,motion/patterns.md#3-direct-manipulation-and-gesture-response,motion/patterns.md#3-direct-manipulation-and-gesture-response,motion/patterns.md#3-direct-manipulation-and-gesture-response,True,True,PASS
KBDL-MOT-016,motion/README.md#9-normative-requirements,motion/patterns.md#4-attention-motion,motion/patterns.md#4-attention-motion,motion/patterns.md#4-attention-motion,motion/patterns.md#4-attention-motion,True,True,PASS
KBDL-MOT-017,motion/README.md#9-normative-requirements,motion/patterns.md#5-ambient-and-continuous-motion,motion/patterns.md#5-ambient-and-continuous-motion,motion/patterns.md#5-ambient-and-continuous-motion,motion/patterns.md#5-ambient-and-continuous-motion,True,True,PASS
KBDL-MOT-018,motion/README.md#9-normative-requirements,motion/patterns.md#6-scroll-linked-motion,motion/patterns.md#6-scroll-linked-motion,motion/patterns.md#6-scroll-linked-motion,motion/patterns.md#6-scroll-linked-motion,True,True,PASS
KBDL-MOT-019,motion/README.md#9-normative-requirements,motion/patterns.md#7-media-motion,motion/patterns.md#7-media-motion,motion/patterns.md#7-media-motion,motion/patterns.md#7-media-motion,True,True,PASS
KBDL-MOT-020,motion/README.md#9-normative-requirements,motion/patterns.md#8-theme-transition-motion,motion/patterns.md#8-theme-transition-motion,motion/patterns.md#8-theme-transition-motion,motion/patterns.md#8-theme-transition-motion,True,True,PASS
KBDL-MOT-021,motion/README.md#9-normative-requirements,motion/patterns.md#9-interruption-reversal-and-recovery,motion/patterns.md#9-interruption-reversal-and-recovery,motion/patterns.md#9-interruption-reversal-and-recovery,motion/patterns.md#9-interruption-reversal-and-recovery,True,True,PASS
KBDL-MOT-022,motion/README.md#9-normative-requirements,motion/accessibility-performance.md#1-reduced-motion-and-no-motion-parity,motion/accessibility-performance.md#1-reduced-motion-and-no-motion-parity,motion/accessibility-performance.md#1-reduced-motion-and-no-motion-parity,motion/accessibility-performance.md#1-reduced-motion-and-no-motion-parity,True,True,PASS
KBDL-MOT-023,motion/README.md#9-normative-requirements,motion/accessibility-performance.md#2-motion-safety,motion/accessibility-performance.md#2-motion-safety,motion/accessibility-performance.md#2-motion-safety,motion/accessibility-performance.md#2-motion-safety,True,True,PASS
KBDL-MOT-024,motion/README.md#9-normative-requirements,motion/accessibility-performance.md#3-performance-requirements,motion/accessibility-performance.md#3-performance-requirements,motion/accessibility-performance.md#3-performance-requirements,motion/accessibility-performance.md#3-performance-requirements,True,True,PASS
KBDL-MOT-025,motion/README.md#9-normative-requirements,motion/accessibility-performance.md#4-mobile-and-input-method-considerations,motion/accessibility-performance.md#4-mobile-and-input-method-considerations,motion/accessibility-performance.md#4-mobile-and-input-method-considerations,motion/accessibility-performance.md#4-mobile-and-input-method-considerations,True,True,PASS
KBDL-MOT-026,motion/README.md#9-normative-requirements,motion/patterns.md#10-profile-level-motion-interpretation,motion/patterns.md#10-profile-level-motion-interpretation,motion/patterns.md#10-profile-level-motion-interpretation,motion/patterns.md#10-profile-level-motion-interpretation,True,True,PASS
KBDL-MOT-027,motion/README.md#9-normative-requirements,motion/README.md#10-motion-decision-packet,motion/README.md#10-motion-decision-packet,motion/README.md#10-motion-decision-packet,motion/README.md#10-motion-decision-packet,True,True,PASS
KBDL-MOT-028,motion/README.md#9-normative-requirements,motion/foundations.md#7-entrance-and-exit-behavior,motion/foundations.md#7-entrance-and-exit-behavior,motion/foundations.md#7-entrance-and-exit-behavior,motion/foundations.md#7-entrance-and-exit-behavior,True,True,PASS
KBDL-MOT-029,motion/README.md#9-normative-requirements,motion/patterns.md#4-attention-motion,motion/patterns.md#4-attention-motion,motion/patterns.md#4-attention-motion,motion/patterns.md#4-attention-motion,True,True,PASS
KBDL-MOT-030,motion/README.md#9-normative-requirements,motion/patterns.md#5-ambient-and-continuous-motion,motion/patterns.md#5-ambient-and-continuous-motion,motion/patterns.md#5-ambient-and-continuous-motion,motion/patterns.md#5-ambient-and-continuous-motion,True,True,PASS
KBDL-MOT-031,motion/README.md#9-normative-requirements,motion/patterns.md#6-scroll-linked-motion,motion/patterns.md#6-scroll-linked-motion,motion/patterns.md#6-scroll-linked-motion,motion/patterns.md#6-scroll-linked-motion,True,True,PASS
KBDL-MOT-032,motion/README.md#9-normative-requirements,motion/accessibility-performance.md#14-per-category-parity-matrix,motion/accessibility-performance.md#14-per-category-parity-matrix,motion/accessibility-performance.md#14-per-category-parity-matrix,motion/accessibility-performance.md#14-per-category-parity-matrix,True,True,PASS
KBDL-MOT-033,motion/README.md#9-normative-requirements,motion/timing-easing.md#4-conceptual-motion-tokens,motion/timing-easing.md#4-conceptual-motion-tokens,motion/timing-easing.md#4-conceptual-motion-tokens,motion/timing-easing.md#4-conceptual-motion-tokens,True,True,PASS
KBDL-MOT-034,motion/README.md#9-normative-requirements,motion/patterns.md#10-profile-level-motion-interpretation,motion/patterns.md#10-profile-level-motion-interpretation,motion/patterns.md#10-profile-level-motion-interpretation,motion/patterns.md#10-profile-level-motion-interpretation,True,True,PASS
KBDL-PRN-001,principles.md#12-normative-requirements,ABSENT,principles.md#1-identity-statement,principles.md#1-identity-statement,principles.md#1-identity-statement,True,True,PASS
KBDL-PRN-002,principles.md#12-normative-requirements,ABSENT,principles.md#4-relationship-between-luxury-and-utility,principles.md#4-relationship-between-luxury-and-utility,principles.md#4-relationship-between-luxury-and-utility,True,True,PASS
KBDL-PRN-003,principles.md#12-normative-requirements,ABSENT,principles.md#6-core-principles,principles.md#6-core-principles,principles.md#6-core-principles,True,True,PASS
KBDL-PRN-004,principles.md#12-normative-requirements,ABSENT,principles.md#7-visual-consistency,principles.md#7-visual-consistency,principles.md#7-visual-consistency,True,True,PASS
KBDL-PRN-005,principles.md#12-normative-requirements,ABSENT,principles.md#5-stable-and-variable-identity-elements,principles.md#5-stable-and-variable-identity-elements,principles.md#5-stable-and-variable-identity-elements,True,True,PASS
KBDL-PRN-006,principles.md#12-normative-requirements,ABSENT,principles.md#8-design-decision-hierarchy,principles.md#8-design-decision-hierarchy,principles.md#8-design-decision-hierarchy,True,True,PASS
KBDL-PRN-007,principles.md#12-normative-requirements,ABSENT,principles.md#9-profile-level-interpretation,principles.md#9-profile-level-interpretation,principles.md#9-profile-level-interpretation,True,True,PASS
