Requirement ID,Derived Not-verified/excluded scope,Known limitation,Semantic relationship terms,Result
KBDL-MOT-021,not verified not verified,"No implementation exists to measure actual frame rate, input latency, or cross-input-method behavior",No; implement,PASS
KBDL-MOT-022,not verified not verified,"No implementation exists to measure actual frame rate, input latency, or cross-input-method behavior",No; implement,PASS
KBDL-MOT-023,not verified not verified,"No implementation exists to measure actual frame rate, input latency, or cross-input-method behavior",No; implement,PASS
KBDL-MOT-024,not verified not verified,"No implementation exists to measure actual frame rate, input latency, or cross-input-method behavior",No; implement,PASS
KBDL-MOT-025,not verified not verified,"No implementation exists to measure actual frame rate, input latency, or cross-input-method behavior",No; implement,PASS
KBDL-MOT-026,not verified not verified,"No implementation exists to measure actual frame rate, input latency, or cross-input-method behavior",No; implement,PASS
KBDL-MOT-027,none not applicable,"No implementation exists to measure actual frame rate, input latency, or cross-input-method behavior",No; implement,PASS
KBDL-MOT-028,none not applicable,"Approval is a lifecycle decision, not implementation validation; these values must not be treated as Verified until an implementation exists and is measured",Approval; not; implement; validat; not; implement,PASS
KBDL-MOT-029,none not applicable,"Approval is a lifecycle decision, not implementation validation; these values must not be treated as Verified until an implementation exists and is measured",Approval; not; implement; validat; not; implement,PASS
KBDL-MOT-030,not verified not verified,"Approval is a lifecycle decision, not implementation validation; these values must not be treated as Verified until an implementation exists and is measured",Approval; not; implement; validat; not; implement,PASS
KBDL-MOT-031,not verified not verified,"Approval is a lifecycle decision, not implementation validation; these values must not be treated as Verified until an implementation exists and is measured",Approval; not; implement; validat; not; implement,PASS
KBDL-MOT-032,none not applicable,"Approval is a lifecycle decision, not implementation validation; these values must not be treated as Verified until an implementation exists and is measured",Approval; not; implement; validat; not; implement,PASS
KBDL-MOT-033,none not applicable,"Approval is a lifecycle decision, not implementation validation; these values must not be treated as Verified until an implementation exists and is measured",Approval; not; implement; validat; not; implement,PASS
KBDL-MOT-034,not verified not verified,"Approval is a lifecycle decision, not implementation validation; these values must not be treated as Verified until an implementation exists and is measured",Approval; not; implement; validat; not; implement,PASS
KBDL-PRN-001,not verified not verified,"Cannot be checked against real foundation, theme, or component content until those modules exist",Cannot,PASS
KBDL-PRN-002,not verified not verified,No real design decisions exist yet to test the priority order against,No,PASS
KBDL-PRN-003,not verified not verified,Complete evidence across every later module is unavailable,evidence; unavailable,PASS
KBDL-PRN-004,not verified not verified,"Cannot be fully validated until FND, THM, and RSP requirements exist",Cannot; validat; require,PASS
KBDL-PRN-005,not verified not verified,Controlled-variable ranges are intentionally undefined pending later modules,pending,PASS
KBDL-PRN-006,not verified not verified,Later-module conflict-resolution behavior has not been executed.,not,PASS
KBDL-PRN-007,not verified not verified,Cannot be fully validated until PRO requirements exist,Cannot; validat; require,PASS
KBDL-PRN-008,not verified not verified,Examples are conceptual; no mockups or token values exist to check them against yet,no,PASS
KBDL-PRO-001,not verified not verified,Implementation-level profile behavior is not verified; no coded project profile exists yet to test against,Implement; not verified; no,PASS
KBDL-PRO-002,not verified not verified,Implementation-level profile behavior is not verified; no coded project profile exists yet to test against,Implement; not verified; no,PASS
KBDL-PRO-003,not verified not verified,Implementation-level profile behavior is not verified; no coded project profile exists yet to test against,Implement; not verified; no,PASS
KBDL-PRO-004,not verified not verified,Implementation-level profile behavior is not verified; no coded project profile exists yet to test against,Implement; not verified; no,PASS
KBDL-PRO-005,not verified not verified,"Not applicable — restates an existing scope/governance rule, not independently testable against an implementation",Not; not; implement,PASS
KBDL-PRO-006,none not applicable,"Not applicable — scope-control requirement, not independently testable against an implementation",Not; require; not; implement,PASS
KBDL-PRO-007,none not applicable,No project profile declaration exists yet to review against this requirement's field list,No; require,PASS
KBDL-PRO-008,none not applicable,"No project profile declaration exists yet to review against this requirement. Whether a project must select exactly one primary profile, may select a secondary profile, or may use a hybrid model is new governance policy:",No; require,PASS
KBDL-PRO-009,none not applicable,Recommended — grants no implementation authority pending project-owner review; see the decision packet,Recommended; no; implement; pending,PASS
KBDL-PRO-010,not verified not verified,Implementation-level profile behavior is not verified; no coded project profile exists yet to test against. ### 10.2 Component Interpretation,Implement; not verified; no,PASS
KBDL-PRO-011,not verified not verified,Implementation-level profile behavior is not verified; no coded project profile exists yet to test against. ### 11.2 Component Interpretation,Implement; not verified; no,PASS
KBDL-PRO-012,not verified not verified,Implementation-level profile behavior is not verified; no coded project profile exists yet to test against. ### 12.2 Component Interpretation,Implement; not verified; no,PASS
KBDL-PRO-013,not verified not verified,Implementation-level profile behavior is not verified; no coded project profile exists yet to test against. Any exact Showcase card-variant or composition default remains new policy:,Implement; not verified; no; remain,PASS
KBDL-PRO-014,not verified not verified,Implementation-level profile behavior is not verified; no coded project profile exists yet to test against. Any exact Precision density or component-variant default remains new policy:,Implement; not verified; no; remain,PASS
KBDL-PRO-015,not verified not verified,Implementation-level profile behavior is not verified; no coded project profile exists yet to test against. Any exact Flow action-hierarchy or workflow-component default remains new policy:,Implement; not verified; no; remain,PASS
KBDL-PRO-016,none not applicable,Contingent on the unapproved KBDL-008 KBDL-CMP-067; cannot be approved independently through the KBDL-009 packet until KBDL-CMP-067 is approved or replaced,unapproved; cannot,PASS
KBDL-PRO-017,none not applicable,Recommended — grants no implementation authority pending project-owner review; see the decision packet,Recommended; no; implement; pending,PASS
KBDL-PRO-018,none not applicable,Contingent on the unapproved KBDL-007 KBDL-CMP-015/036; cannot be approved independently through the KBDL-009 packet until those are approved or replaced,unapproved; cannot,PASS
KBDL-PRO-019,not verified not verified,Implementation-level profile behavior is not verified; no coded project profile exists yet to test against,Implement; not verified; no,PASS
KBDL-PRO-020,not verified not verified,Implementation-level profile behavior is not verified; no coded project profile exists yet to test against,Implement; not verified; no,PASS
KBDL-PRO-021,not verified not verified,Implementation-level profile behavior is not verified; no coded project profile exists yet to test against,Implement; not verified; no,PASS
KBDL-PRO-022,not verified not verified,Implementation-level profile behavior is not verified; no coded project profile exists yet to test against,Implement; not verified; no,PASS
KBDL-PRO-023,not verified not verified,Implementation-level profile behavior is not verified; no coded project profile exists yet to test against,Implement; not verified; no,PASS
KBDL-PRO-024,not verified not verified,Implementation-level profile behavior is not verified; no coded project profile exists yet to test against,Implement; not verified; no,PASS
KBDL-PRO-025,none not applicable,"Not applicable — scope-control requirement, not independently testable against an implementation",Not; require; not; implement,PASS
KBDL-PRO-026,none not applicable,"No project profile adoption record exists yet to review against this requirement's field list. Whether a profile may change after adoption, whether a project may have multiple profile scopes, and how migration is governed are new decisions:",No; require,PASS
KBDL-PRO-027,none not applicable,Recommended — grants no implementation authority pending project-owner review; see the decision packet,Recommended; no; implement; pending,PASS
KBDL-PRO-028,none not applicable,Recommended — grants no implementation authority pending project-owner review; see the decision packet,Recommended; no; implement; pending,PASS
KBDL-PRO-029,none not applicable,Recommended — grants no implementation authority pending project-owner review; see the decision packet. Manual customization of a project's KBDL implementation is governed by [customization.md](customization.md); this profile document does not itself authorize a project customization,Recommended; no; implement; pending; implement; not,PASS
KBDL-RSP-001,not verified not verified,Implementation-dependent; cannot be tested until a real layout exists,Implement; cannot,PASS
KBDL-RSP-002,none not applicable,These are recommendations awaiting project-owner approval; must not be treated as Approved or implemented until that approval is recorded,approval; not; implement; approval,PASS
KBDL-RSP-003,none not applicable,These are recommendations awaiting project-owner approval; must not be treated as Approved or implemented until that approval is recorded,approval; not; implement; approval,PASS
KBDL-RSP-004,none not applicable,These are recommendations awaiting project-owner approval; must not be treated as Approved or implemented until that approval is recorded,approval; not; implement; approval,PASS
KBDL-RSP-005,none not applicable,These are recommendations awaiting project-owner approval; must not be treated as Approved or implemented until that approval is recorded,approval; not; implement; approval,PASS
KBDL-RSP-006,not verified not verified,Implementation-dependent; cannot be tested until a real layout exists,Implement; cannot,PASS
KBDL-RSP-007,not verified not verified,Implementation-dependent; cannot be tested until a real layout exists,Implement; cannot,PASS
KBDL-RSP-008,not verified not verified,Exact collapse thresholds and per-project column-priority rules remain qualitative pending implementation-level review,remain; pending; implement,PASS
KBDL-RSP-009,not verified not verified,Exact collapse thresholds and per-project column-priority rules remain qualitative pending implementation-level review,remain; pending; implement,PASS
KBDL-RSP-010,not verified not verified,Exact collapse thresholds and per-project column-priority rules remain qualitative pending implementation-level review,remain; pending; implement,PASS
KBDL-RSP-011,not verified not verified,Exact collapse thresholds and per-project column-priority rules remain qualitative pending implementation-level review,remain; pending; implement,PASS
KBDL-RSP-012,not verified not verified,Exact collapse thresholds and per-project column-priority rules remain qualitative pending implementation-level review,remain; pending; implement,PASS
KBDL-RSP-013,not verified not verified,Implementation- and device-dependent,Implement,PASS
KBDL-RSP-014,not verified not verified,Implementation- and device-dependent,Implement,PASS
KBDL-RSP-015,not verified not verified,Implementation-dependent; cannot be tested until a real layout exists,Implement; cannot,PASS
KBDL-RSP-016,not verified not verified,Implementation-dependent; cannot be tested until a real layout exists,Implement; cannot,PASS
KBDL-RSP-017,not verified not verified,Implementation- and device-dependent,Implement,PASS
KBDL-RSP-018,not verified not verified,Implementation- and device-dependent,Implement,PASS
KBDL-RSP-019,not verified not verified,Implementation- and device-dependent,Implement,PASS
KBDL-RSP-020,not verified not verified,Implementation-dependent; cannot be tested until a real layout exists,Implement; cannot,PASS
KBDL-RSP-021,not verified not verified,Performance claims cannot be Verified without a real implementation to measure,cannot; implement,PASS
KBDL-RSP-022,not verified not verified,Performance claims cannot be Verified without a real implementation to measure,cannot; implement,PASS
KBDL-THM-001,not verified not verified,Cannot be fully validated until component modules (CMP) exist,Cannot; validat,PASS
KBDL-THM-002,none verified,None identified,None,PASS
KBDL-THM-003,not verified not verified,Cannot be validated until an implementation exists,Cannot; validat; implement,PASS
KBDL-THM-004,not verified — approval authorizes this baseline; it does not itself constitute implementation validation not verified,Cannot be validated until an implementation exists,Cannot; validat; implement,PASS
KBDL-THM-005,not verified not verified,Cannot be fully validated until PRO requirements exist,Cannot; validat; require,PASS
KBDL-THM-006,not verified not verified,Cannot be fully validated until PRO requirements exist,Cannot; validat; require,PASS
KBDL-THM-007,verified for the opaque contrast pairs listed in light-theme.md and validation.md; not verified for the excluded opacity values or for suitability beyond the tested pairs mixed — verified / not verified,"Approval covers the opaque mappings only; opacity values must not be treated as Approved or implemented until a future decision addresses them. The dark theme was independently designed, not inverted from light — see dark-theme.md § Design Strategy for the neutral-60/neutral-50 asymmetry this produced. Translucent opacity values remain entirely out of scope for this row",Approval; not; implement; future; not; remain; out of scope,PASS
KBDL-THM-008,verified for the opaque contrast pairs listed in dark-theme.md and validation.md; not verified for the excluded opacity values or for suitability beyond the tested pairs mixed — verified / not verified,"Approval covers the opaque mappings only; opacity values must not be treated as Approved or implemented until a future decision addresses them. The dark theme was independently designed, not inverted from light — see dark-theme.md § Design Strategy for the neutral-60/neutral-50 asymmetry this produced. Translucent opacity values remain entirely out of scope for this row",Approval; not; implement; future; not; remain; out of scope,PASS
KBDL-THM-009,verified for the contrast pairs listed (see validation.md); not verified for suitability beyond the tested pairs mixed — verified / not verified,"New dark-mode status hues (#7CC4FF, #6FD19A, #E0A840, #FF8A80) were introduced here since the light-mode-only values from KBDL-003 fail contrast against a dark canvas; these dark hues, along with the light-mode Informational value revised to #164499 under KBDL-004-R1, are now Approved as part of the theme layer under KBDL-004-A1 (its correct role assignment — #164499 for Text/Icon/Border/Strong-surface, neutral-10 for On-strong-surface content — was clarified under KBDL-004-R2). Any translucent caption-band variant remains outside this row's approved scope",remain,PASS
KBDL-THM-010,verified for the opaque caption-band pair and both gradient endpoints (see validation.md); not verified for any translucent variant mixed — verified / not verified,"New dark-mode status hues (#7CC4FF, #6FD19A, #E0A840, #FF8A80) were introduced here since the light-mode-only values from KBDL-003 fail contrast against a dark canvas; these dark hues, along with the light-mode Informational value revised to #164499 under KBDL-004-R1, are now Approved as part of the theme layer under KBDL-004-A1 (its correct role assignment — #164499 for Text/Icon/Border/Strong-surface, neutral-10 for On-strong-surface content — was clarified under KBDL-004-R2). Any translucent caption-band variant remains outside this row's approved scope",remain,PASS
KBDL-THM-011,none not applicable,"New dark-mode status hues (#7CC4FF, #6FD19A, #E0A840, #FF8A80) were introduced here since the light-mode-only values from KBDL-003 fail contrast against a dark canvas; these dark hues, along with the light-mode Informational value revised to #164499 under KBDL-004-R1, are now Approved as part of the theme layer under KBDL-004-A1 (its correct role assignment — #164499 for Text/Icon/Border/Strong-surface, neutral-10 for On-strong-surface content — was clarified under KBDL-004-R2). Any translucent caption-band variant remains outside this row's approved scope",remain,PASS
KBDL-THM-012,not verified not verified,"Exact timing/easing depends entirely on KBDL-005, which is eligible for its own future prompt and has not been started by this approval",future; not; approval,PASS
KBDL-THM-012a,not verified not verified,"Exact timing/easing depends entirely on KBDL-005, which is eligible for its own future prompt and has not been started by this approval",future; not; approval,PASS
KBDL-THM-013,not verified not verified,Cannot be validated until an implementation exists,Cannot; validat; implement,PASS
KBDL-THM-014,not verified not verified,Cannot be validated until a project theme exists,Cannot; validat,PASS
KBDL-THM-015,not verified not verified,Cannot be validated until an implementation exists,Cannot; validat; implement,PASS
KBDL-VAL-001,none verified,Runtime claims remain Class E,Runtime; remain,PASS
KBDL-VAL-002,none verified,None,None,PASS
KBDL-VAL-003,none verified,Historical approval commands remain unrecovered,approval; remain,PASS
KBDL-VAL-004,complete r12 gate remains not verified not verified,No unsupported clause is retained as Verified; the aggregate gate remains Not verified,No; remain; Not verified,PASS
KBDL-VAL-005,none verified,Pending choices remain unavailable for implementation,Pending; remain; unavailable; implement,PASS
KBDL-VAL-006,none verified,Implementation remains unverified,Implement; remain; unverified,PASS
KBDL-VAL-007,none within the stated repository method verified,No external-site availability or runtime claim,No; runtime,PASS
KBDL-VAL-008,not verified not verified,static and runtime architecture require further evidence,runtime; require; evidence,PASS
KBDL-VAL-009,none verified,Translucency/media remain unverified,remain; unverified,PASS
KBDL-VAL-010,not verified not verified,listed behavior and ledger completeness remain Not verified,remain; Not verified,PASS
KBDL-VAL-011,not verified not verified,No adopting project,No,PASS
KBDL-VAL-012,none verified,Candidate status is not approval,not; approval,PASS
