Requirement ID,Expected exact location,Expected source,Effective location,Group location role,Invalid anchors,Match
KBDL-CUS-016,customization.md#19-responsive-customization,customization.md authoritative block or committed historical registry,customization.md#19-responsive-customization,non-overriding summary,None,True
KBDL-CUS-017,customization.md#20-accessibility-customization-boundary,customization.md authoritative block or committed historical registry,customization.md#20-accessibility-customization-boundary,non-overriding summary,None,True
KBDL-CUS-018,customization.md#21-core-component-customization,customization.md authoritative block or committed historical registry,customization.md#21-core-component-customization,non-overriding summary,None,True
KBDL-CUS-019,customization.md#22-system-component-customization,customization.md authoritative block or committed historical registry,customization.md#22-system-component-customization,non-overriding summary,None,True
KBDL-CUS-020,customization.md#23-project-profile-customization,customization.md authoritative block or committed historical registry,customization.md#23-project-profile-customization,non-overriding summary,None,True
KBDL-CUS-021,customization.md#25-security-privacy-correctness-and-data-integrity,customization.md authoritative block or committed historical registry,customization.md#25-security-privacy-correctness-and-data-integrity,non-overriding summary,None,True
KBDL-CUS-022,customization.md#13-implementation-handoff-boundary,customization.md authoritative block or committed historical registry,customization.md#13-implementation-handoff-boundary,non-overriding summary,None,True
KBDL-CUS-023,customization.md#11-customization-record,customization.md authoritative block or committed historical registry,customization.md#11-customization-record,non-overriding summary,None,True
KBDL-CUS-024,customization.md#12-approval-and-escalation-paths,customization.md authoritative block or committed historical registry,customization.md#12-approval-and-escalation-paths,non-overriding summary,None,True
KBDL-CUS-025,customization.md#14-validation-and-evidence-planning,customization.md authoritative block or committed historical registry,customization.md#14-validation-and-evidence-planning,non-overriding summary,None,True
KBDL-CUS-026,customization.md#15-review-expiry-change-and-rollback,customization.md authoritative block or committed historical registry,customization.md#15-review-expiry-change-and-rollback,non-overriding summary,None,True
KBDL-CUS-027,customization.md#15-review-expiry-change-and-rollback,customization.md authoritative block or committed historical registry,customization.md#15-review-expiry-change-and-rollback,non-overriding summary,None,True
KBDL-CUS-028,customization.md#26-reusable-versus-project-local-customization,customization.md authoritative block or committed historical registry,customization.md#26-reusable-versus-project-local-customization,non-overriding summary,None,True
KBDL-CUS-029,customization.md#15-review-expiry-change-and-rollback; customization.md#24-content-and-open-brand-expression,customization.md authoritative block or committed historical registry,customization.md#15-review-expiry-change-and-rollback; customization.md#24-content-and-open-brand-expression,non-overriding summary,None,True
KBDL-CUS-030,customization.md#41-deferred-and-unresolved-items,customization.md authoritative block or committed historical registry,customization.md#41-deferred-and-unresolved-items,non-overriding summary,None,True
KBDL-FND-001,foundations/color.md#1-architectural-principles-approved,foundations/README.md authoritative block or committed historical registry,foundations/color.md#1-architectural-principles-approved,non-overriding summary,None,True
KBDL-FND-002,foundations/color.md#24-status-roles; foundations/iconography-media.md#11-required-principles-approved,foundations/README.md authoritative block or committed historical registry,foundations/color.md#24-status-roles; foundations/iconography-media.md#11-required-principles-approved,non-overriding summary,None,True
KBDL-FND-003,foundations/spacing-layout.md#1-spacing-and-sizing-logic,foundations/README.md authoritative block or committed historical registry,foundations/spacing-layout.md#1-spacing-and-sizing-logic,non-overriding summary,None,True
KBDL-FND-004,foundations/spacing-layout.md#3-content-driven-breakpoint-philosophy-approved-principle-recommended-values,foundations/README.md authoritative block or committed historical registry,foundations/spacing-layout.md#3-content-driven-breakpoint-philosophy-approved-principle-recommended-values,non-overriding summary,None,True
KBDL-FND-005,foundations/shape-depth.md#3-elevation-and-depth,foundations/README.md authoritative block or committed historical registry,foundations/shape-depth.md#3-elevation-and-depth,non-overriding summary,None,True
KBDL-FND-006,foundations/iconography-media.md#1-iconography,foundations/README.md authoritative block or committed historical registry,foundations/iconography-media.md#1-iconography,non-overriding summary,None,True
KBDL-FND-007,foundations/iconography-media.md#2-imagery-and-media,foundations/README.md authoritative block or committed historical registry,foundations/iconography-media.md#2-imagery-and-media,non-overriding summary,None,True
KBDL-FND-008,foundations/README.md#4-project-profile-adjustments--foundation-summary,foundations/README.md authoritative block or committed historical registry,foundations/README.md#4-project-profile-adjustments--foundation-summary,non-overriding summary,None,True
KBDL-FND-009,foundations/color.md#3-default-foundation,foundations/README.md authoritative block or committed historical registry,foundations/color.md#3-default-foundation,non-overriding summary,None,True
KBDL-FND-010,foundations/typography.md#3-type-scale-and-text-roles,foundations/README.md authoritative block or committed historical registry,foundations/typography.md#3-type-scale-and-text-roles,non-overriding summary,None,True
KBDL-FND-011,foundations/spacing-layout.md#13-default-modular-spacing-system,foundations/README.md authoritative block or committed historical registry,foundations/spacing-layout.md#13-default-modular-spacing-system,non-overriding summary,None,True
KBDL-FND-012,foundations/shape-depth.md#13-default-corner-system,foundations/README.md authoritative block or committed historical registry,foundations/shape-depth.md#13-default-corner-system,non-overriding summary,None,True
KBDL-GOV-001,governance.md#kbdl-gov-001--specification-architecture-is-established,governance.md authoritative block or committed historical registry,governance.md#kbdl-gov-001--specification-architecture-is-established,non-overriding summary,None,True
KBDL-GOV-002,governance.md#kbdl-gov-002--accessibility-requirements-are-protected,governance.md authoritative block or committed historical registry,governance.md#kbdl-gov-002--accessibility-requirements-are-protected,non-overriding summary,None,True
KBDL-GOV-003,governance.md#kbdl-gov-003--documentation-governance-process,governance.md authoritative block or committed historical registry,governance.md#kbdl-gov-003--documentation-governance-process,non-overriding summary,None,True
KBDL-MOT-001,motion/foundations.md#1-motion-purposes,motion/README.md authoritative block or committed historical registry,motion/foundations.md#1-motion-purposes,non-overriding summary,None,True
KBDL-MOT-002,motion/README.md#2-motion-terminology,motion/README.md authoritative block or committed historical registry,motion/README.md#2-motion-terminology,non-overriding summary,None,True
KBDL-MOT-003,motion/README.md#33-relationship-and-conflict-resolution,motion/README.md authoritative block or committed historical registry,motion/README.md#33-relationship-and-conflict-resolution,non-overriding summary,None,True
KBDL-MOT-004,motion/foundations.md#2-motion-categories,motion/README.md authoritative block or committed historical registry,motion/foundations.md#2-motion-categories,non-overriding summary,None,True
KBDL-MOT-005,motion/foundations.md#3-motion-hierarchy,motion/README.md authoritative block or committed historical registry,motion/foundations.md#3-motion-hierarchy,non-overriding summary,None,True
KBDL-MOT-006,motion/foundations.md#4-motion-intensity,motion/README.md authoritative block or committed historical registry,motion/foundations.md#4-motion-intensity,non-overriding summary,None,True
KBDL-MOT-007,motion/timing-easing.md#1-timing-architecture,motion/README.md authoritative block or committed historical registry,motion/timing-easing.md#1-timing-architecture,non-overriding summary,None,True
KBDL-MOT-008,motion/timing-easing.md#2-duration-recommendations,motion/README.md authoritative block or committed historical registry,motion/timing-easing.md#2-duration-recommendations,non-overriding summary,None,True
KBDL-MOT-009,motion/timing-easing.md#3-easing-architecture,motion/README.md authoritative block or committed historical registry,motion/timing-easing.md#3-easing-architecture,non-overriding summary,None,True
KBDL-MOT-010,motion/foundations.md#6-spatial-movement,motion/README.md authoritative block or committed historical registry,motion/foundations.md#6-spatial-movement,non-overriding summary,None,True
KBDL-MOT-011,motion/foundations.md#5-choreography-and-sequencing,motion/README.md authoritative block or committed historical registry,motion/foundations.md#5-choreography-and-sequencing,non-overriding summary,None,True
KBDL-MOT-012,motion/foundations.md#7-entrance-and-exit-behavior,motion/README.md authoritative block or committed historical registry,motion/foundations.md#7-entrance-and-exit-behavior,non-overriding summary,None,True
KBDL-MOT-013,motion/patterns.md#1-navigation-and-spatial-continuity,motion/README.md authoritative block or committed historical registry,motion/patterns.md#1-navigation-and-spatial-continuity,non-overriding summary,None,True
KBDL-MOT-014,motion/patterns.md#2-loading-and-progress,motion/README.md authoritative block or committed historical registry,motion/patterns.md#2-loading-and-progress,non-overriding summary,None,True
KBDL-MOT-015,motion/patterns.md#3-direct-manipulation-and-gesture-response,motion/README.md authoritative block or committed historical registry,motion/patterns.md#3-direct-manipulation-and-gesture-response,non-overriding summary,None,True
KBDL-MOT-016,motion/patterns.md#4-attention-motion,motion/README.md authoritative block or committed historical registry,motion/patterns.md#4-attention-motion,non-overriding summary,None,True
KBDL-MOT-017,motion/patterns.md#5-ambient-and-continuous-motion,motion/README.md authoritative block or committed historical registry,motion/patterns.md#5-ambient-and-continuous-motion,non-overriding summary,None,True
KBDL-MOT-018,motion/patterns.md#6-scroll-linked-motion,motion/README.md authoritative block or committed historical registry,motion/patterns.md#6-scroll-linked-motion,non-overriding summary,None,True
KBDL-MOT-019,motion/patterns.md#7-media-motion,motion/README.md authoritative block or committed historical registry,motion/patterns.md#7-media-motion,non-overriding summary,None,True
KBDL-MOT-020,motion/patterns.md#8-theme-transition-motion,motion/README.md authoritative block or committed historical registry,motion/patterns.md#8-theme-transition-motion,non-overriding summary,None,True
KBDL-MOT-021,motion/patterns.md#9-interruption-reversal-and-recovery,motion/README.md authoritative block or committed historical registry,motion/patterns.md#9-interruption-reversal-and-recovery,non-overriding summary,None,True
KBDL-MOT-022,motion/accessibility-performance.md#1-reduced-motion-and-no-motion-parity,motion/README.md authoritative block or committed historical registry,motion/accessibility-performance.md#1-reduced-motion-and-no-motion-parity,non-overriding summary,None,True
KBDL-MOT-023,motion/accessibility-performance.md#2-motion-safety,motion/README.md authoritative block or committed historical registry,motion/accessibility-performance.md#2-motion-safety,non-overriding summary,None,True
KBDL-MOT-024,motion/accessibility-performance.md#3-performance-requirements,motion/README.md authoritative block or committed historical registry,motion/accessibility-performance.md#3-performance-requirements,non-overriding summary,None,True
KBDL-MOT-025,motion/accessibility-performance.md#4-mobile-and-input-method-considerations,motion/README.md authoritative block or committed historical registry,motion/accessibility-performance.md#4-mobile-and-input-method-considerations,non-overriding summary,None,True
KBDL-MOT-026,motion/patterns.md#10-profile-level-motion-interpretation,motion/README.md authoritative block or committed historical registry,motion/patterns.md#10-profile-level-motion-interpretation,non-overriding summary,None,True
KBDL-MOT-027,motion/README.md#10-motion-decision-packet,motion/README.md authoritative block or committed historical registry,motion/README.md#10-motion-decision-packet,non-overriding summary,None,True
KBDL-MOT-028,motion/foundations.md#7-entrance-and-exit-behavior,motion/README.md authoritative block or committed historical registry,motion/foundations.md#7-entrance-and-exit-behavior,non-overriding summary,None,True
KBDL-MOT-029,motion/patterns.md#4-attention-motion,motion/README.md authoritative block or committed historical registry,motion/patterns.md#4-attention-motion,non-overriding summary,None,True
KBDL-MOT-030,motion/patterns.md#5-ambient-and-continuous-motion,motion/README.md authoritative block or committed historical registry,motion/patterns.md#5-ambient-and-continuous-motion,non-overriding summary,None,True
KBDL-MOT-031,motion/patterns.md#6-scroll-linked-motion,motion/README.md authoritative block or committed historical registry,motion/patterns.md#6-scroll-linked-motion,non-overriding summary,None,True
KBDL-MOT-032,motion/accessibility-performance.md#14-per-category-parity-matrix,motion/README.md authoritative block or committed historical registry,motion/accessibility-performance.md#14-per-category-parity-matrix,non-overriding summary,None,True
KBDL-MOT-033,motion/timing-easing.md#4-conceptual-motion-tokens,motion/README.md authoritative block or committed historical registry,motion/timing-easing.md#4-conceptual-motion-tokens,non-overriding summary,None,True
KBDL-MOT-034,motion/patterns.md#10-profile-level-motion-interpretation,motion/README.md authoritative block or committed historical registry,motion/patterns.md#10-profile-level-motion-interpretation,non-overriding summary,None,True
KBDL-PRN-001,principles.md#1-identity-statement,principles.md authoritative block or committed historical registry,principles.md#1-identity-statement,non-overriding summary,None,True
KBDL-PRN-002,principles.md#4-relationship-between-luxury-and-utility,principles.md authoritative block or committed historical registry,principles.md#4-relationship-between-luxury-and-utility,non-overriding summary,None,True
KBDL-PRN-003,principles.md#6-core-principles,principles.md authoritative block or committed historical registry,principles.md#6-core-principles,non-overriding summary,None,True
KBDL-PRN-004,principles.md#7-visual-consistency,principles.md authoritative block or committed historical registry,principles.md#7-visual-consistency,non-overriding summary,None,True
KBDL-PRN-005,principles.md#5-stable-and-variable-identity-elements,principles.md authoritative block or committed historical registry,principles.md#5-stable-and-variable-identity-elements,non-overriding summary,None,True
KBDL-PRN-006,principles.md#8-design-decision-hierarchy,principles.md authoritative block or committed historical registry,principles.md#8-design-decision-hierarchy,non-overriding summary,None,True
KBDL-PRN-007,principles.md#9-profile-level-interpretation,principles.md authoritative block or committed historical registry,principles.md#9-profile-level-interpretation,non-overriding summary,None,True
KBDL-PRN-008,principles.md#10-conforming-design-directions; principles.md#11-non-conforming-design-directions,principles.md authoritative block or committed historical registry,principles.md#10-conforming-design-directions; principles.md#11-non-conforming-design-directions,non-overriding summary,None,True
KBDL-PRO-001,profiles.md#5-profile-architecture; profiles.md#9-cross-profile-invariants,profiles.md authoritative block or committed historical registry,profiles.md#5-profile-architecture; profiles.md#9-cross-profile-invariants,non-overriding summary,None,True
KBDL-PRO-002,profiles.md#4-project-profile-terminology,profiles.md authoritative block or committed historical registry,profiles.md#4-project-profile-terminology,non-overriding summary,None,True
KBDL-PRO-003,profiles.md#7-locked-controlled-and-open-profile-decisions,profiles.md authoritative block or committed historical registry,profiles.md#7-locked-controlled-and-open-profile-decisions,non-overriding summary,None,True
KBDL-PRO-004,profiles.md#7-locked-controlled-and-open-profile-decisions,profiles.md authoritative block or committed historical registry,profiles.md#7-locked-controlled-and-open-profile-decisions,non-overriding summary,None,True
KBDL-PRO-005,profiles.md#7-locked-controlled-and-open-profile-decisions,profiles.md authoritative block or committed historical registry,profiles.md#7-locked-controlled-and-open-profile-decisions,non-overriding summary,None,True
KBDL-PRO-006,profiles.md#7-locked-controlled-and-open-profile-decisions; profiles.md#35-kbdl-006-approval-boundary-audit; profiles.md#37-kbdl-008-approval-boundary-audit,profiles.md authoritative block or committed historical registry,profiles.md#7-locked-controlled-and-open-profile-decisions; profiles.md#35-kbdl-006-approval-boundary-audit; profiles.md#37-kbdl-008-approval-boundary-audit,non-overriding summary,None,True
KBDL-PRO-007,profiles.md#8-profile-selection-and-declaration,profiles.md authoritative block or committed historical registry,profiles.md#8-profile-selection-and-declaration,non-overriding summary,None,True
KBDL-PRO-008,profiles.md#8-profile-selection-and-declaration,profiles.md authoritative block or committed historical registry,profiles.md#8-profile-selection-and-declaration,non-overriding summary,None,True
KBDL-PRO-009,profiles.md#8-profile-selection-and-declaration; profiles.md#33-kbdl-009-decision-packet,profiles.md authoritative block or committed historical registry,profiles.md#8-profile-selection-and-declaration; profiles.md#33-kbdl-009-decision-packet,non-overriding summary,None,True
KBDL-PRO-010,profiles.md#101-purpose,profiles.md authoritative block or committed historical registry,profiles.md#101-purpose,non-overriding summary,None,True
KBDL-PRO-011,profiles.md#111-purpose,profiles.md authoritative block or committed historical registry,profiles.md#111-purpose,non-overriding summary,None,True
KBDL-PRO-012,profiles.md#121-purpose,profiles.md authoritative block or committed historical registry,profiles.md#121-purpose,non-overriding summary,None,True
KBDL-PRO-013,profiles.md#102-component-interpretation,profiles.md authoritative block or committed historical registry,profiles.md#102-component-interpretation,non-overriding summary,None,True
KBDL-PRO-014,profiles.md#112-component-interpretation,profiles.md authoritative block or committed historical registry,profiles.md#112-component-interpretation,non-overriding summary,None,True
KBDL-PRO-015,profiles.md#122-component-interpretation,profiles.md authoritative block or committed historical registry,profiles.md#122-component-interpretation,non-overriding summary,None,True
KBDL-PRO-016,profiles.md#102-component-interpretation; profiles.md#34-approval-ready-versus-contingent-decisions,profiles.md authoritative block or committed historical registry,profiles.md#102-component-interpretation; profiles.md#34-approval-ready-versus-contingent-decisions,non-overriding summary,None,True
KBDL-PRO-017,profiles.md#112-component-interpretation; profiles.md#33-kbdl-009-decision-packet,profiles.md authoritative block or committed historical registry,profiles.md#112-component-interpretation; profiles.md#33-kbdl-009-decision-packet,non-overriding summary,None,True
KBDL-PRO-018,profiles.md#122-component-interpretation; profiles.md#34-approval-ready-versus-contingent-decisions,profiles.md authoritative block or committed historical registry,profiles.md#122-component-interpretation; profiles.md#34-approval-ready-versus-contingent-decisions,non-overriding summary,None,True
KBDL-PRO-019,profiles.md#14-principles-mapping,profiles.md authoritative block or committed historical registry,profiles.md#14-principles-mapping,non-overriding summary,None,True
KBDL-PRO-020,profiles.md#20-core-component-mapping,profiles.md authoritative block or committed historical registry,profiles.md#20-core-component-mapping,non-overriding summary,None,True
KBDL-PRO-021,profiles.md#21-system-component-mapping,profiles.md authoritative block or committed historical registry,profiles.md#21-system-component-mapping,non-overriding summary,None,True
KBDL-PRO-022,profiles.md#22-content-and-communication-considerations,profiles.md authoritative block or committed historical registry,profiles.md#22-content-and-communication-considerations,non-overriding summary,None,True
KBDL-PRO-023,profiles.md#23-security-privacy-and-correctness,profiles.md authoritative block or committed historical registry,profiles.md#23-security-privacy-and-correctness,non-overriding summary,None,True
KBDL-PRO-024,profiles.md#24-profile-conflicts-and-exception-handling,profiles.md authoritative block or committed historical registry,profiles.md#24-profile-conflicts-and-exception-handling,non-overriding summary,None,True
KBDL-PRO-025,profiles.md#24-profile-conflicts-and-exception-handling,profiles.md authoritative block or committed historical registry,profiles.md#24-profile-conflicts-and-exception-handling,non-overriding summary,None,True
KBDL-PRO-026,profiles.md#25-profile-adoption-and-change-management,profiles.md authoritative block or committed historical registry,profiles.md#25-profile-adoption-and-change-management,non-overriding summary,None,True
KBDL-PRO-027,profiles.md#25-profile-adoption-and-change-management; profiles.md#33-kbdl-009-decision-packet,profiles.md authoritative block or committed historical registry,profiles.md#25-profile-adoption-and-change-management; profiles.md#33-kbdl-009-decision-packet,non-overriding summary,None,True
KBDL-PRO-028,profiles.md#8-profile-selection-and-declaration; profiles.md#33-kbdl-009-decision-packet,profiles.md authoritative block or committed historical registry,profiles.md#8-profile-selection-and-declaration; profiles.md#33-kbdl-009-decision-packet,non-overriding summary,None,True
KBDL-PRO-029,profiles.md#25-profile-adoption-and-change-management; profiles.md#33-kbdl-009-decision-packet,profiles.md authoritative block or committed historical registry,profiles.md#25-profile-adoption-and-change-management; profiles.md#33-kbdl-009-decision-packet,non-overriding summary,None,True
KBDL-RSP-001,responsive.md#4-responsive-content-priority,responsive.md authoritative block or committed historical registry,responsive.md#4-responsive-content-priority,non-overriding summary,None,True
KBDL-RSP-002,responsive.md#7-proposed-exact-breakpoint-thresholds,responsive.md authoritative block or committed historical registry,responsive.md#7-proposed-exact-breakpoint-thresholds,non-overriding summary,None,True
KBDL-RSP-003,responsive.md#8-grid-and-column-behavior,responsive.md authoritative block or committed historical registry,responsive.md#8-grid-and-column-behavior,non-overriding summary,None,True
KBDL-RSP-004,responsive.md#9-container-widths-and-reading-measures,responsive.md authoritative block or committed historical registry,responsive.md#9-container-widths-and-reading-measures,non-overriding summary,None,True
KBDL-RSP-005,responsive.md#10-gutters-and-responsive-spacing,responsive.md authoritative block or committed historical registry,responsive.md#10-gutters-and-responsive-spacing,non-overriding summary,None,True
KBDL-RSP-006,responsive.md#11-layout-reflow,responsive.md authoritative block or committed historical registry,responsive.md#11-layout-reflow,non-overriding summary,None,True
KBDL-RSP-007,responsive.md#12-source-order-and-reading-order,responsive.md authoritative block or committed historical registry,responsive.md#12-source-order-and-reading-order,non-overriding summary,None,True
KBDL-RSP-008,responsive.md#13-navigation-adaptation,responsive.md authoritative block or committed historical registry,responsive.md#13-navigation-adaptation,non-overriding summary,None,True
KBDL-RSP-009,responsive.md#14-content-density-adaptation,responsive.md authoritative block or committed historical registry,responsive.md#14-content-density-adaptation,non-overriding summary,None,True
KBDL-RSP-010,responsive.md#15-media-and-image-adaptation,responsive.md authoritative block or committed historical registry,responsive.md#15-media-and-image-adaptation,non-overriding summary,None,True
KBDL-RSP-011,responsive.md#16-data-dense-and-tabular-content,responsive.md authoritative block or committed historical registry,responsive.md#16-data-dense-and-tabular-content,non-overriding summary,None,True
KBDL-RSP-012,responsive.md#17-full-bleed-and-asymmetric-layouts,responsive.md authoritative block or committed historical registry,responsive.md#17-full-bleed-and-asymmetric-layouts,non-overriding summary,None,True
KBDL-RSP-013,responsive.md#18-sticky-and-fixed-regions,responsive.md authoritative block or committed historical registry,responsive.md#18-sticky-and-fixed-regions,non-overriding summary,None,True
KBDL-RSP-014,responsive.md#19-safe-areas-and-viewport-edges,responsive.md authoritative block or committed historical registry,responsive.md#19-safe-areas-and-viewport-edges,non-overriding summary,None,True
KBDL-RSP-015,responsive.md#20-orientation-changes,responsive.md authoritative block or committed historical registry,responsive.md#20-orientation-changes,non-overriding summary,None,True
KBDL-RSP-016,responsive.md#21-zoom-and-enlarged-text,responsive.md authoritative block or committed historical registry,responsive.md#21-zoom-and-enlarged-text,non-overriding summary,None,True
KBDL-RSP-017,responsive.md#22-virtual-keyboard-behavior,responsive.md authoritative block or committed historical registry,responsive.md#22-virtual-keyboard-behavior,non-overriding summary,None,True
KBDL-RSP-018,responsive.md#23-touch-pointer-keyboard-and-hybrid-input,responsive.md authoritative block or committed historical registry,responsive.md#23-touch-pointer-keyboard-and-hybrid-input,non-overriding summary,None,True
KBDL-RSP-019,responsive.md#24-hover-independent-discoverability,responsive.md authoritative block or committed historical registry,responsive.md#24-hover-independent-discoverability,non-overriding summary,None,True
KBDL-RSP-020,responsive.md#25-responsive-focus-management,responsive.md authoritative block or committed historical registry,responsive.md#25-responsive-focus-management,non-overriding summary,None,True
KBDL-RSP-021,responsive.md#26-responsive-motion-behavior,responsive.md authoritative block or committed historical registry,responsive.md#26-responsive-motion-behavior,non-overriding summary,None,True
KBDL-RSP-022,responsive.md#27-performance-and-low-capability-contexts,responsive.md authoritative block or committed historical registry,responsive.md#27-performance-and-low-capability-contexts,non-overriding summary,None,True
KBDL-THM-001,themes/semantic-roles.md#1-semantic-role-inventory,themes/README.md authoritative block or committed historical registry,themes/semantic-roles.md#1-semantic-role-inventory,non-overriding summary,None,True
KBDL-THM-002,themes/semantic-roles.md#2-semantic-parity,themes/README.md authoritative block or committed historical registry,themes/semantic-roles.md#2-semantic-parity,non-overriding summary,None,True
KBDL-THM-003,themes/README.md#5-theme-selection-precedence,themes/README.md authoritative block or committed historical registry,themes/README.md#5-theme-selection-precedence,non-overriding summary,None,True
KBDL-THM-004,themes/README.md#7-persistence-guidance,themes/README.md authoritative block or committed historical registry,themes/README.md#7-persistence-guidance,non-overriding summary,None,True
KBDL-THM-005,themes/adaptation.md#12-projects-must-not,themes/README.md authoritative block or committed historical registry,themes/adaptation.md#12-projects-must-not,non-overriding summary,None,True
KBDL-THM-006,themes/README.md#8-project-profile-theme-interpretation,themes/README.md authoritative block or committed historical registry,themes/README.md#8-project-profile-theme-interpretation,non-overriding summary,None,True
KBDL-THM-007,themes/light-theme.md#1-canvas-and-surfaces,themes/README.md authoritative block or committed historical registry,themes/light-theme.md#1-canvas-and-surfaces,non-overriding summary,None,True
KBDL-THM-008,themes/dark-theme.md#1-elevation-strategy,themes/README.md authoritative block or committed historical registry,themes/dark-theme.md#1-elevation-strategy,non-overriding summary,None,True
KBDL-THM-009,themes/adaptation.md#5-status-family-theme-behavior,themes/README.md authoritative block or committed historical registry,themes/adaptation.md#5-status-family-theme-behavior,non-overriding summary,None,True
KBDL-THM-010,themes/adaptation.md#4-gradient-strategy,themes/README.md authoritative block or committed historical registry,themes/adaptation.md#4-gradient-strategy,non-overriding summary,None,True
KBDL-THM-011,themes/adaptation.md#6-color-value-expression,themes/README.md authoritative block or committed historical registry,themes/adaptation.md#6-color-value-expression,non-overriding summary,None,True
KBDL-THM-012,themes/adaptation.md#7-theme-transition-guidance,themes/README.md authoritative block or committed historical registry,themes/adaptation.md#7-theme-transition-guidance,non-overriding summary,None,True
KBDL-THM-012a,themes/adaptation.md#71-requirements,themes/README.md authoritative block or committed historical registry,themes/adaptation.md#71-requirements,non-overriding summary,None,True
KBDL-THM-013,themes/README.md#5-theme-selection-precedence,themes/README.md authoritative block or committed historical registry,themes/README.md#5-theme-selection-precedence,non-overriding summary,None,True
KBDL-THM-014,themes/adaptation.md#1-project-controlled-adaptation,themes/README.md authoritative block or committed historical registry,themes/adaptation.md#1-project-controlled-adaptation,non-overriding summary,None,True
KBDL-THM-015,themes/adaptation.md#2-local-contrast-contexts,themes/README.md authoritative block or committed historical registry,themes/adaptation.md#2-local-contrast-contexts,non-overriding summary,None,True
KBDL-VAL-001,validation.md#4-evidence-classification,validation.md authoritative block or committed historical registry,validation.md#4-evidence-classification,non-overriding summary,None,True
KBDL-VAL-002,validation.md#8-requirement-inventory,validation.md authoritative block or committed historical registry,validation.md#8-requirement-inventory,non-overriding summary,None,True
KBDL-VAL-003,validation.md#9-lifecycle-status-audit; validation.md#12-approved-authority-audit,validation.md authoritative block or committed historical registry,validation.md#9-lifecycle-status-audit; validation.md#12-approved-authority-audit,non-overriding summary,None,True
KBDL-VAL-004,validation.md#11-validation-status-audit,validation.md authoritative block or committed historical registry,validation.md#11-validation-status-audit,non-overriding summary,None,True
KBDL-VAL-005,validation.md#13-decision-register-audit; validation.md#14-pending-and-deferred-inventory,validation.md authoritative block or committed historical registry,validation.md#13-decision-register-audit; validation.md#14-pending-and-deferred-inventory,non-overriding summary,None,True
KBDL-VAL-006,validation.md#15-traceability-audit,validation.md authoritative block or committed historical registry,validation.md#15-traceability-audit,non-overriding summary,None,True
KBDL-VAL-007,validation.md#16-cross-reference-and-documentation-integrity-audit,validation.md authoritative block or committed historical registry,validation.md#16-cross-reference-and-documentation-integrity-audit,non-overriding summary,None,True
KBDL-VAL-008,validation.md#17-governance-and-conventions-audit; validation.md#28-security-privacy-correctness-and-data-integrity-audit,validation.md authoritative block or committed historical registry,validation.md#17-governance-and-conventions-audit; validation.md#28-security-privacy-correctness-and-data-integrity-audit,non-overriding summary,None,True
KBDL-VAL-009,validation.md#20-theme-audit,validation.md authoritative block or committed historical registry,validation.md#20-theme-audit,non-overriding summary,None,True
KBDL-VAL-010,validation.md#29-implementation-dependent-validation-ledger,validation.md authoritative block or committed historical registry,validation.md#29-implementation-dependent-validation-ledger,non-overriding summary,None,True
KBDL-VAL-011,validation.md#30-project-specific-validation-ledger,validation.md authoritative block or committed historical registry,validation.md#30-project-specific-validation-ledger,non-overriding summary,None,True
KBDL-VAL-012,validation.md#41-completion-and-approval-boundary,validation.md authoritative block or committed historical registry,validation.md#41-completion-and-approval-boundary,non-overriding summary,None,True
