Group,Requirement ID,Field,Resolved value,Source syntax,Resolution status,Defect details
52,KBDL-A11Y-007,notes,No AAA-level criterion is described as AA anywhere in this set; see accessibility.md §3 for the exact criterion-to-section mapping,uniform/shared summary,summary,None
52,KBDL-A11Y-008,blueprint section,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,uniform/shared summary,summary,None
52,KBDL-A11Y-008,roadmap prompt,KBDL-006,uniform/shared summary,summary,None
52,KBDL-A11Y-008,requirement id,"KBDL-A11Y-001–010, 012–020, 022–034, 036–040 (37 requirements; excludes KBDL-A11Y-011, 021, 035, which are new KBDL enhancements listed separately below)",uniform/shared summary,summary,None
52,KBDL-A11Y-008,specification location,accessibility.md §6–§45,uniform/shared summary,summary,None
52,KBDL-A11Y-008,approval status,"Approved for all 37 — each directly restates a WCAG 2.2 Level A or AA success criterion already adopted under KBDL-DEC-010, or an already-approved KBDL principle/foundation/theme/motion requirement, per the full mapping in accessibility.md §3",uniform/shared summary,summary,None
52,KBDL-A11Y-008,validation status,Verified,inverse status per-ID map,resolved,None
52,KBDL-A11Y-008,validation method,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",uniform/shared summary,summary,None
52,KBDL-A11Y-008,validation evidence,themes/validation.md §3 for the three Verified rows; not verified for the rest,uniform/shared summary,summary,None
52,KBDL-A11Y-008,known limitation,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",uniform/shared summary,summary,None
52,KBDL-A11Y-008,related decision,KBDL-DEC-010,uniform/shared summary,summary,None
52,KBDL-A11Y-008,notes,No AAA-level criterion is described as AA anywhere in this set; see accessibility.md §3 for the exact criterion-to-section mapping,uniform/shared summary,summary,None
52,KBDL-A11Y-009,blueprint section,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,uniform/shared summary,summary,None
52,KBDL-A11Y-009,roadmap prompt,KBDL-006,uniform/shared summary,summary,None
52,KBDL-A11Y-009,requirement id,"KBDL-A11Y-001–010, 012–020, 022–034, 036–040 (37 requirements; excludes KBDL-A11Y-011, 021, 035, which are new KBDL enhancements listed separately below)",uniform/shared summary,summary,None
52,KBDL-A11Y-009,specification location,accessibility.md §6–§45,uniform/shared summary,summary,None
52,KBDL-A11Y-009,approval status,"Approved for all 37 — each directly restates a WCAG 2.2 Level A or AA success criterion already adopted under KBDL-DEC-010, or an already-approved KBDL principle/foundation/theme/motion requirement, per the full mapping in accessibility.md §3",uniform/shared summary,summary,None
52,KBDL-A11Y-009,validation status,Verified,inverse status per-ID map,resolved,None
52,KBDL-A11Y-009,validation method,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",uniform/shared summary,summary,None
52,KBDL-A11Y-009,validation evidence,themes/validation.md §3 for the three Verified rows; not verified for the rest,uniform/shared summary,summary,None
52,KBDL-A11Y-009,known limitation,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",uniform/shared summary,summary,None
52,KBDL-A11Y-009,related decision,KBDL-DEC-010,uniform/shared summary,summary,None
52,KBDL-A11Y-009,notes,No AAA-level criterion is described as AA anywhere in this set; see accessibility.md §3 for the exact criterion-to-section mapping,uniform/shared summary,summary,None
52,KBDL-A11Y-010,blueprint section,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,uniform/shared summary,summary,None
52,KBDL-A11Y-010,roadmap prompt,KBDL-006,uniform/shared summary,summary,None
52,KBDL-A11Y-010,requirement id,"KBDL-A11Y-001–010, 012–020, 022–034, 036–040 (37 requirements; excludes KBDL-A11Y-011, 021, 035, which are new KBDL enhancements listed separately below)",uniform/shared summary,summary,None
52,KBDL-A11Y-010,specification location,accessibility.md §6–§45,uniform/shared summary,summary,None
52,KBDL-A11Y-010,approval status,"Approved for all 37 — each directly restates a WCAG 2.2 Level A or AA success criterion already adopted under KBDL-DEC-010, or an already-approved KBDL principle/foundation/theme/motion requirement, per the full mapping in accessibility.md §3",uniform/shared summary,summary,None
52,KBDL-A11Y-010,validation status,Not verified,inverse status per-ID map,resolved,None
52,KBDL-A11Y-010,validation method,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",uniform/shared summary,summary,None
52,KBDL-A11Y-010,validation evidence,themes/validation.md §3 for the three Verified rows; not verified for the rest,uniform/shared summary,summary,None
52,KBDL-A11Y-010,known limitation,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",uniform/shared summary,summary,None
52,KBDL-A11Y-010,related decision,KBDL-DEC-010,uniform/shared summary,summary,None
52,KBDL-A11Y-010,notes,No AAA-level criterion is described as AA anywhere in this set; see accessibility.md §3 for the exact criterion-to-section mapping,uniform/shared summary,summary,None
52,KBDL-A11Y-012,blueprint section,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,uniform/shared summary,summary,None
52,KBDL-A11Y-012,roadmap prompt,KBDL-006,uniform/shared summary,summary,None
52,KBDL-A11Y-012,requirement id,"KBDL-A11Y-001–010, 012–020, 022–034, 036–040 (37 requirements; excludes KBDL-A11Y-011, 021, 035, which are new KBDL enhancements listed separately below)",uniform/shared summary,summary,None
52,KBDL-A11Y-012,specification location,accessibility.md §6–§45,uniform/shared summary,summary,None
52,KBDL-A11Y-012,approval status,"Approved for all 37 — each directly restates a WCAG 2.2 Level A or AA success criterion already adopted under KBDL-DEC-010, or an already-approved KBDL principle/foundation/theme/motion requirement, per the full mapping in accessibility.md §3",uniform/shared summary,summary,None
52,KBDL-A11Y-012,validation status,Not verified,inverse status per-ID map,resolved,None
52,KBDL-A11Y-012,validation method,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",uniform/shared summary,summary,None
52,KBDL-A11Y-012,validation evidence,themes/validation.md §3 for the three Verified rows; not verified for the rest,uniform/shared summary,summary,None
52,KBDL-A11Y-012,known limitation,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",uniform/shared summary,summary,None
52,KBDL-A11Y-012,related decision,KBDL-DEC-010,uniform/shared summary,summary,None
52,KBDL-A11Y-012,notes,No AAA-level criterion is described as AA anywhere in this set; see accessibility.md §3 for the exact criterion-to-section mapping,uniform/shared summary,summary,None
52,KBDL-A11Y-013,blueprint section,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,uniform/shared summary,summary,None
52,KBDL-A11Y-013,roadmap prompt,KBDL-006,uniform/shared summary,summary,None
52,KBDL-A11Y-013,requirement id,"KBDL-A11Y-001–010, 012–020, 022–034, 036–040 (37 requirements; excludes KBDL-A11Y-011, 021, 035, which are new KBDL enhancements listed separately below)",uniform/shared summary,summary,None
52,KBDL-A11Y-013,specification location,accessibility.md §6–§45,uniform/shared summary,summary,None
52,KBDL-A11Y-013,approval status,"Approved for all 37 — each directly restates a WCAG 2.2 Level A or AA success criterion already adopted under KBDL-DEC-010, or an already-approved KBDL principle/foundation/theme/motion requirement, per the full mapping in accessibility.md §3",uniform/shared summary,summary,None
52,KBDL-A11Y-013,validation status,Not verified,inverse status per-ID map,resolved,None
52,KBDL-A11Y-013,validation method,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",uniform/shared summary,summary,None
52,KBDL-A11Y-013,validation evidence,themes/validation.md §3 for the three Verified rows; not verified for the rest,uniform/shared summary,summary,None
52,KBDL-A11Y-013,known limitation,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",uniform/shared summary,summary,None
52,KBDL-A11Y-013,related decision,KBDL-DEC-010,uniform/shared summary,summary,None
52,KBDL-A11Y-013,notes,No AAA-level criterion is described as AA anywhere in this set; see accessibility.md §3 for the exact criterion-to-section mapping,uniform/shared summary,summary,None
52,KBDL-A11Y-014,blueprint section,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,uniform/shared summary,summary,None
52,KBDL-A11Y-014,roadmap prompt,KBDL-006,uniform/shared summary,summary,None
52,KBDL-A11Y-014,requirement id,"KBDL-A11Y-001–010, 012–020, 022–034, 036–040 (37 requirements; excludes KBDL-A11Y-011, 021, 035, which are new KBDL enhancements listed separately below)",uniform/shared summary,summary,None
52,KBDL-A11Y-014,specification location,accessibility.md §6–§45,uniform/shared summary,summary,None
52,KBDL-A11Y-014,approval status,"Approved for all 37 — each directly restates a WCAG 2.2 Level A or AA success criterion already adopted under KBDL-DEC-010, or an already-approved KBDL principle/foundation/theme/motion requirement, per the full mapping in accessibility.md §3",uniform/shared summary,summary,None
52,KBDL-A11Y-014,validation status,Not verified,inverse status per-ID map,resolved,None
52,KBDL-A11Y-014,validation method,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",uniform/shared summary,summary,None
52,KBDL-A11Y-014,validation evidence,themes/validation.md §3 for the three Verified rows; not verified for the rest,uniform/shared summary,summary,None
52,KBDL-A11Y-014,known limitation,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",uniform/shared summary,summary,None
52,KBDL-A11Y-014,related decision,KBDL-DEC-010,uniform/shared summary,summary,None
52,KBDL-A11Y-014,notes,No AAA-level criterion is described as AA anywhere in this set; see accessibility.md §3 for the exact criterion-to-section mapping,uniform/shared summary,summary,None
52,KBDL-A11Y-015,blueprint section,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,uniform/shared summary,summary,None
52,KBDL-A11Y-015,roadmap prompt,KBDL-006,uniform/shared summary,summary,None
52,KBDL-A11Y-015,requirement id,"KBDL-A11Y-001–010, 012–020, 022–034, 036–040 (37 requirements; excludes KBDL-A11Y-011, 021, 035, which are new KBDL enhancements listed separately below)",uniform/shared summary,summary,None
52,KBDL-A11Y-015,specification location,accessibility.md §6–§45,uniform/shared summary,summary,None
52,KBDL-A11Y-015,approval status,"Approved for all 37 — each directly restates a WCAG 2.2 Level A or AA success criterion already adopted under KBDL-DEC-010, or an already-approved KBDL principle/foundation/theme/motion requirement, per the full mapping in accessibility.md §3",uniform/shared summary,summary,None
52,KBDL-A11Y-015,validation status,Not verified,inverse status per-ID map,resolved,None
52,KBDL-A11Y-015,validation method,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",uniform/shared summary,summary,None
52,KBDL-A11Y-015,validation evidence,themes/validation.md §3 for the three Verified rows; not verified for the rest,uniform/shared summary,summary,None
52,KBDL-A11Y-015,known limitation,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",uniform/shared summary,summary,None
52,KBDL-A11Y-015,related decision,KBDL-DEC-010,uniform/shared summary,summary,None
52,KBDL-A11Y-015,notes,No AAA-level criterion is described as AA anywhere in this set; see accessibility.md §3 for the exact criterion-to-section mapping,uniform/shared summary,summary,None
52,KBDL-A11Y-016,blueprint section,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,uniform/shared summary,summary,None
52,KBDL-A11Y-016,roadmap prompt,KBDL-006,uniform/shared summary,summary,None
52,KBDL-A11Y-016,requirement id,"KBDL-A11Y-001–010, 012–020, 022–034, 036–040 (37 requirements; excludes KBDL-A11Y-011, 021, 035, which are new KBDL enhancements listed separately below)",uniform/shared summary,summary,None
52,KBDL-A11Y-016,specification location,accessibility.md §6–§45,uniform/shared summary,summary,None
52,KBDL-A11Y-016,approval status,"Approved for all 37 — each directly restates a WCAG 2.2 Level A or AA success criterion already adopted under KBDL-DEC-010, or an already-approved KBDL principle/foundation/theme/motion requirement, per the full mapping in accessibility.md §3",uniform/shared summary,summary,None
52,KBDL-A11Y-016,validation status,Not verified,inverse status per-ID map,resolved,None
52,KBDL-A11Y-016,validation method,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",uniform/shared summary,summary,None
52,KBDL-A11Y-016,validation evidence,themes/validation.md §3 for the three Verified rows; not verified for the rest,uniform/shared summary,summary,None
52,KBDL-A11Y-016,known limitation,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",uniform/shared summary,summary,None
52,KBDL-A11Y-016,related decision,KBDL-DEC-010,uniform/shared summary,summary,None
52,KBDL-A11Y-016,notes,No AAA-level criterion is described as AA anywhere in this set; see accessibility.md §3 for the exact criterion-to-section mapping,uniform/shared summary,summary,None
52,KBDL-A11Y-017,blueprint section,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,uniform/shared summary,summary,None
52,KBDL-A11Y-017,roadmap prompt,KBDL-006,uniform/shared summary,summary,None
52,KBDL-A11Y-017,requirement id,"KBDL-A11Y-001–010, 012–020, 022–034, 036–040 (37 requirements; excludes KBDL-A11Y-011, 021, 035, which are new KBDL enhancements listed separately below)",uniform/shared summary,summary,None
52,KBDL-A11Y-017,specification location,accessibility.md §6–§45,uniform/shared summary,summary,None
52,KBDL-A11Y-017,approval status,"Approved for all 37 — each directly restates a WCAG 2.2 Level A or AA success criterion already adopted under KBDL-DEC-010, or an already-approved KBDL principle/foundation/theme/motion requirement, per the full mapping in accessibility.md §3",uniform/shared summary,summary,None
52,KBDL-A11Y-017,validation status,Not verified,inverse status per-ID map,resolved,None
52,KBDL-A11Y-017,validation method,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",uniform/shared summary,summary,None
52,KBDL-A11Y-017,validation evidence,themes/validation.md §3 for the three Verified rows; not verified for the rest,uniform/shared summary,summary,None
52,KBDL-A11Y-017,known limitation,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",uniform/shared summary,summary,None
52,KBDL-A11Y-017,related decision,KBDL-DEC-010,uniform/shared summary,summary,None
52,KBDL-A11Y-017,notes,No AAA-level criterion is described as AA anywhere in this set; see accessibility.md §3 for the exact criterion-to-section mapping,uniform/shared summary,summary,None
52,KBDL-A11Y-018,blueprint section,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,uniform/shared summary,summary,None
52,KBDL-A11Y-018,roadmap prompt,KBDL-006,uniform/shared summary,summary,None
52,KBDL-A11Y-018,requirement id,"KBDL-A11Y-001–010, 012–020, 022–034, 036–040 (37 requirements; excludes KBDL-A11Y-011, 021, 035, which are new KBDL enhancements listed separately below)",uniform/shared summary,summary,None
52,KBDL-A11Y-018,specification location,accessibility.md §6–§45,uniform/shared summary,summary,None
52,KBDL-A11Y-018,approval status,"Approved for all 37 — each directly restates a WCAG 2.2 Level A or AA success criterion already adopted under KBDL-DEC-010, or an already-approved KBDL principle/foundation/theme/motion requirement, per the full mapping in accessibility.md §3",uniform/shared summary,summary,None
52,KBDL-A11Y-018,validation status,Not verified,inverse status per-ID map,resolved,None
52,KBDL-A11Y-018,validation method,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",uniform/shared summary,summary,None
52,KBDL-A11Y-018,validation evidence,themes/validation.md §3 for the three Verified rows; not verified for the rest,uniform/shared summary,summary,None
52,KBDL-A11Y-018,known limitation,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",uniform/shared summary,summary,None
52,KBDL-A11Y-018,related decision,KBDL-DEC-010,uniform/shared summary,summary,None
52,KBDL-A11Y-018,notes,No AAA-level criterion is described as AA anywhere in this set; see accessibility.md §3 for the exact criterion-to-section mapping,uniform/shared summary,summary,None
52,KBDL-A11Y-019,blueprint section,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,uniform/shared summary,summary,None
52,KBDL-A11Y-019,roadmap prompt,KBDL-006,uniform/shared summary,summary,None
52,KBDL-A11Y-019,requirement id,"KBDL-A11Y-001–010, 012–020, 022–034, 036–040 (37 requirements; excludes KBDL-A11Y-011, 021, 035, which are new KBDL enhancements listed separately below)",uniform/shared summary,summary,None
52,KBDL-A11Y-019,specification location,accessibility.md §6–§45,uniform/shared summary,summary,None
52,KBDL-A11Y-019,approval status,"Approved for all 37 — each directly restates a WCAG 2.2 Level A or AA success criterion already adopted under KBDL-DEC-010, or an already-approved KBDL principle/foundation/theme/motion requirement, per the full mapping in accessibility.md §3",uniform/shared summary,summary,None
52,KBDL-A11Y-019,validation status,Not applicable,inverse status per-ID map,resolved,None
52,KBDL-A11Y-019,validation method,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",uniform/shared summary,summary,None
52,KBDL-A11Y-019,validation evidence,themes/validation.md §3 for the three Verified rows; not verified for the rest,uniform/shared summary,summary,None
52,KBDL-A11Y-019,known limitation,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",uniform/shared summary,summary,None
52,KBDL-A11Y-019,related decision,KBDL-DEC-010,uniform/shared summary,summary,None
52,KBDL-A11Y-019,notes,No AAA-level criterion is described as AA anywhere in this set; see accessibility.md §3 for the exact criterion-to-section mapping,uniform/shared summary,summary,None
52,KBDL-A11Y-020,blueprint section,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,uniform/shared summary,summary,None
52,KBDL-A11Y-020,roadmap prompt,KBDL-006,uniform/shared summary,summary,None
52,KBDL-A11Y-020,requirement id,"KBDL-A11Y-001–010, 012–020, 022–034, 036–040 (37 requirements; excludes KBDL-A11Y-011, 021, 035, which are new KBDL enhancements listed separately below)",uniform/shared summary,summary,None
52,KBDL-A11Y-020,specification location,accessibility.md §6–§45,uniform/shared summary,summary,None
52,KBDL-A11Y-020,approval status,"Approved for all 37 — each directly restates a WCAG 2.2 Level A or AA success criterion already adopted under KBDL-DEC-010, or an already-approved KBDL principle/foundation/theme/motion requirement, per the full mapping in accessibility.md §3",uniform/shared summary,summary,None
52,KBDL-A11Y-020,validation status,Not verified,inverse status per-ID map,resolved,None
52,KBDL-A11Y-020,validation method,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",uniform/shared summary,summary,None
52,KBDL-A11Y-020,validation evidence,themes/validation.md §3 for the three Verified rows; not verified for the rest,uniform/shared summary,summary,None
52,KBDL-A11Y-020,known limitation,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",uniform/shared summary,summary,None
52,KBDL-A11Y-020,related decision,KBDL-DEC-010,uniform/shared summary,summary,None
52,KBDL-A11Y-020,notes,No AAA-level criterion is described as AA anywhere in this set; see accessibility.md §3 for the exact criterion-to-section mapping,uniform/shared summary,summary,None
52,KBDL-A11Y-022,blueprint section,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,uniform/shared summary,summary,None
52,KBDL-A11Y-022,roadmap prompt,KBDL-006,uniform/shared summary,summary,None
52,KBDL-A11Y-022,requirement id,"KBDL-A11Y-001–010, 012–020, 022–034, 036–040 (37 requirements; excludes KBDL-A11Y-011, 021, 035, which are new KBDL enhancements listed separately below)",uniform/shared summary,summary,None
52,KBDL-A11Y-022,specification location,accessibility.md §6–§45,uniform/shared summary,summary,None
52,KBDL-A11Y-022,approval status,"Approved for all 37 — each directly restates a WCAG 2.2 Level A or AA success criterion already adopted under KBDL-DEC-010, or an already-approved KBDL principle/foundation/theme/motion requirement, per the full mapping in accessibility.md §3",uniform/shared summary,summary,None
52,KBDL-A11Y-022,validation status,Not verified,inverse status per-ID map,resolved,None
52,KBDL-A11Y-022,validation method,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",uniform/shared summary,summary,None
52,KBDL-A11Y-022,validation evidence,themes/validation.md §3 for the three Verified rows; not verified for the rest,uniform/shared summary,summary,None
52,KBDL-A11Y-022,known limitation,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",uniform/shared summary,summary,None
52,KBDL-A11Y-022,related decision,KBDL-DEC-010,uniform/shared summary,summary,None
52,KBDL-A11Y-022,notes,No AAA-level criterion is described as AA anywhere in this set; see accessibility.md §3 for the exact criterion-to-section mapping,uniform/shared summary,summary,None
52,KBDL-A11Y-023,blueprint section,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,uniform/shared summary,summary,None
52,KBDL-A11Y-023,roadmap prompt,KBDL-006,uniform/shared summary,summary,None
52,KBDL-A11Y-023,requirement id,"KBDL-A11Y-001–010, 012–020, 022–034, 036–040 (37 requirements; excludes KBDL-A11Y-011, 021, 035, which are new KBDL enhancements listed separately below)",uniform/shared summary,summary,None
52,KBDL-A11Y-023,specification location,accessibility.md §6–§45,uniform/shared summary,summary,None
52,KBDL-A11Y-023,approval status,"Approved for all 37 — each directly restates a WCAG 2.2 Level A or AA success criterion already adopted under KBDL-DEC-010, or an already-approved KBDL principle/foundation/theme/motion requirement, per the full mapping in accessibility.md §3",uniform/shared summary,summary,None
52,KBDL-A11Y-023,validation status,Not verified,inverse status per-ID map,resolved,None
52,KBDL-A11Y-023,validation method,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",uniform/shared summary,summary,None
52,KBDL-A11Y-023,validation evidence,themes/validation.md §3 for the three Verified rows; not verified for the rest,uniform/shared summary,summary,None
52,KBDL-A11Y-023,known limitation,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",uniform/shared summary,summary,None
52,KBDL-A11Y-023,related decision,KBDL-DEC-010,uniform/shared summary,summary,None
52,KBDL-A11Y-023,notes,No AAA-level criterion is described as AA anywhere in this set; see accessibility.md §3 for the exact criterion-to-section mapping,uniform/shared summary,summary,None
52,KBDL-A11Y-024,blueprint section,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,uniform/shared summary,summary,None
52,KBDL-A11Y-024,roadmap prompt,KBDL-006,uniform/shared summary,summary,None
52,KBDL-A11Y-024,requirement id,"KBDL-A11Y-001–010, 012–020, 022–034, 036–040 (37 requirements; excludes KBDL-A11Y-011, 021, 035, which are new KBDL enhancements listed separately below)",uniform/shared summary,summary,None
