Requirement ID,Authority kind,Expected authority,Approval evidence source,Authority scope,Target lifecycle,Targets,Resolution result
KBDL-CUS-008,authoritative requirement Authority field,Mandatory KBDL-010 workflow,customization.md — KBDL-CUS-008 block,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CUS-009,authoritative requirement Authority field,Mandatory KBDL-010 intake fields,customization.md — KBDL-CUS-009 block,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CUS-010,authoritative requirement Authority field,"KBDL-DEC-004, conventions, and mandatory KBDL-010 record fields",customization.md — KBDL-CUS-010 block,requirement normative scope only,Approved,KBDL-DEC-004,PASS
KBDL-CUS-011,authoritative requirement Authority field,Mandatory KBDL-010 impact and evidence clauses,customization.md — KBDL-CUS-011 block,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CUS-012,authoritative requirement Authority field,Mandatory KBDL-010 change and rollback clauses,customization.md — KBDL-CUS-012 block,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CUS-013,authoritative requirement Authority field,Approved foundation requirements plus mandatory KBDL-010 boundary,customization.md — KBDL-CUS-013 block,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CUS-014,authoritative requirement Authority field,"Approved KBDL-THM-003, 005, 006, 013, 014 plus mandatory KBDL-010 boundary",customization.md — KBDL-CUS-014 block,requirement normative scope only,Approved,KBDL-THM-003,PASS
KBDL-CUS-015,authoritative requirement Authority field,Approved motion requirements plus mandatory KBDL-010 boundary,customization.md — KBDL-CUS-015 block,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CUS-016,authoritative requirement Authority field,Approved responsive requirements plus mandatory KBDL-010 boundary,customization.md — KBDL-CUS-016 block,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CUS-017,authoritative requirement Authority field,"KBDL-GOV-002, Approved accessibility requirements, and mandatory KBDL-010 boundary",customization.md — KBDL-CUS-017 block,requirement normative scope only,Approved,KBDL-GOV-002,PASS
KBDL-CUS-018,authoritative requirement Authority field,Approved KBDL-007 requirements plus mandatory KBDL-010 boundary,customization.md — KBDL-CUS-018 block,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CUS-019,authoritative requirement Authority field,Approved KBDL-008 requirements plus mandatory KBDL-010 boundary,customization.md — KBDL-CUS-019 block,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CUS-020,authoritative requirement Authority field,"Approved KBDL-PRO-001–008, 010–015, 019–026 plus mandatory KBDL-010 boundary",customization.md — KBDL-CUS-020 block,requirement normative scope only,Approved,KBDL-PRO-001,PASS
KBDL-CUS-021,authoritative requirement Authority field,Prior Approved security/correctness requirements plus mandatory KBDL-010 boundary,customization.md — KBDL-CUS-021 block,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-CUS-022,authoritative requirement Authority field,Mandatory KBDL-010 handoff and scope clauses,customization.md — KBDL-CUS-022 block,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-FND-001,approved-prompt authority registry,Project-owner-approved KBDL-003 implementation prompt; authoritative provenance: Confirmed (derived from KBDL-002),validation.md scope-completion/progression record for KBDL-003,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-FND-002,approved-prompt authority registry,Project-owner-approved KBDL-003 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-003,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-FND-003,approved-prompt authority registry,Project-owner-approved KBDL-003 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-003,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-FND-004,approved-prompt authority registry,Project-owner-approved KBDL-003 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-003,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-FND-005,approved-prompt authority registry,Project-owner-approved KBDL-003 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-003,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-FND-006,approved-prompt authority registry,Project-owner-approved KBDL-003 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-003,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-FND-007,approved-prompt authority registry,Project-owner-approved KBDL-003 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-003,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-FND-008,approved-prompt authority registry,Project-owner-approved KBDL-003 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-003,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-FND-009,approved-prompt authority registry,Project-owner-approved KBDL-003 implementation prompt; authoritative provenance: User-provided,validation.md scope-completion/progression record for KBDL-003,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-FND-010,approved-prompt authority registry,Project-owner-approved KBDL-003 implementation prompt; authoritative provenance: User-provided,validation.md scope-completion/progression record for KBDL-003,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-FND-011,approved-prompt authority registry,Project-owner-approved KBDL-003 implementation prompt; authoritative provenance: User-provided,validation.md scope-completion/progression record for KBDL-003,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-FND-012,approved-prompt authority registry,Project-owner-approved KBDL-003 implementation prompt; authoritative provenance: User-provided,validation.md scope-completion/progression record for KBDL-003,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-GOV-001,historical authority registry,Project-owner-approved KBDL-001 prompt and KBDL-DEC-002,decision-register.md — KBDL-DEC-002 Approved record,requirement normative scope only,Approved,KBDL-DEC-002,PASS
KBDL-GOV-002,historical authority registry,Project-owner-approved KBDL-001 prompt and KBDL-DEC-010,decision-register.md — KBDL-DEC-010 Approved record,requirement normative scope only,Approved,KBDL-DEC-010,PASS
KBDL-GOV-003,historical authority registry,Project-owner-approved KBDL-001 prompt and KBDL-DEC-011,decision-register.md — KBDL-DEC-011 Approved record,requirement normative scope only,Approved,KBDL-DEC-011,PASS
KBDL-MOT-001,approved-prompt authority registry,Project-owner-approved KBDL-005 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-005,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-MOT-002,approved-prompt authority registry,Project-owner-approved KBDL-005 implementation prompt; authoritative provenance: User-provided,validation.md scope-completion/progression record for KBDL-005,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-MOT-003,approved-prompt authority registry,Project-owner-approved KBDL-005 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-005,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-MOT-004,approved-prompt authority registry,Project-owner-approved KBDL-005 implementation prompt; authoritative provenance: User-provided,validation.md scope-completion/progression record for KBDL-005,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-MOT-005,approved-prompt authority registry,Project-owner-approved KBDL-005 implementation prompt; authoritative provenance: User-provided,validation.md scope-completion/progression record for KBDL-005,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-MOT-006,approved-prompt authority registry,Project-owner-approved KBDL-005 implementation prompt; authoritative provenance: User-provided,validation.md scope-completion/progression record for KBDL-005,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-MOT-007,approved-prompt authority registry,Project-owner-approved KBDL-005 implementation prompt; authoritative provenance: User-provided,validation.md scope-completion/progression record for KBDL-005,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-MOT-008,approved-prompt authority registry,Project-owner-approved KBDL-005 implementation prompt; authoritative provenance: User-provided,validation.md scope-completion/progression record for KBDL-005,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-MOT-009,approved-prompt authority registry,Project-owner-approved KBDL-005 implementation prompt; authoritative provenance: User-provided,validation.md scope-completion/progression record for KBDL-005,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-MOT-010,approved-prompt authority registry,Project-owner-approved KBDL-005 implementation prompt; authoritative provenance: User-provided,validation.md scope-completion/progression record for KBDL-005,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-MOT-011,approved-prompt authority registry,Project-owner-approved KBDL-005 implementation prompt; authoritative provenance: User-provided,validation.md scope-completion/progression record for KBDL-005,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-MOT-012,approved-prompt authority registry,Project-owner-approved KBDL-005 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-005,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-MOT-013,approved-prompt authority registry,Project-owner-approved KBDL-005 implementation prompt; authoritative provenance: User-provided,validation.md scope-completion/progression record for KBDL-005,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-MOT-014,approved-prompt authority registry,Project-owner-approved KBDL-005 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-005,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-MOT-015,approved-prompt authority registry,Project-owner-approved KBDL-005 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-005,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-MOT-016,approved-prompt authority registry,Project-owner-approved KBDL-005 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-005,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-MOT-017,approved-prompt authority registry,Project-owner-approved KBDL-005 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-005,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-MOT-018,approved-prompt authority registry,Project-owner-approved KBDL-005 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-005,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-MOT-019,approved-prompt authority registry,Project-owner-approved KBDL-005 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-005,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-MOT-020,approved-prompt authority registry,Project-owner-approved KBDL-005 implementation prompt; authoritative provenance: User-provided,validation.md scope-completion/progression record for KBDL-005,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-MOT-021,approved-prompt authority registry,Project-owner-approved KBDL-005 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-005,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-MOT-022,approved-prompt authority registry,Project-owner-approved KBDL-005 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-005,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-MOT-023,approved-prompt authority registry,Project-owner-approved KBDL-005 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-005,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-MOT-024,approved-prompt authority registry,Project-owner-approved KBDL-005 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-005,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-MOT-025,approved-prompt authority registry,Project-owner-approved KBDL-005 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-005,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-MOT-026,approved-prompt authority registry,Project-owner-approved KBDL-005 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-005,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-MOT-027,approved-prompt authority registry,Project-owner-approved KBDL-005 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-005,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-MOT-028,approved-prompt authority registry,Project-owner-approved KBDL-005 implementation prompt; authoritative provenance: User-provided,validation.md scope-completion/progression record for KBDL-005,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-MOT-029,approved-prompt authority registry,Project-owner-approved KBDL-005 implementation prompt; authoritative provenance: User-provided,validation.md scope-completion/progression record for KBDL-005,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-MOT-030,approved-prompt authority registry,Project-owner-approved KBDL-005 implementation prompt; authoritative provenance: User-provided,validation.md scope-completion/progression record for KBDL-005,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-MOT-031,approved-prompt authority registry,Project-owner-approved KBDL-005 implementation prompt; authoritative provenance: User-provided,validation.md scope-completion/progression record for KBDL-005,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-MOT-032,approved-prompt authority registry,Project-owner-approved KBDL-005 implementation prompt; authoritative provenance: User-provided,validation.md scope-completion/progression record for KBDL-005,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-MOT-033,approved-prompt authority registry,Project-owner-approved KBDL-005 implementation prompt; authoritative provenance: User-provided,validation.md scope-completion/progression record for KBDL-005,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-MOT-034,approved-prompt authority registry,Project-owner-approved KBDL-005 implementation prompt; authoritative provenance: User-provided,validation.md scope-completion/progression record for KBDL-005,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-PRN-001,approved-prompt authority registry,Project-owner-approved KBDL-002 implementation prompt; authoritative provenance: User-provided (blueprint) and Confirmed (derived from KBDL-001 decisions),validation.md scope-completion/progression record for KBDL-002,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-PRN-002,approved-prompt authority registry,Project-owner-approved KBDL-002 implementation prompt; authoritative provenance: User-provided,validation.md scope-completion/progression record for KBDL-002,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-PRN-003,approved-prompt authority registry,Project-owner-approved KBDL-002 implementation prompt; authoritative provenance: User-provided,validation.md scope-completion/progression record for KBDL-002,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-PRN-004,approved-prompt authority registry,Project-owner-approved KBDL-002 implementation prompt; authoritative provenance: User-provided,validation.md scope-completion/progression record for KBDL-002,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-PRN-005,approved-prompt authority registry,Project-owner-approved KBDL-002 implementation prompt; authoritative provenance: User-provided,validation.md scope-completion/progression record for KBDL-002,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-PRN-006,approved-prompt authority registry,Project-owner-approved KBDL-002 implementation prompt; authoritative provenance: User-provided,validation.md scope-completion/progression record for KBDL-002,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-PRN-007,approved-prompt authority registry,Project-owner-approved KBDL-002 implementation prompt; authoritative provenance: User-provided,validation.md scope-completion/progression record for KBDL-002,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-PRN-008,approved-prompt authority registry,Project-owner-approved KBDL-002 implementation prompt; authoritative provenance: User-provided,validation.md scope-completion/progression record for KBDL-002,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-PRO-001,authoritative requirement Authority field,"restates and consolidates the already-Approved KBDL-PRN-007, KBDL-FND-008, KBDL-THM-006, KBDL-MOT-026, KBDL-A11Y-040, KBDL-CMP-051, and KBDL-CMP-066, each of which independently requires shared architecture in its own module",profiles.md — KBDL-PRO-001 block,requirement normative scope only,Approved,KBDL-A11Y-040; KBDL-CMP-051; KBDL-CMP-066; KBDL-FND-008; KBDL-MOT-026; KBDL-PRN-007; KBDL-THM-006,PASS
KBDL-PRO-002,authoritative requirement Authority field,"the accessibility-preference distinction restates the already-Approved independence of reduced-motion and forced-colors preferences from any presentational grouping, accessibility.md §44; the complete terminology distinction is an explicit mandatory clause of the approved KBDL-009 prompt's Terminology section",profiles.md — KBDL-PRO-002 block,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-PRO-003,authoritative requirement Authority field,"restates principles.md §9.4 and the design-decision hierarchy, principles.md §8",profiles.md — KBDL-PRO-003 block,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-PRO-004,authoritative requirement Authority field,restates principles.md §5.2 and the already-Approved per-module profile-interpretation sections cited in §3,profiles.md — KBDL-PRO-004 block,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-PRO-005,authoritative requirement Authority field,restates principles.md §5.3,profiles.md — KBDL-PRO-005 block,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-PRO-006,authoritative requirement Authority field,"scope-control requirement, explicit mandatory clause of the approved KBDL-009 prompt's Locked/Controlled/ Open section",profiles.md — KBDL-PRO-006 block,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-PRO-007,authoritative requirement Authority field,the required field list is an explicit mandatory clause of the approved KBDL-009 prompt's Profile Selection and Declaration section,profiles.md — KBDL-PRO-007 block,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-PRO-008,authoritative requirement Authority field,"explicit mandatory clause of the approved KBDL-009 prompt's Profile Selection and Declaration section; also extends the already-Approved Accessibility by Default principle, principles.md §6.8",profiles.md — KBDL-PRO-008 block,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-PRO-010,authoritative requirement Authority field,"consolidates the already-Approved Showcase interpretation already established in principles.md §9.1, foundations/README.md §4.1, themes/README.md §8 Showcase, motion/patterns.md §10.1, and responsive.md §28",profiles.md — KBDL-PRO-010 block,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-PRO-011,authoritative requirement Authority field,"consolidates the already-Approved Precision interpretation in principles.md §9.2, foundations/README.md §4.2, themes/README.md §8 Precision, motion/patterns.md §10.2, and responsive.md §29",profiles.md — KBDL-PRO-011 block,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-PRO-012,authoritative requirement Authority field,"consolidates the already-Approved Flow interpretation in principles.md §9.3, foundations/README.md §4.3, themes/README.md §8 Flow, motion/patterns.md §10.3, and responsive.md §30",profiles.md — KBDL-PRO-012 block,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-PRO-013,authoritative requirement Authority field,"restates the already-Approved KBDL-CMP-051, KBDL-CMP-066, KBDL-CMP-055 hover-independent- discoverability prohibition, KBDL-CMP-072 tooltip-naming- independence rule, and KBDL-CMP-107 carousel pause/stop/hide requirement",profiles.md — KBDL-PRO-013 block,requirement normative scope only,Approved,KBDL-CMP-051; KBDL-CMP-055; KBDL-CMP-066; KBDL-CMP-072; KBDL-CMP-107,PASS
KBDL-PRO-014,authoritative requirement Authority field,"restates the already-Approved KBDL-CMP-051, KBDL-CMP-066, KBDL-CMP-010 WCAG 24×24 target- size minimum, KBDL-CMP-070 native-table/grid-misuse prohibition, and KBDL-CMP-055 hover-independent-discoverability prohibition",profiles.md — KBDL-PRO-014 block,requirement normative scope only,Approved,KBDL-CMP-010; KBDL-CMP-051; KBDL-CMP-055; KBDL-CMP-066; KBDL-CMP-070,PASS
KBDL-PRO-015,authoritative requirement Authority field,"restates the already-Approved KBDL-CMP-051, KBDL-CMP-066, and KBDL-CMP-090 toast critical-information-persistence requirement",profiles.md — KBDL-PRO-015 block,requirement normative scope only,Approved,KBDL-CMP-051; KBDL-CMP-066; KBDL-CMP-090,PASS
KBDL-PRO-019,authoritative requirement Authority field,"restates the already-Approved KBDL-PRN-003, extended explicitly to per-profile mapping",profiles.md — KBDL-PRO-019 block,requirement normative scope only,Approved,KBDL-PRN-003,PASS
KBDL-PRO-020,authoritative requirement Authority field,restates and extends the already- Approved KBDL-CMP-051 explicitly to this module's own mapping,profiles.md — KBDL-PRO-020 block,requirement normative scope only,Approved,KBDL-CMP-051,PASS
KBDL-PRO-021,authoritative requirement Authority field,restates and extends the already- Approved KBDL-CMP-066 explicitly to this module's own mapping,profiles.md — KBDL-PRO-021 block,requirement normative scope only,Approved,KBDL-CMP-066,PASS
KBDL-PRO-022,authoritative requirement Authority field,"restates the already-Approved Consumer Comprehension principle, principles.md §6.3, and the already-Approved KBDL-CMP-101/103 honest-system-state- communication rules",profiles.md — KBDL-PRO-022 block,requirement normative scope only,Approved,KBDL-CMP-101,PASS
KBDL-PRO-023,authoritative requirement Authority field,"restates the already-Approved KBDL-CMP-063, 064, 098, 101, 103, 104 security and correctness principles, extended explicitly to profile emphasis by the approved KBDL-009 prompt's Security Requirements section",profiles.md — KBDL-PRO-023 block,requirement normative scope only,Approved,KBDL-CMP-063,PASS
KBDL-PRO-024,authoritative requirement Authority field,restates principles.md §8 and governance.md § Exception process,profiles.md — KBDL-PRO-024 block,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-PRO-025,authoritative requirement Authority field,"scope-control requirement, explicit mandatory clause of the approved KBDL-009 prompt",profiles.md — KBDL-PRO-025 block,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-PRO-026,authoritative requirement Authority field,explicit mandatory field list from the approved KBDL-009 prompt's Profile Adoption and Change Management section,profiles.md — KBDL-PRO-026 block,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-RSP-001,approved-prompt authority registry,Project-owner-approved KBDL-006 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-006,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-RSP-006,approved-prompt authority registry,Project-owner-approved KBDL-006 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-006,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-RSP-007,approved-prompt authority registry,Project-owner-approved KBDL-006 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-006,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-RSP-009,approved-prompt authority registry,Project-owner-approved KBDL-006 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-006,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-RSP-010,approved-prompt authority registry,Project-owner-approved KBDL-006 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-006,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-RSP-012,approved-prompt authority registry,Project-owner-approved KBDL-006 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-006,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-RSP-013,approved-prompt authority registry,Project-owner-approved KBDL-006 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-006,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-RSP-014,approved-prompt authority registry,Project-owner-approved KBDL-006 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-006,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-RSP-015,approved-prompt authority registry,Project-owner-approved KBDL-006 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-006,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-RSP-016,approved-prompt authority registry,Project-owner-approved KBDL-006 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-006,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-RSP-017,approved-prompt authority registry,Project-owner-approved KBDL-006 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-006,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-RSP-018,approved-prompt authority registry,Project-owner-approved KBDL-006 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-006,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-RSP-019,approved-prompt authority registry,Project-owner-approved KBDL-006 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-006,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-RSP-020,approved-prompt authority registry,Project-owner-approved KBDL-006 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-006,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-RSP-021,approved-prompt authority registry,Project-owner-approved KBDL-006 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-006,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-RSP-022,approved-prompt authority registry,Project-owner-approved KBDL-006 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-006,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-THM-001,approved-prompt authority registry,Project-owner-approved KBDL-004 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-004,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-THM-002,approved-prompt authority registry,Project-owner-approved KBDL-004 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-004,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-THM-003,approved-prompt authority registry,Project-owner-approved KBDL-004 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-004,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-THM-004,approved-prompt authority registry,"Project-owner-approved KBDL-004 implementation prompt; authoritative provenance: User-provided (project-owner approval, see KBDL-DEC-013)",validation.md scope-completion/progression record for KBDL-004,requirement normative scope only,Approved,KBDL-DEC-013,PASS
KBDL-THM-005,approved-prompt authority registry,Project-owner-approved KBDL-004 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-004,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-THM-006,approved-prompt authority registry,Project-owner-approved KBDL-004 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-004,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-THM-007,approved-prompt authority registry,Project-owner-approved KBDL-004 implementation prompt; authoritative provenance: User-provided (project-owner approval),validation.md scope-completion/progression record for KBDL-004,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-THM-008,approved-prompt authority registry,Project-owner-approved KBDL-004 implementation prompt; authoritative provenance: User-provided (project-owner approval),validation.md scope-completion/progression record for KBDL-004,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-THM-009,approved-prompt authority registry,Project-owner-approved KBDL-004 implementation prompt; authoritative provenance: User-provided (project-owner approval),validation.md scope-completion/progression record for KBDL-004,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-THM-010,approved-prompt authority registry,Project-owner-approved KBDL-004 implementation prompt; authoritative provenance: User-provided (project-owner approval),validation.md scope-completion/progression record for KBDL-004,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-THM-011,approved-prompt authority registry,Project-owner-approved KBDL-004 implementation prompt; authoritative provenance: User-provided (project-owner approval),validation.md scope-completion/progression record for KBDL-004,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-THM-012,approved-prompt authority registry,Project-owner-approved KBDL-004 implementation prompt; authoritative provenance: User-provided (project-owner approval),validation.md scope-completion/progression record for KBDL-004,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-THM-012a,approved-prompt authority registry,Project-owner-approved KBDL-004 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-004,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-THM-013,approved-prompt authority registry,Project-owner-approved KBDL-004 implementation prompt; authoritative provenance: User-provided (project-owner approval),validation.md scope-completion/progression record for KBDL-004,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-THM-014,approved-prompt authority registry,Project-owner-approved KBDL-004 implementation prompt; authoritative provenance: User-provided (project-owner approval),validation.md scope-completion/progression record for KBDL-004,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-THM-015,approved-prompt authority registry,Project-owner-approved KBDL-004 implementation prompt; authoritative provenance: User-provided (project-owner approval),validation.md scope-completion/progression record for KBDL-004,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-VAL-001,authoritative requirement Authority field,approved KBDL-011 prompt,validation.md — KBDL-VAL-001 block,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-VAL-002,authoritative requirement Authority field,approved prompt,validation.md — KBDL-VAL-002 block,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-VAL-003,authoritative requirement Authority field,approved prompt and GOV-003,validation.md — KBDL-VAL-003 block,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-VAL-004,authoritative requirement Authority field,approved prompt and GOV-003,validation.md — KBDL-VAL-004 block,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-VAL-005,authoritative requirement Authority field,approved prompt,validation.md — KBDL-VAL-005 block,requirement normative scope only,Approved,Approved prompt,PASS
