Requirement ID,Blueprint section,Blueprint section source,Roadmap prompt,Roadmap prompt source,Specification location,Specification location source,Lifecycle status,Lifecycle status source,Provenance,Provenance source,Validation classification,Validation classification source,Verified scope,Verified scope source,Not-verified scope,Not-verified scope source,Authority,Authority source,Validation method,Validation method source,Validation evidence,Validation evidence source,Known limitation,Known limitation source,Packet or tracking destination,Packet or tracking destination source,Pending dependencies,Pending dependencies source,Related decision,Related decision source,Notes or exclusions,Notes or exclusions source
KBDL-A11Y-035,Forced-colors/high-contrast policy; preferred enhanced target size; preferred accessibility testing matrix,exact per-ID ledger,KBDL-006,exact per-ID ledger,accessibility.md#39-screen-reader-behavior; accessibility.md#49-accessibility-decision-packet,exact per-ID ledger,Recommended,exact per-ID ledger,Assumed,exact per-ID ledger,Not applicable,exact per-ID ledger,None,exact per-ID ledger,None,exact per-ID ledger,"Recommended (new KBDL testing-process enhancement, not yet approved)",exact per-ID ledger,Project-owner review (not yet performed),exact per-ID ledger,Not applicable — no executed implementation claim is asserted for this requirement.,exact per-ID ledger,Forced-colors/high-contrast mode is currently unaddressed elsewhere in the specification and was explicitly excluded from the KBDL-004 theme approval (KBDL-DEC-013); these three requirements must not be treated as Approved until reviewed,exact per-ID ledger,accessibility.md — 49.2 Recommended Decisions — Ready for Approval — item 3,exact per-ID ledger,None,exact per-ID ledger,None,exact per-ID ledger,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,exact per-ID ledger
KBDL-A11Y-036,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,exact per-ID ledger,KBDL-006,exact per-ID ledger,accessibility.md#40-media-and-animation-controls,exact per-ID ledger,Approved,exact per-ID ledger,Confirmed,exact per-ID ledger,Not applicable,exact per-ID ledger,None,exact per-ID ledger,None,exact per-ID ledger,Approved (cross-reference to already-Approved requirements); project-owner-approved KBDL-006 implementation prompt,exact per-ID ledger,Not applicable (cross-reference section),exact per-ID ledger,Not applicable — no executed implementation claim is asserted for this requirement.,exact per-ID ledger,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",exact per-ID ledger,None — Approved,exact per-ID ledger,None,exact per-ID ledger,None,exact per-ID ledger,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,exact per-ID ledger
KBDL-A11Y-037,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,exact per-ID ledger,KBDL-006,exact per-ID ledger,accessibility.md#41-accessible-data-presentation,exact per-ID ledger,Approved,exact per-ID ledger,Confirmed,exact per-ID ledger,Not verified,exact per-ID ledger,None,exact per-ID ledger,Not verified,exact per-ID ledger,Approved (restates KBDL-A11Y-003 applied to tabular data),exact per-ID ledger,Automated static check + manual review once implemented,exact per-ID ledger,Not verified — the requirement’s stated validation method has not been executed.,exact per-ID ledger,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",exact per-ID ledger,None — Approved,exact per-ID ledger,None,exact per-ID ledger,None,exact per-ID ledger,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,exact per-ID ledger
KBDL-A11Y-038,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,exact per-ID ledger,KBDL-006,exact per-ID ledger,accessibility.md#42-mobile-accessibility,exact per-ID ledger,Approved,exact per-ID ledger,Confirmed,exact per-ID ledger,Not applicable,exact per-ID ledger,None,exact per-ID ledger,None,exact per-ID ledger,Approved (cross-reference); project-owner-approved KBDL-006 implementation prompt,exact per-ID ledger,Not applicable (cross-reference section),exact per-ID ledger,Not applicable — no executed implementation claim is asserted for this requirement.,exact per-ID ledger,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",exact per-ID ledger,None — Approved,exact per-ID ledger,None,exact per-ID ledger,None,exact per-ID ledger,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,exact per-ID ledger
KBDL-A11Y-039,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,exact per-ID ledger,KBDL-006,exact per-ID ledger,accessibility.md#43-virtual-keyboard-accessibility,exact per-ID ledger,Approved,exact per-ID ledger,Confirmed,exact per-ID ledger,Not applicable,exact per-ID ledger,None,exact per-ID ledger,None,exact per-ID ledger,Approved (cross-reference); project-owner-approved KBDL-006 implementation prompt,exact per-ID ledger,Not applicable (cross-reference section),exact per-ID ledger,Not applicable — no executed implementation claim is asserted for this requirement.,exact per-ID ledger,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",exact per-ID ledger,None — Approved,exact per-ID ledger,None,exact per-ID ledger,None,exact per-ID ledger,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,exact per-ID ledger
KBDL-A11Y-040,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,exact per-ID ledger,KBDL-006,exact per-ID ledger,accessibility.md#44-profile-interpretation,exact per-ID ledger,Approved,exact per-ID ledger,Confirmed,exact per-ID ledger,Not verified,exact per-ID ledger,None,exact per-ID ledger,Not verified,exact per-ID ledger,Approved (directly restates principles.md §9.4); project-owner-approved KBDL-006 implementation prompt,exact per-ID ledger,Manual cross-profile review once the project-profiles module is approved,exact per-ID ledger,Not verified — the requirement’s stated validation method has not been executed.,exact per-ID ledger,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",exact per-ID ledger,None — Approved,exact per-ID ledger,None,exact per-ID ledger,None,exact per-ID ledger,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,exact per-ID ledger
KBDL-CMP-001,Shared component contract; native-semantics-first rule; accessible naming; component state model; KBDL-008 scope boundary; focus/keyboard/pointer behavior; responsive/target-size/theme/foundation/motion mapping; cross-component composition; profile compatibility,exact per-ID ledger,KBDL-007,exact per-ID ledger,components-core.md#6-shared-component-contract; components-core.md#7-component-anatomy-model,exact per-ID ledger,Approved,exact per-ID ledger,User-provided,exact per-ID ledger,Not verified,exact per-ID ledger,None,exact per-ID ledger,Not verified,exact per-ID ledger,Approved (structural completeness requirement); project-owner-approved KBDL-007/008 implementation prompt,exact per-ID ledger,Manual completeness review per component,exact per-ID ledger,Not verified — no implementation exists yet,exact per-ID ledger,Implementation-dependent; cannot be tested until real components exist,exact per-ID ledger,None — Approved,exact per-ID ledger,None,exact per-ID ledger,None,exact per-ID ledger,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,exact per-ID ledger
KBDL-CMP-002,Shared component contract; native-semantics-first rule; accessible naming; component state model; KBDL-008 scope boundary; focus/keyboard/pointer behavior; responsive/target-size/theme/foundation/motion mapping; cross-component composition; profile compatibility,exact per-ID ledger,KBDL-007,exact per-ID ledger,components-core.md#5-native-semantics-first-rule,exact per-ID ledger,Approved,exact per-ID ledger,Confirmed,exact per-ID ledger,Not verified,exact per-ID ledger,None,exact per-ID ledger,Not verified,exact per-ID ledger,Approved (directly restates WCAG 2.2 SC 4.1.2 and the WAI-ARIA First Rule of ARIA Use),exact per-ID ledger,Manual + automated static accessibility check once implemented,exact per-ID ledger,Not verified — no implementation exists yet,exact per-ID ledger,Implementation-dependent; cannot be tested until real components exist,exact per-ID ledger,None — Approved,exact per-ID ledger,None,exact per-ID ledger,None,exact per-ID ledger,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,exact per-ID ledger
KBDL-CMP-003,Shared component contract; native-semantics-first rule; accessible naming; component state model; KBDL-008 scope boundary; focus/keyboard/pointer behavior; responsive/target-size/theme/foundation/motion mapping; cross-component composition; profile compatibility,exact per-ID ledger,KBDL-007,exact per-ID ledger,components-core.md#10-accessible-naming-and-description,exact per-ID ledger,Approved,exact per-ID ledger,Confirmed,exact per-ID ledger,Not verified,exact per-ID ledger,None,exact per-ID ledger,Not verified,exact per-ID ledger,Approved (directly restates WCAG 2.2 SC 4.1.2 and SC 2.5.3),exact per-ID ledger,Manual + automated static accessibility check once implemented,exact per-ID ledger,Not verified — no implementation exists yet,exact per-ID ledger,Implementation-dependent; cannot be tested until real components exist,exact per-ID ledger,None — Approved,exact per-ID ledger,None,exact per-ID ledger,None,exact per-ID ledger,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,exact per-ID ledger
KBDL-CMP-004,Shared component contract; native-semantics-first rule; accessible naming; component state model; KBDL-008 scope boundary; focus/keyboard/pointer behavior; responsive/target-size/theme/foundation/motion mapping; cross-component composition; profile compatibility,exact per-ID ledger,KBDL-007,exact per-ID ledger,components-core.md#8-component-state-model; components-core.md#9-interaction-state-priority,exact per-ID ledger,Approved,exact per-ID ledger,Confirmed,exact per-ID ledger,Not verified,exact per-ID ledger,None,exact per-ID ledger,Not verified,exact per-ID ledger,Approved (directly restates the locked component-state-clarity rule); project-owner-approved KBDL-007/008 implementation prompt,exact per-ID ledger,Manual review once implemented,exact per-ID ledger,Not verified — no implementation exists yet,exact per-ID ledger,Implementation-dependent; cannot be tested until real components exist,exact per-ID ledger,None — Approved,exact per-ID ledger,None,exact per-ID ledger,None,exact per-ID ledger,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,exact per-ID ledger
KBDL-CMP-005,Shared component contract; native-semantics-first rule; accessible naming; component state model; KBDL-008 scope boundary; focus/keyboard/pointer behavior; responsive/target-size/theme/foundation/motion mapping; cross-component composition; profile compatibility,exact per-ID ledger,KBDL-007,exact per-ID ledger,components-core.md#11-kbdl-008-scope-boundary,exact per-ID ledger,Approved,exact per-ID ledger,Confirmed,exact per-ID ledger,Not applicable,exact per-ID ledger,None,exact per-ID ledger,None,exact per-ID ledger,Approved (scope-control requirement); project-owner-approved KBDL-007/008 implementation prompt,exact per-ID ledger,"Manual scope-compliance review (performed, see implementation report)",exact per-ID ledger,Not verified — no implementation exists yet,exact per-ID ledger,Implementation-dependent; cannot be tested until real components exist,exact per-ID ledger,None — Approved,exact per-ID ledger,None,exact per-ID ledger,None,exact per-ID ledger,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,exact per-ID ledger
KBDL-CMP-006,Shared component contract; native-semantics-first rule; accessible naming; component state model; KBDL-008 scope boundary; focus/keyboard/pointer behavior; responsive/target-size/theme/foundation/motion mapping; cross-component composition; profile compatibility,exact per-ID ledger,KBDL-007,exact per-ID ledger,components-core.md#12-focus-behavior,exact per-ID ledger,Approved,exact per-ID ledger,Confirmed,exact per-ID ledger,Not verified,exact per-ID ledger,None,exact per-ID ledger,Not verified,exact per-ID ledger,Approved (directly restates WCAG 2.2 SC 2.4.7 and SC 2.4.11),exact per-ID ledger,Manual keyboard-focus review once implemented,exact per-ID ledger,Not verified — no implementation exists yet,exact per-ID ledger,Implementation-dependent; cannot be tested until real components exist,exact per-ID ledger,None — Approved,exact per-ID ledger,None,exact per-ID ledger,None,exact per-ID ledger,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,exact per-ID ledger
KBDL-CMP-007,Shared component contract; native-semantics-first rule; accessible naming; component state model; KBDL-008 scope boundary; focus/keyboard/pointer behavior; responsive/target-size/theme/foundation/motion mapping; cross-component composition; profile compatibility,exact per-ID ledger,KBDL-007,exact per-ID ledger,components-core.md#13-keyboard-interaction,exact per-ID ledger,Approved,exact per-ID ledger,Confirmed,exact per-ID ledger,Not verified,exact per-ID ledger,None,exact per-ID ledger,Not verified,exact per-ID ledger,Approved (directly restates WCAG 2.2 SC 2.1.1 and SC 2.1.2),exact per-ID ledger,Manual keyboard testing once implemented,exact per-ID ledger,Not verified — no implementation exists yet,exact per-ID ledger,Implementation-dependent; cannot be tested until real components exist,exact per-ID ledger,None — Approved,exact per-ID ledger,None,exact per-ID ledger,None,exact per-ID ledger,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,exact per-ID ledger
KBDL-CMP-008,Shared component contract; native-semantics-first rule; accessible naming; component state model; KBDL-008 scope boundary; focus/keyboard/pointer behavior; responsive/target-size/theme/foundation/motion mapping; cross-component composition; profile compatibility,exact per-ID ledger,KBDL-007,exact per-ID ledger,components-core.md#14-pointer-and-touch-interaction,exact per-ID ledger,Approved,exact per-ID ledger,Confirmed,exact per-ID ledger,Not verified,exact per-ID ledger,None,exact per-ID ledger,Not verified,exact per-ID ledger,Approved (directly restates WCAG 2.2 SC 2.5.2 and SC 2.5.8),exact per-ID ledger,Manual pointer/touch testing once implemented,exact per-ID ledger,Not verified — no implementation exists yet,exact per-ID ledger,Implementation-dependent; cannot be tested until real components exist,exact per-ID ledger,None — Approved,exact per-ID ledger,None,exact per-ID ledger,None,exact per-ID ledger,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,exact per-ID ledger
KBDL-CMP-009,Shared component contract; native-semantics-first rule; accessible naming; component state model; KBDL-008 scope boundary; focus/keyboard/pointer behavior; responsive/target-size/theme/foundation/motion mapping; cross-component composition; profile compatibility,exact per-ID ledger,KBDL-007,exact per-ID ledger,components-core.md#15-responsive-behavior,exact per-ID ledger,Approved,exact per-ID ledger,Confirmed,exact per-ID ledger,Not verified,exact per-ID ledger,None,exact per-ID ledger,Not verified,exact per-ID ledger,"Approved (directly restates KBDL-RSP-001, 006, 007, 020)",exact per-ID ledger,Manual reflow/zoom testing once implemented,exact per-ID ledger,Not verified — no implementation exists yet,exact per-ID ledger,Implementation-dependent; cannot be tested until real components exist,exact per-ID ledger,None — Approved,exact per-ID ledger,None,exact per-ID ledger,None,exact per-ID ledger,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,exact per-ID ledger
KBDL-CMP-010,Shared component contract; native-semantics-first rule; accessible naming; component state model; KBDL-008 scope boundary; focus/keyboard/pointer behavior; responsive/target-size/theme/foundation/motion mapping; cross-component composition; profile compatibility,exact per-ID ledger,KBDL-007,exact per-ID ledger,components-core.md#16-target-size-handling,exact per-ID ledger,Approved,exact per-ID ledger,Confirmed,exact per-ID ledger,Not verified,exact per-ID ledger,None,exact per-ID ledger,Not verified,exact per-ID ledger,Approved (directly restates KBDL-A11Y-020),exact per-ID ledger,Manual measurement once implemented,exact per-ID ledger,Not verified — no implementation exists yet,exact per-ID ledger,Implementation-dependent; cannot be tested until real components exist,exact per-ID ledger,None — Approved,exact per-ID ledger,None,exact per-ID ledger,None,exact per-ID ledger,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,exact per-ID ledger
KBDL-CMP-011,Shared component contract; native-semantics-first rule; accessible naming; component state model; KBDL-008 scope boundary; focus/keyboard/pointer behavior; responsive/target-size/theme/foundation/motion mapping; cross-component composition; profile compatibility,exact per-ID ledger,KBDL-007,exact per-ID ledger,components-core.md#17-theme-and-contrast-behavior,exact per-ID ledger,Approved,exact per-ID ledger,Confirmed,exact per-ID ledger,Not verified,exact per-ID ledger,None,exact per-ID ledger,Not verified,exact per-ID ledger,Approved (directly restates the approved theme architecture); project-owner-approved KBDL-007/008 implementation prompt,exact per-ID ledger,Manual theme-role mapping review once implemented,exact per-ID ledger,Not verified — no implementation exists yet,exact per-ID ledger,Implementation-dependent; cannot be tested until real components exist,exact per-ID ledger,None — Approved,exact per-ID ledger,None,exact per-ID ledger,None,exact per-ID ledger,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,exact per-ID ledger
KBDL-CMP-012,Shared component contract; native-semantics-first rule; accessible naming; component state model; KBDL-008 scope boundary; focus/keyboard/pointer behavior; responsive/target-size/theme/foundation/motion mapping; cross-component composition; profile compatibility,exact per-ID ledger,KBDL-007,exact per-ID ledger,components-core.md#18-foundation-behavior,exact per-ID ledger,Approved,exact per-ID ledger,Confirmed,exact per-ID ledger,Not verified,exact per-ID ledger,None,exact per-ID ledger,Not verified,exact per-ID ledger,Approved (directly restates the approved foundation architecture); project-owner-approved KBDL-007/008 implementation prompt,exact per-ID ledger,Manual foundation-mapping review once implemented,exact per-ID ledger,Not verified — no implementation exists yet,exact per-ID ledger,Implementation-dependent; cannot be tested until real components exist,exact per-ID ledger,None — Approved,exact per-ID ledger,None,exact per-ID ledger,None,exact per-ID ledger,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,exact per-ID ledger
KBDL-CMP-013,Shared component contract; native-semantics-first rule; accessible naming; component state model; KBDL-008 scope boundary; focus/keyboard/pointer behavior; responsive/target-size/theme/foundation/motion mapping; cross-component composition; profile compatibility,exact per-ID ledger,KBDL-007,exact per-ID ledger,components-core.md#19-motion-behavior,exact per-ID ledger,Approved,exact per-ID ledger,Confirmed,exact per-ID ledger,Not verified,exact per-ID ledger,None,exact per-ID ledger,Not verified,exact per-ID ledger,"Approved (structural requirement — the obligation to document motion necessity/purpose/hierarchy/parity per component is itself Approved; the *exact* component-specific duration, distance, scale, stagger, easing, choreography, or rendering-technology mapping for any individual component is not newly approved by this requirement where no prior approved KBDL rule already supplies it — such exact mappings remain governed by the existing motion unresolved/not-approval-ready items in motion/README.md §10.3 and this module's own §36); project-owner-approved KBDL-007/008 implementation prompt",exact per-ID ledger,Manual review once implemented,exact per-ID ledger,Not verified — no implementation exists yet,exact per-ID ledger,Implementation-dependent; cannot be tested until real components exist,exact per-ID ledger,None — Approved,exact per-ID ledger,None,exact per-ID ledger,None,exact per-ID ledger,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,exact per-ID ledger
KBDL-CMP-014,"Button, Icon Button, Toggle Button, Link, Button Group, Disclosure/Menu Trigger",exact per-ID ledger,KBDL-007,exact per-ID ledger,components-core.md#201-button,exact per-ID ledger,Approved,exact per-ID ledger,Confirmed,exact per-ID ledger,Not verified,exact per-ID ledger,None,exact per-ID ledger,Not verified,exact per-ID ledger,Approved (core restates native-semantics-first and state-model rules); project-owner-approved KBDL-007/008 implementation prompt,exact per-ID ledger,Manual review once implemented,exact per-ID ledger,Not verified — no implementation exists yet,exact per-ID ledger,Implementation-dependent,exact per-ID ledger,None — Approved,exact per-ID ledger,None,exact per-ID ledger,None,exact per-ID ledger,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,exact per-ID ledger
KBDL-CMP-015,"Button, Icon Button, Toggle Button, Link, Button Group, Disclosure/Menu Trigger",exact per-ID ledger,KBDL-007,exact per-ID ledger,components-core.md#201-button; components-core.md#35-kbdl-007-decision-packet,exact per-ID ledger,Recommended,exact per-ID ledger,Assumed,exact per-ID ledger,Not applicable,exact per-ID ledger,None,exact per-ID ledger,None,exact per-ID ledger,Recommended (new component taxonomy),exact per-ID ledger,Project-owner review (not yet performed),exact per-ID ledger,Not verified — no implementation exists yet,exact per-ID ledger,Implementation-dependent,exact per-ID ledger,components-core.md — 35.2 Recommended Decisions — Ready for Approval — item 1,exact per-ID ledger,None,exact per-ID ledger,None,exact per-ID ledger,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,exact per-ID ledger
KBDL-CMP-016,"Button, Icon Button, Toggle Button, Link, Button Group, Disclosure/Menu Trigger",exact per-ID ledger,KBDL-007,exact per-ID ledger,components-core.md#202-icon-button,exact per-ID ledger,Approved,exact per-ID ledger,Confirmed,exact per-ID ledger,Not verified,exact per-ID ledger,None,exact per-ID ledger,Not verified,exact per-ID ledger,Approved (directly restates WCAG 2.2 SC 4.1.2),exact per-ID ledger,Manual + automated static accessibility check once implemented,exact per-ID ledger,Not verified — no implementation exists yet,exact per-ID ledger,Implementation-dependent,exact per-ID ledger,None — Approved,exact per-ID ledger,None,exact per-ID ledger,None,exact per-ID ledger,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,exact per-ID ledger
KBDL-CMP-017,"Button, Icon Button, Toggle Button, Link, Button Group, Disclosure/Menu Trigger",exact per-ID ledger,KBDL-007,exact per-ID ledger,components-core.md#202-icon-button,exact per-ID ledger,Recommended,exact per-ID ledger,Assumed,exact per-ID ledger,Not applicable,exact per-ID ledger,None,exact per-ID ledger,None,exact per-ID ledger,Recommended (new threshold guidance),exact per-ID ledger,Project-owner review (not yet performed),exact per-ID ledger,Not verified — no implementation exists yet,exact per-ID ledger,Implementation-dependent,exact per-ID ledger,components-core.md — 35.2 Recommended Decisions — Ready for Approval — item 3,exact per-ID ledger,None,exact per-ID ledger,None,exact per-ID ledger,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,exact per-ID ledger
KBDL-CMP-018,"Button, Icon Button, Toggle Button, Link, Button Group, Disclosure/Menu Trigger",exact per-ID ledger,KBDL-007,exact per-ID ledger,components-core.md#203-toggle-button,exact per-ID ledger,Approved,exact per-ID ledger,Confirmed,exact per-ID ledger,Not verified,exact per-ID ledger,None,exact per-ID ledger,Not verified,exact per-ID ledger,Approved (directly restates WAI-ARIA),exact per-ID ledger,Manual ARIA review once implemented,exact per-ID ledger,Not verified — no implementation exists yet,exact per-ID ledger,Implementation-dependent,exact per-ID ledger,None — Approved,exact per-ID ledger,None,exact per-ID ledger,None,exact per-ID ledger,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,exact per-ID ledger
KBDL-CMP-019,"Button, Icon Button, Toggle Button, Link, Button Group, Disclosure/Menu Trigger",exact per-ID ledger,KBDL-007,exact per-ID ledger,components-core.md#204-link,exact per-ID ledger,Approved,exact per-ID ledger,Confirmed,exact per-ID ledger,Not verified,exact per-ID ledger,None,exact per-ID ledger,Not verified,exact per-ID ledger,Approved (directly restates WCAG 2.2 SC 2.4.4),exact per-ID ledger,Manual review once implemented,exact per-ID ledger,Not verified — no implementation exists yet,exact per-ID ledger,Implementation-dependent,exact per-ID ledger,None — Approved,exact per-ID ledger,None,exact per-ID ledger,None,exact per-ID ledger,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,exact per-ID ledger
KBDL-CMP-020,"Button, Icon Button, Toggle Button, Link, Button Group, Disclosure/Menu Trigger",exact per-ID ledger,KBDL-007,exact per-ID ledger,components-core.md#205-button-group; components-core.md#35-kbdl-007-decision-packet,exact per-ID ledger,Recommended,exact per-ID ledger,Assumed,exact per-ID ledger,Not applicable,exact per-ID ledger,None,exact per-ID ledger,None,exact per-ID ledger,Recommended (new composition guidance),exact per-ID ledger,Project-owner review (not yet performed),exact per-ID ledger,Not verified — no implementation exists yet,exact per-ID ledger,Implementation-dependent,exact per-ID ledger,components-core.md — 35.2 Recommended Decisions — Ready for Approval — item 9,exact per-ID ledger,None,exact per-ID ledger,None,exact per-ID ledger,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,exact per-ID ledger
KBDL-CMP-021,"Button, Icon Button, Toggle Button, Link, Button Group, Disclosure/Menu Trigger",exact per-ID ledger,KBDL-007,exact per-ID ledger,components-core.md#206-disclosure-and-menu-triggers,exact per-ID ledger,Approved,exact per-ID ledger,Confirmed,exact per-ID ledger,Not verified,exact per-ID ledger,None,exact per-ID ledger,Not verified,exact per-ID ledger,Approved (directly restates the WAI-ARIA disclosure pattern),exact per-ID ledger,Manual keyboard review once implemented,exact per-ID ledger,Not verified — no implementation exists yet,exact per-ID ledger,Implementation-dependent,exact per-ID ledger,None — Approved,exact per-ID ledger,None,exact per-ID ledger,None,exact per-ID ledger,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,exact per-ID ledger
KBDL-CMP-022,"Shared field model; Text Input, Password Input, Search Field, Textarea, Select, Combobox, Checkbox, Radio Group, Switch, File Input, Field Group, Form Action Row; form validation and recovery",exact per-ID ledger,KBDL-007,exact per-ID ledger,components-core.md#21-form-architecture,exact per-ID ledger,Approved,exact per-ID ledger,Confirmed,exact per-ID ledger,Not verified,exact per-ID ledger,None,exact per-ID ledger,Not verified,exact per-ID ledger,"Approved (directly restates WCAG 2.2 SC 3.3.2, SC 1.3.5, SC 3.3.7)",exact per-ID ledger,Manual + automated static check once implemented,exact per-ID ledger,Not verified — no implementation exists yet,exact per-ID ledger,Implementation-dependent,exact per-ID ledger,None — Approved,exact per-ID ledger,None,exact per-ID ledger,None,exact per-ID ledger,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,exact per-ID ledger
KBDL-CMP-023,"Shared field model; Text Input, Password Input, Search Field, Textarea, Select, Combobox, Checkbox, Radio Group, Switch, File Input, Field Group, Form Action Row; form validation and recovery",exact per-ID ledger,KBDL-007,exact per-ID ledger,components-core.md#221-text-input,exact per-ID ledger,Approved,exact per-ID ledger,Confirmed,exact per-ID ledger,Not verified,exact per-ID ledger,None,exact per-ID ledger,Not verified,exact per-ID ledger,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,exact per-ID ledger,Manual review once implemented,exact per-ID ledger,Not verified — no implementation exists yet,exact per-ID ledger,Implementation-dependent,exact per-ID ledger,None — Approved,exact per-ID ledger,None,exact per-ID ledger,None,exact per-ID ledger,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,exact per-ID ledger
KBDL-CMP-024,"Shared field model; Text Input, Password Input, Search Field, Textarea, Select, Combobox, Checkbox, Radio Group, Switch, File Input, Field Group, Form Action Row; form validation and recovery",exact per-ID ledger,KBDL-007,exact per-ID ledger,components-core.md#222-password-input,exact per-ID ledger,Approved,exact per-ID ledger,Confirmed,exact per-ID ledger,Not verified,exact per-ID ledger,None,exact per-ID ledger,Not verified,exact per-ID ledger,Approved (directly restates WCAG 2.2 SC 3.3.8),exact per-ID ledger,Manual review once implemented,exact per-ID ledger,Not verified — no implementation exists yet,exact per-ID ledger,Implementation-dependent,exact per-ID ledger,None — Approved,exact per-ID ledger,None,exact per-ID ledger,None,exact per-ID ledger,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,exact per-ID ledger
