Requirement ID,Authoritative limitation,Readable-group limitation,Effective limitation,Remaining unverified scope,Match,Result
KBDL-CMP-101,None explicit,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point,Not verified,True,PASS
KBDL-CMP-102,None explicit,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point,None,True,PASS
KBDL-CMP-103,None explicit,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point,Not verified,True,PASS
KBDL-CMP-104,None explicit,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point,Not verified,True,PASS
KBDL-CMP-105,None explicit,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point,None,True,PASS
KBDL-CMP-106,None explicit,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point,None,True,PASS
KBDL-CMP-107,None explicit,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point,Not verified,True,PASS
KBDL-CMP-108,None explicit,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point,None,True,PASS
KBDL-CMP-109,None explicit,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point,Not verified,True,PASS
KBDL-CMP-110,None explicit,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point,None,True,PASS
KBDL-CMP-111,None explicit,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point,None,True,PASS
KBDL-CUS-001,No project customization exists to test,Exact local operational policies remain Recommended; implementation behavior is absent,No project customization exists to test,Not verified,True,PASS
KBDL-CUS-002,Project records are not available,Exact local operational policies remain Recommended; implementation behavior is absent,Project records are not available,Not verified,True,PASS
KBDL-CUS-003,Classification has not been applied to a real request,Exact local operational policies remain Recommended; implementation behavior is absent,Classification has not been applied to a real request,Not verified,True,PASS
KBDL-CUS-004,Implementation choices are project-specific,Exact local operational policies remain Recommended; implementation behavior is absent,Implementation choices are project-specific,Not verified,True,PASS
KBDL-CUS-005,Actual assets require project review,Exact local operational policies remain Recommended; implementation behavior is absent,Actual assets require project review,Not verified,True,PASS
KBDL-CUS-006,Exact reuse threshold is Recommended,Exact local operational policies remain Recommended; implementation behavior is absent,Exact reuse threshold is Recommended,Not verified,True,PASS
KBDL-CUS-007,No exception is created here,Exact local operational policies remain Recommended; implementation behavior is absent,No exception is created here,Not verified,True,PASS
KBDL-CUS-008,No real workflow history exists,Exact local operational policies remain Recommended; implementation behavior is absent,No real workflow history exists,Not verified,True,PASS
KBDL-CUS-009,Inapplicable fields require project rationale,Exact local operational policies remain Recommended; implementation behavior is absent,Inapplicable fields require project rationale,Not verified,True,PASS
KBDL-CUS-010,No machine-readable format is mandated,Exact local operational policies remain Recommended; implementation behavior is absent,No machine-readable format is mandated,Not verified,True,PASS
KBDL-CUS-011,Final KBDL validation remains later scope,Exact local operational policies remain Recommended; implementation behavior is absent,Final KBDL validation remains later scope,Not verified,True,PASS
KBDL-CUS-012,Exact cadence/expiry are Recommended,Exact local operational policies remain Recommended; implementation behavior is absent,Exact cadence/expiry are Recommended,Not verified,True,PASS
KBDL-CUS-013,Project implementation absent,No project implementation exists; every listed earlier recommendation remains excluded,Project implementation absent,Not verified,True,PASS
KBDL-CUS-014,Pending theme items remain excluded,No project implementation exists; every listed earlier recommendation remains excluded,Pending theme items remain excluded,Not verified,True,PASS
KBDL-CUS-015,Exact component values and technology remain excluded,No project implementation exists; every listed earlier recommendation remains excluded,Exact component values and technology remain excluded,Not verified,True,PASS
KBDL-CUS-016,Pending exact values remain excluded,No project implementation exists; every listed earlier recommendation remains excluded,Pending exact values remain excluded,Not verified,True,PASS
KBDL-CUS-017,Implementation testing is absent,No project implementation exists; every listed earlier recommendation remains excluded,Implementation testing is absent,Not verified,True,PASS
KBDL-CUS-018,Pending KBDL-007 items remain excluded,No project implementation exists; every listed earlier recommendation remains excluded,Pending KBDL-007 items remain excluded,Not verified,True,PASS
KBDL-CUS-019,Pending KBDL-008 items remain excluded,No project implementation exists; every listed earlier recommendation remains excluded,Pending KBDL-008 items remain excluded,Not verified,True,PASS
KBDL-CUS-020,Pending KBDL-009 policies remain excluded,No project implementation exists; every listed earlier recommendation remains excluded,Pending KBDL-009 policies remain excluded,Not verified,True,PASS
KBDL-CUS-021,Backend architecture is out of scope,No project implementation exists; every listed earlier recommendation remains excluded,Backend architecture is out of scope,Not verified,True,PASS
KBDL-CUS-022,No implementation handoff exists,No project implementation exists; every listed earlier recommendation remains excluded,No implementation handoff exists,Not verified,True,PASS
KBDL-CUS-023,Records use a visible placeholder meanwhile,Exact policies are not authorized,Records use a visible placeholder meanwhile,None,True,PASS
KBDL-CUS-024,Current governance does not define exact local roles,Exact policies are not authorized,Current governance does not define exact local roles,None,True,PASS
KBDL-CUS-025,KBDL-011 does not approve this discretionary policy,Exact policies are not authorized,KBDL-011 does not approve this discretionary policy,None,True,PASS
KBDL-CUS-026,No default time period is authorized,Exact policies are not authorized,No default time period is authorized,None,True,PASS
KBDL-CUS-027,Conflicts stop under current rules,Exact policies are not authorized,Conflicts stop under current rules,None,True,PASS
KBDL-CUS-028,Reuse always triggers review until a threshold is approved,Exact policies are not authorized,Reuse always triggers review until a threshold is approved,None,True,PASS
KBDL-CUS-029,Exact retention and evidence rules are not authorized,Exact policies are not authorized,Exact retention and evidence rules are not authorized,None,True,PASS
KBDL-CUS-030,"No JSON, YAML, schema, API, plugin, or automation is authorized",No machine-readable format or tooling is authorized,"No JSON, YAML, schema, API, plugin, or automation is authorized",None,True,PASS
KBDL-FND-001,None explicit,Cannot be fully validated until THM and CMP requirements exist,Cannot be fully validated until THM and CMP requirements exist,Not verified,True,PASS
KBDL-FND-002,None explicit,Cannot be fully validated until THM and CMP requirements exist,Cannot be fully validated until THM and CMP requirements exist,Not verified,True,PASS
KBDL-FND-003,None explicit,Cannot be fully validated until RSP requirements exist,Cannot be fully validated until RSP requirements exist,Not verified,True,PASS
KBDL-FND-004,None explicit,Cannot be fully validated until RSP requirements exist,Cannot be fully validated until RSP requirements exist,Not verified,True,PASS
KBDL-FND-005,None explicit,None identified,No implementation exists to execute the stated typography validation method,Not verified,True,PASS
KBDL-FND-006,None explicit,None identified,No implementation exists to execute the stated iconography validation method,Not verified,True,PASS
KBDL-FND-007,None explicit,None identified,No implementation exists to execute the stated spacing validation method,Not verified,True,PASS
KBDL-FND-008,None explicit,Cannot be fully validated until PRO requirements exist,Cannot be fully validated until PRO requirements exist,Not verified,True,PASS
KBDL-FND-009,None explicit,"Approval authorizes these defaults for implementation; it does not itself constitute rendering, brand-suitability, or licensing validation — those remain Not verified as noted above","Approval authorizes these defaults for implementation; it does not itself constitute rendering, brand-suitability, or licensing validation — those remain Not verified as noted above",Verified for the contrast calculations only (see color.md §4); Not verified for suitability as a final brand palette,True,PASS
KBDL-FND-010,None explicit,"Approval authorizes these defaults for implementation; it does not itself constitute rendering, brand-suitability, or licensing validation — those remain Not verified as noted above","Approval authorizes these defaults for implementation; it does not itself constitute rendering, brand-suitability, or licensing validation — those remain Not verified as noted above",Not verified,True,PASS
KBDL-FND-011,None explicit,"Approval authorizes these defaults for implementation; it does not itself constitute rendering, brand-suitability, or licensing validation — those remain Not verified as noted above","Approval authorizes these defaults for implementation; it does not itself constitute rendering, brand-suitability, or licensing validation — those remain Not verified as noted above",Not verified,True,PASS
KBDL-FND-012,None explicit,"Approval authorizes these defaults for implementation; it does not itself constitute rendering, brand-suitability, or licensing validation — those remain Not verified as noted above","Approval authorizes these defaults for implementation; it does not itself constitute rendering, brand-suitability, or licensing validation — those remain Not verified as noted above",Not verified,True,PASS
KBDL-GOV-001,None explicit,"No automated Markdown linter or link checker was available in this environment; verification is manual, not tool-based","No automated Markdown linter or link checker was available in this environment; verification is manual, not tool-based",None,True,PASS
KBDL-GOV-002,None explicit,"Cannot be validated against a real accessibility requirement, since none exist yet","Cannot be validated against a real accessibility requirement, since none exist yet",Not verified,True,PASS
KBDL-GOV-003,None explicit,None identified,None identified,None,True,PASS
KBDL-MOT-001,None explicit,"Per-component purpose assignment depends on the Components module (CMP), not yet reached","Per-component purpose assignment depends on the Components module (CMP), not yet reached",Not verified,True,PASS
KBDL-MOT-002,None explicit,"Per-component purpose assignment depends on the Components module (CMP), not yet reached","Per-component purpose assignment depends on the Components module (CMP), not yet reached",Not verified,True,PASS
KBDL-MOT-003,None explicit,"Per-component purpose assignment depends on the Components module (CMP), not yet reached","Per-component purpose assignment depends on the Components module (CMP), not yet reached",Not verified,True,PASS
KBDL-MOT-004,None explicit,"Exceptional-level (Level 4) usage requires project-owner review each time; not yet exercised, since no implementation exists","Exceptional-level (Level 4) usage requires project-owner review each time; not yet exercised, since no implementation exists",Not verified,True,PASS
KBDL-MOT-005,None explicit,"Exceptional-level (Level 4) usage requires project-owner review each time; not yet exercised, since no implementation exists","Exceptional-level (Level 4) usage requires project-owner review each time; not yet exercised, since no implementation exists",Not verified,True,PASS
KBDL-MOT-006,None explicit,"Exceptional-level (Level 4) usage requires project-owner review each time; not yet exercised, since no implementation exists","Exceptional-level (Level 4) usage requires project-owner review each time; not yet exercised, since no implementation exists",Not verified,True,PASS
KBDL-MOT-007,None explicit,"Approval is a lifecycle decision, not implementation validation; these values must not be treated as Verified until an implementation exists and is measured","Approval is a lifecycle decision, not implementation validation; these values must not be treated as Verified until an implementation exists and is measured",Not verified,True,PASS
KBDL-MOT-008,None explicit,"Approval is a lifecycle decision, not implementation validation; these values must not be treated as Verified until an implementation exists and is measured","Approval is a lifecycle decision, not implementation validation; these values must not be treated as Verified until an implementation exists and is measured",None,True,PASS
KBDL-MOT-009,None explicit,"Approval is a lifecycle decision, not implementation validation; these values must not be treated as Verified until an implementation exists and is measured","Approval is a lifecycle decision, not implementation validation; these values must not be treated as Verified until an implementation exists and is measured",None,True,PASS
KBDL-MOT-010,None explicit,Exact pixel/percentage movement and scale values are deferred to the Components module,Exact pixel/percentage movement and scale values are deferred to the Components module,Not verified,True,PASS
KBDL-MOT-011,None explicit,Exact pixel/percentage movement and scale values are deferred to the Components module,Exact pixel/percentage movement and scale values are deferred to the Components module,Not verified,True,PASS
KBDL-MOT-012,None explicit,Exact pixel/percentage movement and scale values are deferred to the Components module,Exact pixel/percentage movement and scale values are deferred to the Components module,Not verified,True,PASS
KBDL-MOT-013,None explicit,Exact repetition limits (attention motion) and scroll thresholds remain qualitative pending implementation-level review,Exact repetition limits (attention motion) and scroll thresholds remain qualitative pending implementation-level review,Not verified,True,PASS
KBDL-MOT-014,None explicit,Exact repetition limits (attention motion) and scroll thresholds remain qualitative pending implementation-level review,Exact repetition limits (attention motion) and scroll thresholds remain qualitative pending implementation-level review,Not verified,True,PASS
KBDL-MOT-015,None explicit,Exact repetition limits (attention motion) and scroll thresholds remain qualitative pending implementation-level review,Exact repetition limits (attention motion) and scroll thresholds remain qualitative pending implementation-level review,Not verified,True,PASS
KBDL-MOT-016,None explicit,Exact repetition limits (attention motion) and scroll thresholds remain qualitative pending implementation-level review,Exact repetition limits (attention motion) and scroll thresholds remain qualitative pending implementation-level review,Not verified,True,PASS
KBDL-MOT-017,None explicit,Exact repetition limits (attention motion) and scroll thresholds remain qualitative pending implementation-level review,Exact repetition limits (attention motion) and scroll thresholds remain qualitative pending implementation-level review,Not verified,True,PASS
KBDL-MOT-018,None explicit,Exact repetition limits (attention motion) and scroll thresholds remain qualitative pending implementation-level review,Exact repetition limits (attention motion) and scroll thresholds remain qualitative pending implementation-level review,Not verified,True,PASS
KBDL-MOT-019,None explicit,Exact repetition limits (attention motion) and scroll thresholds remain qualitative pending implementation-level review,Exact repetition limits (attention motion) and scroll thresholds remain qualitative pending implementation-level review,Not verified,True,PASS
KBDL-MOT-020,None explicit,No intermediate-frame contrast measurement has actually been performed against a live implementation,No intermediate-frame contrast measurement has actually been performed against a live implementation,Not verified,True,PASS
KBDL-MOT-021,None explicit,"No implementation exists to measure actual frame rate, input latency, or cross-input-method behavior","No implementation exists to measure actual frame rate, input latency, or cross-input-method behavior",Not verified,True,PASS
KBDL-MOT-022,None explicit,"No implementation exists to measure actual frame rate, input latency, or cross-input-method behavior","No implementation exists to measure actual frame rate, input latency, or cross-input-method behavior",Not verified,True,PASS
KBDL-MOT-023,None explicit,"No implementation exists to measure actual frame rate, input latency, or cross-input-method behavior","No implementation exists to measure actual frame rate, input latency, or cross-input-method behavior",Not verified,True,PASS
KBDL-MOT-024,None explicit,"No implementation exists to measure actual frame rate, input latency, or cross-input-method behavior","No implementation exists to measure actual frame rate, input latency, or cross-input-method behavior",Not verified,True,PASS
KBDL-MOT-025,None explicit,"No implementation exists to measure actual frame rate, input latency, or cross-input-method behavior","No implementation exists to measure actual frame rate, input latency, or cross-input-method behavior",Not verified,True,PASS
KBDL-MOT-026,None explicit,"No implementation exists to measure actual frame rate, input latency, or cross-input-method behavior","No implementation exists to measure actual frame rate, input latency, or cross-input-method behavior",Not verified,True,PASS
KBDL-MOT-027,None explicit,"No implementation exists to measure actual frame rate, input latency, or cross-input-method behavior","No implementation exists to measure actual frame rate, input latency, or cross-input-method behavior",None,True,PASS
KBDL-MOT-028,None explicit,"Approval is a lifecycle decision, not implementation validation; these values must not be treated as Verified until an implementation exists and is measured","Approval is a lifecycle decision, not implementation validation; these values must not be treated as Verified until an implementation exists and is measured",None,True,PASS
KBDL-MOT-029,None explicit,"Approval is a lifecycle decision, not implementation validation; these values must not be treated as Verified until an implementation exists and is measured","Approval is a lifecycle decision, not implementation validation; these values must not be treated as Verified until an implementation exists and is measured",None,True,PASS
KBDL-MOT-030,None explicit,"Approval is a lifecycle decision, not implementation validation; these values must not be treated as Verified until an implementation exists and is measured","Approval is a lifecycle decision, not implementation validation; these values must not be treated as Verified until an implementation exists and is measured",Not verified,True,PASS
KBDL-MOT-031,None explicit,"Approval is a lifecycle decision, not implementation validation; these values must not be treated as Verified until an implementation exists and is measured","Approval is a lifecycle decision, not implementation validation; these values must not be treated as Verified until an implementation exists and is measured",Not verified,True,PASS
KBDL-MOT-032,None explicit,"Approval is a lifecycle decision, not implementation validation; these values must not be treated as Verified until an implementation exists and is measured","Approval is a lifecycle decision, not implementation validation; these values must not be treated as Verified until an implementation exists and is measured",None,True,PASS
KBDL-MOT-033,None explicit,"Approval is a lifecycle decision, not implementation validation; these values must not be treated as Verified until an implementation exists and is measured","Approval is a lifecycle decision, not implementation validation; these values must not be treated as Verified until an implementation exists and is measured",None,True,PASS
KBDL-MOT-034,None explicit,"Approval is a lifecycle decision, not implementation validation; these values must not be treated as Verified until an implementation exists and is measured","Approval is a lifecycle decision, not implementation validation; these values must not be treated as Verified until an implementation exists and is measured",Not verified,True,PASS
KBDL-PRN-001,None explicit,"Cannot be checked against real foundation, theme, or component content until those modules exist","Cannot be checked against real foundation, theme, or component content until those modules exist",Not verified,True,PASS
KBDL-PRN-002,None explicit,No real design decisions exist yet to test the priority order against,No real design decisions exist yet to test the priority order against,Not verified,True,PASS
KBDL-PRN-003,None explicit,Complete evidence across every later module is unavailable,Complete evidence across every later module is unavailable,Not verified,True,PASS
KBDL-PRN-004,None explicit,"Cannot be fully validated until FND, THM, and RSP requirements exist","Cannot be fully validated until FND, THM, and RSP requirements exist",Not verified,True,PASS
KBDL-PRN-005,None explicit,Controlled-variable ranges are intentionally undefined pending later modules,Controlled-variable ranges are intentionally undefined pending later modules,Not verified,True,PASS
KBDL-PRN-006,None explicit,None identified,Later-module conflict-resolution behavior has not been executed,Not verified,True,PASS
KBDL-PRN-007,None explicit,Cannot be fully validated until PRO requirements exist,Cannot be fully validated until PRO requirements exist,Not verified,True,PASS
KBDL-PRN-008,None explicit,Examples are conceptual; no mockups or token values exist to check them against yet,Examples are conceptual; no mockups or token values exist to check them against yet,Not verified,True,PASS
KBDL-PRO-001,Implementation-level profile behavior is not verified; no coded project profile exists yet to test against,"KBDL-PRO-001–008: implementation-dependent, not yet verified. KBDL-PRO-009: Recommended, grants no implementation authority pending project-owner review",Implementation-level profile behavior is not verified; no coded project profile exists yet to test against,Not verified,True,PASS
KBDL-PRO-002,Implementation-level profile behavior is not verified; no coded project profile exists yet to test against,"KBDL-PRO-001–008: implementation-dependent, not yet verified. KBDL-PRO-009: Recommended, grants no implementation authority pending project-owner review",Implementation-level profile behavior is not verified; no coded project profile exists yet to test against,Not verified,True,PASS
KBDL-PRO-003,Implementation-level profile behavior is not verified; no coded project profile exists yet to test against,"KBDL-PRO-001–008: implementation-dependent, not yet verified. KBDL-PRO-009: Recommended, grants no implementation authority pending project-owner review",Implementation-level profile behavior is not verified; no coded project profile exists yet to test against,Not verified,True,PASS
KBDL-PRO-004,Implementation-level profile behavior is not verified; no coded project profile exists yet to test against,"KBDL-PRO-001–008: implementation-dependent, not yet verified. KBDL-PRO-009: Recommended, grants no implementation authority pending project-owner review",Implementation-level profile behavior is not verified; no coded project profile exists yet to test against,Not verified,True,PASS
KBDL-PRO-005,"Not applicable — restates an existing scope/governance rule, not independently testable against an implementation","KBDL-PRO-001–008: implementation-dependent, not yet verified. KBDL-PRO-009: Recommended, grants no implementation authority pending project-owner review","Not applicable — restates an existing scope/governance rule, not independently testable against an implementation",Not verified,True,PASS
KBDL-PRO-006,"Not applicable — scope-control requirement, not independently testable against an implementation","KBDL-PRO-001–008: implementation-dependent, not yet verified. KBDL-PRO-009: Recommended, grants no implementation authority pending project-owner review","Not applicable — scope-control requirement, not independently testable against an implementation",None,True,PASS
KBDL-PRO-007,No project profile declaration exists yet to review against this requirement's field list,"KBDL-PRO-001–008: implementation-dependent, not yet verified. KBDL-PRO-009: Recommended, grants no implementation authority pending project-owner review",No project profile declaration exists yet to review against this requirement's field list,None,True,PASS
KBDL-PRO-008,"No project profile declaration exists yet to review against this requirement. Whether a project must select exactly one primary profile, may select a secondary profile, or may use a hybrid model is new governance policy:","KBDL-PRO-001–008: implementation-dependent, not yet verified. KBDL-PRO-009: Recommended, grants no implementation authority pending project-owner review","No project profile declaration exists yet to review against this requirement. Whether a project must select exactly one primary profile, may select a secondary profile, or may use a hybrid model is new governance policy:",None,True,PASS
KBDL-PRO-009,Recommended — grants no implementation authority pending project-owner review; see the decision packet,"KBDL-PRO-001–008: implementation-dependent, not yet verified. KBDL-PRO-009: Recommended, grants no implementation authority pending project-owner review",Recommended — grants no implementation authority pending project-owner review; see the decision packet,None,True,PASS
KBDL-PRO-010,Implementation-level profile behavior is not verified; no coded project profile exists yet to test against. ### 10.2 Component Interpretation,KBDL-PRO-016 additionally depends on the unapproved KBDL-008 KBDL-CMP-067; KBDL-PRO-018 additionally depends on the unapproved KBDL-007 KBDL-CMP-015/036,Implementation-level profile behavior is not verified; no coded project profile exists yet to test against. ### 10.2 Component Interpretation,Not verified,True,PASS
KBDL-PRO-011,Implementation-level profile behavior is not verified; no coded project profile exists yet to test against. ### 11.2 Component Interpretation,KBDL-PRO-016 additionally depends on the unapproved KBDL-008 KBDL-CMP-067; KBDL-PRO-018 additionally depends on the unapproved KBDL-007 KBDL-CMP-015/036,Implementation-level profile behavior is not verified; no coded project profile exists yet to test against. ### 11.2 Component Interpretation,Not verified,True,PASS
KBDL-PRO-012,Implementation-level profile behavior is not verified; no coded project profile exists yet to test against. ### 12.2 Component Interpretation,KBDL-PRO-016 additionally depends on the unapproved KBDL-008 KBDL-CMP-067; KBDL-PRO-018 additionally depends on the unapproved KBDL-007 KBDL-CMP-015/036,Implementation-level profile behavior is not verified; no coded project profile exists yet to test against. ### 12.2 Component Interpretation,Not verified,True,PASS
KBDL-PRO-013,Implementation-level profile behavior is not verified; no coded project profile exists yet to test against. Any exact Showcase card-variant or composition default remains new policy:,KBDL-PRO-016 additionally depends on the unapproved KBDL-008 KBDL-CMP-067; KBDL-PRO-018 additionally depends on the unapproved KBDL-007 KBDL-CMP-015/036,Implementation-level profile behavior is not verified; no coded project profile exists yet to test against. Any exact Showcase card-variant or composition default remains new policy:,Not verified,True,PASS
KBDL-PRO-014,Implementation-level profile behavior is not verified; no coded project profile exists yet to test against. Any exact Precision density or component-variant default remains new policy:,KBDL-PRO-016 additionally depends on the unapproved KBDL-008 KBDL-CMP-067; KBDL-PRO-018 additionally depends on the unapproved KBDL-007 KBDL-CMP-015/036,Implementation-level profile behavior is not verified; no coded project profile exists yet to test against. Any exact Precision density or component-variant default remains new policy:,Not verified,True,PASS
KBDL-PRO-015,Implementation-level profile behavior is not verified; no coded project profile exists yet to test against. Any exact Flow action-hierarchy or workflow-component default remains new policy:,KBDL-PRO-016 additionally depends on the unapproved KBDL-008 KBDL-CMP-067; KBDL-PRO-018 additionally depends on the unapproved KBDL-007 KBDL-CMP-015/036,Implementation-level profile behavior is not verified; no coded project profile exists yet to test against. Any exact Flow action-hierarchy or workflow-component default remains new policy:,Not verified,True,PASS
KBDL-PRO-016,Contingent on the unapproved KBDL-008 KBDL-CMP-067; cannot be approved independently through the KBDL-009 packet until KBDL-CMP-067 is approved or replaced,KBDL-PRO-016 additionally depends on the unapproved KBDL-008 KBDL-CMP-067; KBDL-PRO-018 additionally depends on the unapproved KBDL-007 KBDL-CMP-015/036,Contingent on the unapproved KBDL-008 KBDL-CMP-067; cannot be approved independently through the KBDL-009 packet until KBDL-CMP-067 is approved or replaced,None,True,PASS
KBDL-PRO-017,Recommended — grants no implementation authority pending project-owner review; see the decision packet,KBDL-PRO-016 additionally depends on the unapproved KBDL-008 KBDL-CMP-067; KBDL-PRO-018 additionally depends on the unapproved KBDL-007 KBDL-CMP-015/036,Recommended — grants no implementation authority pending project-owner review; see the decision packet,None,True,PASS
KBDL-PRO-018,Contingent on the unapproved KBDL-007 KBDL-CMP-015/036; cannot be approved independently through the KBDL-009 packet until those are approved or replaced,KBDL-PRO-016 additionally depends on the unapproved KBDL-008 KBDL-CMP-067; KBDL-PRO-018 additionally depends on the unapproved KBDL-007 KBDL-CMP-015/036,Contingent on the unapproved KBDL-007 KBDL-CMP-015/036; cannot be approved independently through the KBDL-009 packet until those are approved or replaced,None,True,PASS
KBDL-PRO-019,Implementation-level profile behavior is not verified; no coded project profile exists yet to test against,"KBDL-PRO-019–026: implementation-dependent, not yet verified. KBDL-PRO-027, 029: Recommended, grants no implementation authority pending project-owner review. KBDL-PRO-028: Recommended, grants no implementation authority pending project-owner review",Implementation-level profile behavior is not verified; no coded project profile exists yet to test against,Not verified,True,PASS
KBDL-PRO-020,Implementation-level profile behavior is not verified; no coded project profile exists yet to test against,"KBDL-PRO-019–026: implementation-dependent, not yet verified. KBDL-PRO-027, 029: Recommended, grants no implementation authority pending project-owner review. KBDL-PRO-028: Recommended, grants no implementation authority pending project-owner review",Implementation-level profile behavior is not verified; no coded project profile exists yet to test against,Not verified,True,PASS
KBDL-PRO-021,Implementation-level profile behavior is not verified; no coded project profile exists yet to test against,"KBDL-PRO-019–026: implementation-dependent, not yet verified. KBDL-PRO-027, 029: Recommended, grants no implementation authority pending project-owner review. KBDL-PRO-028: Recommended, grants no implementation authority pending project-owner review",Implementation-level profile behavior is not verified; no coded project profile exists yet to test against,Not verified,True,PASS
KBDL-PRO-022,Implementation-level profile behavior is not verified; no coded project profile exists yet to test against,"KBDL-PRO-019–026: implementation-dependent, not yet verified. KBDL-PRO-027, 029: Recommended, grants no implementation authority pending project-owner review. KBDL-PRO-028: Recommended, grants no implementation authority pending project-owner review",Implementation-level profile behavior is not verified; no coded project profile exists yet to test against,Not verified,True,PASS
KBDL-PRO-023,Implementation-level profile behavior is not verified; no coded project profile exists yet to test against,"KBDL-PRO-019–026: implementation-dependent, not yet verified. KBDL-PRO-027, 029: Recommended, grants no implementation authority pending project-owner review. KBDL-PRO-028: Recommended, grants no implementation authority pending project-owner review",Implementation-level profile behavior is not verified; no coded project profile exists yet to test against,Not verified,True,PASS
KBDL-PRO-024,Implementation-level profile behavior is not verified; no coded project profile exists yet to test against,"KBDL-PRO-019–026: implementation-dependent, not yet verified. KBDL-PRO-027, 029: Recommended, grants no implementation authority pending project-owner review. KBDL-PRO-028: Recommended, grants no implementation authority pending project-owner review",Implementation-level profile behavior is not verified; no coded project profile exists yet to test against,Not verified,True,PASS
KBDL-PRO-025,"Not applicable — scope-control requirement, not independently testable against an implementation","KBDL-PRO-019–026: implementation-dependent, not yet verified. KBDL-PRO-027, 029: Recommended, grants no implementation authority pending project-owner review. KBDL-PRO-028: Recommended, grants no implementation authority pending project-owner review","Not applicable — scope-control requirement, not independently testable against an implementation",None,True,PASS
KBDL-PRO-026,"No project profile adoption record exists yet to review against this requirement's field list. Whether a profile may change after adoption, whether a project may have multiple profile scopes, and how migration is governed are new decisions:","KBDL-PRO-019–026: implementation-dependent, not yet verified. KBDL-PRO-027, 029: Recommended, grants no implementation authority pending project-owner review. KBDL-PRO-028: Recommended, grants no implementation authority pending project-owner review","No project profile adoption record exists yet to review against this requirement's field list. Whether a profile may change after adoption, whether a project may have multiple profile scopes, and how migration is governed are new decisions:",None,True,PASS
