id,source_file,lifecycle,provenance,validation_status,authority,authority_classification,authority_targets,validation_method,validation_evidence,known_limitation,packet_destination,pending_dependency
KBDL-CMP-081,components-system.md,Approved,Confirmed,Not Verified,Lifecycle authority: Approved (restates the adopted WAI-ARIA 1.2 `alertdialog` role definition),adopted-standard,,Manual role-use review once implemented.,,,,
KBDL-CMP-082,components-system.md,Approved,Confirmed,Not Applicable,"Lifecycle authority: Approved (scope-control requirement, restates `KBDL-CMP-005`/`KBDL-CMP-052`)",lifecycle/provenance,KBDL-CMP-005;KBDL-CMP-052,"Manual scope-compliance review (performed, see implementation report).",,,,
KBDL-CMP-083,components-system.md,Recommended,Assumed,Not Applicable,Lifecycle authority: Recommended (new component-level taxonomy),lifecycle/provenance,,Project-owner review (not yet performed). This item's approval would not approve any navigation-collapse threshold; a drawer used for collapsed navigation remains bound by `KBDL-CMP-041`'s existing contingent status (KBDL-007).,,,,
KBDL-CMP-084,components-system.md,Approved,Confirmed,Not Verified,"Lifecycle authority: Approved (dictated outcome of the already-adopted WCAG 2.2 SC 2.4.3 Focus Order and SC 2.1.2 No Keyboard Trap applied to nested layered content — not a new policy choice, since any other outcome would create an indeterminate or trapped focus state)",adopted-standard,,Manual nested-focus review once implemented.,,,,
KBDL-CMP-085,components-system.md,Recommended,Assumed,Not Applicable,Lifecycle authority: Recommended (new component-level policy),lifecycle/provenance,,Project-owner review (not yet performed).,,,,
KBDL-CMP-086,components-system.md,Approved,Confirmed,Not Verified,Lifecycle authority: Approved (restates `KBDL-A11Y-031` and the adopted WAI-ARIA 1.2 live-region role definitions),adopted-standard,KBDL-A11Y-031,Manual live-region role review once implemented.,,,,
KBDL-CMP-087,components-system.md,Approved,Confirmed,Not Verified,Lifecycle authority: Approved (restates `KBDL-CMP-004`'s already- Approved state-clarity rule and the adopted WCAG 2.2 SC 1.4.1 Use of Color),adopted-standard,KBDL-CMP-004,Manual review once implemented.,,,,
KBDL-CMP-088,components-system.md,Approved,Confirmed,Not Verified,"Lifecycle authority: Approved. Authority, split by clause: ""important, time-sensitive messages"" and ""must not move focus by default"" restate the adopted WAI-ARIA 1.2 `alert` role definition, which specifies an assertive live region for important, time-sensitive information without describing any inherent focus-moving behavior. ""Must not be used for routine or successful updates"" is not itself dictated by the ARIA `alert` role definition (which describes what the role announces, not which messages a component must avoid); this restriction is normative because the approved KBDL-008 prompt explicitly requires ""Do not use alert for every successful or routine update"" as a mandatory Alert constraint",adopted-standard,,Manual role-use review once implemented.,,,,
KBDL-CMP-089,components-system.md,Recommended,Assumed,Not Applicable,Lifecycle authority: Recommended (new component-level taxonomy),lifecycle/provenance,,Project-owner review (not yet performed).,,,,
KBDL-CMP-090,components-system.md,Approved,Confirmed,Not Verified,"Lifecycle authority: Approved. Authority, split by clause: ""sensitive information must not be exposed"" extends the existing KBDL security-safe-disclosure principle, `components-core.md §37`. ""Critical information must not be presented only in a transient toast without a persistent path"" and ""must not move focus to itself by default"" are not directly dictated by WCAG 2.2 SC 2.2.1 Timing Adjustable (which governs user-adjustable time limits on content generally, not the specific toast/persistent-path pattern) or by `KBDL-A11Y-031` (which requires programmatic determinability, not a persistence guarantee); these two clauses are normative because the approved KBDL-008 prompt explicitly lists both as mandatory Toast/Snackbar ""Do not"" constraints. SC 2.2.1's adjustable-timing principle is cited as supporting rationale, not as the direct source of the persistent-path requirement",adopted-standard,KBDL-A11Y-031,Manual content-classification review once implemented.,,,,
KBDL-CMP-091,components-system.md,Recommended,Assumed,Not Applicable,Lifecycle authority: Recommended (new component-level timing and queueing policy),lifecycle/provenance,,Project-owner review (not yet performed).,,,,
KBDL-CMP-092,components-system.md,Approved,Confirmed,Not Verified,Lifecycle authority: Approved (restates `KBDL-A11Y-031` and the adopted WAI-ARIA 1.2 `status`/`log` role and `aria-live`/`aria-atomic` definitions),adopted-standard,KBDL-A11Y-031,Manual live-region review once implemented.,,,,
KBDL-CMP-093,components-system.md,Approved,Confirmed,Not Verified,"Lifecycle authority: Approved (restates the adopted WCAG 2.2 SC 1.1.1 Non-text Content and SC 4.1.2 Name, Role, Value)",adopted-standard,,Manual accessible-text review once implemented.,,,,
KBDL-CMP-094,components-system.md,Approved,Confirmed,Not Verified,Lifecycle authority: Approved (restates the adopted WAI-ARIA 1.2 `progressbar` role definition and native `<progress>` semantics),adopted-standard,,Manual role/value review once implemented.,,,,
KBDL-CMP-095,components-system.md,Approved,Confirmed,Not Verified,Lifecycle authority: Approved (restates the adopted WAI-ARIA 1.2 `meter` role definition and native `<meter>` semantics),adopted-standard,,Manual role/value review once implemented.,,,,
KBDL-CMP-096,components-system.md,Approved,Confirmed,Not Verified,"Lifecycle authority: Approved. Authority, split by clause: ""hidden from assistive technology as decorative"" restates the adopted WAI-ARIA 1.2 `aria-hidden` semantics for purely decorative content. ""An equivalent loading announcement must be available through a separate status mechanism"" restates `KBDL-A11Y-031`. ""Must not expose meaningless placeholder shapes as if they were content"" is not itself dictated by either of those sources; it is normative because the approved KBDL-008 prompt explicitly requires ""Decorative accessibility treatment"" and ""Equivalent loading announcement"" as mandatory Skeleton fields, which together imply placeholder shapes must not be presented as meaningful content",adopted-standard,KBDL-A11Y-031,Manual accessibility-tree review once implemented.,,,,
KBDL-CMP-097,components-system.md,Approved,Confirmed,Not Verified,"Lifecycle authority: Approved (restates `KBDL-A11Y-031` and the locked component-state-clarity rule, [principles.md §5.1](principles.md#51-locked-identity-rules))",lifecycle/provenance,KBDL-A11Y-031,Manual review once implemented.,,,,
KBDL-CMP-098,components-system.md,Approved,Confirmed,Not Verified,"Lifecycle authority: Approved (extends the already-Approved KBDL-007 submit-loading/duplicate-submission-prevention contract, `components-core.md §23`, to the surface-level loading indicator)",lifecycle/provenance,,Manual review once implemented.,,,,
KBDL-CMP-099,components-system.md,Recommended,Assumed,Not Applicable,Lifecycle authority: Recommended (new component-level taxonomy),lifecycle/provenance,,Project-owner review (not yet performed).,,,,
KBDL-CMP-100,components-system.md,Approved,Confirmed,Not Verified,"Lifecycle authority: Approved. Authority: this requirement is normative because the approved KBDL-008 prompt explicitly requires ""Preservation of entered criteria"" as a mandatory No-Results State field. WCAG 2.2 SC 3.3.7 Redundant Entry (which prohibits requiring re-entry of information already supplied earlier in the same process) is cited as supporting rationale by analogy, not as a direct restatement — SC 3.3.7 governs multi-step process re-entry generally and does not by itself mandate preserving search/filter state specifically on a no-results result",adopted-standard,,Manual data-preservation review once implemented.,,,,
KBDL-CMP-101,components-system.md,Approved,Confirmed,Not Verified,"Lifecycle authority: Approved. Authority, split by clause: that an error must be identified and described restates the already-adopted WCAG 2.2 SC 3.3.1 Error Identification, which requires errors be identified and described in text, but does not itself require classifying an error as ""recoverable or blocking"" or specifying a ""retry or alternative action"" — SC 3.3.1 governs identification, not remediation-path taxonomy. The recoverable/blocking classification and the retry/alternative-action requirement are normative because the approved KBDL-008 prompt explicitly requires ""Recoverable versus blocking error,"" ""Retry,"" and ""Alternative action"" as mandatory Error State fields, consistent with the already-Approved Technical Utility recovery-support principle, [principles.md §3](principles.md#3-technical-utility). The prohibition on exposing stack traces, internal exception details, credentials, or private data restates `KBDL-CMP-064`",adopted-standard,KBDL-CMP-064,Manual review once implemented.,,,,
KBDL-CMP-102,components-system.md,Recommended,Assumed,Not Applicable,Lifecycle authority: Recommended (new component-level taxonomy),lifecycle/provenance,,Project-owner review (not yet performed).,,,,
KBDL-CMP-103,components-system.md,Approved,Confirmed,Not Verified,"Lifecycle authority: Approved (extends the already-Approved KBDL correctness/safety principle, [principles.md §4](principles.md#4-relationship-between-luxury-and-utility) item 1, and the existing KBDL-007 form-recovery data-preservation pattern)",lifecycle/provenance,,Manual claim-accuracy review once implemented.,,,,
KBDL-CMP-104,components-system.md,Approved,Confirmed,Not Verified,"Lifecycle authority: Approved (extends the existing KBDL security principle already established in `components-core.md §37`, ""a disabled button is not access control"")",lifecycle/provenance,,Manual security-review once implemented.,,,,
KBDL-CMP-105,components-system.md,Recommended,Assumed,Not Applicable,Lifecycle authority: Recommended (new component-level threshold and interaction model; the APG grid pattern is not automatically Approved),lifecycle/provenance,,Project-owner review (not yet performed).,,,,
KBDL-CMP-106,components-system.md,Recommended,Assumed,Not Applicable,Lifecycle authority: Recommended (new component-level threshold and interaction model; the APG tree pattern is not automatically Approved),lifecycle/provenance,,Project-owner review (not yet performed).,,,,
KBDL-CMP-107,components-system.md,Approved,Confirmed,Not Verified,Lifecycle authority: Approved (restates the already-adopted WCAG 2.2 SC 2.2.2),adopted-standard,,Manual pause/stop/hide review once implemented.,,,,
KBDL-CMP-108,components-system.md,Recommended,Assumed,Not Applicable,Lifecycle authority: Recommended (new component-level policy),lifecycle/provenance,,Project-owner review (not yet performed).,,,,
KBDL-CMP-109,components-system.md,Approved,Confirmed,Not Verified,"Lifecycle authority: Approved (restates the already-adopted WCAG 2.2 SC 1.4.1 Use of Color, SC 1.3.1 Info and Relationships, and SC 2.1.1 Keyboard, applied to chart content, using the existing approved Data-display roles rather than inventing new ones)",adopted-standard,,Manual review once implemented.,,,,
KBDL-CMP-110,components-system.md,Recommended,Assumed,Not Applicable,Lifecycle authority: Recommended (new component-level taxonomy and interaction model),lifecycle/provenance,,Project-owner review (not yet performed).,,,,
KBDL-CMP-111,components-system.md,Recommended,Assumed,Not Applicable,"Lifecycle authority: Recommended (new component-level transformation policy; the exact trigger point depends on the eventual approved `KBDL-RSP-002` breakpoint values, cited here only as related context, not as authority)",lifecycle/provenance,KBDL-RSP-002,Project-owner review (not yet performed).,,,,
KBDL-CUS-001,customization.md,Approved,Confirmed,Not Verified,`KBDL-DEC-004` plus the mandatory KBDL-010 prompt.,approved-prompt,KBDL-DEC-004,Record and implementation audit. Known limitation: No project customization exists to test.,,,,
KBDL-CUS-002,customization.md,Approved,Confirmed,Not Verified,KBDL lifecycle conventions and mandatory KBDL-010 prompt.,approved-prompt,,Authority-source audit. Known limitation: Project records are not available.,,,,
KBDL-CUS-003,customization.md,Approved,Confirmed,Not Verified,Mandatory KBDL-010 classification model.,explicit-field,,Classification review. Known limitation: Classification has not been applied to a real request.,,,,
KBDL-CUS-004,customization.md,Approved,Confirmed,Not Verified,Mandatory KBDL-010 Class A rule and owning-module lifecycle rules.,explicit-field,,Source-bound comparison. Known limitation: Implementation choices are project-specific.,,,,
KBDL-CUS-005,customization.md,Approved,Confirmed,Not Verified,"`KBDL-PRN-005`, `KBDL-PRO-005`, and mandatory KBDL-010 prompt.",approved-prompt,KBDL-PRN-005;KBDL-PRO-005,Content and locked-rule audit. Known limitation: Actual assets require project review.,,,,
KBDL-CUS-006,customization.md,Approved,Confirmed,Not Verified,KBDL governance plus mandatory KBDL-010 Classes C and D.,explicit-field,,Proposal-history audit. Known limitation: Exact reuse threshold is Recommended.,,,,
KBDL-CUS-007,customization.md,Approved,Confirmed,Not Verified,"`KBDL-GOV-002`, governance exception process, and mandatory KBDL-010 Classes E/F.",explicit-field,KBDL-GOV-002,Exception/stop-path audit. Known limitation: No exception is created here.,,,,
KBDL-CUS-008,customization.md,Approved,Confirmed,Not Verified,Mandatory KBDL-010 workflow.,explicit-field,,Workflow-stage audit. Known limitation: No real workflow history exists.,,,,
KBDL-CUS-009,customization.md,Approved,Confirmed,Not Verified,Mandatory KBDL-010 intake fields.,explicit-field,,Intake-field audit. Known limitation: Inapplicable fields require project rationale.,,,,
KBDL-CUS-010,customization.md,Approved,Confirmed,Not Verified,"`KBDL-DEC-004`, conventions, and mandatory KBDL-010 record fields.",approved-decision,KBDL-DEC-004,Programmatic field audit plus manual status review. Known limitation: No machine-readable format is mandated.,,,,
KBDL-CUS-011,customization.md,Approved,Confirmed,Not Verified,Mandatory KBDL-010 impact and evidence clauses.,explicit-field,,Impact/evidence plan audit. Known limitation: Final KBDL validation remains later scope.,,,,
KBDL-CUS-012,customization.md,Approved,Confirmed,Not Verified,Mandatory KBDL-010 change and rollback clauses.,explicit-field,,Record-history and rollback audit. Known limitation: Exact cadence/expiry are Recommended.,,,,
KBDL-CUS-013,customization.md,Approved,Confirmed,Not Verified,Approved foundation requirements plus mandatory KBDL-010 boundary.,explicit-field,,Foundation-role/value audit. Known limitation: Project implementation absent.,,,,
KBDL-CUS-014,customization.md,Approved,Confirmed,Not Verified,"Approved `KBDL-THM-003`, `005`, `006`, `013`, `014` plus mandatory KBDL-010 boundary.",explicit-field,KBDL-THM-003,Theme-role and parity audit. Known limitation: Pending theme items remain excluded.,,,,
KBDL-CUS-015,customization.md,Approved,Confirmed,Not Verified,Approved motion requirements plus mandatory KBDL-010 boundary.,explicit-field,,Motion architecture/safety audit. Known limitation: Exact component values and technology remain excluded.,,,,
KBDL-CUS-016,customization.md,Approved,Confirmed,Not Verified,Approved responsive requirements plus mandatory KBDL-010 boundary.,explicit-field,,Responsive outcome audit. Known limitation: Pending exact values remain excluded.,,,,
KBDL-CUS-017,customization.md,Approved,Confirmed,Not Verified,"`KBDL-GOV-002`, Approved accessibility requirements, and mandatory KBDL-010 boundary.",explicit-field,KBDL-GOV-002,WCAG/requirement audit. Known limitation: Implementation testing is absent.,,,,
KBDL-CUS-018,customization.md,Approved,Confirmed,Not Verified,Approved KBDL-007 requirements plus mandatory KBDL-010 boundary.,explicit-field,,Component-contract audit. Known limitation: Pending KBDL-007 items remain excluded.,,,,
KBDL-CUS-019,customization.md,Approved,Confirmed,Not Verified,Approved KBDL-008 requirements plus mandatory KBDL-010 boundary.,explicit-field,,System-component contract audit. Known limitation: Pending KBDL-008 items remain excluded.,,,,
KBDL-CUS-020,customization.md,Approved,Confirmed,Not Verified,"Approved `KBDL-PRO-001`–`008`, `010`–`015`, `019`–`026` plus mandatory KBDL-010 boundary.",explicit-field,KBDL-PRO-001,Profile-invariant audit. Known limitation: Pending KBDL-009 policies remain excluded.,,,,
KBDL-CUS-021,customization.md,Approved,Confirmed,Not Verified,Prior Approved security/correctness requirements plus mandatory KBDL-010 boundary.,explicit-field,,Security/privacy/correctness review. Known limitation: Backend architecture is out of scope.,,,,
KBDL-CUS-022,customization.md,Approved,Confirmed,Not Verified,Mandatory KBDL-010 handoff and scope clauses.,explicit-field,,Handoff-record and artifact audit. Known limitation: No implementation handoff exists.,,,,
KBDL-CUS-023,customization.md,Recommended,Assumed,Not Applicable,Not applicable — pending explicit project-owner approval; assignment of a CUS ID does not grant implementation authority.,explicit-field,,Project-owner review. Known limitation: Records use a visible placeholder meanwhile.,,,,
KBDL-CUS-024,customization.md,Recommended,Assumed,Not Applicable,Not applicable — pending explicit project-owner approval; assignment of a CUS ID does not grant implementation authority.,explicit-field,,Project-owner review. Known limitation: Current governance does not define exact local roles.,,,,
KBDL-CUS-025,customization.md,Recommended,Assumed,Not Applicable,Not applicable — pending explicit project-owner approval; assignment of a CUS ID does not grant implementation authority.,explicit-field,,Project-owner review. Known limitation: KBDL-011 does not approve this discretionary policy.,,,,
KBDL-CUS-026,customization.md,Recommended,Assumed,Not Applicable,Not applicable — pending explicit project-owner approval; assignment of a CUS ID does not grant implementation authority.,explicit-field,,Project-owner review. Known limitation: No default time period is authorized.,,,,
KBDL-CUS-027,customization.md,Recommended,Assumed,Not Applicable,Not applicable — pending explicit project-owner approval; assignment of a CUS ID does not grant implementation authority.,explicit-field,,Project-owner review. Known limitation: Conflicts stop under current rules.,,,,
KBDL-CUS-028,customization.md,Recommended,Assumed,Not Applicable,Not applicable — pending explicit project-owner approval; assignment of a CUS ID does not grant implementation authority.,explicit-field,,Project-owner review. Known limitation: Reuse always triggers review until a threshold is approved.,,,,
KBDL-CUS-029,customization.md,Recommended,Assumed,Not Applicable,Not applicable — pending explicit project-owner approval; assignment of a CUS ID does not grant implementation authority.,explicit-field,,Project-owner review. Known limitation: Exact retention and evidence rules are not authorized.,,,,
KBDL-CUS-030,customization.md,Deferred,Assumed,Not Applicable,Not applicable — deliberately deferred; assignment of a CUS ID does not grant implementation authority.,explicit-field,,"Not applicable until resumed. Known limitation: No JSON, YAML, schema, API, plugin, or automation is authorized.",,,,
KBDL-FND-001,foundations/README.md,Approved,Confirmed (derived from KBDL-002),Not Verified,Approved module prompt / user-provided blueprint and recorded provenance,approved-prompt,,Manual review of role names against hue-independence at each later module's approval gate.,,,,
KBDL-FND-002,foundations/README.md,Approved,Confirmed,Not Verified,Approved module prompt / user-provided blueprint and recorded provenance,approved-prompt,,Manual review at component-design time (later module) plus this module's conceptual examples.,,,,
KBDL-FND-003,foundations/README.md,Approved,Confirmed,Not Verified,Approved module prompt / user-provided blueprint and recorded provenance,approved-prompt,,Manual review of spacing usage against the named step set; exceptions checked against [governance.md § Exception process](../governance.md#exception-process).,,,,
KBDL-FND-004,foundations/README.md,Approved,Confirmed,Not Verified,Approved module prompt / user-provided blueprint and recorded provenance,approved-prompt,,Manual review of a layout's content-priority ranking at each supported breakpoint.,,,,
KBDL-FND-005,foundations/README.md,Approved,Confirmed,Not Verified,Approved module prompt / user-provided blueprint and recorded provenance,approved-prompt,,Manual review confirming a simplified fallback exists for each elevation level.,,,,
KBDL-FND-006,foundations/README.md,Approved,Confirmed,Not Verified,Approved module prompt / user-provided blueprint and recorded provenance,approved-prompt,,Manual review of icon usage against the label-pairing rule.,,,,
KBDL-FND-007,foundations/README.md,Approved,Confirmed,Not Verified,Approved module prompt / user-provided blueprint and recorded provenance,approved-prompt,,Manual review confirming a static/paused equivalent and an anticipated accessible-text plan exist per media asset type.,,,,
KBDL-FND-008,foundations/README.md,Approved,Confirmed,Not Verified,Approved module prompt / user-provided blueprint and recorded provenance,approved-prompt,,Manual cross-profile review once the project-profiles module is approved.,,,,
KBDL-FND-009,foundations/README.md,Approved,User-provided,Verified,Lifecycle authority: Approved (project owner approved via the foundation decision packet; see [KBDL-DEC-012](../decision-register.md#kbdl-dec-012--foundation-decision-packet-approved)),approved-decision,KBDL-DEC-012,"Contrast calculation (completed, see evidence); brand suitability review (not yet performed).",,,,
KBDL-FND-010,foundations/README.md,Approved,User-provided,Not Verified,Lifecycle authority: Approved (project owner approved via the foundation decision packet; see [KBDL-DEC-012](../decision-register.md#kbdl-dec-012--foundation-decision-packet-approved)),approved-decision,KBDL-DEC-012,Licensing verification (not yet performed) plus project-owner review (completed for the strategy; the specific family remains a separate future decision).,,,,
KBDL-FND-011,foundations/README.md,Approved,User-provided,Not Verified,Lifecycle authority: Approved (project owner approved via the foundation decision packet; see [KBDL-DEC-012](../decision-register.md#kbdl-dec-012--foundation-decision-packet-approved)),approved-decision,KBDL-DEC-012,Project-owner review (completed); exact pixel values validated once chosen.,,,,
KBDL-FND-012,foundations/README.md,Approved,User-provided,Not Verified,Lifecycle authority: Approved (project owner approved via the foundation decision packet; see [KBDL-DEC-012](../decision-register.md#kbdl-dec-012--foundation-decision-packet-approved)),approved-decision,KBDL-DEC-012,Project-owner review (completed).,,,,
KBDL-GOV-001,governance.md,Approved,Historical approved prompt/decision,Verified,KBDL-DEC-002 and approved KBDL-001 prompt,approved-decision/prompt,KBDL-DEC-002,Repository documentation review,KBDL-001 evidence,Historical record format,None,None
KBDL-GOV-002,governance.md,Approved,Historical approved prompt/decision,Not Verified,KBDL-DEC-010 and approved KBDL-001 prompt,approved-decision/prompt,KBDL-DEC-010,Implementation audit,Not verified,No implementation,None,Implementation
KBDL-GOV-003,governance.md,Approved,Historical approved prompt/decision,Verified,KBDL-DEC-011 and approved KBDL-001 prompt,approved-decision/prompt,KBDL-DEC-011,Governance audit,KBDL-001-R1 evidence,Historical record format,None,None
KBDL-MOT-001,motion/README.md,Approved,Confirmed,Not Verified,"Lifecycle authority: Approved (directly restates the locked Motion Purpose rule, [principles.md §5.1](../principles.md#51-locked-identity-rules))",lifecycle/provenance,,Manual review confirming every documented motion pattern cites a purpose from the approved list.,,,,
KBDL-MOT-002,motion/README.md,Approved,User-provided,Not Verified,Approved module prompt / user-provided blueprint and recorded provenance,approved-prompt,,Manual terminology-consistency review.,,,,
KBDL-MOT-003,motion/README.md,Approved,Confirmed,Not Verified,Lifecycle authority: Approved (directly extends `KBDL-PRN-002`),lifecycle/provenance,KBDL-PRN-002,Manual review of motion decisions against the priority order; disputes escalated per [governance.md](../governance.md).,,,,
KBDL-MOT-004,motion/README.md,Approved,User-provided,Not Verified,"Lifecycle authority: Approved (structural requirement; the categories' exact intensity defaults remain `Recommended`, see `KBDL-MOT-006`)",lifecycle/provenance,KBDL-MOT-006,Manual completeness review per category.,,,,
KBDL-MOT-005,motion/README.md,Approved,User-provided,Not Verified,Lifecycle authority: Approved (per [KBDL-DEC-014](../decision-register.md#kbdl-dec-014--kbdl-005-motion-decisions-approved); the specific five-level structure and names were new KBDL-005 policy until this approval),approved-decision,KBDL-DEC-014,"Manual review of Exceptional-level usage once implemented; project-owner review (performed, see [KBDL-DEC-014](../decision-register.md#kbdl-dec-014--kbdl-005-motion-decisions-approved)).",,,,
KBDL-MOT-006,motion/README.md,Approved,User-provided,Not Verified,"Lifecycle authority: Approved (per [KBDL-DEC-014](../decision-register.md#kbdl-dec-014--kbdl-005-motion-decisions-approved), decision packet item 14)",approved-decision,KBDL-DEC-014,"Manual review of intensity assessments once implemented; project-owner review (performed, see [KBDL-DEC-014](../decision-register.md#kbdl-dec-014--kbdl-005-motion-decisions-approved)).",,,,
KBDL-MOT-007,motion/README.md,Approved,User-provided,Not Verified,"Lifecycle authority: Approved (per [KBDL-DEC-014](../decision-register.md#kbdl-dec-014--kbdl-005-motion-decisions-approved), decision packet item 2, together with `KBDL-MOT-008`, as one timing system)",approved-decision,KBDL-DEC-014;KBDL-MOT-008,"Manual review of timing-class usage once implemented; project-owner review (performed, see [KBDL-DEC-014](../decision-register.md#kbdl-dec-014--kbdl-005-motion-decisions-approved)).",,,,
KBDL-MOT-008,motion/README.md,Approved,User-provided,Not Applicable,"Lifecycle authority: Approved (per [KBDL-DEC-014](../decision-register.md#kbdl-dec-014--kbdl-005-motion-decisions-approved), decision packet item 2, together with `KBDL-MOT-007`, as one timing system)",approved-decision,KBDL-DEC-014;KBDL-MOT-007,"Project-owner review (performed, see [KBDL-DEC-014](../decision-register.md#kbdl-dec-014--kbdl-005-motion-decisions-approved)); manual implementation review once an implementation exists.",,,,
KBDL-MOT-009,motion/README.md,Approved,User-provided,Not Applicable,"Lifecycle authority: Approved (per [KBDL-DEC-014](../decision-register.md#kbdl-dec-014--kbdl-005-motion-decisions-approved), decision packet item 3)",approved-decision,KBDL-DEC-014,"Manual conceptual review (performed, see [timing-easing.md §3](timing-easing.md#3-easing-architecture)); project-owner approval (performed, see [KBDL-DEC-014](../decision-register.md#kbdl-dec-014--kbdl-005-motion-decisions-approved)).",,,,
KBDL-MOT-010,motion/README.md,Approved,User-provided,Not Verified,"Lifecycle authority: Approved (per [KBDL-DEC-014](../decision-register.md#kbdl-dec-014--kbdl-005-motion-decisions-approved), decision packet item 4)",approved-decision,KBDL-DEC-014,"Manual review once implemented; project-owner review (performed, see [KBDL-DEC-014](../decision-register.md#kbdl-dec-014--kbdl-005-motion-decisions-approved)).",,,,
KBDL-MOT-011,motion/README.md,Approved,User-provided,Not Verified,"Lifecycle authority: Approved (per [KBDL-DEC-014](../decision-register.md#kbdl-dec-014--kbdl-005-motion-decisions-approved), decision packet item 5)",approved-decision,KBDL-DEC-014,"Manual review once implemented; project-owner review (performed, see [KBDL-DEC-014](../decision-register.md#kbdl-dec-014--kbdl-005-motion-decisions-approved)).",,,,
KBDL-MOT-012,motion/README.md,Approved,Confirmed,Not Verified,Lifecycle authority: Approved (directly restates the safety/correctness priority already established in `KBDL-PRN-002` and [§3.3](#33-relationship-and-conflict-resolution)),lifecycle/provenance,KBDL-PRN-002,Manual review once implemented; project-owner review (not yet performed).,,,,
KBDL-MOT-013,motion/README.md,Approved,User-provided,Not Verified,"Lifecycle authority: Approved (per [KBDL-DEC-014](../decision-register.md#kbdl-dec-014--kbdl-005-motion-decisions-approved), decision packet item 15)",approved-decision,KBDL-DEC-014,"Manual review once implemented; project-owner review (performed, see [KBDL-DEC-014](../decision-register.md#kbdl-dec-014--kbdl-005-motion-decisions-approved)).",,,,
KBDL-MOT-014,motion/README.md,Approved,Confirmed,Not Verified,"Lifecycle authority: Approved (directly restates Technical Utility's ""visible progress"" and ""error prevention"" qualities)",lifecycle/provenance,,Manual review once implemented; project-owner review (not yet performed).,,,,
KBDL-MOT-015,motion/README.md,Approved,Confirmed,Not Verified,Lifecycle authority: Approved (directly restates accessibility's requirement for a non-gesture equivalent),lifecycle/provenance,,Manual review once implemented; project-owner review (not yet performed).,,,,
KBDL-MOT-016,motion/README.md,Approved,Confirmed,Not Verified,"Lifecycle authority: Approved (directly restates the locked component-state-clarity rule — ""must not rely on color/motion alone"" — and Accessibility by Default)",lifecycle/provenance,,Manual review once implemented; project-owner review (not yet performed).,,,,
KBDL-MOT-017,motion/README.md,Approved,Confirmed,Not Verified,"Lifecycle authority: Approved (directly restates the locked Motion Purpose rule that continuous motion must be controlled, and the already-Approved reduced-motion requirement `KBDL-THM-012a`)",lifecycle/provenance,KBDL-THM-012a,Manual review once implemented; project-owner review (not yet performed).,,,,
KBDL-MOT-018,motion/README.md,Approved,Confirmed,Not Verified,"Lifecycle authority: Approved (directly restates accessibility's requirement that content remain accessible without script/animation, and the reduced-motion requirement)",lifecycle/provenance,,Manual review once implemented; project-owner review (not yet performed).,,,,
KBDL-MOT-019,motion/README.md,Approved,Confirmed,Not Verified,"Lifecycle authority: Approved (directly restates WCAG 2.2 AA's autoplay-with-sound prohibition and pause/stop requirement, already adopted under `KBDL-DEC-010`)",adopted-standard,KBDL-DEC-010,Manual review once implemented; project-owner review (not yet performed).,,,,
KBDL-MOT-020,motion/README.md,Approved,User-provided,Not Verified,"Lifecycle authority: Approved (per [KBDL-DEC-014](../decision-register.md#kbdl-dec-014--kbdl-005-motion-decisions-approved), decision packet item 10; the underlying non-blocking, readable, focus-preserving requirements were already `Approved` under `KBDL-THM-012`/`012a` and are unaffected)",approved-decision,KBDL-DEC-014;KBDL-THM-012,"Manual review of the worked example (performed, see [patterns.md §8](patterns.md#8-theme-transition-motion)); project-owner review (performed, see [KBDL-DEC-014](../decision-register.md#kbdl-dec-014--kbdl-005-motion-decisions-approved)).",,,,
KBDL-MOT-021,motion/README.md,Approved,Confirmed,Not Verified,Lifecycle authority: Approved (directly restates safety/correctness and state-comprehension priorities),lifecycle/provenance,,Manual review once implemented; project-owner review (not yet performed).,,,,
KBDL-MOT-022,motion/README.md,Approved,Confirmed,Not Verified,"Lifecycle authority: Approved (directly restates `KBDL-THM-012a` and KBDL's enhanced motion-safety baseline, `KBDL-DEC-010`)",approved-decision,KBDL-DEC-010;KBDL-THM-012a,"Manual parity review per pattern (performed, see [accessibility-performance.md §1](accessibility-performance.md#1-reduced-motion-and-no-motion-parity)); implementation-level review not yet performed.",,,,
KBDL-MOT-023,motion/README.md,Approved,Confirmed,Not Verified,"Lifecycle authority: Approved (directly restates KBDL's enhanced motion-safety requirement, `KBDL-DEC-010`)",approved-decision,KBDL-DEC-010,Manual review once implemented; project-owner review (not yet performed).,,,,
KBDL-MOT-024,motion/README.md,Approved,Confirmed,Not Verified,"Lifecycle authority: Approved (directly restates Performance-Aware Enhancement, `KBDL-PRN-003`/§6.9)",lifecycle/provenance,KBDL-PRN-003,Implementation-level performance measurement (not yet performed — no implementation exists).,,,,
KBDL-MOT-025,motion/README.md,Approved,Confirmed,Not Verified,Lifecycle authority: Approved (directly restates Accessibility by Default),lifecycle/provenance,,Manual review once implemented; project-owner review (not yet performed).,,,,
KBDL-MOT-026,motion/README.md,Approved,Confirmed,Not Verified,"Lifecycle authority: Approved (directly restates `KBDL-PRN-007`, Adaptability Without Fragmentation)",lifecycle/provenance,KBDL-PRN-007,Manual cross-profile review once the project-profiles module is approved.,,,,
