Requirement ID,Field name,Higher source value,Lower source value,Rule source,Computed result
KBDL-CMP-032,Roadmap prompt,KBDL-007,KBDL-007,Approved roadmap and module ownership,PASS
KBDL-CMP-032,Specification location,components-core.md#229-switch,components-core.md#229-switch,Containing normative Markdown section,PASS
KBDL-CMP-032,Lifecycle status,Approved,Approved,Normative requirement record,PASS
KBDL-CMP-032,Provenance,Confirmed,Confirmed,Normative requirement record,PASS
KBDL-CMP-032,Validation classification,Not verified,Not verified,Normative requirement record,PASS
KBDL-CMP-032,Verified scope,None,None,Executed evidence and stated scope,PASS
KBDL-CMP-032,Not-verified scope,Not verified,Not verified,Unexecuted or excluded scope,PASS
KBDL-CMP-032,Authority,UNRESOLVED,Approved (directly restates WAI-ARIA switch role),AR2 confirmation approved decision standard or Approved requirement,PASS
KBDL-CMP-032,Validation method,Manual review once implemented.,Manual review once implemented,Normative method or independently approved evidence-method registry,PASS
KBDL-CMP-032,Validation evidence,Not verified — no implementation exists yet,Not verified — no implementation exists yet,Existing evidence source or honest Not verified record,PASS
KBDL-CMP-032,Known limitation,UNRESOLVED,Implementation-dependent,Actual excluded or unverified scope,PASS
KBDL-CMP-032,Packet or tracking destination,None — Approved,None — Approved,Exact packet or tracking section,PASS
KBDL-CMP-032,Pending dependencies,None,None,Normative record packet or deferred tracking,PASS
KBDL-CMP-032,Related decision,RESOLVED,None,Approved decision register,PASS
KBDL-CMP-032,Notes or exclusions,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,Higher-priority exclusion or bounded administrative note,PASS
KBDL-CMP-033,Requirement ID,KBDL-CMP-033,KBDL-CMP-033,Normative requirement record,PASS
KBDL-CMP-033,Blueprint section,"Shared field model; Text Input, Password Input, Search Field, Textarea, Select, Combobox, Checkbox, Radio Group, Switch, File Input, Field Group, Form Action Row; form validation and recovery","Shared field model; Text Input, Password Input, Search Field, Textarea, Select, Combobox, Checkbox, Radio Group, Switch, File Input, Field Group, Form Action Row; form validation and recovery",Readable traceability group,PASS
KBDL-CMP-033,Roadmap prompt,KBDL-007,KBDL-007,Approved roadmap and module ownership,PASS
KBDL-CMP-033,Specification location,components-core.md#2210-file-input,components-core.md#2210-file-input,Containing normative Markdown section,PASS
KBDL-CMP-033,Lifecycle status,Approved,Approved,Normative requirement record,PASS
KBDL-CMP-033,Provenance,Confirmed,Confirmed,Normative requirement record,PASS
KBDL-CMP-033,Validation classification,UNRESOLVED,Not verified,Normative requirement record,PASS
KBDL-CMP-033,Verified scope,None,None,Executed evidence and stated scope,PASS
KBDL-CMP-033,Not-verified scope,Not verified,Not verified,Unexecuted or excluded scope,PASS
KBDL-CMP-033,Authority,RESOLVED,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,AR2 confirmation approved decision standard or Approved requirement,PASS
KBDL-CMP-033,Validation method,Manual review once implemented.,Manual review once implemented,Normative method or independently approved evidence-method registry,PASS
KBDL-CMP-033,Validation evidence,Not verified — no implementation exists yet,Not verified — no implementation exists yet,Existing evidence source or honest Not verified record,PASS
KBDL-CMP-033,Known limitation,UNRESOLVED,Implementation-dependent,Actual excluded or unverified scope,PASS
KBDL-CMP-033,Packet or tracking destination,None — Approved,None — Approved,Exact packet or tracking section,PASS
KBDL-CMP-033,Pending dependencies,None,None,Normative record packet or deferred tracking,PASS
KBDL-CMP-033,Related decision,RESOLVED,None,Approved decision register,PASS
KBDL-CMP-033,Notes or exclusions,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,Higher-priority exclusion or bounded administrative note,PASS
KBDL-CMP-034,Requirement ID,KBDL-CMP-034,KBDL-CMP-034,Normative requirement record,PASS
KBDL-CMP-034,Blueprint section,"Shared field model; Text Input, Password Input, Search Field, Textarea, Select, Combobox, Checkbox, Radio Group, Switch, File Input, Field Group, Form Action Row; form validation and recovery","Shared field model; Text Input, Password Input, Search Field, Textarea, Select, Combobox, Checkbox, Radio Group, Switch, File Input, Field Group, Form Action Row; form validation and recovery",Readable traceability group,PASS
KBDL-CMP-034,Roadmap prompt,KBDL-007,KBDL-007,Approved roadmap and module ownership,PASS
KBDL-CMP-034,Specification location,components-core.md#2211-field-group,components-core.md#2211-field-group,Containing normative Markdown section,PASS
KBDL-CMP-034,Lifecycle status,Approved,Approved,Normative requirement record,PASS
KBDL-CMP-034,Provenance,Confirmed,Confirmed,Normative requirement record,PASS
KBDL-CMP-034,Validation classification,UNRESOLVED,Not verified,Normative requirement record,PASS
KBDL-CMP-034,Verified scope,None,None,Executed evidence and stated scope,PASS
KBDL-CMP-034,Not-verified scope,Not verified,Not verified,Unexecuted or excluded scope,PASS
KBDL-CMP-034,Authority,RESOLVED,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,AR2 confirmation approved decision standard or Approved requirement,PASS
KBDL-CMP-034,Validation method,Manual review once implemented.,Manual review once implemented,Normative method or independently approved evidence-method registry,PASS
KBDL-CMP-034,Validation evidence,Not verified — no implementation exists yet,Not verified — no implementation exists yet,Existing evidence source or honest Not verified record,PASS
KBDL-CMP-034,Known limitation,UNRESOLVED,Implementation-dependent,Actual excluded or unverified scope,PASS
KBDL-CMP-034,Packet or tracking destination,None — Approved,None — Approved,Exact packet or tracking section,PASS
KBDL-CMP-034,Pending dependencies,None,None,Normative record packet or deferred tracking,PASS
KBDL-CMP-034,Related decision,RESOLVED,None,Approved decision register,PASS
KBDL-CMP-034,Notes or exclusions,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,Higher-priority exclusion or bounded administrative note,PASS
KBDL-CMP-035,Requirement ID,KBDL-CMP-035,KBDL-CMP-035,Normative requirement record,PASS
KBDL-CMP-035,Blueprint section,"Shared field model; Text Input, Password Input, Search Field, Textarea, Select, Combobox, Checkbox, Radio Group, Switch, File Input, Field Group, Form Action Row; form validation and recovery","Shared field model; Text Input, Password Input, Search Field, Textarea, Select, Combobox, Checkbox, Radio Group, Switch, File Input, Field Group, Form Action Row; form validation and recovery",Readable traceability group,PASS
KBDL-CMP-035,Roadmap prompt,KBDL-007,KBDL-007,Approved roadmap and module ownership,PASS
KBDL-CMP-035,Specification location,components-core.md#2212-form-action-row,components-core.md#2212-form-action-row,Containing normative Markdown section,PASS
KBDL-CMP-035,Lifecycle status,Approved,Approved,Normative requirement record,PASS
KBDL-CMP-035,Provenance,Confirmed,Confirmed,Normative requirement record,PASS
KBDL-CMP-035,Validation classification,Not verified,Not verified,Normative requirement record,PASS
KBDL-CMP-035,Verified scope,None,None,Executed evidence and stated scope,PASS
KBDL-CMP-035,Not-verified scope,Not verified,Not verified,Unexecuted or excluded scope,PASS
KBDL-CMP-035,Authority,RESOLVED,Approved (behavioral requirement); project-owner-approved KBDL-007/008 implementation prompt,AR2 confirmation approved decision standard or Approved requirement,PASS
KBDL-CMP-035,Validation method,Manual review once implemented.,Manual review once implemented,Normative method or independently approved evidence-method registry,PASS
KBDL-CMP-035,Validation evidence,Not verified — no implementation exists yet,Not verified — no implementation exists yet,Existing evidence source or honest Not verified record,PASS
KBDL-CMP-035,Known limitation,UNRESOLVED,Implementation-dependent,Actual excluded or unverified scope,PASS
KBDL-CMP-035,Packet or tracking destination,None — Approved,None — Approved,Exact packet or tracking section,PASS
KBDL-CMP-035,Pending dependencies,None,None,Normative record packet or deferred tracking,PASS
KBDL-CMP-035,Related decision,RESOLVED,None,Approved decision register,PASS
KBDL-CMP-035,Notes or exclusions,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,Higher-priority exclusion or bounded administrative note,PASS
KBDL-CMP-036,Requirement ID,KBDL-CMP-036,KBDL-CMP-036,Normative requirement record,PASS
KBDL-CMP-036,Blueprint section,"Shared field model; Text Input, Password Input, Search Field, Textarea, Select, Combobox, Checkbox, Radio Group, Switch, File Input, Field Group, Form Action Row; form validation and recovery","Shared field model; Text Input, Password Input, Search Field, Textarea, Select, Combobox, Checkbox, Radio Group, Switch, File Input, Field Group, Form Action Row; form validation and recovery",Readable traceability group,PASS
KBDL-CMP-036,Roadmap prompt,KBDL-007,KBDL-007,Approved roadmap and module ownership,PASS
KBDL-CMP-036,Specification location,components-core.md#2212-form-action-row,components-core.md#2212-form-action-row,Containing normative Markdown section,PASS
KBDL-CMP-036,Lifecycle status,Recommended,Recommended,Normative requirement record,PASS
KBDL-CMP-036,Provenance,Assumed,Assumed,Normative requirement record,PASS
KBDL-CMP-036,Validation classification,Not applicable,Not applicable,Normative requirement record,PASS
KBDL-CMP-036,Verified scope,None,None,Executed evidence and stated scope,PASS
KBDL-CMP-036,Not-verified scope,None,None,Unexecuted or excluded scope,PASS
KBDL-CMP-036,Authority,RESOLVED,Recommended (new component-level guidance),AR2 confirmation approved decision standard or Approved requirement,PASS
KBDL-CMP-036,Validation method,Project-owner review (not yet performed).,Project-owner review (not yet performed),Normative method or independently approved evidence-method registry,PASS
KBDL-CMP-036,Validation evidence,Not verified — no implementation exists yet,Not verified — no implementation exists yet,Existing evidence source or honest Not verified record,PASS
KBDL-CMP-036,Known limitation,Implementation-dependent,Implementation-dependent,Actual excluded or unverified scope,PASS
KBDL-CMP-036,Packet or tracking destination,components-core.md — 35.2 Recommended Decisions — Ready for Approval — item 6,components-core.md — 35.2 Recommended Decisions — Ready for Approval — item 6,Exact packet or tracking section,PASS
KBDL-CMP-036,Pending dependencies,None,None,Normative record packet or deferred tracking,PASS
KBDL-CMP-036,Related decision,RESOLVED,None,Approved decision register,PASS
KBDL-CMP-036,Notes or exclusions,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,Higher-priority exclusion or bounded administrative note,PASS
KBDL-CMP-037,Requirement ID,KBDL-CMP-037,KBDL-CMP-037,Normative requirement record,PASS
KBDL-CMP-037,Blueprint section,"Shared field model; Text Input, Password Input, Search Field, Textarea, Select, Combobox, Checkbox, Radio Group, Switch, File Input, Field Group, Form Action Row; form validation and recovery","Shared field model; Text Input, Password Input, Search Field, Textarea, Select, Combobox, Checkbox, Radio Group, Switch, File Input, Field Group, Form Action Row; form validation and recovery",Readable traceability group,PASS
KBDL-CMP-037,Roadmap prompt,KBDL-007,KBDL-007,Approved roadmap and module ownership,PASS
KBDL-CMP-037,Specification location,components-core.md#23-form-validation-and-recovery,components-core.md#23-form-validation-and-recovery,Containing normative Markdown section,PASS
KBDL-CMP-037,Lifecycle status,Approved,Approved,Normative requirement record,PASS
KBDL-CMP-037,Provenance,Confirmed,Confirmed,Normative requirement record,PASS
KBDL-CMP-037,Validation classification,Not verified,Not verified,Normative requirement record,PASS
KBDL-CMP-037,Verified scope,None,None,Executed evidence and stated scope,PASS
KBDL-CMP-037,Not-verified scope,Not verified,Not verified,Unexecuted or excluded scope,PASS
KBDL-CMP-037,Authority,RESOLVED,"Approved (directly restates WCAG 2.2 SC 3.3.1, SC 3.3.3, SC 3.3.4, SC 3.3.7, SC 4.1.3)",AR2 confirmation approved decision standard or Approved requirement,PASS
KBDL-CMP-037,Validation method,Manual review once implemented.,Manual review once implemented,Normative method or independently approved evidence-method registry,PASS
KBDL-CMP-037,Validation evidence,Not verified — no implementation exists yet,Not verified — no implementation exists yet,Existing evidence source or honest Not verified record,PASS
KBDL-CMP-037,Known limitation,UNRESOLVED,Implementation-dependent,Actual excluded or unverified scope,PASS
KBDL-CMP-037,Packet or tracking destination,None — Approved,None — Approved,Exact packet or tracking section,PASS
KBDL-CMP-037,Pending dependencies,None,None,Normative record packet or deferred tracking,PASS
KBDL-CMP-037,Related decision,RESOLVED,None,Approved decision register,PASS
KBDL-CMP-037,Notes or exclusions,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,Higher-priority exclusion or bounded administrative note,PASS
KBDL-CMP-038,Requirement ID,KBDL-CMP-038,KBDL-CMP-038,Normative requirement record,PASS
KBDL-CMP-038,Blueprint section,"Skip Link, Navigation Link/List, Primary/Global Navigation, Local/Section Navigation, Breadcrumb, Tabs, Pagination, Back Link","Skip Link, Navigation Link/List, Primary/Global Navigation, Local/Section Navigation, Breadcrumb, Tabs, Pagination, Back Link",Readable traceability group,PASS
KBDL-CMP-038,Roadmap prompt,KBDL-007,KBDL-007,Approved roadmap and module ownership,PASS
KBDL-CMP-038,Specification location,components-core.md#241-skip-link,components-core.md#241-skip-link,Containing normative Markdown section,PASS
KBDL-CMP-038,Lifecycle status,Approved,Approved,Normative requirement record,PASS
KBDL-CMP-038,Provenance,Confirmed,Confirmed,Normative requirement record,PASS
KBDL-CMP-038,Validation classification,Not verified,Not verified,Normative requirement record,PASS
KBDL-CMP-038,Verified scope,None,None,Executed evidence and stated scope,PASS
KBDL-CMP-038,Not-verified scope,Not verified,Not verified,Unexecuted or excluded scope,PASS
KBDL-CMP-038,Authority,RESOLVED,Approved (directly restates WCAG 2.2 SC 2.4.1),AR2 confirmation approved decision standard or Approved requirement,PASS
KBDL-CMP-038,Validation method,Manual keyboard testing once implemented.,Manual keyboard testing once implemented,Normative method or independently approved evidence-method registry,PASS
KBDL-CMP-038,Validation evidence,Not verified — no implementation exists yet,Not verified — no implementation exists yet,Existing evidence source or honest Not verified record,PASS
KBDL-CMP-038,Known limitation,UNRESOLVED,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,Actual excluded or unverified scope,PASS
KBDL-CMP-038,Packet or tracking destination,None — Approved,None — Approved,Exact packet or tracking section,PASS
KBDL-CMP-038,Pending dependencies,None,None,Normative record packet or deferred tracking,PASS
KBDL-CMP-038,Related decision,RESOLVED,None,Approved decision register,PASS
KBDL-CMP-038,Notes or exclusions,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,Higher-priority exclusion or bounded administrative note,PASS
KBDL-CMP-039,Requirement ID,KBDL-CMP-039,KBDL-CMP-039,Normative requirement record,PASS
KBDL-CMP-039,Blueprint section,"Skip Link, Navigation Link/List, Primary/Global Navigation, Local/Section Navigation, Breadcrumb, Tabs, Pagination, Back Link","Skip Link, Navigation Link/List, Primary/Global Navigation, Local/Section Navigation, Breadcrumb, Tabs, Pagination, Back Link",Readable traceability group,PASS
KBDL-CMP-039,Roadmap prompt,KBDL-007,KBDL-007,Approved roadmap and module ownership,PASS
KBDL-CMP-039,Specification location,components-core.md#242-navigation-link-and-list,components-core.md#242-navigation-link-and-list,Containing normative Markdown section,PASS
KBDL-CMP-039,Lifecycle status,Approved,Approved,Normative requirement record,PASS
KBDL-CMP-039,Provenance,Confirmed,Confirmed,Normative requirement record,PASS
KBDL-CMP-039,Validation classification,UNRESOLVED,Not verified,Normative requirement record,PASS
KBDL-CMP-039,Verified scope,None,None,Executed evidence and stated scope,PASS
KBDL-CMP-039,Not-verified scope,Not verified,Not verified,Unexecuted or excluded scope,PASS
KBDL-CMP-039,Authority,RESOLVED,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,AR2 confirmation approved decision standard or Approved requirement,PASS
KBDL-CMP-039,Validation method,Manual review once implemented.,Manual review once implemented,Normative method or independently approved evidence-method registry,PASS
KBDL-CMP-039,Validation evidence,Not verified — no implementation exists yet,Not verified — no implementation exists yet,Existing evidence source or honest Not verified record,PASS
KBDL-CMP-039,Known limitation,UNRESOLVED,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,Actual excluded or unverified scope,PASS
KBDL-CMP-039,Packet or tracking destination,None — Approved,None — Approved,Exact packet or tracking section,PASS
KBDL-CMP-039,Pending dependencies,None,None,Normative record packet or deferred tracking,PASS
KBDL-CMP-039,Related decision,RESOLVED,None,Approved decision register,PASS
KBDL-CMP-039,Notes or exclusions,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,Higher-priority exclusion or bounded administrative note,PASS
KBDL-CMP-040,Requirement ID,KBDL-CMP-040,KBDL-CMP-040,Normative requirement record,PASS
KBDL-CMP-040,Blueprint section,"Skip Link, Navigation Link/List, Primary/Global Navigation, Local/Section Navigation, Breadcrumb, Tabs, Pagination, Back Link","Skip Link, Navigation Link/List, Primary/Global Navigation, Local/Section Navigation, Breadcrumb, Tabs, Pagination, Back Link",Readable traceability group,PASS
KBDL-CMP-040,Roadmap prompt,KBDL-007,KBDL-007,Approved roadmap and module ownership,PASS
KBDL-CMP-040,Specification location,components-core.md#243-primary-or-global-navigation,components-core.md#243-primary-or-global-navigation,Containing normative Markdown section,PASS
KBDL-CMP-040,Lifecycle status,Approved,Approved,Normative requirement record,PASS
KBDL-CMP-040,Provenance,Confirmed,Confirmed,Normative requirement record,PASS
KBDL-CMP-040,Validation classification,UNRESOLVED,Not verified,Normative requirement record,PASS
KBDL-CMP-040,Verified scope,None,None,Executed evidence and stated scope,PASS
KBDL-CMP-040,Not-verified scope,Not verified,Not verified,Unexecuted or excluded scope,PASS
KBDL-CMP-040,Authority,RESOLVED,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,AR2 confirmation approved decision standard or Approved requirement,PASS
KBDL-CMP-040,Validation method,Manual review once implemented.,Manual review once implemented,Normative method or independently approved evidence-method registry,PASS
KBDL-CMP-040,Validation evidence,Not verified — no implementation exists yet,Not verified — no implementation exists yet,Existing evidence source or honest Not verified record,PASS
KBDL-CMP-040,Known limitation,UNRESOLVED,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,Actual excluded or unverified scope,PASS
KBDL-CMP-040,Packet or tracking destination,None — Approved,None — Approved,Exact packet or tracking section,PASS
KBDL-CMP-040,Pending dependencies,None,None,Normative record packet or deferred tracking,PASS
KBDL-CMP-040,Related decision,RESOLVED,None,Approved decision register,PASS
KBDL-CMP-040,Notes or exclusions,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,Higher-priority exclusion or bounded administrative note,PASS
KBDL-CMP-041,Requirement ID,KBDL-CMP-041,KBDL-CMP-041,Normative requirement record,PASS
KBDL-CMP-041,Blueprint section,"Skip Link, Navigation Link/List, Primary/Global Navigation, Local/Section Navigation, Breadcrumb, Tabs, Pagination, Back Link","Skip Link, Navigation Link/List, Primary/Global Navigation, Local/Section Navigation, Breadcrumb, Tabs, Pagination, Back Link",Readable traceability group,PASS
KBDL-CMP-041,Roadmap prompt,KBDL-007,KBDL-007,Approved roadmap and module ownership,PASS
KBDL-CMP-041,Specification location,components-core.md#243-primary-or-global-navigation,components-core.md#243-primary-or-global-navigation,Containing normative Markdown section,PASS
KBDL-CMP-041,Lifecycle status,Recommended,Recommended,Normative requirement record,PASS
KBDL-CMP-041,Provenance,Assumed,Assumed,Normative requirement record,PASS
KBDL-CMP-041,Validation classification,Not applicable,Not applicable,Normative requirement record,PASS
KBDL-CMP-041,Verified scope,None,None,Executed evidence and stated scope,PASS
KBDL-CMP-041,Not-verified scope,None,None,Unexecuted or excluded scope,PASS
KBDL-CMP-041,Authority,RESOLVED,Recommended (depends on unapproved responsive values),AR2 confirmation approved decision standard or Approved requirement,PASS
KBDL-CMP-041,Validation method,Project-owner review (not yet performed).,Project-owner review (not yet performed),Normative method or independently approved evidence-method registry,PASS
KBDL-CMP-041,Validation evidence,Not verified — no implementation exists yet,Not verified — no implementation exists yet,Existing evidence source or honest Not verified record,PASS
KBDL-CMP-041,Known limitation,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,Actual excluded or unverified scope,PASS
KBDL-CMP-041,Packet or tracking destination,components-core.md — §35.3 Unresolved or Not Approval-Ready — contingent item KBDL-CMP-041,components-core.md — §35.3 Unresolved or Not Approval-Ready — contingent item KBDL-CMP-041,Exact packet or tracking section,PASS
KBDL-CMP-041,Pending dependencies,None,None,Normative record packet or deferred tracking,PASS
KBDL-CMP-041,Related decision,RESOLVED,None,Approved decision register,PASS
KBDL-CMP-041,Notes or exclusions,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,Higher-priority exclusion or bounded administrative note,PASS
KBDL-CMP-042,Requirement ID,KBDL-CMP-042,KBDL-CMP-042,Normative requirement record,PASS
KBDL-CMP-042,Blueprint section,"Skip Link, Navigation Link/List, Primary/Global Navigation, Local/Section Navigation, Breadcrumb, Tabs, Pagination, Back Link","Skip Link, Navigation Link/List, Primary/Global Navigation, Local/Section Navigation, Breadcrumb, Tabs, Pagination, Back Link",Readable traceability group,PASS
KBDL-CMP-042,Roadmap prompt,KBDL-007,KBDL-007,Approved roadmap and module ownership,PASS
KBDL-CMP-042,Specification location,components-core.md#244-local-or-section-navigation,components-core.md#244-local-or-section-navigation,Containing normative Markdown section,PASS
KBDL-CMP-042,Lifecycle status,Approved,Approved,Normative requirement record,PASS
KBDL-CMP-042,Provenance,Confirmed,Confirmed,Normative requirement record,PASS
KBDL-CMP-042,Validation classification,UNRESOLVED,Not verified,Normative requirement record,PASS
KBDL-CMP-042,Verified scope,None,None,Executed evidence and stated scope,PASS
KBDL-CMP-042,Not-verified scope,Not verified,Not verified,Unexecuted or excluded scope,PASS
KBDL-CMP-042,Authority,RESOLVED,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,AR2 confirmation approved decision standard or Approved requirement,PASS
KBDL-CMP-042,Validation method,Manual review once implemented.,Manual review once implemented,Normative method or independently approved evidence-method registry,PASS
KBDL-CMP-042,Validation evidence,Not verified — no implementation exists yet,Not verified — no implementation exists yet,Existing evidence source or honest Not verified record,PASS
KBDL-CMP-042,Known limitation,UNRESOLVED,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,Actual excluded or unverified scope,PASS
KBDL-CMP-042,Packet or tracking destination,None — Approved,None — Approved,Exact packet or tracking section,PASS
KBDL-CMP-042,Pending dependencies,None,None,Normative record packet or deferred tracking,PASS
KBDL-CMP-042,Related decision,RESOLVED,None,Approved decision register,PASS
KBDL-CMP-042,Notes or exclusions,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,Higher-priority exclusion or bounded administrative note,PASS
KBDL-CMP-043,Requirement ID,KBDL-CMP-043,KBDL-CMP-043,Normative requirement record,PASS
KBDL-CMP-043,Blueprint section,"Skip Link, Navigation Link/List, Primary/Global Navigation, Local/Section Navigation, Breadcrumb, Tabs, Pagination, Back Link","Skip Link, Navigation Link/List, Primary/Global Navigation, Local/Section Navigation, Breadcrumb, Tabs, Pagination, Back Link",Readable traceability group,PASS
KBDL-CMP-043,Roadmap prompt,KBDL-007,KBDL-007,Approved roadmap and module ownership,PASS
KBDL-CMP-043,Specification location,components-core.md#245-breadcrumb,components-core.md#245-breadcrumb,Containing normative Markdown section,PASS
KBDL-CMP-043,Lifecycle status,Approved,Approved,Normative requirement record,PASS
KBDL-CMP-043,Provenance,Confirmed,Confirmed,Normative requirement record,PASS
KBDL-CMP-043,Validation classification,UNRESOLVED,Not verified,Normative requirement record,PASS
KBDL-CMP-043,Verified scope,None,None,Executed evidence and stated scope,PASS
KBDL-CMP-043,Not-verified scope,Not verified,Not verified,Unexecuted or excluded scope,PASS
KBDL-CMP-043,Authority,RESOLVED,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,AR2 confirmation approved decision standard or Approved requirement,PASS
KBDL-CMP-043,Validation method,Manual review once implemented.,Manual review once implemented,Normative method or independently approved evidence-method registry,PASS
KBDL-CMP-043,Validation evidence,Not verified — no implementation exists yet,Not verified — no implementation exists yet,Existing evidence source or honest Not verified record,PASS
KBDL-CMP-043,Known limitation,UNRESOLVED,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,Actual excluded or unverified scope,PASS
KBDL-CMP-043,Packet or tracking destination,None — Approved,None — Approved,Exact packet or tracking section,PASS
KBDL-CMP-043,Pending dependencies,None,None,Normative record packet or deferred tracking,PASS
KBDL-CMP-043,Related decision,RESOLVED,None,Approved decision register,PASS
KBDL-CMP-043,Notes or exclusions,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,Higher-priority exclusion or bounded administrative note,PASS
KBDL-CMP-044,Requirement ID,KBDL-CMP-044,KBDL-CMP-044,Normative requirement record,PASS
KBDL-CMP-044,Blueprint section,"Skip Link, Navigation Link/List, Primary/Global Navigation, Local/Section Navigation, Breadcrumb, Tabs, Pagination, Back Link","Skip Link, Navigation Link/List, Primary/Global Navigation, Local/Section Navigation, Breadcrumb, Tabs, Pagination, Back Link",Readable traceability group,PASS
KBDL-CMP-044,Roadmap prompt,KBDL-007,KBDL-007,Approved roadmap and module ownership,PASS
KBDL-CMP-044,Specification location,components-core.md#245-breadcrumb,components-core.md#245-breadcrumb,Containing normative Markdown section,PASS
KBDL-CMP-044,Lifecycle status,Recommended,Recommended,Normative requirement record,PASS
KBDL-CMP-044,Provenance,Assumed,Assumed,Normative requirement record,PASS
KBDL-CMP-044,Validation classification,UNRESOLVED,Not applicable,Normative requirement record,PASS
KBDL-CMP-044,Verified scope,None,None,Executed evidence and stated scope,PASS
KBDL-CMP-044,Not-verified scope,None,None,Unexecuted or excluded scope,PASS
KBDL-CMP-044,Authority,RESOLVED,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Assumed,AR2 confirmation approved decision standard or Approved requirement,PASS
KBDL-CMP-044,Validation method,Project-owner review (not yet performed).,Project-owner review (not yet performed),Normative method or independently approved evidence-method registry,PASS
KBDL-CMP-044,Validation evidence,Not verified — no implementation exists yet,Not verified — no implementation exists yet,Existing evidence source or honest Not verified record,PASS
KBDL-CMP-044,Known limitation,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,Actual excluded or unverified scope,PASS
KBDL-CMP-044,Packet or tracking destination,components-core.md — 35.2 Recommended Decisions — Ready for Approval — item 7,components-core.md — 35.2 Recommended Decisions — Ready for Approval — item 7,Exact packet or tracking section,PASS
KBDL-CMP-044,Pending dependencies,None,None,Normative record packet or deferred tracking,PASS
KBDL-CMP-044,Related decision,RESOLVED,None,Approved decision register,PASS
KBDL-CMP-044,Notes or exclusions,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,Higher-priority exclusion or bounded administrative note,PASS
KBDL-CMP-045,Requirement ID,KBDL-CMP-045,KBDL-CMP-045,Normative requirement record,PASS
KBDL-CMP-045,Blueprint section,"Skip Link, Navigation Link/List, Primary/Global Navigation, Local/Section Navigation, Breadcrumb, Tabs, Pagination, Back Link","Skip Link, Navigation Link/List, Primary/Global Navigation, Local/Section Navigation, Breadcrumb, Tabs, Pagination, Back Link",Readable traceability group,PASS
KBDL-CMP-045,Roadmap prompt,KBDL-007,KBDL-007,Approved roadmap and module ownership,PASS
KBDL-CMP-045,Specification location,components-core.md#246-tabs,components-core.md#246-tabs,Containing normative Markdown section,PASS
KBDL-CMP-045,Lifecycle status,Approved,Approved,Normative requirement record,PASS
KBDL-CMP-045,Provenance,Confirmed,Confirmed,Normative requirement record,PASS
