Requirement ID,Field name,Ownership class,Primary basis,Derivation rule,Authoritative expected value,Normative value,Governance resolution,Ledger value,Readable-group value,Readable-group classification,Effective value,Precedence result,Conflict result,Validation result
KBDL-CMP-011,Roadmap prompt,C — Traceability-owned administrative,Approved roadmap/module derivation,Derive base prompt from module/file and validate any remediation annotation,KBDL-007,ABSENT,PASS,KBDL-007,MISSING,Missing,KBDL-007,PASS,None,PASS
KBDL-CMP-011,Specification location,A — Normative-owned,Containing normative section,Derive file and containing heading anchor around the requirement record,components-core.md#17-theme-and-contrast-behavior,ABSENT,PASS,components-core.md#17-theme-and-contrast-behavior,MISSING,Missing,components-core.md#17-theme-and-contrast-behavior,PASS,None,PASS
KBDL-CMP-011,Lifecycle status,A — Normative-owned,Normative record,Parse explicit lifecycle and compare every lower source,Approved,Approved,PASS,Approved,MISSING,Missing,Approved,PASS,None,PASS
KBDL-CMP-011,Provenance,A — Normative-owned,Normative record,Parse explicit provenance and compare every lower source,Confirmed,Confirmed,PASS,Confirmed,MISSING,Missing,Confirmed,PASS,None,PASS
KBDL-CMP-011,Validation classification,A — Normative-owned,Normative record,Parse explicit validation status and compare every lower source,Not verified,Not verified,PASS,Not verified,MISSING,Missing,Not verified,PASS,None,PASS
KBDL-CMP-011,Verified scope,D — Evidence-owned,Evidence scope registry,Require evidence-compatible scope,None,ABSENT,PASS,None,MISSING,Missing,None,PASS,None,PASS
KBDL-CMP-011,Not-verified scope,D — Evidence-owned,Evidence scope registry,Require honest unexecuted scope,Not verified,ABSENT,PASS,Not verified,MISSING,Missing,Not verified,PASS,None,PASS
KBDL-CMP-011,Authority,B — Governance-owned,Authority graph,Resolve every component and graph edge,RESOLVED,ABSENT,PASS,Approved (directly restates the approved theme architecture); project-owner-approved KBDL-007/008 implementation prompt,MISSING,Missing,RESOLVED,PASS,None,PASS
KBDL-CMP-011,Validation method,D — Evidence-owned,Normative record,Compare method to evidence classification without ledger self-proof,Manual theme-role mapping review once implemented.,Manual theme-role mapping review once implemented.,PASS,Manual theme-role mapping review once implemented,MISSING,Missing,Manual theme-role mapping review once implemented.,PASS,None,PASS
KBDL-CMP-011,Validation evidence,D — Evidence-owned,Resolved evidence/classification relationship,Resolve paths and prevent unsupported execution claims,Not verified — no implementation exists yet,ABSENT,PASS,Not verified — no implementation exists yet,MISSING,Missing,Not verified — no implementation exists yet,PASS,None,PASS
KBDL-CMP-011,Known limitation,D — Evidence-owned,Not-verified/excluded scope relationship,Require consistency with validation scope,UNRESOLVED,ABSENT,PASS,Implementation-dependent; cannot be tested until real components exist,MISSING,Missing,UNRESOLVED,PASS,None,FAIL
KBDL-CMP-011,Packet or tracking destination,C — Traceability-owned administrative,Explicit None permitted only for Approved,Resolve file section item owner and readiness class,None — Approved,ABSENT,PASS,None — Approved,MISSING,Missing,None — Approved,PASS,None,PASS
KBDL-CMP-011,Pending dependencies,C — Traceability-owned administrative,Explicit None,Resolve and classify dependency source,None,ABSENT,PASS,None,MISSING,Missing,None,PASS,None,PASS
KBDL-CMP-011,Related decision,B — Governance-owned,Decision register,Resolve every cited decision and status,RESOLVED,ABSENT,PASS,None,MISSING,Missing,RESOLVED,PASS,None,PASS
KBDL-CMP-011,Notes or exclusions,C — Traceability-owned administrative,Owned administrative value bounded by prohibited-claim scan,Reject unsupported promotion or completion claims,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,ABSENT,PASS,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,MISSING,Missing,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,PASS,None,PASS
KBDL-CMP-012,Requirement ID,A — Normative-owned,Normative record,Parse the ID from the normative record,KBDL-CMP-012,KBDL-CMP-012,PASS,KBDL-CMP-012,MISSING,Missing,KBDL-CMP-012,PASS,None,PASS
KBDL-CMP-012,Blueprint section,C — Traceability-owned administrative,Exact readable-group value,Parse exact group heading or explicit per-ID mapping,Shared component contract; native-semantics-first rule; accessible naming; component state model; KBDL-008 scope boundary; focus/keyboard/pointer behavior; responsive/target-size/theme/foundation/motion mapping; cross-component composition; profile compatibility,ABSENT,PASS,Shared component contract; native-semantics-first rule; accessible naming; component state model; KBDL-008 scope boundary; focus/keyboard/pointer behavior; responsive/target-size/theme/foundation/motion mapping; cross-component composition; profile compatibility,MISSING,Missing,Shared component contract; native-semantics-first rule; accessible naming; component state model; KBDL-008 scope boundary; focus/keyboard/pointer behavior; responsive/target-size/theme/foundation/motion mapping; cross-component composition; profile compatibility,PASS,None,PASS
KBDL-CMP-012,Roadmap prompt,C — Traceability-owned administrative,Approved roadmap/module derivation,Derive base prompt from module/file and validate any remediation annotation,KBDL-007,ABSENT,PASS,KBDL-007,MISSING,Missing,KBDL-007,PASS,None,PASS
KBDL-CMP-012,Specification location,A — Normative-owned,Containing normative section,Derive file and containing heading anchor around the requirement record,components-core.md#18-foundation-behavior,ABSENT,PASS,components-core.md#18-foundation-behavior,MISSING,Missing,components-core.md#18-foundation-behavior,PASS,None,PASS
KBDL-CMP-012,Lifecycle status,A — Normative-owned,Normative record,Parse explicit lifecycle and compare every lower source,Approved,Approved,PASS,Approved,MISSING,Missing,Approved,PASS,None,PASS
KBDL-CMP-012,Provenance,A — Normative-owned,Normative record,Parse explicit provenance and compare every lower source,Confirmed,Confirmed,PASS,Confirmed,MISSING,Missing,Confirmed,PASS,None,PASS
KBDL-CMP-012,Validation classification,A — Normative-owned,Normative record,Parse explicit validation status and compare every lower source,Not verified,Not verified,PASS,Not verified,MISSING,Missing,Not verified,PASS,None,PASS
KBDL-CMP-012,Verified scope,D — Evidence-owned,Evidence scope registry,Require evidence-compatible scope,None,ABSENT,PASS,None,MISSING,Missing,None,PASS,None,PASS
KBDL-CMP-012,Not-verified scope,D — Evidence-owned,Evidence scope registry,Require honest unexecuted scope,Not verified,ABSENT,PASS,Not verified,MISSING,Missing,Not verified,PASS,None,PASS
KBDL-CMP-012,Authority,B — Governance-owned,Authority graph,Resolve every component and graph edge,RESOLVED,ABSENT,PASS,Approved (directly restates the approved foundation architecture); project-owner-approved KBDL-007/008 implementation prompt,MISSING,Missing,RESOLVED,PASS,None,PASS
KBDL-CMP-012,Validation method,D — Evidence-owned,Normative record,Compare method to evidence classification without ledger self-proof,Manual foundation-mapping review once implemented.,Manual foundation-mapping review once implemented.,PASS,Manual foundation-mapping review once implemented,MISSING,Missing,Manual foundation-mapping review once implemented.,PASS,None,PASS
KBDL-CMP-012,Validation evidence,D — Evidence-owned,Resolved evidence/classification relationship,Resolve paths and prevent unsupported execution claims,Not verified — no implementation exists yet,ABSENT,PASS,Not verified — no implementation exists yet,MISSING,Missing,Not verified — no implementation exists yet,PASS,None,PASS
KBDL-CMP-012,Known limitation,D — Evidence-owned,Not-verified/excluded scope relationship,Require consistency with validation scope,UNRESOLVED,ABSENT,PASS,Implementation-dependent; cannot be tested until real components exist,MISSING,Missing,UNRESOLVED,PASS,None,FAIL
KBDL-CMP-012,Packet or tracking destination,C — Traceability-owned administrative,Explicit None permitted only for Approved,Resolve file section item owner and readiness class,None — Approved,ABSENT,PASS,None — Approved,MISSING,Missing,None — Approved,PASS,None,PASS
KBDL-CMP-012,Pending dependencies,C — Traceability-owned administrative,Explicit None,Resolve and classify dependency source,None,ABSENT,PASS,None,MISSING,Missing,None,PASS,None,PASS
KBDL-CMP-012,Related decision,B — Governance-owned,Decision register,Resolve every cited decision and status,RESOLVED,ABSENT,PASS,None,MISSING,Missing,RESOLVED,PASS,None,PASS
KBDL-CMP-012,Notes or exclusions,C — Traceability-owned administrative,Owned administrative value bounded by prohibited-claim scan,Reject unsupported promotion or completion claims,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,ABSENT,PASS,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,MISSING,Missing,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,PASS,None,PASS
KBDL-CMP-013,Requirement ID,A — Normative-owned,Normative record,Parse the ID from the normative record,KBDL-CMP-013,KBDL-CMP-013,PASS,KBDL-CMP-013,MISSING,Missing,KBDL-CMP-013,PASS,None,PASS
KBDL-CMP-013,Blueprint section,C — Traceability-owned administrative,Exact readable-group value,Parse exact group heading or explicit per-ID mapping,Shared component contract; native-semantics-first rule; accessible naming; component state model; KBDL-008 scope boundary; focus/keyboard/pointer behavior; responsive/target-size/theme/foundation/motion mapping; cross-component composition; profile compatibility,ABSENT,PASS,Shared component contract; native-semantics-first rule; accessible naming; component state model; KBDL-008 scope boundary; focus/keyboard/pointer behavior; responsive/target-size/theme/foundation/motion mapping; cross-component composition; profile compatibility,MISSING,Missing,Shared component contract; native-semantics-first rule; accessible naming; component state model; KBDL-008 scope boundary; focus/keyboard/pointer behavior; responsive/target-size/theme/foundation/motion mapping; cross-component composition; profile compatibility,PASS,None,PASS
KBDL-CMP-013,Roadmap prompt,C — Traceability-owned administrative,Approved roadmap/module derivation,Derive base prompt from module/file and validate any remediation annotation,KBDL-007,ABSENT,PASS,KBDL-007,MISSING,Missing,KBDL-007,PASS,None,PASS
KBDL-CMP-013,Specification location,A — Normative-owned,Containing normative section,Derive file and containing heading anchor around the requirement record,components-core.md#19-motion-behavior,ABSENT,PASS,components-core.md#19-motion-behavior,MISSING,Missing,components-core.md#19-motion-behavior,PASS,None,PASS
KBDL-CMP-013,Lifecycle status,A — Normative-owned,Normative record,Parse explicit lifecycle and compare every lower source,Approved,Approved,PASS,Approved,MISSING,Missing,Approved,PASS,None,PASS
KBDL-CMP-013,Provenance,A — Normative-owned,Normative record,Parse explicit provenance and compare every lower source,Confirmed,Confirmed,PASS,Confirmed,MISSING,Missing,Confirmed,PASS,None,PASS
KBDL-CMP-013,Validation classification,A — Normative-owned,Normative record,Parse explicit validation status and compare every lower source,Not verified,Not verified,PASS,Not verified,MISSING,Missing,Not verified,PASS,None,PASS
KBDL-CMP-013,Verified scope,D — Evidence-owned,Evidence scope registry,Require evidence-compatible scope,None,ABSENT,PASS,None,MISSING,Missing,None,PASS,None,PASS
KBDL-CMP-013,Not-verified scope,D — Evidence-owned,Evidence scope registry,Require honest unexecuted scope,Not verified,ABSENT,PASS,Not verified,MISSING,Missing,Not verified,PASS,None,PASS
KBDL-CMP-013,Authority,B — Governance-owned,Authority graph,Resolve every component and graph edge,RESOLVED,ABSENT,PASS,"Approved (structural requirement — the obligation to document motion necessity/purpose/hierarchy/parity per component is itself Approved; the *exact* component-specific duration, distance, scale, stagger, easing, choreography, or rendering-technology mapping for any individual component is not newly approved by this requirement where no prior approved KBDL rule already supplies it — such exact mappings remain governed by the existing motion unresolved/not-approval-ready items in motion/README.md §10.3 and this module's own §36); project-owner-approved KBDL-007/008 implementation prompt",MISSING,Missing,RESOLVED,PASS,None,PASS
KBDL-CMP-013,Validation method,D — Evidence-owned,Normative record,Compare method to evidence classification without ledger self-proof,Manual review once implemented.,Manual review once implemented.,PASS,Manual review once implemented,MISSING,Missing,Manual review once implemented.,PASS,None,PASS
KBDL-CMP-013,Validation evidence,D — Evidence-owned,Resolved evidence/classification relationship,Resolve paths and prevent unsupported execution claims,Not verified — no implementation exists yet,ABSENT,PASS,Not verified — no implementation exists yet,MISSING,Missing,Not verified — no implementation exists yet,PASS,None,PASS
KBDL-CMP-013,Known limitation,D — Evidence-owned,Not-verified/excluded scope relationship,Require consistency with validation scope,UNRESOLVED,ABSENT,PASS,Implementation-dependent; cannot be tested until real components exist,MISSING,Missing,UNRESOLVED,PASS,None,FAIL
KBDL-CMP-013,Packet or tracking destination,C — Traceability-owned administrative,Explicit None permitted only for Approved,Resolve file section item owner and readiness class,None — Approved,ABSENT,PASS,None — Approved,MISSING,Missing,None — Approved,PASS,None,PASS
KBDL-CMP-013,Pending dependencies,C — Traceability-owned administrative,Explicit None,Resolve and classify dependency source,None,ABSENT,PASS,None,MISSING,Missing,None,PASS,None,PASS
KBDL-CMP-013,Related decision,B — Governance-owned,Decision register,Resolve every cited decision and status,RESOLVED,ABSENT,PASS,None,MISSING,Missing,RESOLVED,PASS,None,PASS
KBDL-CMP-013,Notes or exclusions,C — Traceability-owned administrative,Owned administrative value bounded by prohibited-claim scan,Reject unsupported promotion or completion claims,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,ABSENT,PASS,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,MISSING,Missing,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,PASS,None,PASS
KBDL-CMP-014,Requirement ID,A — Normative-owned,Normative record,Parse the ID from the normative record,KBDL-CMP-014,KBDL-CMP-014,PASS,KBDL-CMP-014,MISSING,Missing,KBDL-CMP-014,PASS,None,PASS
KBDL-CMP-014,Blueprint section,C — Traceability-owned administrative,Exact readable-group value,Parse exact group heading or explicit per-ID mapping,"Button, Icon Button, Toggle Button, Link, Button Group, Disclosure/Menu Trigger",ABSENT,PASS,"Button, Icon Button, Toggle Button, Link, Button Group, Disclosure/Menu Trigger","Button, Icon Button, Toggle Button, Link, Button Group, Disclosure/Menu Trigger",Uniform default,"Button, Icon Button, Toggle Button, Link, Button Group, Disclosure/Menu Trigger",PASS,None,PASS
KBDL-CMP-014,Roadmap prompt,C — Traceability-owned administrative,Approved roadmap/module derivation,Derive base prompt from module/file and validate any remediation annotation,KBDL-007,ABSENT,PASS,KBDL-007,KBDL-007,Uniform default,KBDL-007,PASS,None,PASS
KBDL-CMP-014,Specification location,A — Normative-owned,Containing normative section,Derive file and containing heading anchor around the requirement record,components-core.md#201-button,ABSENT,PASS,components-core.md#201-button,[components-core.md §20](components-core.md#20-action-components),Non-overriding summary,components-core.md#201-button,PASS,None,PASS
KBDL-CMP-014,Lifecycle status,A — Normative-owned,Normative record,Parse explicit lifecycle and compare every lower source,Approved,Approved,PASS,Approved,MISSING,Missing,Approved,PASS,None,PASS
KBDL-CMP-014,Provenance,A — Normative-owned,Normative record,Parse explicit provenance and compare every lower source,Confirmed,Confirmed,PASS,Confirmed,Confirmed,Uniform default,Confirmed,PASS,None,PASS
KBDL-CMP-014,Validation classification,A — Normative-owned,Normative record,Parse explicit validation status and compare every lower source,Not verified,Not verified,PASS,Not verified,Not verified,Exact per-ID mapping,Not verified,PASS,None,PASS
KBDL-CMP-014,Verified scope,D — Evidence-owned,Evidence scope registry,Require evidence-compatible scope,None,ABSENT,PASS,None,MISSING,Missing,None,PASS,None,PASS
KBDL-CMP-014,Not-verified scope,D — Evidence-owned,Evidence scope registry,Require honest unexecuted scope,Not verified,ABSENT,PASS,Not verified,MISSING,Missing,Not verified,PASS,None,PASS
KBDL-CMP-014,Authority,B — Governance-owned,Authority graph,Resolve every component and graph edge,RESOLVED,ABSENT,PASS,Approved (core restates native-semantics-first and state-model rules); project-owner-approved KBDL-007/008 implementation prompt,MISSING,Missing,RESOLVED,PASS,None,PASS
KBDL-CMP-014,Validation method,D — Evidence-owned,Normative record,Compare method to evidence classification without ledger self-proof,Manual review once implemented.,Manual review once implemented.,PASS,Manual review once implemented,"Manual + automated static accessibility review, manual keyboard/ARIA review once implemented; project-owner review of `KBDL-CMP-015`/`017`/`020` (not yet performed).",Non-overriding summary,Manual review once implemented.,PASS,None,PASS
KBDL-CMP-014,Validation evidence,D — Evidence-owned,Resolved evidence/classification relationship,Resolve paths and prevent unsupported execution claims,Not verified — no implementation exists yet,ABSENT,PASS,Not verified — no implementation exists yet,Not verified — no implementation exists yet.,Non-overriding summary,Not verified — no implementation exists yet,PASS,None,PASS
KBDL-CMP-014,Known limitation,D — Evidence-owned,Not-verified/excluded scope relationship,Require consistency with validation scope,UNRESOLVED,ABSENT,PASS,Implementation-dependent,Implementation-dependent.,Non-overriding summary,UNRESOLVED,PASS,None,FAIL
KBDL-CMP-014,Packet or tracking destination,C — Traceability-owned administrative,Explicit None permitted only for Approved,Resolve file section item owner and readiness class,None — Approved,ABSENT,PASS,None — Approved,MISSING,Missing,None — Approved,PASS,None,PASS
KBDL-CMP-014,Pending dependencies,C — Traceability-owned administrative,Explicit None,Resolve and classify dependency source,None,ABSENT,PASS,None,MISSING,Missing,None,PASS,None,PASS
KBDL-CMP-014,Related decision,B — Governance-owned,Decision register,Resolve every cited decision and status,RESOLVED,ABSENT,PASS,None,Not applicable — pending a future decision-register entry once the project owner reviews the KBDL-007 decision packet.,Non-overriding summary,RESOLVED,PASS,None,PASS
KBDL-CMP-014,Notes or exclusions,C — Traceability-owned administrative,Owned administrative value bounded by prohibited-claim scan,Reject unsupported promotion or completion claims,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,ABSENT,PASS,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,"`KBDL-CMP-015`, `017`, `020` map to [KBDL-007 decision packet](components-core.md#35-kbdl-007-decision-packet) items 1, 3, and 9 respectively.",Non-overriding summary,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,PASS,None,PASS
KBDL-CMP-015,Requirement ID,A — Normative-owned,Normative record,Parse the ID from the normative record,KBDL-CMP-015,KBDL-CMP-015,PASS,KBDL-CMP-015,MISSING,Missing,KBDL-CMP-015,PASS,None,PASS
KBDL-CMP-015,Blueprint section,C — Traceability-owned administrative,Exact readable-group value,Parse exact group heading or explicit per-ID mapping,"Button, Icon Button, Toggle Button, Link, Button Group, Disclosure/Menu Trigger",ABSENT,PASS,"Button, Icon Button, Toggle Button, Link, Button Group, Disclosure/Menu Trigger",MISSING,Missing,"Button, Icon Button, Toggle Button, Link, Button Group, Disclosure/Menu Trigger",PASS,None,PASS
KBDL-CMP-015,Roadmap prompt,C — Traceability-owned administrative,Approved roadmap/module derivation,Derive base prompt from module/file and validate any remediation annotation,KBDL-007,ABSENT,PASS,KBDL-007,MISSING,Missing,KBDL-007,PASS,None,PASS
KBDL-CMP-015,Specification location,A — Normative-owned,Containing normative section,Derive file and containing heading anchor around the requirement record,components-core.md#201-button,ABSENT,PASS,components-core.md#201-button; components-core.md#35-kbdl-007-decision-packet,MISSING,Missing,components-core.md#201-button,PASS,None,PASS
KBDL-CMP-015,Lifecycle status,A — Normative-owned,Normative record,Parse explicit lifecycle and compare every lower source,Recommended,Recommended,PASS,Recommended,MISSING,Missing,Recommended,PASS,None,PASS
KBDL-CMP-015,Provenance,A — Normative-owned,Normative record,Parse explicit provenance and compare every lower source,Assumed,Assumed,PASS,Assumed,MISSING,Missing,Assumed,PASS,None,PASS
KBDL-CMP-015,Validation classification,A — Normative-owned,Normative record,Parse explicit validation status and compare every lower source,Not applicable,Not applicable,PASS,Not applicable,MISSING,Missing,Not applicable,PASS,None,PASS
KBDL-CMP-015,Verified scope,D — Evidence-owned,Evidence scope registry,Require evidence-compatible scope,None,ABSENT,PASS,None,MISSING,Missing,None,PASS,None,PASS
KBDL-CMP-015,Not-verified scope,D — Evidence-owned,Evidence scope registry,Require honest unexecuted scope,None,ABSENT,PASS,None,MISSING,Missing,None,PASS,None,PASS
KBDL-CMP-015,Authority,B — Governance-owned,Authority graph,Resolve every component and graph edge,RESOLVED,ABSENT,PASS,Recommended (new component taxonomy),MISSING,Missing,RESOLVED,PASS,None,PASS
KBDL-CMP-015,Validation method,D — Evidence-owned,Normative record,Compare method to evidence classification without ledger self-proof,Project-owner review (not yet performed).,Project-owner review (not yet performed).,PASS,Project-owner review (not yet performed),MISSING,Missing,Project-owner review (not yet performed).,PASS,None,PASS
KBDL-CMP-015,Validation evidence,D — Evidence-owned,Resolved evidence/classification relationship,Resolve paths and prevent unsupported execution claims,Not verified — no implementation exists yet,ABSENT,PASS,Not verified — no implementation exists yet,MISSING,Missing,Not verified — no implementation exists yet,PASS,None,PASS
KBDL-CMP-015,Known limitation,D — Evidence-owned,Not-verified/excluded scope relationship,Require consistency with validation scope,Implementation-dependent,ABSENT,PASS,Implementation-dependent,MISSING,Missing,Implementation-dependent,PASS,None,PASS
KBDL-CMP-015,Packet or tracking destination,C — Traceability-owned administrative,components-core.md:1973 item=[1]; components-core.md:1973 item=[1],Resolve file section item owner and readiness class,components-core.md — 35.2 Recommended Decisions — Ready for Approval — item 1,ABSENT,PASS,components-core.md — 35.2 Recommended Decisions — Ready for Approval — item 1,MISSING,Missing,components-core.md — 35.2 Recommended Decisions — Ready for Approval — item 1,PASS,None,PASS
KBDL-CMP-015,Pending dependencies,C — Traceability-owned administrative,Packet/tracking record,Resolve and classify dependency source,None,ABSENT,PASS,None,MISSING,Missing,None,PASS,None,PASS
KBDL-CMP-015,Related decision,B — Governance-owned,Decision register,Resolve every cited decision and status,RESOLVED,ABSENT,PASS,None,MISSING,Missing,RESOLVED,PASS,None,PASS
KBDL-CMP-015,Notes or exclusions,C — Traceability-owned administrative,Owned administrative value bounded by prohibited-claim scan,Reject unsupported promotion or completion claims,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,ABSENT,PASS,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,MISSING,Missing,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,PASS,None,PASS
KBDL-CMP-016,Requirement ID,A — Normative-owned,Normative record,Parse the ID from the normative record,KBDL-CMP-016,KBDL-CMP-016,PASS,KBDL-CMP-016,MISSING,Missing,KBDL-CMP-016,PASS,None,PASS
KBDL-CMP-016,Blueprint section,C — Traceability-owned administrative,Exact readable-group value,Parse exact group heading or explicit per-ID mapping,"Button, Icon Button, Toggle Button, Link, Button Group, Disclosure/Menu Trigger",ABSENT,PASS,"Button, Icon Button, Toggle Button, Link, Button Group, Disclosure/Menu Trigger",MISSING,Missing,"Button, Icon Button, Toggle Button, Link, Button Group, Disclosure/Menu Trigger",PASS,None,PASS
KBDL-CMP-016,Roadmap prompt,C — Traceability-owned administrative,Approved roadmap/module derivation,Derive base prompt from module/file and validate any remediation annotation,KBDL-007,ABSENT,PASS,KBDL-007,MISSING,Missing,KBDL-007,PASS,None,PASS
KBDL-CMP-016,Specification location,A — Normative-owned,Containing normative section,Derive file and containing heading anchor around the requirement record,components-core.md#202-icon-button,ABSENT,PASS,components-core.md#202-icon-button,MISSING,Missing,components-core.md#202-icon-button,PASS,None,PASS
KBDL-CMP-016,Lifecycle status,A — Normative-owned,Normative record,Parse explicit lifecycle and compare every lower source,Approved,Approved,PASS,Approved,MISSING,Missing,Approved,PASS,None,PASS
KBDL-CMP-016,Provenance,A — Normative-owned,Normative record,Parse explicit provenance and compare every lower source,Confirmed,Confirmed,PASS,Confirmed,MISSING,Missing,Confirmed,PASS,None,PASS
KBDL-CMP-016,Validation classification,A — Normative-owned,Normative record,Parse explicit validation status and compare every lower source,Not verified,Not verified,PASS,Not verified,MISSING,Missing,Not verified,PASS,None,PASS
KBDL-CMP-016,Verified scope,D — Evidence-owned,Evidence scope registry,Require evidence-compatible scope,None,ABSENT,PASS,None,MISSING,Missing,None,PASS,None,PASS
KBDL-CMP-016,Not-verified scope,D — Evidence-owned,Evidence scope registry,Require honest unexecuted scope,Not verified,ABSENT,PASS,Not verified,MISSING,Missing,Not verified,PASS,None,PASS
KBDL-CMP-016,Authority,B — Governance-owned,Authority graph,Resolve every component and graph edge,RESOLVED,ABSENT,PASS,Approved (directly restates WCAG 2.2 SC 4.1.2),MISSING,Missing,RESOLVED,PASS,None,PASS
KBDL-CMP-016,Validation method,D — Evidence-owned,Normative record,Compare method to evidence classification without ledger self-proof,Manual + automated static accessibility check once implemented.,Manual + automated static accessibility check once implemented.,PASS,Manual + automated static accessibility check once implemented,MISSING,Missing,Manual + automated static accessibility check once implemented.,PASS,None,PASS
KBDL-CMP-016,Validation evidence,D — Evidence-owned,Resolved evidence/classification relationship,Resolve paths and prevent unsupported execution claims,Not verified — no implementation exists yet,ABSENT,PASS,Not verified — no implementation exists yet,MISSING,Missing,Not verified — no implementation exists yet,PASS,None,PASS
KBDL-CMP-016,Known limitation,D — Evidence-owned,Not-verified/excluded scope relationship,Require consistency with validation scope,UNRESOLVED,ABSENT,PASS,Implementation-dependent,MISSING,Missing,UNRESOLVED,PASS,None,FAIL
KBDL-CMP-016,Packet or tracking destination,C — Traceability-owned administrative,Explicit None permitted only for Approved,Resolve file section item owner and readiness class,None — Approved,ABSENT,PASS,None — Approved,MISSING,Missing,None — Approved,PASS,None,PASS
KBDL-CMP-016,Pending dependencies,C — Traceability-owned administrative,Explicit None,Resolve and classify dependency source,None,ABSENT,PASS,None,MISSING,Missing,None,PASS,None,PASS
KBDL-CMP-016,Related decision,B — Governance-owned,Decision register,Resolve every cited decision and status,RESOLVED,ABSENT,PASS,None,MISSING,Missing,RESOLVED,PASS,None,PASS
KBDL-CMP-016,Notes or exclusions,C — Traceability-owned administrative,Owned administrative value bounded by prohibited-claim scan,Reject unsupported promotion or completion claims,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,ABSENT,PASS,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,MISSING,Missing,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,PASS,None,PASS
KBDL-CMP-017,Requirement ID,A — Normative-owned,Normative record,Parse the ID from the normative record,KBDL-CMP-017,KBDL-CMP-017,PASS,KBDL-CMP-017,MISSING,Missing,KBDL-CMP-017,PASS,None,PASS
KBDL-CMP-017,Blueprint section,C — Traceability-owned administrative,Exact readable-group value,Parse exact group heading or explicit per-ID mapping,"Button, Icon Button, Toggle Button, Link, Button Group, Disclosure/Menu Trigger",ABSENT,PASS,"Button, Icon Button, Toggle Button, Link, Button Group, Disclosure/Menu Trigger",MISSING,Missing,"Button, Icon Button, Toggle Button, Link, Button Group, Disclosure/Menu Trigger",PASS,None,PASS
KBDL-CMP-017,Roadmap prompt,C — Traceability-owned administrative,Approved roadmap/module derivation,Derive base prompt from module/file and validate any remediation annotation,KBDL-007,ABSENT,PASS,KBDL-007,MISSING,Missing,KBDL-007,PASS,None,PASS
KBDL-CMP-017,Specification location,A — Normative-owned,Containing normative section,Derive file and containing heading anchor around the requirement record,components-core.md#202-icon-button,ABSENT,PASS,components-core.md#202-icon-button,MISSING,Missing,components-core.md#202-icon-button,PASS,None,PASS
KBDL-CMP-017,Lifecycle status,A — Normative-owned,Normative record,Parse explicit lifecycle and compare every lower source,Recommended,Recommended,PASS,Recommended,MISSING,Missing,Recommended,PASS,None,PASS
KBDL-CMP-017,Provenance,A — Normative-owned,Normative record,Parse explicit provenance and compare every lower source,Assumed,Assumed,PASS,Assumed,MISSING,Missing,Assumed,PASS,None,PASS
KBDL-CMP-017,Validation classification,A — Normative-owned,Normative record,Parse explicit validation status and compare every lower source,Not applicable,Not applicable,PASS,Not applicable,MISSING,Missing,Not applicable,PASS,None,PASS
KBDL-CMP-017,Verified scope,D — Evidence-owned,Evidence scope registry,Require evidence-compatible scope,None,ABSENT,PASS,None,MISSING,Missing,None,PASS,None,PASS
KBDL-CMP-017,Not-verified scope,D — Evidence-owned,Evidence scope registry,Require honest unexecuted scope,None,ABSENT,PASS,None,MISSING,Missing,None,PASS,None,PASS
KBDL-CMP-017,Authority,B — Governance-owned,Authority graph,Resolve every component and graph edge,RESOLVED,ABSENT,PASS,Recommended (new threshold guidance),MISSING,Missing,RESOLVED,PASS,None,PASS
KBDL-CMP-017,Validation method,D — Evidence-owned,Normative record,Compare method to evidence classification without ledger self-proof,Project-owner review (not yet performed).,Project-owner review (not yet performed).,PASS,Project-owner review (not yet performed),MISSING,Missing,Project-owner review (not yet performed).,PASS,None,PASS
KBDL-CMP-017,Validation evidence,D — Evidence-owned,Resolved evidence/classification relationship,Resolve paths and prevent unsupported execution claims,Not verified — no implementation exists yet,ABSENT,PASS,Not verified — no implementation exists yet,MISSING,Missing,Not verified — no implementation exists yet,PASS,None,PASS
KBDL-CMP-017,Known limitation,D — Evidence-owned,Not-verified/excluded scope relationship,Require consistency with validation scope,Implementation-dependent,ABSENT,PASS,Implementation-dependent,MISSING,Missing,Implementation-dependent,PASS,None,PASS
