Requirement ID,Field name,Raw group field,Parsed grammar,Group value,Group classification,Overriding status,Ledger value,Comparison,Result
KBDL-A11Y-013,Pending dependencies,MISSING,Missing,MISSING,Missing,No,None,NOT COMPARABLE,PASS
KBDL-A11Y-013,Related decision,`KBDL-DEC-010`.,Broad descriptive summary,`KBDL-DEC-010`.,Non-overriding summary,No,None,SUMMARY,PASS
KBDL-A11Y-013,Notes or exclusions,No AAA-level criterion is described as AA anywhere in this set; see [accessibility.md §3](accessibility.md#3-wcag-22-level-aa-mapping) for the exact criterion-to-section mapping.,Broad descriptive summary,No AAA-level criterion is described as AA anywhere in this set; see [accessibility.md §3](accessibility.md#3-wcag-22-level-aa-mapping) for the exact criterion-to-section mapping.,Non-overriding summary,No,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,SUMMARY,PASS
KBDL-A11Y-014,Requirement ID,MISSING,Missing,MISSING,Missing,No,KBDL-A11Y-014,NOT COMPARABLE,PASS
KBDL-A11Y-014,Blueprint section,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,Uniform default,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,Uniform default,Yes,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,AGREE,PASS
KBDL-A11Y-014,Roadmap prompt,KBDL-006,Uniform default,KBDL-006,Uniform default,Yes,KBDL-006,AGREE,PASS
KBDL-A11Y-014,Specification location,[accessibility.md §6–§45](accessibility.md#3-wcag-22-level-aa-mapping),Broad descriptive summary,[accessibility.md §6–§45](accessibility.md#3-wcag-22-level-aa-mapping),Non-overriding summary,No,accessibility.md#19-text-spacing-overrides,SUMMARY,PASS
KBDL-A11Y-014,Lifecycle status,MISSING,Missing,MISSING,Missing,No,Approved,NOT COMPARABLE,PASS
KBDL-A11Y-014,Provenance,MISSING,Missing,MISSING,Missing,No,Confirmed,NOT COMPARABLE,PASS
KBDL-A11Y-014,Validation classification,"Not verified: KBDL-A11Y-001, KBDL-A11Y-002, KBDL-A11Y-003, KBDL-A11Y-004, KBDL-A11Y-005, KBDL-A11Y-006, KBDL-A11Y-010, KBDL-A11Y-012, KBDL-A11Y-013, KBDL-A11Y-014, KBDL-A11Y-015, KBDL-A11Y-016, KBDL-A11Y-017, KBDL-A11Y-018, KBDL-A11Y-020, KBDL-A11Y-022, KBDL-A11Y-023, KBDL-A11Y-024, KBDL-A11Y-025, KBDL-A11Y-026, KBDL-A11Y-027, KBDL-A11Y-028, KBDL-A11Y-029, KBDL-A11Y-030, KBDL-A11Y-031, KBDL-A11Y-032, KBDL-A11Y-033, KBDL-A11Y-034, KBDL-A11Y-037, KBDL-A11Y-040; Verified: KBDL-A11Y-007, KBDL-A11Y-008, KBDL-A11Y-009; Not applicable: KBDL-A11Y-019, KBDL-A11Y-036, KBDL-A11Y-038, KBDL-A11Y-039",Status bucket,Not verified,Exact per-ID mapping,Yes,Not verified,AGREE,PASS
KBDL-A11Y-014,Verified scope,MISSING,Missing,MISSING,Missing,No,None,NOT COMPARABLE,PASS
KBDL-A11Y-014,Not-verified scope,MISSING,Missing,MISSING,Missing,No,Not verified,NOT COMPARABLE,PASS
KBDL-A11Y-014,Authority,MISSING,Missing,MISSING,Missing,No,"Approved (directly restates WCAG 2.2 SC 1.4.12, Level AA)",NOT COMPARABLE,PASS
KBDL-A11Y-014,Validation method,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation).",Broad descriptive summary,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation).",Non-overriding summary,No,Manual text-spacing override testing once implemented,SUMMARY,PASS
KBDL-A11Y-014,Validation evidence,[themes/validation.md §3](themes/validation.md#3-consolidated-contrast-evidence) for the three Verified rows; not verified for the rest.,Broad descriptive summary,[themes/validation.md §3](themes/validation.md#3-consolidated-contrast-evidence) for the three Verified rows; not verified for the rest.,Non-overriding summary,No,Not verified — the requirement’s stated validation method has not been executed.,SUMMARY,PASS
KBDL-A11Y-014,Known limitation,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence.",Broad descriptive summary,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence.",Non-overriding summary,No,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",AGREE,PASS
KBDL-A11Y-014,Packet or tracking destination,MISSING,Missing,MISSING,Missing,No,None — Approved,NOT COMPARABLE,PASS
KBDL-A11Y-014,Pending dependencies,MISSING,Missing,MISSING,Missing,No,None,NOT COMPARABLE,PASS
KBDL-A11Y-014,Related decision,`KBDL-DEC-010`.,Broad descriptive summary,`KBDL-DEC-010`.,Non-overriding summary,No,None,SUMMARY,PASS
KBDL-A11Y-014,Notes or exclusions,No AAA-level criterion is described as AA anywhere in this set; see [accessibility.md §3](accessibility.md#3-wcag-22-level-aa-mapping) for the exact criterion-to-section mapping.,Broad descriptive summary,No AAA-level criterion is described as AA anywhere in this set; see [accessibility.md §3](accessibility.md#3-wcag-22-level-aa-mapping) for the exact criterion-to-section mapping.,Non-overriding summary,No,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,SUMMARY,PASS
KBDL-A11Y-015,Requirement ID,MISSING,Missing,MISSING,Missing,No,KBDL-A11Y-015,NOT COMPARABLE,PASS
KBDL-A11Y-015,Blueprint section,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,Uniform default,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,Uniform default,Yes,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,AGREE,PASS
KBDL-A11Y-015,Roadmap prompt,KBDL-006,Uniform default,KBDL-006,Uniform default,Yes,KBDL-006,AGREE,PASS
KBDL-A11Y-015,Specification location,[accessibility.md §6–§45](accessibility.md#3-wcag-22-level-aa-mapping),Broad descriptive summary,[accessibility.md §6–§45](accessibility.md#3-wcag-22-level-aa-mapping),Non-overriding summary,No,accessibility.md#20-orientation; responsive.md#20-orientation-changes,SUMMARY,PASS
KBDL-A11Y-015,Lifecycle status,MISSING,Missing,MISSING,Missing,No,Approved,NOT COMPARABLE,PASS
KBDL-A11Y-015,Provenance,MISSING,Missing,MISSING,Missing,No,Confirmed,NOT COMPARABLE,PASS
KBDL-A11Y-015,Validation classification,"Not verified: KBDL-A11Y-001, KBDL-A11Y-002, KBDL-A11Y-003, KBDL-A11Y-004, KBDL-A11Y-005, KBDL-A11Y-006, KBDL-A11Y-010, KBDL-A11Y-012, KBDL-A11Y-013, KBDL-A11Y-014, KBDL-A11Y-015, KBDL-A11Y-016, KBDL-A11Y-017, KBDL-A11Y-018, KBDL-A11Y-020, KBDL-A11Y-022, KBDL-A11Y-023, KBDL-A11Y-024, KBDL-A11Y-025, KBDL-A11Y-026, KBDL-A11Y-027, KBDL-A11Y-028, KBDL-A11Y-029, KBDL-A11Y-030, KBDL-A11Y-031, KBDL-A11Y-032, KBDL-A11Y-033, KBDL-A11Y-034, KBDL-A11Y-037, KBDL-A11Y-040; Verified: KBDL-A11Y-007, KBDL-A11Y-008, KBDL-A11Y-009; Not applicable: KBDL-A11Y-019, KBDL-A11Y-036, KBDL-A11Y-038, KBDL-A11Y-039",Status bucket,Not verified,Exact per-ID mapping,Yes,Not verified,AGREE,PASS
KBDL-A11Y-015,Verified scope,MISSING,Missing,MISSING,Missing,No,None,NOT COMPARABLE,PASS
KBDL-A11Y-015,Not-verified scope,MISSING,Missing,MISSING,Missing,No,Not verified,NOT COMPARABLE,PASS
KBDL-A11Y-015,Authority,MISSING,Missing,MISSING,Missing,No,"Approved (directly restates WCAG 2.2 SC 1.3.4, Level AA)",NOT COMPARABLE,PASS
KBDL-A11Y-015,Validation method,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation).",Broad descriptive summary,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation).",Non-overriding summary,No,Manual orientation testing once implemented,SUMMARY,PASS
KBDL-A11Y-015,Validation evidence,[themes/validation.md §3](themes/validation.md#3-consolidated-contrast-evidence) for the three Verified rows; not verified for the rest.,Broad descriptive summary,[themes/validation.md §3](themes/validation.md#3-consolidated-contrast-evidence) for the three Verified rows; not verified for the rest.,Non-overriding summary,No,Not verified — the requirement’s stated validation method has not been executed.,SUMMARY,PASS
KBDL-A11Y-015,Known limitation,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence.",Broad descriptive summary,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence.",Non-overriding summary,No,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",AGREE,PASS
KBDL-A11Y-015,Packet or tracking destination,MISSING,Missing,MISSING,Missing,No,None — Approved,NOT COMPARABLE,PASS
KBDL-A11Y-015,Pending dependencies,MISSING,Missing,MISSING,Missing,No,None,NOT COMPARABLE,PASS
KBDL-A11Y-015,Related decision,`KBDL-DEC-010`.,Broad descriptive summary,`KBDL-DEC-010`.,Non-overriding summary,No,None,SUMMARY,PASS
KBDL-A11Y-015,Notes or exclusions,No AAA-level criterion is described as AA anywhere in this set; see [accessibility.md §3](accessibility.md#3-wcag-22-level-aa-mapping) for the exact criterion-to-section mapping.,Broad descriptive summary,No AAA-level criterion is described as AA anywhere in this set; see [accessibility.md §3](accessibility.md#3-wcag-22-level-aa-mapping) for the exact criterion-to-section mapping.,Non-overriding summary,No,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,SUMMARY,PASS
KBDL-A11Y-016,Requirement ID,MISSING,Missing,MISSING,Missing,No,KBDL-A11Y-016,NOT COMPARABLE,PASS
KBDL-A11Y-016,Blueprint section,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,Uniform default,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,Uniform default,Yes,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,AGREE,PASS
KBDL-A11Y-016,Roadmap prompt,KBDL-006,Uniform default,KBDL-006,Uniform default,Yes,KBDL-006,AGREE,PASS
KBDL-A11Y-016,Specification location,[accessibility.md §6–§45](accessibility.md#3-wcag-22-level-aa-mapping),Broad descriptive summary,[accessibility.md §6–§45](accessibility.md#3-wcag-22-level-aa-mapping),Non-overriding summary,No,accessibility.md#21-keyboard-operability,SUMMARY,PASS
KBDL-A11Y-016,Lifecycle status,MISSING,Missing,MISSING,Missing,No,Approved,NOT COMPARABLE,PASS
KBDL-A11Y-016,Provenance,MISSING,Missing,MISSING,Missing,No,Confirmed,NOT COMPARABLE,PASS
KBDL-A11Y-016,Validation classification,"Not verified: KBDL-A11Y-001, KBDL-A11Y-002, KBDL-A11Y-003, KBDL-A11Y-004, KBDL-A11Y-005, KBDL-A11Y-006, KBDL-A11Y-010, KBDL-A11Y-012, KBDL-A11Y-013, KBDL-A11Y-014, KBDL-A11Y-015, KBDL-A11Y-016, KBDL-A11Y-017, KBDL-A11Y-018, KBDL-A11Y-020, KBDL-A11Y-022, KBDL-A11Y-023, KBDL-A11Y-024, KBDL-A11Y-025, KBDL-A11Y-026, KBDL-A11Y-027, KBDL-A11Y-028, KBDL-A11Y-029, KBDL-A11Y-030, KBDL-A11Y-031, KBDL-A11Y-032, KBDL-A11Y-033, KBDL-A11Y-034, KBDL-A11Y-037, KBDL-A11Y-040; Verified: KBDL-A11Y-007, KBDL-A11Y-008, KBDL-A11Y-009; Not applicable: KBDL-A11Y-019, KBDL-A11Y-036, KBDL-A11Y-038, KBDL-A11Y-039",Status bucket,Not verified,Exact per-ID mapping,Yes,Not verified,AGREE,PASS
KBDL-A11Y-016,Verified scope,MISSING,Missing,MISSING,Missing,No,None,NOT COMPARABLE,PASS
KBDL-A11Y-016,Not-verified scope,MISSING,Missing,MISSING,Missing,No,Not verified,NOT COMPARABLE,PASS
KBDL-A11Y-016,Authority,MISSING,Missing,MISSING,Missing,No,"Approved (directly restates WCAG 2.2 SC 2.1.1, SC 2.1.4, and SC 3.2.1, all Level A)",NOT COMPARABLE,PASS
KBDL-A11Y-016,Validation method,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation).",Broad descriptive summary,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation).",Non-overriding summary,No,Manual keyboard testing once implemented,SUMMARY,PASS
KBDL-A11Y-016,Validation evidence,[themes/validation.md §3](themes/validation.md#3-consolidated-contrast-evidence) for the three Verified rows; not verified for the rest.,Broad descriptive summary,[themes/validation.md §3](themes/validation.md#3-consolidated-contrast-evidence) for the three Verified rows; not verified for the rest.,Non-overriding summary,No,Not verified — the requirement’s stated validation method has not been executed.,SUMMARY,PASS
KBDL-A11Y-016,Known limitation,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence.",Broad descriptive summary,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence.",Non-overriding summary,No,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",AGREE,PASS
KBDL-A11Y-016,Packet or tracking destination,MISSING,Missing,MISSING,Missing,No,None — Approved,NOT COMPARABLE,PASS
KBDL-A11Y-016,Pending dependencies,MISSING,Missing,MISSING,Missing,No,None,NOT COMPARABLE,PASS
KBDL-A11Y-016,Related decision,`KBDL-DEC-010`.,Broad descriptive summary,`KBDL-DEC-010`.,Non-overriding summary,No,None,SUMMARY,PASS
KBDL-A11Y-016,Notes or exclusions,No AAA-level criterion is described as AA anywhere in this set; see [accessibility.md §3](accessibility.md#3-wcag-22-level-aa-mapping) for the exact criterion-to-section mapping.,Broad descriptive summary,No AAA-level criterion is described as AA anywhere in this set; see [accessibility.md §3](accessibility.md#3-wcag-22-level-aa-mapping) for the exact criterion-to-section mapping.,Non-overriding summary,No,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,SUMMARY,PASS
KBDL-A11Y-017,Requirement ID,MISSING,Missing,MISSING,Missing,No,KBDL-A11Y-017,NOT COMPARABLE,PASS
KBDL-A11Y-017,Blueprint section,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,Uniform default,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,Uniform default,Yes,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,AGREE,PASS
KBDL-A11Y-017,Roadmap prompt,KBDL-006,Uniform default,KBDL-006,Uniform default,Yes,KBDL-006,AGREE,PASS
KBDL-A11Y-017,Specification location,[accessibility.md §6–§45](accessibility.md#3-wcag-22-level-aa-mapping),Broad descriptive summary,[accessibility.md §6–§45](accessibility.md#3-wcag-22-level-aa-mapping),Non-overriding summary,No,accessibility.md#22-keyboard-traps-and-escape-behavior,SUMMARY,PASS
KBDL-A11Y-017,Lifecycle status,MISSING,Missing,MISSING,Missing,No,Approved,NOT COMPARABLE,PASS
KBDL-A11Y-017,Provenance,MISSING,Missing,MISSING,Missing,No,Confirmed,NOT COMPARABLE,PASS
KBDL-A11Y-017,Validation classification,"Not verified: KBDL-A11Y-001, KBDL-A11Y-002, KBDL-A11Y-003, KBDL-A11Y-004, KBDL-A11Y-005, KBDL-A11Y-006, KBDL-A11Y-010, KBDL-A11Y-012, KBDL-A11Y-013, KBDL-A11Y-014, KBDL-A11Y-015, KBDL-A11Y-016, KBDL-A11Y-017, KBDL-A11Y-018, KBDL-A11Y-020, KBDL-A11Y-022, KBDL-A11Y-023, KBDL-A11Y-024, KBDL-A11Y-025, KBDL-A11Y-026, KBDL-A11Y-027, KBDL-A11Y-028, KBDL-A11Y-029, KBDL-A11Y-030, KBDL-A11Y-031, KBDL-A11Y-032, KBDL-A11Y-033, KBDL-A11Y-034, KBDL-A11Y-037, KBDL-A11Y-040; Verified: KBDL-A11Y-007, KBDL-A11Y-008, KBDL-A11Y-009; Not applicable: KBDL-A11Y-019, KBDL-A11Y-036, KBDL-A11Y-038, KBDL-A11Y-039",Status bucket,Not verified,Exact per-ID mapping,Yes,Not verified,AGREE,PASS
KBDL-A11Y-017,Verified scope,MISSING,Missing,MISSING,Missing,No,None,NOT COMPARABLE,PASS
KBDL-A11Y-017,Not-verified scope,MISSING,Missing,MISSING,Missing,No,Not verified,NOT COMPARABLE,PASS
KBDL-A11Y-017,Authority,MISSING,Missing,MISSING,Missing,No,"Approved (directly restates WCAG 2.2 SC 2.1.2, Level A)",NOT COMPARABLE,PASS
KBDL-A11Y-017,Validation method,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation).",Broad descriptive summary,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation).",Non-overriding summary,No,Manual keyboard testing once implemented,SUMMARY,PASS
KBDL-A11Y-017,Validation evidence,[themes/validation.md §3](themes/validation.md#3-consolidated-contrast-evidence) for the three Verified rows; not verified for the rest.,Broad descriptive summary,[themes/validation.md §3](themes/validation.md#3-consolidated-contrast-evidence) for the three Verified rows; not verified for the rest.,Non-overriding summary,No,Not verified — the requirement’s stated validation method has not been executed.,SUMMARY,PASS
KBDL-A11Y-017,Known limitation,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence.",Broad descriptive summary,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence.",Non-overriding summary,No,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",AGREE,PASS
KBDL-A11Y-017,Packet or tracking destination,MISSING,Missing,MISSING,Missing,No,None — Approved,NOT COMPARABLE,PASS
KBDL-A11Y-017,Pending dependencies,MISSING,Missing,MISSING,Missing,No,None,NOT COMPARABLE,PASS
KBDL-A11Y-017,Related decision,`KBDL-DEC-010`.,Broad descriptive summary,`KBDL-DEC-010`.,Non-overriding summary,No,None,SUMMARY,PASS
KBDL-A11Y-017,Notes or exclusions,No AAA-level criterion is described as AA anywhere in this set; see [accessibility.md §3](accessibility.md#3-wcag-22-level-aa-mapping) for the exact criterion-to-section mapping.,Broad descriptive summary,No AAA-level criterion is described as AA anywhere in this set; see [accessibility.md §3](accessibility.md#3-wcag-22-level-aa-mapping) for the exact criterion-to-section mapping.,Non-overriding summary,No,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,SUMMARY,PASS
KBDL-A11Y-018,Requirement ID,MISSING,Missing,MISSING,Missing,No,KBDL-A11Y-018,NOT COMPARABLE,PASS
KBDL-A11Y-018,Blueprint section,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,Uniform default,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,Uniform default,Yes,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,AGREE,PASS
KBDL-A11Y-018,Roadmap prompt,KBDL-006,Uniform default,KBDL-006,Uniform default,Yes,KBDL-006,AGREE,PASS
KBDL-A11Y-018,Specification location,[accessibility.md §6–§45](accessibility.md#3-wcag-22-level-aa-mapping),Broad descriptive summary,[accessibility.md §6–§45](accessibility.md#3-wcag-22-level-aa-mapping),Non-overriding summary,No,accessibility.md#23-bypass-mechanisms,SUMMARY,PASS
KBDL-A11Y-018,Lifecycle status,MISSING,Missing,MISSING,Missing,No,Approved,NOT COMPARABLE,PASS
KBDL-A11Y-018,Provenance,MISSING,Missing,MISSING,Missing,No,Confirmed,NOT COMPARABLE,PASS
KBDL-A11Y-018,Validation classification,"Not verified: KBDL-A11Y-001, KBDL-A11Y-002, KBDL-A11Y-003, KBDL-A11Y-004, KBDL-A11Y-005, KBDL-A11Y-006, KBDL-A11Y-010, KBDL-A11Y-012, KBDL-A11Y-013, KBDL-A11Y-014, KBDL-A11Y-015, KBDL-A11Y-016, KBDL-A11Y-017, KBDL-A11Y-018, KBDL-A11Y-020, KBDL-A11Y-022, KBDL-A11Y-023, KBDL-A11Y-024, KBDL-A11Y-025, KBDL-A11Y-026, KBDL-A11Y-027, KBDL-A11Y-028, KBDL-A11Y-029, KBDL-A11Y-030, KBDL-A11Y-031, KBDL-A11Y-032, KBDL-A11Y-033, KBDL-A11Y-034, KBDL-A11Y-037, KBDL-A11Y-040; Verified: KBDL-A11Y-007, KBDL-A11Y-008, KBDL-A11Y-009; Not applicable: KBDL-A11Y-019, KBDL-A11Y-036, KBDL-A11Y-038, KBDL-A11Y-039",Status bucket,Not verified,Exact per-ID mapping,Yes,Not verified,AGREE,PASS
KBDL-A11Y-018,Verified scope,MISSING,Missing,MISSING,Missing,No,None,NOT COMPARABLE,PASS
KBDL-A11Y-018,Not-verified scope,MISSING,Missing,MISSING,Missing,No,Not verified,NOT COMPARABLE,PASS
KBDL-A11Y-018,Authority,MISSING,Missing,MISSING,Missing,No,"Approved (directly restates WCAG 2.2 SC 2.4.1, Level A)",NOT COMPARABLE,PASS
KBDL-A11Y-018,Validation method,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation).",Broad descriptive summary,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation).",Non-overriding summary,No,Manual keyboard testing once implemented,SUMMARY,PASS
KBDL-A11Y-018,Validation evidence,[themes/validation.md §3](themes/validation.md#3-consolidated-contrast-evidence) for the three Verified rows; not verified for the rest.,Broad descriptive summary,[themes/validation.md §3](themes/validation.md#3-consolidated-contrast-evidence) for the three Verified rows; not verified for the rest.,Non-overriding summary,No,Not verified — the requirement’s stated validation method has not been executed.,SUMMARY,PASS
KBDL-A11Y-018,Known limitation,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence.",Broad descriptive summary,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence.",Non-overriding summary,No,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",AGREE,PASS
KBDL-A11Y-018,Packet or tracking destination,MISSING,Missing,MISSING,Missing,No,None — Approved,NOT COMPARABLE,PASS
KBDL-A11Y-018,Pending dependencies,MISSING,Missing,MISSING,Missing,No,None,NOT COMPARABLE,PASS
