Requirement ID,Validation method,Validation evidence,Known limitation,Method copied as evidence,Generic limitation
KBDL-CMP-074,"Manual focus-containment, keyboard, and ARIA-relationship review once implemented; project-owner review of the Recommended subset (not yet performed)",Not verified — no implementation exists yet,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,False,False
KBDL-CMP-075,"Manual focus-containment, keyboard, and ARIA-relationship review once implemented; project-owner review of the Recommended subset (not yet performed)",Not verified — no implementation exists yet,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,False,False
KBDL-CMP-076,"Manual focus-containment, keyboard, and ARIA-relationship review once implemented; project-owner review of the Recommended subset (not yet performed)",Not verified — no implementation exists yet,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,False,False
KBDL-CMP-077,"Manual focus-containment, keyboard, and ARIA-relationship review once implemented; project-owner review of the Recommended subset (not yet performed)",Not verified — no implementation exists yet,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,False,False
KBDL-CMP-078,"Manual focus-containment, keyboard, and ARIA-relationship review once implemented; project-owner review of the Recommended subset (not yet performed)",Not verified — no implementation exists yet,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,False,False
KBDL-CMP-079,"Manual focus-containment, keyboard, and ARIA-relationship review once implemented; project-owner review of the Recommended subset (not yet performed)",Not verified — no implementation exists yet,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,False,False
KBDL-CMP-080,"Manual focus-containment, keyboard, and ARIA-relationship review once implemented; project-owner review of the Recommended subset (not yet performed)",Not verified — no implementation exists yet,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,False,False
KBDL-CMP-081,"Manual focus-containment, keyboard, and ARIA-relationship review once implemented; project-owner review of the Recommended subset (not yet performed)",Not verified — no implementation exists yet,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,False,False
KBDL-CMP-082,"Manual focus-containment, keyboard, and ARIA-relationship review once implemented; project-owner review of the Recommended subset (not yet performed)",Not verified — no implementation exists yet,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,False,False
KBDL-CMP-083,"Manual focus-containment, keyboard, and ARIA-relationship review once implemented; project-owner review of the Recommended subset (not yet performed)",Not verified — no implementation exists yet,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,False,False
KBDL-CMP-084,"Manual focus-containment, keyboard, and ARIA-relationship review once implemented; project-owner review of the Recommended subset (not yet performed)",Not verified — no implementation exists yet,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,False,False
KBDL-CMP-085,"Manual focus-containment, keyboard, and ARIA-relationship review once implemented; project-owner review of the Recommended subset (not yet performed)",Not verified — no implementation exists yet,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,False,False
KBDL-CMP-086,"Manual live-region, role, and content-classification review once implemented; project-owner review of KBDL-CMP-089/091 (not yet performed)",Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-087,"Manual live-region, role, and content-classification review once implemented; project-owner review of KBDL-CMP-089/091 (not yet performed)",Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-088,"Manual live-region, role, and content-classification review once implemented; project-owner review of KBDL-CMP-089/091 (not yet performed)",Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-089,"Manual live-region, role, and content-classification review once implemented; project-owner review of KBDL-CMP-089/091 (not yet performed)",Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-090,"Manual live-region, role, and content-classification review once implemented; project-owner review of KBDL-CMP-089/091 (not yet performed)",Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-091,"Manual live-region, role, and content-classification review once implemented; project-owner review of KBDL-CMP-089/091 (not yet performed)",Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-092,"Manual live-region, role, and content-classification review once implemented; project-owner review of KBDL-CMP-089/091 (not yet performed)",Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-093,"Manual live-region, role, and content-classification review once implemented; project-owner review of KBDL-CMP-089/091 (not yet performed)",Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-094,"Manual live-region, role, and content-classification review once implemented; project-owner review of KBDL-CMP-089/091 (not yet performed)",Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-095,"Manual live-region, role, and content-classification review once implemented; project-owner review of KBDL-CMP-089/091 (not yet performed)",Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-096,"Manual live-region, role, and content-classification review once implemented; project-owner review of KBDL-CMP-089/091 (not yet performed)",Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-097,Manual review once implemented; project-owner review of the Recommended subset (not yet performed),Not verified — no implementation exists yet,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point,False,False
KBDL-CMP-098,"Manual live-region, role, and content-classification review once implemented; project-owner review of KBDL-CMP-089/091 (not yet performed)",Not verified — no implementation exists yet,Implementation-dependent,False,False
KBDL-CMP-099,Manual review once implemented; project-owner review of the Recommended subset (not yet performed),Not verified — no implementation exists yet,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point,False,False
KBDL-CMP-100,Manual review once implemented; project-owner review of the Recommended subset (not yet performed),Not verified — no implementation exists yet,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point,False,False
KBDL-CMP-101,Manual review once implemented; project-owner review of the Recommended subset (not yet performed),Not verified — no implementation exists yet,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point,False,False
KBDL-CMP-102,Manual review once implemented; project-owner review of the Recommended subset (not yet performed),Not verified — no implementation exists yet,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point,False,False
KBDL-CMP-103,Manual review once implemented; project-owner review of the Recommended subset (not yet performed),Not verified — no implementation exists yet,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point,False,False
KBDL-CMP-104,Manual review once implemented; project-owner review of the Recommended subset (not yet performed),Not verified — no implementation exists yet,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point,False,False
KBDL-CMP-105,Manual review once implemented; project-owner review of the Recommended subset (not yet performed),Not verified — no implementation exists yet,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point,False,False
KBDL-CMP-106,Manual review once implemented; project-owner review of the Recommended subset (not yet performed),Not verified — no implementation exists yet,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point,False,False
KBDL-CMP-107,Manual review once implemented; project-owner review of the Recommended subset (not yet performed),Not verified — no implementation exists yet,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point,False,False
KBDL-CMP-108,Manual review once implemented; project-owner review of the Recommended subset (not yet performed),Not verified — no implementation exists yet,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point,False,False
KBDL-CMP-109,Manual review once implemented; project-owner review of the Recommended subset (not yet performed),Not verified — no implementation exists yet,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point,False,False
KBDL-CMP-110,Manual review once implemented; project-owner review of the Recommended subset (not yet performed),Not verified — no implementation exists yet,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point,False,False
KBDL-CMP-111,Manual review once implemented; project-owner review of the Recommended subset (not yet performed),Not verified — no implementation exists yet,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point,False,False
KBDL-CUS-001,"Per-ID record, authority, classification, workflow, field, impact, proposal, exception, history, or rollback audit; evidence Not verified because no project customization exists",Not verified — validation method has not been executed,Exact local operational policies remain Recommended; implementation behavior is absent,False,False
KBDL-CUS-002,"Per-ID record, authority, classification, workflow, field, impact, proposal, exception, history, or rollback audit; evidence Not verified because no project customization exists",Not verified — validation method has not been executed,Exact local operational policies remain Recommended; implementation behavior is absent,False,False
KBDL-CUS-003,"Per-ID record, authority, classification, workflow, field, impact, proposal, exception, history, or rollback audit; evidence Not verified because no project customization exists",Not verified — validation method has not been executed,Exact local operational policies remain Recommended; implementation behavior is absent,False,False
KBDL-CUS-004,"Per-ID record, authority, classification, workflow, field, impact, proposal, exception, history, or rollback audit; evidence Not verified because no project customization exists",Not verified — validation method has not been executed,Exact local operational policies remain Recommended; implementation behavior is absent,False,False
KBDL-CUS-005,"Per-ID record, authority, classification, workflow, field, impact, proposal, exception, history, or rollback audit; evidence Not verified because no project customization exists",Not verified — validation method has not been executed,Exact local operational policies remain Recommended; implementation behavior is absent,False,False
KBDL-CUS-006,"Per-ID record, authority, classification, workflow, field, impact, proposal, exception, history, or rollback audit; evidence Not verified because no project customization exists",Not verified — validation method has not been executed,Exact local operational policies remain Recommended; implementation behavior is absent,False,False
KBDL-CUS-007,"Per-ID record, authority, classification, workflow, field, impact, proposal, exception, history, or rollback audit; evidence Not verified because no project customization exists",Not verified — validation method has not been executed,Exact local operational policies remain Recommended; implementation behavior is absent,False,False
KBDL-CUS-008,"Per-ID record, authority, classification, workflow, field, impact, proposal, exception, history, or rollback audit; evidence Not verified because no project customization exists",Not verified — validation method has not been executed,Exact local operational policies remain Recommended; implementation behavior is absent,False,False
KBDL-CUS-009,"Per-ID record, authority, classification, workflow, field, impact, proposal, exception, history, or rollback audit; evidence Not verified because no project customization exists",Not verified — validation method has not been executed,Exact local operational policies remain Recommended; implementation behavior is absent,False,False
KBDL-CUS-010,"Per-ID record, authority, classification, workflow, field, impact, proposal, exception, history, or rollback audit; evidence Not verified because no project customization exists",Not verified — validation method has not been executed,Exact local operational policies remain Recommended; implementation behavior is absent,False,False
KBDL-CUS-011,"Per-ID record, authority, classification, workflow, field, impact, proposal, exception, history, or rollback audit; evidence Not verified because no project customization exists",Not verified — validation method has not been executed,Exact local operational policies remain Recommended; implementation behavior is absent,False,False
KBDL-CUS-012,"Per-ID record, authority, classification, workflow, field, impact, proposal, exception, history, or rollback audit; evidence Not verified because no project customization exists",Not verified — validation method has not been executed,Exact local operational policies remain Recommended; implementation behavior is absent,False,False
KBDL-CUS-013,"Owning-module value, parity, safety, outcome, WCAG, component-contract, invariant, security, or handoff audit; evidence Not verified",Not verified — validation method has not been executed,No project implementation exists; every listed earlier recommendation remains excluded,False,False
KBDL-CUS-014,"Owning-module value, parity, safety, outcome, WCAG, component-contract, invariant, security, or handoff audit; evidence Not verified",Not verified — validation method has not been executed,No project implementation exists; every listed earlier recommendation remains excluded,False,False
KBDL-CUS-015,"Owning-module value, parity, safety, outcome, WCAG, component-contract, invariant, security, or handoff audit; evidence Not verified",Not verified — validation method has not been executed,No project implementation exists; every listed earlier recommendation remains excluded,False,False
KBDL-CUS-016,"Owning-module value, parity, safety, outcome, WCAG, component-contract, invariant, security, or handoff audit; evidence Not verified",Not verified — validation method has not been executed,No project implementation exists; every listed earlier recommendation remains excluded,False,False
KBDL-CUS-017,"Owning-module value, parity, safety, outcome, WCAG, component-contract, invariant, security, or handoff audit; evidence Not verified",Not verified — validation method has not been executed,No project implementation exists; every listed earlier recommendation remains excluded,False,False
KBDL-CUS-018,"Owning-module value, parity, safety, outcome, WCAG, component-contract, invariant, security, or handoff audit; evidence Not verified",Not verified — validation method has not been executed,No project implementation exists; every listed earlier recommendation remains excluded,False,False
KBDL-CUS-019,"Owning-module value, parity, safety, outcome, WCAG, component-contract, invariant, security, or handoff audit; evidence Not verified",Not verified — validation method has not been executed,No project implementation exists; every listed earlier recommendation remains excluded,False,False
KBDL-CUS-020,"Owning-module value, parity, safety, outcome, WCAG, component-contract, invariant, security, or handoff audit; evidence Not verified",Not verified — validation method has not been executed,No project implementation exists; every listed earlier recommendation remains excluded,False,False
KBDL-CUS-021,"Owning-module value, parity, safety, outcome, WCAG, component-contract, invariant, security, or handoff audit; evidence Not verified",Not verified — validation method has not been executed,No project implementation exists; every listed earlier recommendation remains excluded,False,False
KBDL-CUS-022,"Owning-module value, parity, safety, outcome, WCAG, component-contract, invariant, security, or handoff audit; evidence Not verified",Not verified — validation method has not been executed,No project implementation exists; every listed earlier recommendation remains excluded,False,False
KBDL-CUS-023,Project-owner review; not yet performed,Not verified — validation method has not been executed,Exact policies are not authorized,False,False
KBDL-CUS-024,Project-owner review; not yet performed,Not verified — validation method has not been executed,Exact policies are not authorized,False,False
KBDL-CUS-025,Project-owner review; not yet performed,Not verified — validation method has not been executed,Exact policies are not authorized,False,False
KBDL-CUS-026,Project-owner review; not yet performed,Not verified — validation method has not been executed,Exact policies are not authorized,False,False
KBDL-CUS-027,Project-owner review; not yet performed,Not verified — validation method has not been executed,Exact policies are not authorized,False,False
KBDL-CUS-028,Project-owner review; not yet performed,Not verified — validation method has not been executed,Exact policies are not authorized,False,False
KBDL-CUS-029,Project-owner review; not yet performed,Not verified — validation method has not been executed,Exact policies are not authorized,False,False
KBDL-CUS-030,Not applicable until resumed; no evidence,Not verified — validation method has not been executed,No machine-readable format or tooling is authorized,False,False
KBDL-FND-001,Manual review of role names and color-only-meaning usage at each later module's approval gate,Not verified — no theme or component content exists yet to check role usage against,Cannot be fully validated until THM and CMP requirements exist,False,False
KBDL-FND-002,Manual review of role names and color-only-meaning usage at each later module's approval gate,Not verified — no theme or component content exists yet to check role usage against,Cannot be fully validated until THM and CMP requirements exist,False,False
KBDL-FND-003,Manual review of spacing usage and breakpoint justification once RSP requirements exist,Not verified — no responsive-behavior module exists yet,Cannot be fully validated until RSP requirements exist,False,False
KBDL-FND-004,Manual review of spacing usage and breakpoint justification once RSP requirements exist,Not verified — no responsive-behavior module exists yet,Cannot be fully validated until RSP requirements exist,False,False
KBDL-FND-005,"Manual review confirming each elevation level states a simplified fallback, and that icon/media required principles explicitly state the state-clarity and reduced-motion anticipation rules","Manual completeness review recorded in the KBDL-003 commit — confirmed all five elevation levels list a non-shadow-dependent fallback, and both icon and media sections state their respective anticipation requirements",None identified,False,False
KBDL-FND-006,"Manual review confirming each elevation level states a simplified fallback, and that icon/media required principles explicitly state the state-clarity and reduced-motion anticipation rules","Manual completeness review recorded in the KBDL-003 commit — confirmed all five elevation levels list a non-shadow-dependent fallback, and both icon and media sections state their respective anticipation requirements",None identified,False,False
KBDL-FND-007,"Manual review confirming each elevation level states a simplified fallback, and that icon/media required principles explicitly state the state-clarity and reduced-motion anticipation rules","Manual completeness review recorded in the KBDL-003 commit — confirmed all five elevation levels list a non-shadow-dependent fallback, and both icon and media sections state their respective anticipation requirements",None identified,False,False
KBDL-FND-008,Manual cross-profile consistency review once the project-profiles module (PRO) is approved,Not verified — PRO requirements do not exist yet,Cannot be fully validated until PRO requirements exist,False,False
KBDL-FND-009,"WCAG relative-luminance contrast calculation (completed for the color pairs listed); project-owner review (completed — see KBDL-DEC-012); typeface-licensing verification (not yet performed, applies to a future specific font-family decision)","Contrast-ratio table in foundations/color.md §4, computed via a local dependency-free script (see the KBDL-003 validation evidence for the script and full output). Updated under KBDL-003-R1: neutral-50 (3.25:1) was found to fail the 4.5:1 normal-text threshold and is now restricted to large-text/non-text-UI/decorative use only; a new neutral-60 (5.59:1) was added and verified as the safe value for normal-sized secondary/tertiary text","Approval authorizes these defaults for implementation; it does not itself constitute rendering, brand-suitability, or licensing validation — those remain Not verified as noted above",False,False
KBDL-FND-010,"WCAG relative-luminance contrast calculation (completed for the color pairs listed); project-owner review (completed — see KBDL-DEC-012); typeface-licensing verification (not yet performed, applies to a future specific font-family decision)","Contrast-ratio table in foundations/color.md §4, computed via a local dependency-free script (see the KBDL-003 validation evidence for the script and full output). Updated under KBDL-003-R1: neutral-50 (3.25:1) was found to fail the 4.5:1 normal-text threshold and is now restricted to large-text/non-text-UI/decorative use only; a new neutral-60 (5.59:1) was added and verified as the safe value for normal-sized secondary/tertiary text","Approval authorizes these defaults for implementation; it does not itself constitute rendering, brand-suitability, or licensing validation — those remain Not verified as noted above",False,False
KBDL-FND-011,"WCAG relative-luminance contrast calculation (completed for the color pairs listed); project-owner review (completed — see KBDL-DEC-012); typeface-licensing verification (not yet performed, applies to a future specific font-family decision)","Contrast-ratio table in foundations/color.md §4, computed via a local dependency-free script (see the KBDL-003 validation evidence for the script and full output). Updated under KBDL-003-R1: neutral-50 (3.25:1) was found to fail the 4.5:1 normal-text threshold and is now restricted to large-text/non-text-UI/decorative use only; a new neutral-60 (5.59:1) was added and verified as the safe value for normal-sized secondary/tertiary text","Approval authorizes these defaults for implementation; it does not itself constitute rendering, brand-suitability, or licensing validation — those remain Not verified as noted above",False,False
KBDL-FND-012,"WCAG relative-luminance contrast calculation (completed for the color pairs listed); project-owner review (completed — see KBDL-DEC-012); typeface-licensing verification (not yet performed, applies to a future specific font-family decision)","Contrast-ratio table in foundations/color.md §4, computed via a local dependency-free script (see the KBDL-003 validation evidence for the script and full output). Updated under KBDL-003-R1: neutral-50 (3.25:1) was found to fail the 4.5:1 normal-text threshold and is now restricted to large-text/non-text-UI/decorative use only; a new neutral-60 (5.59:1) was added and verified as the safe value for normal-sized secondary/tertiary text","Approval authorizes these defaults for implementation; it does not itself constitute rendering, brand-suitability, or licensing validation — those remain Not verified as noted above",False,False
KBDL-GOV-001,"Manual review — heading hierarchy, relative-link resolution, and heading-anchor correctness checked across all KBDL-001 files",Manual review recorded in commit 2d356b4 (KBDL-001 initial commit); re-checked for this remediation in commit-to-follow (see decision-register.md § KBDL-DEC-011),"No automated Markdown linter or link checker was available in this environment; verification is manual, not tool-based",False,False
KBDL-GOV-002,Manual review; no automated check is applicable yet,Not verified — no A11Y requirement exists yet for this rule to be checked against,"Cannot be validated against a real accessibility requirement, since none exist yet",False,False
KBDL-GOV-003,"Manual review against this prompt's required governance topics (ownership, proposal, review, approval, scope-change, exception, deprecation, versioning, documentation-update, accessibility/motion/responsive review, conformance-review, conflict-resolution, restoration, evidence)","Manual review recorded in commit 2d356b4, corrected in the remediation commit for this status-model fix",None identified,False,False
KBDL-MOT-001,Manual review confirming every documented pattern cites an approved purpose; manual terminology-consistency review (performed),Manual review recorded in motion/validation.md §6,"Per-component purpose assignment depends on the Components module (CMP), not yet reached",False,False
KBDL-MOT-002,Manual review confirming every documented pattern cites an approved purpose; manual terminology-consistency review (performed),Manual review recorded in motion/validation.md §6,"Per-component purpose assignment depends on the Components module (CMP), not yet reached",False,False
KBDL-MOT-003,Manual review confirming every documented pattern cites an approved purpose; manual terminology-consistency review (performed),Manual review recorded in motion/validation.md §6,"Per-component purpose assignment depends on the Components module (CMP), not yet reached",False,False
KBDL-MOT-004,"Manual completeness review per category (performed); project-owner review of the hierarchy/intensity model (performed, see KBDL-DEC-014)",Manual review recorded in motion/validation.md §1,"Exceptional-level (Level 4) usage requires project-owner review each time; not yet exercised, since no implementation exists",False,False
KBDL-MOT-005,"Manual completeness review per category (performed); project-owner review of the hierarchy/intensity model (performed, see KBDL-DEC-014)",Manual review recorded in motion/validation.md §1,"Exceptional-level (Level 4) usage requires project-owner review each time; not yet exercised, since no implementation exists",False,False
KBDL-MOT-006,"Manual completeness review per category (performed); project-owner review of the hierarchy/intensity model (performed, see KBDL-DEC-014)",Manual review recorded in motion/validation.md §1,"Exceptional-level (Level 4) usage requires project-owner review each time; not yet exercised, since no implementation exists",False,False
KBDL-MOT-007,"Manual internal-consistency review (performed, see motion/validation.md §2); project-owner review (performed, see KBDL-DEC-014); implementation-level review once an implementation exists","motion/validation.md §2 — every value has a stated purpose, exit durations are equal to or shorter than paired entrances, and no value is marked Verified without implementation evidence","Approval is a lifecycle decision, not implementation validation; these values must not be treated as Verified until an implementation exists and is measured",False,False
KBDL-MOT-008,"Manual internal-consistency review (performed, see motion/validation.md §2); project-owner review (performed, see KBDL-DEC-014); implementation-level review once an implementation exists","motion/validation.md §2 — every value has a stated purpose, exit durations are equal to or shorter than paired entrances, and no value is marked Verified without implementation evidence","Approval is a lifecycle decision, not implementation validation; these values must not be treated as Verified until an implementation exists and is measured",False,False
KBDL-MOT-009,"Manual internal-consistency review (performed, see motion/validation.md §2); project-owner review (performed, see KBDL-DEC-014); implementation-level review once an implementation exists","motion/validation.md §2 — every value has a stated purpose, exit durations are equal to or shorter than paired entrances, and no value is marked Verified without implementation evidence","Approval is a lifecycle decision, not implementation validation; these values must not be treated as Verified until an implementation exists and is measured",False,False
KBDL-MOT-010,"Manual review once implemented; project-owner review of KBDL-MOT-010/011 (performed, see KBDL-DEC-014)",Not verified — no implementation exists yet,Exact pixel/percentage movement and scale values are deferred to the Components module,False,False
KBDL-MOT-011,"Manual review once implemented; project-owner review of KBDL-MOT-010/011 (performed, see KBDL-DEC-014)",Not verified — no implementation exists yet,Exact pixel/percentage movement and scale values are deferred to the Components module,False,False
KBDL-MOT-012,"Manual review once implemented; project-owner review of KBDL-MOT-010/011 (performed, see KBDL-DEC-014)",Not verified — no implementation exists yet,Exact pixel/percentage movement and scale values are deferred to the Components module,False,False
KBDL-MOT-013,"Manual review once implemented; project-owner review of KBDL-MOT-013 (performed, see KBDL-DEC-014)",Not verified — no implementation exists yet,Exact repetition limits (attention motion) and scroll thresholds remain qualitative pending implementation-level review,False,False
KBDL-MOT-014,"Manual review once implemented; project-owner review of KBDL-MOT-013 (performed, see KBDL-DEC-014)",Not verified — no implementation exists yet,Exact repetition limits (attention motion) and scroll thresholds remain qualitative pending implementation-level review,False,False
KBDL-MOT-015,"Manual review once implemented; project-owner review of KBDL-MOT-013 (performed, see KBDL-DEC-014)",Not verified — no implementation exists yet,Exact repetition limits (attention motion) and scroll thresholds remain qualitative pending implementation-level review,False,False
KBDL-MOT-016,"Manual review once implemented; project-owner review of KBDL-MOT-013 (performed, see KBDL-DEC-014)",Not verified — no implementation exists yet,Exact repetition limits (attention motion) and scroll thresholds remain qualitative pending implementation-level review,False,False
KBDL-MOT-017,"Manual review once implemented; project-owner review of KBDL-MOT-013 (performed, see KBDL-DEC-014)",Not verified — no implementation exists yet,Exact repetition limits (attention motion) and scroll thresholds remain qualitative pending implementation-level review,False,False
KBDL-MOT-018,"Manual review once implemented; project-owner review of KBDL-MOT-013 (performed, see KBDL-DEC-014)",Not verified — no implementation exists yet,Exact repetition limits (attention motion) and scroll thresholds remain qualitative pending implementation-level review,False,False
KBDL-MOT-019,"Manual review once implemented; project-owner review of KBDL-MOT-013 (performed, see KBDL-DEC-014)",Not verified — no implementation exists yet,Exact repetition limits (attention motion) and scroll thresholds remain qualitative pending implementation-level review,False,False
KBDL-MOT-020,"Manual review of the worked example (performed); project-owner review (performed, see KBDL-DEC-014)","motion/patterns.md §8 — conceptually verified against the already-Verified opaque contrast pair (17.17:1, unrelated example) and the KBDL-004 non-blocking/readability requirements; no live implementation has been rendered or measured",No intermediate-frame contrast measurement has actually been performed against a live implementation,False,False
KBDL-MOT-021,"Manual parity/safety/performance review performed conceptually (see motion/validation.md §3, §4); implementation-level measurement not yet performed","motion/validation.md §3 (reduced-motion parity, passed) and motion/validation.md §4 (pattern coverage, passed)","No implementation exists to measure actual frame rate, input latency, or cross-input-method behavior",False,False
KBDL-MOT-022,"Manual parity/safety/performance review performed conceptually (see motion/validation.md §3, §4); implementation-level measurement not yet performed","motion/validation.md §3 (reduced-motion parity, passed) and motion/validation.md §4 (pattern coverage, passed)","No implementation exists to measure actual frame rate, input latency, or cross-input-method behavior",False,False
KBDL-MOT-023,"Manual parity/safety/performance review performed conceptually (see motion/validation.md §3, §4); implementation-level measurement not yet performed","motion/validation.md §3 (reduced-motion parity, passed) and motion/validation.md §4 (pattern coverage, passed)","No implementation exists to measure actual frame rate, input latency, or cross-input-method behavior",False,False
KBDL-MOT-024,"Manual parity/safety/performance review performed conceptually (see motion/validation.md §3, §4); implementation-level measurement not yet performed","motion/validation.md §3 (reduced-motion parity, passed) and motion/validation.md §4 (pattern coverage, passed)","No implementation exists to measure actual frame rate, input latency, or cross-input-method behavior",False,False
KBDL-MOT-025,"Manual parity/safety/performance review performed conceptually (see motion/validation.md §3, §4); implementation-level measurement not yet performed","motion/validation.md §3 (reduced-motion parity, passed) and motion/validation.md §4 (pattern coverage, passed)","No implementation exists to measure actual frame rate, input latency, or cross-input-method behavior",False,False
KBDL-MOT-026,"Manual parity/safety/performance review performed conceptually (see motion/validation.md §3, §4); implementation-level measurement not yet performed","motion/validation.md §3 (reduced-motion parity, passed) and motion/validation.md §4 (pattern coverage, passed)","No implementation exists to measure actual frame rate, input latency, or cross-input-method behavior",False,False
KBDL-MOT-027,"Manual parity/safety/performance review performed conceptually (see motion/validation.md §3, §4); implementation-level measurement not yet performed","motion/validation.md §3 (reduced-motion parity, passed) and motion/validation.md §4 (pattern coverage, passed)","No implementation exists to measure actual frame rate, input latency, or cross-input-method behavior",False,False
KBDL-MOT-028,"Manual review once implemented; project-owner review via the motion decision packet (performed, see KBDL-DEC-014, items 6–9 and 11–13)",Not verified — no implementation exists yet; conceptual manual review recorded in motion/validation.md where applicable,"Approval is a lifecycle decision, not implementation validation; these values must not be treated as Verified until an implementation exists and is measured",False,False
KBDL-MOT-029,"Manual review once implemented; project-owner review via the motion decision packet (performed, see KBDL-DEC-014, items 6–9 and 11–13)",Not verified — no implementation exists yet; conceptual manual review recorded in motion/validation.md where applicable,"Approval is a lifecycle decision, not implementation validation; these values must not be treated as Verified until an implementation exists and is measured",False,False
KBDL-MOT-030,"Manual review once implemented; project-owner review via the motion decision packet (performed, see KBDL-DEC-014, items 6–9 and 11–13)",Not verified — no implementation exists yet; conceptual manual review recorded in motion/validation.md where applicable,"Approval is a lifecycle decision, not implementation validation; these values must not be treated as Verified until an implementation exists and is measured",False,False
KBDL-MOT-031,"Manual review once implemented; project-owner review via the motion decision packet (performed, see KBDL-DEC-014, items 6–9 and 11–13)",Not verified — no implementation exists yet; conceptual manual review recorded in motion/validation.md where applicable,"Approval is a lifecycle decision, not implementation validation; these values must not be treated as Verified until an implementation exists and is measured",False,False
