Requirement ID,Authoritative lifecycle,Effective lifecycle,Authoritative provenance,Effective provenance,Authoritative validation status,Effective validation status,Authority source,Effective authority,Exact specification location,Group location,Ledger location,Validation method,Validation evidence,Known limitation,Packet destination,Pending dependencies,Match result,Defect details
KBDL-CMP-023,Approved,Approved,Confirmed,Confirmed,Not verified,Not verified,authoritative/prompt/decision/standard/prior Approved requirement,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,components-core.md §21–§23,components-core.md §21–§23,components-core.md §21–§23,Manual + automated static accessibility review once implemented; project-owner review of KBDL-CMP-025/029/036 (not yet performed),Not verified — no implementation exists yet,Implementation-dependent,None — Approved,None,PASS,None
KBDL-CMP-024,Approved,Approved,Confirmed,Confirmed,Not verified,Not verified,authoritative/prompt/decision/standard/prior Approved requirement,Approved (directly restates WCAG 2.2 SC 3.3.8),components-core.md §21–§23,components-core.md §21–§23,components-core.md §21–§23,Manual + automated static accessibility review once implemented; project-owner review of KBDL-CMP-025/029/036 (not yet performed),Not verified — no implementation exists yet,Implementation-dependent,None — Approved,None,PASS,None
KBDL-CMP-025,Recommended,Recommended,Assumed,Assumed,Not applicable,Not applicable,authoritative/prompt/decision/standard/prior Approved requirement,Recommended (new component taxonomy),components-core.md §21–§23,components-core.md §21–§23,components-core.md §21–§23,Manual + automated static accessibility review once implemented; project-owner review of KBDL-CMP-025/029/036 (not yet performed),Not verified — no implementation exists yet,Implementation-dependent,components-core.md — 35.2 Recommended Decisions — Ready for Approval — item 4,None,PASS,None
KBDL-CMP-026,Approved,Approved,Confirmed,Confirmed,Not verified,Not verified,authoritative/prompt/decision/standard/prior Approved requirement,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,components-core.md §21–§23,components-core.md §21–§23,components-core.md §21–§23,Manual + automated static accessibility review once implemented; project-owner review of KBDL-CMP-025/029/036 (not yet performed),Not verified — no implementation exists yet,Implementation-dependent,None — Approved,None,PASS,None
KBDL-CMP-027,Approved,Approved,Confirmed,Confirmed,Not verified,Not verified,authoritative/prompt/decision/standard/prior Approved requirement,Approved (directly restates native-semantics-first); project-owner-approved KBDL-007/008 implementation prompt,components-core.md §21–§23,components-core.md §21–§23,components-core.md §21–§23,Manual + automated static accessibility review once implemented; project-owner review of KBDL-CMP-025/029/036 (not yet performed),Not verified — no implementation exists yet,Implementation-dependent,None — Approved,None,PASS,None
KBDL-CMP-028,Approved,Approved,Confirmed,Confirmed,Not verified,Not verified,authoritative/prompt/decision/standard/prior Approved requirement,Approved (directly restates WAI-ARIA/APG),components-core.md §21–§23,components-core.md §21–§23,components-core.md §21–§23,Manual + automated static accessibility review once implemented; project-owner review of KBDL-CMP-025/029/036 (not yet performed),Not verified — no implementation exists yet,Implementation-dependent,None — Approved,None,PASS,None
KBDL-CMP-029,Recommended,Recommended,Assumed,Assumed,Not applicable,Not applicable,authoritative/prompt/decision/standard/prior Approved requirement,Recommended (new threshold guidance),components-core.md §21–§23,components-core.md §21–§23,components-core.md §21–§23,Manual + automated static accessibility review once implemented; project-owner review of KBDL-CMP-025/029/036 (not yet performed),Not verified — no implementation exists yet,Implementation-dependent,components-core.md — 35.2 Recommended Decisions — Ready for Approval — item 5,None,PASS,None
KBDL-CMP-030,Approved,Approved,Confirmed,Confirmed,Not verified,Not verified,authoritative/prompt/decision/standard/prior Approved requirement,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,components-core.md §21–§23,components-core.md §21–§23,components-core.md §21–§23,Manual + automated static accessibility review once implemented; project-owner review of KBDL-CMP-025/029/036 (not yet performed),Not verified — no implementation exists yet,Implementation-dependent,None — Approved,None,PASS,None
KBDL-CMP-031,Approved,Approved,Confirmed,Confirmed,Not verified,Not verified,authoritative/prompt/decision/standard/prior Approved requirement,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,components-core.md §21–§23,components-core.md §21–§23,components-core.md §21–§23,Manual + automated static accessibility review once implemented; project-owner review of KBDL-CMP-025/029/036 (not yet performed),Not verified — no implementation exists yet,Implementation-dependent,None — Approved,None,PASS,None
KBDL-CMP-032,Approved,Approved,Confirmed,Confirmed,Not verified,Not verified,authoritative/prompt/decision/standard/prior Approved requirement,Approved (directly restates WAI-ARIA switch role),components-core.md §21–§23,components-core.md §21–§23,components-core.md §21–§23,Manual + automated static accessibility review once implemented; project-owner review of KBDL-CMP-025/029/036 (not yet performed),Not verified — no implementation exists yet,Implementation-dependent,None — Approved,None,PASS,None
KBDL-CMP-033,Approved,Approved,Confirmed,Confirmed,Not verified,Not verified,authoritative/prompt/decision/standard/prior Approved requirement,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,components-core.md §21–§23,components-core.md §21–§23,components-core.md §21–§23,Manual + automated static accessibility review once implemented; project-owner review of KBDL-CMP-025/029/036 (not yet performed),Not verified — no implementation exists yet,Implementation-dependent,None — Approved,None,PASS,None
KBDL-CMP-034,Approved,Approved,Confirmed,Confirmed,Not verified,Not verified,authoritative/prompt/decision/standard/prior Approved requirement,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,components-core.md §21–§23,components-core.md §21–§23,components-core.md §21–§23,Manual + automated static accessibility review once implemented; project-owner review of KBDL-CMP-025/029/036 (not yet performed),Not verified — no implementation exists yet,Implementation-dependent,None — Approved,None,PASS,None
KBDL-CMP-035,Approved,Approved,Confirmed,Confirmed,Not verified,Not verified,authoritative/prompt/decision/standard/prior Approved requirement,Approved (behavioral requirement); project-owner-approved KBDL-007/008 implementation prompt,components-core.md §21–§23,components-core.md §21–§23,components-core.md §21–§23,Manual + automated static accessibility review once implemented; project-owner review of KBDL-CMP-025/029/036 (not yet performed),Not verified — no implementation exists yet,Implementation-dependent,None — Approved,None,PASS,None
KBDL-CMP-036,Recommended,Recommended,Assumed,Assumed,Not applicable,Not applicable,authoritative/prompt/decision/standard/prior Approved requirement,Recommended (new component-level guidance),components-core.md §21–§23,components-core.md §21–§23,components-core.md §21–§23,Manual + automated static accessibility review once implemented; project-owner review of KBDL-CMP-025/029/036 (not yet performed),Not verified — no implementation exists yet,Implementation-dependent,components-core.md — 35.2 Recommended Decisions — Ready for Approval — item 6,None,PASS,None
KBDL-CMP-037,Approved,Approved,Confirmed,Confirmed,Not verified,Not verified,authoritative/prompt/decision/standard/prior Approved requirement,"Approved (directly restates WCAG 2.2 SC 3.3.1, SC 3.3.3, SC 3.3.4, SC 3.3.7, SC 4.1.3)",components-core.md §21–§23,components-core.md §21–§23,components-core.md §21–§23,Manual + automated static accessibility review once implemented; project-owner review of KBDL-CMP-025/029/036 (not yet performed),Not verified — no implementation exists yet,Implementation-dependent,None — Approved,None,PASS,None
KBDL-CMP-038,Approved,Approved,Confirmed,Confirmed,Not verified,Not verified,authoritative/prompt/decision/standard/prior Approved requirement,Approved (directly restates WCAG 2.2 SC 2.4.1),components-core.md §24,components-core.md §24,components-core.md §24,Manual keyboard/ARIA review once implemented; project-owner review of KBDL-CMP-041/044/046/048 (not yet performed),Not verified — no implementation exists yet,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,None — Approved,None,PASS,None
KBDL-CMP-039,Approved,Approved,Confirmed,Confirmed,Not verified,Not verified,authoritative/prompt/decision/standard/prior Approved requirement,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,components-core.md §24,components-core.md §24,components-core.md §24,Manual keyboard/ARIA review once implemented; project-owner review of KBDL-CMP-041/044/046/048 (not yet performed),Not verified — no implementation exists yet,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,None — Approved,None,PASS,None
KBDL-CMP-040,Approved,Approved,Confirmed,Confirmed,Not verified,Not verified,authoritative/prompt/decision/standard/prior Approved requirement,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,components-core.md §24,components-core.md §24,components-core.md §24,Manual keyboard/ARIA review once implemented; project-owner review of KBDL-CMP-041/044/046/048 (not yet performed),Not verified — no implementation exists yet,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,None — Approved,None,PASS,None
KBDL-CMP-041,Recommended,Recommended,Assumed,Assumed,Not applicable,Not applicable,authoritative/prompt/decision/standard/prior Approved requirement,Recommended (depends on unapproved responsive values),components-core.md §24,components-core.md §24,components-core.md §24,Manual keyboard/ARIA review once implemented; project-owner review of KBDL-CMP-041/044/046/048 (not yet performed),Not verified — no implementation exists yet,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,components-system.md — 33.2 Recommended Decisions — Ready for Approval — item 7,None,PASS,None
KBDL-CMP-042,Approved,Approved,Confirmed,Confirmed,Not verified,Not verified,authoritative/prompt/decision/standard/prior Approved requirement,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,components-core.md §24,components-core.md §24,components-core.md §24,Manual keyboard/ARIA review once implemented; project-owner review of KBDL-CMP-041/044/046/048 (not yet performed),Not verified — no implementation exists yet,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,None — Approved,None,PASS,None
KBDL-CMP-043,Approved,Approved,Confirmed,Confirmed,Not verified,Not verified,authoritative/prompt/decision/standard/prior Approved requirement,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,components-core.md §24,components-core.md §24,components-core.md §24,Manual keyboard/ARIA review once implemented; project-owner review of KBDL-CMP-041/044/046/048 (not yet performed),Not verified — no implementation exists yet,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,None — Approved,None,PASS,None
KBDL-CMP-044,Recommended,Recommended,Assumed,Assumed,Not applicable,Not applicable,authoritative/prompt/decision/standard/prior Approved requirement,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Assumed,components-core.md §24,components-core.md §24,components-core.md §24,Manual keyboard/ARIA review once implemented; project-owner review of KBDL-CMP-041/044/046/048 (not yet performed),Not verified — no implementation exists yet,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,components-core.md — 35.2 Recommended Decisions — Ready for Approval — item 7,None,PASS,None
KBDL-CMP-045,Approved,Approved,Confirmed,Confirmed,Not verified,Not verified,authoritative/prompt/decision/standard/prior Approved requirement,Approved (directly restates the WAI-ARIA tabs pattern),components-core.md §24,components-core.md §24,components-core.md §24,Manual keyboard/ARIA review once implemented; project-owner review of KBDL-CMP-041/044/046/048 (not yet performed),Not verified — no implementation exists yet,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,None — Approved,None,PASS,None
KBDL-CMP-046,Recommended,Recommended,Assumed,Assumed,Not applicable,Not applicable,authoritative/prompt/decision/standard/prior Approved requirement,Recommended (new component choice),components-core.md §24,components-core.md §24,components-core.md §24,Manual keyboard/ARIA review once implemented; project-owner review of KBDL-CMP-041/044/046/048 (not yet performed),Not verified — no implementation exists yet,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,components-core.md — 35.2 Recommended Decisions — Ready for Approval — item 2,None,PASS,None
KBDL-CMP-047,Approved,Approved,Confirmed,Confirmed,Not verified,Not verified,authoritative/prompt/decision/standard/prior Approved requirement,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,components-core.md §24,components-core.md §24,components-core.md §24,Manual keyboard/ARIA review once implemented; project-owner review of KBDL-CMP-041/044/046/048 (not yet performed),Not verified — no implementation exists yet,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,None — Approved,None,PASS,None
KBDL-CMP-048,Recommended,Recommended,Assumed,Assumed,Not applicable,Not applicable,authoritative/prompt/decision/standard/prior Approved requirement,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Assumed,components-core.md §24,components-core.md §24,components-core.md §24,Manual keyboard/ARIA review once implemented; project-owner review of KBDL-CMP-041/044/046/048 (not yet performed),Not verified — no implementation exists yet,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,components-core.md — 35.2 Recommended Decisions — Ready for Approval — item 8,None,PASS,None
KBDL-CMP-049,Approved,Approved,Confirmed,Confirmed,Not verified,Not verified,authoritative/prompt/decision/standard/prior Approved requirement,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,components-core.md §24,components-core.md §24,components-core.md §24,Manual keyboard/ARIA review once implemented; project-owner review of KBDL-CMP-041/044/046/048 (not yet performed),Not verified — no implementation exists yet,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them,None — Approved,None,PASS,None
KBDL-CMP-050,Approved,Approved,Confirmed,Confirmed,Not applicable,Not applicable,authoritative/prompt/decision/standard/prior Approved requirement,Approved (restates the shared contract applied compositionally); project-owner-approved KBDL-007/008 implementation prompt,"components-core.md §5–§19, §25, §26","components-core.md §5–§19, §25, §26","components-core.md §5–§19, §25, §26","Manual completeness/mapping review per component once implemented; manual scope-compliance review (performed, see implementation report)",Not verified — no implementation exists yet,Implementation-dependent; cannot be tested until real components exist,None — Approved,None,PASS,None
KBDL-CMP-051,Approved,Approved,Confirmed,Confirmed,Not verified,Not verified,authoritative/prompt/decision/standard/prior Approved requirement,Approved (directly restates principles.md §9.4); project-owner-approved KBDL-007/008 implementation prompt,"components-core.md §5–§19, §25, §26","components-core.md §5–§19, §25, §26","components-core.md §5–§19, §25, §26","Manual completeness/mapping review per component once implemented; manual scope-compliance review (performed, see implementation report)",Not verified — no implementation exists yet,Implementation-dependent; cannot be tested until real components exist,None — Approved,None,PASS,None
KBDL-CMP-052,Approved,Approved,Confirmed,Confirmed,Not applicable,Not applicable,authoritative/prompt/decision/standard/prior Approved requirement,"Approved (scope-control requirement, extends KBDL-CMP-005)","components-system.md §5, §7, §8, §9","components-system.md §5, §7, §8, §9","components-system.md §5, §7, §8, §9",Manual semantic-structure and DOM-relationship review once implemented; project-owner review of KBDL-CMP-067/069 (not yet performed),Not verified — no implementation exists yet,Implementation-dependent,None — Approved,None,PASS,None
KBDL-CMP-053,Approved,Approved,Confirmed,Confirmed,Not verified,Not verified,authoritative/prompt/decision/standard/prior Approved requirement,"Approved (extends the already-Approved native- semantics-first rule, KBDL-CMP-002, and the adopted ARIA 1.2 region role definition, to this module's surfaces)","components-system.md §5, §7, §8, §9","components-system.md §5, §7, §8, §9","components-system.md §5, §7, §8, §9",Manual semantic-structure and DOM-relationship review once implemented; project-owner review of KBDL-CMP-067/069 (not yet performed),Not verified — no implementation exists yet,Implementation-dependent,None — Approved,None,PASS,None
KBDL-CMP-054,Approved,Approved,Confirmed,Confirmed,Not verified,Not verified,authoritative/prompt/decision/standard/prior Approved requirement,Approved (restates ARIA 1.2's region role definition),"components-system.md §5, §7, §8, §9","components-system.md §5, §7, §8, §9","components-system.md §5, §7, §8, §9",Manual semantic-structure and DOM-relationship review once implemented; project-owner review of KBDL-CMP-067/069 (not yet performed),Not verified — no implementation exists yet,Implementation-dependent,None — Approved,None,PASS,None
KBDL-CMP-055,Approved,Approved,Confirmed,Confirmed,Not verified,Not verified,authoritative/prompt/decision/standard/prior Approved requirement,"Approved (restates the native HTML prohibition on nested interactive elements and the already-Approved hover- independent-discoverability requirement, responsive.md §24); project-owner-approved KBDL-007/008 implementation prompt","components-system.md §5, §7, §8, §9","components-system.md §5, §7, §8, §9","components-system.md §5, §7, §8, §9",Manual semantic-structure and DOM-relationship review once implemented; project-owner review of KBDL-CMP-067/069 (not yet performed),Not verified — no implementation exists yet,Implementation-dependent,None — Approved,None,PASS,None
KBDL-CMP-056,Approved,Approved,Confirmed,Confirmed,Not applicable,Not applicable,authoritative/prompt/decision/standard/prior Approved requirement,"Approved (dictated outcome of the already-adopted WCAG 2.2 focus, keyboard, and reading-order rules applied to layered content — a structural scope statement, not new policy)",components-system.md §10–§12,components-system.md §10–§12,components-system.md §10–§12,"Manual focus-containment, keyboard, and ARIA-relationship review once implemented; project-owner review of the Recommended subset (not yet performed)",Not verified — no implementation exists yet,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,None — Approved,None,PASS,None
KBDL-CMP-057,Approved,Approved,Confirmed,Confirmed,Not verified,Not verified,authoritative/prompt/decision/standard/prior Approved requirement,"Approved (restates the already-adopted WCAG 2.2 SC 2.1.1 Keyboard and SC 2.1.2 No Keyboard Trap, and the already- Approved KBDL-007 keyboard contract, KBDL-CMP-007, applied explicitly to non-modal overlays)",components-system.md §10–§12,components-system.md §10–§12,components-system.md §10–§12,"Manual focus-containment, keyboard, and ARIA-relationship review once implemented; project-owner review of the Recommended subset (not yet performed)",Not verified — no implementation exists yet,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,None — Approved,None,PASS,None
KBDL-CMP-058,Approved,Approved,Confirmed,Confirmed,Not verified,Not verified,authoritative/prompt/decision/standard/prior Approved requirement,Approved (dictated outcome of the already-adopted WCAG 2.2 SC 2.4.3 Focus Order — an unset focus target would violate the requirement that focus order remain determinable),components-system.md §10–§12,components-system.md §10–§12,components-system.md §10–§12,"Manual focus-containment, keyboard, and ARIA-relationship review once implemented; project-owner review of the Recommended subset (not yet performed)",Not verified — no implementation exists yet,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,None — Approved,None,PASS,None
KBDL-CMP-059,Approved,Approved,Confirmed,Confirmed,Not verified,Not verified,authoritative/prompt/decision/standard/prior Approved requirement,"Approved (restates the already-adopted WCAG 2.2 SC 2.2.1 Timing Adjustable, extended to this module's dismissible surfaces generally, beyond the Toast-specific case in KBDL-CMP-090)",components-system.md §10–§12,components-system.md §10–§12,components-system.md §10–§12,"Manual focus-containment, keyboard, and ARIA-relationship review once implemented; project-owner review of the Recommended subset (not yet performed)",Not verified — no implementation exists yet,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,None — Approved,None,PASS,None
KBDL-CMP-060,Approved,Approved,Confirmed,Confirmed,Not verified,Not verified,authoritative/prompt/decision/standard/prior Approved requirement,"Approved (restates the already-Approved motion- parity rule, motion/accessibility-performance.md §1); project-owner-approved KBDL-007/008 implementation prompt",components-system.md §10–§12,components-system.md §10–§12,components-system.md §10–§12,"Manual focus-containment, keyboard, and ARIA-relationship review once implemented; project-owner review of the Recommended subset (not yet performed)",Not verified — no implementation exists yet,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,None — Approved,None,PASS,None
KBDL-CMP-061,Approved,Approved,Confirmed,Confirmed,Not verified,Not verified,authoritative/prompt/decision/standard/prior Approved requirement,"Approved (restates the locked component-state- clarity rule, principles.md §5.1, and KBDL-CMP-004, applied explicitly to the states this document introduces)",components-system.md §13–§14,components-system.md §13–§14,components-system.md §13–§14,"Manual live-region, role, and content-classification review once implemented; project-owner review of KBDL-CMP-089/091 (not yet performed)",Not verified — no implementation exists yet,Implementation-dependent,None — Approved,None,PASS,None
KBDL-CMP-062,Approved,Approved,Confirmed,Confirmed,Not verified,Not verified,authoritative/prompt/decision/standard/prior Approved requirement,"Approved (restates KBDL-CMP-053/002 as an explicit prohibition, distinguishing the general preference from the specific misuse it forbids)","components-system.md §5, §7, §8, §9","components-system.md §5, §7, §8, §9","components-system.md §5, §7, §8, §9",Manual semantic-structure and DOM-relationship review once implemented; project-owner review of KBDL-CMP-067/069 (not yet performed),Not verified — no implementation exists yet,Implementation-dependent,None — Approved,None,PASS,None
KBDL-CMP-063,Approved,Approved,Confirmed,Confirmed,Not verified,Not verified,authoritative/prompt/decision/standard/prior Approved requirement,"Approved (restates the already-Approved correctness/safety priority, principles.md §4 item 1, as a general baseline; KBDL-CMP-103 states its Offline/ Reconnecting-specific application)","components-system.md §15–§19, §23, §24","components-system.md §15–§19, §23, §24","components-system.md §15–§19, §23, §24",Manual review once implemented; project-owner review of the Recommended subset (not yet performed),Not verified — no implementation exists yet,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point,None — Approved,None,PASS,None
KBDL-CMP-064,Approved,Approved,Confirmed,Confirmed,Not verified,Not verified,authoritative/prompt/decision/standard/prior Approved requirement,Approved (extends the existing KBDL security principle already established in components-core.md §37 as a general baseline; KBDL-CMP-101 and KBDL-CMP-104 state its Error-State- and Permission/Not-Found-specific applications),"components-system.md §15–§19, §23, §24","components-system.md §15–§19, §23, §24","components-system.md §15–§19, §23, §24",Manual review once implemented; project-owner review of the Recommended subset (not yet performed),Not verified — no implementation exists yet,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point,None — Approved,None,PASS,None
KBDL-CMP-065,Approved,Approved,Confirmed,Confirmed,Not verified,Not verified,authoritative/prompt/decision/standard/prior Approved requirement,"Approved (extends the already-Approved KBDL-007 accessible-naming requirement, KBDL-CMP-003, to this module)","components-system.md §5, §7, §8, §9","components-system.md §5, §7, §8, §9","components-system.md §5, §7, §8, §9",Manual semantic-structure and DOM-relationship review once implemented; project-owner review of KBDL-CMP-067/069 (not yet performed),Not verified — no implementation exists yet,Implementation-dependent,None — Approved,None,PASS,None
KBDL-CMP-066,Approved,Approved,Confirmed,Confirmed,Not verified,Not verified,authoritative/prompt/decision/standard/prior Approved requirement,"Approved (restates the already-Approved KBDL-007 profile-consistency requirement, KBDL-CMP-051, applied to this module)","components-system.md §15–§19, §23, §24","components-system.md §15–§19, §23, §24","components-system.md §15–§19, §23, §24",Manual review once implemented; project-owner review of the Recommended subset (not yet performed),Not verified — no implementation exists yet,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point,None — Approved,None,PASS,None
KBDL-CMP-067,Recommended,Recommended,Assumed,Assumed,Not applicable,Not applicable,authoritative/prompt/decision/standard/prior Approved requirement,Recommended (new component-level taxonomy),"components-system.md §5, §7, §8, §9","components-system.md §5, §7, §8, §9","components-system.md §5, §7, §8, §9",Manual semantic-structure and DOM-relationship review once implemented; project-owner review of KBDL-CMP-067/069 (not yet performed),Not verified — no implementation exists yet,Implementation-dependent,components-system.md — 33.2 Recommended Decisions — Ready for Approval — item 1,None,PASS,None
KBDL-CMP-068,Approved,Approved,Confirmed,Confirmed,Not verified,Not verified,authoritative/prompt/decision/standard/prior Approved requirement,Approved (restates the adopted ARIA disclosure pattern's role/state definitions and the already-Approved KBDL-007 disclosure-trigger contract),"components-system.md §5, §7, §8, §9","components-system.md §5, §7, §8, §9","components-system.md §5, §7, §8, §9",Manual semantic-structure and DOM-relationship review once implemented; project-owner review of KBDL-CMP-067/069 (not yet performed),Not verified — no implementation exists yet,Implementation-dependent,None — Approved,None,PASS,None
KBDL-CMP-069,Recommended,Recommended,Assumed,Assumed,Not applicable,Not applicable,authoritative/prompt/decision/standard/prior Approved requirement,Recommended (new component-level policy),"components-system.md §5, §7, §8, §9","components-system.md §5, §7, §8, §9","components-system.md §5, §7, §8, §9",Manual semantic-structure and DOM-relationship review once implemented; project-owner review of KBDL-CMP-067/069 (not yet performed),Not verified — no implementation exists yet,Implementation-dependent,components-system.md — 33.2 Recommended Decisions — Ready for Approval — item 2,None,PASS,None
KBDL-CMP-070,Approved,Approved,Confirmed,Confirmed,Not verified,Not verified,authoritative/prompt/decision/standard/prior Approved requirement,"Approved (restates the already-adopted WCAG 2.2 SC 1.3.1 Info and Relationships and the native-semantics-first rule, KBDL-CMP-002)","components-system.md §5, §7, §8, §9","components-system.md §5, §7, §8, §9","components-system.md §5, §7, §8, §9",Manual semantic-structure and DOM-relationship review once implemented; project-owner review of KBDL-CMP-067/069 (not yet performed),Not verified — no implementation exists yet,Implementation-dependent,None — Approved,None,PASS,None
KBDL-CMP-071,Approved,Approved,Confirmed,Confirmed,Not verified,Not verified,authoritative/prompt/decision/standard/prior Approved requirement,"the adopted WAI-ARIA 1.2 aria-modal property definition, which specifies that assistive technology should restrict its reading and navigation to the modal element while it is active, directly requires background content to be excluded from that navigation — this is the primary source for ""unreachable by ... screen-reader virtual cursor."" The already-adopted WCAG 2.2 SC 2.4.3 Focus Order and SC 2.4.11 Focus Not Obscured support, but do not by themselves fully dictate, this outcome for pointer/sequential-navigation reachability. The approved KBDL-008 prompt's Overlay Architecture section explicitly requires ""Background inertness"" as a mandatory field for every modal overlay, which is the source for treating this as a complete, single normative rule rather than an inference from the standards alone",components-system.md §10–§12,components-system.md §10–§12,components-system.md §10–§12,"Manual focus-containment, keyboard, and ARIA-relationship review once implemented; project-owner review of the Recommended subset (not yet performed)",Not verified — no implementation exists yet,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,None — Approved,None,PASS,None
KBDL-CMP-072,Approved,Approved,Confirmed,Confirmed,Not verified,Not verified,authoritative/prompt/decision/standard/prior Approved requirement,"""dismissible via Escape"" and ""remains visible while the trigger has hover or focus"" restate the already-adopted WCAG 2.2 SC 1.4.13 Content on Hover or Focus, which dictates exactly these three properties (dismissible, hoverable, persistent). ""Must never be the sole source of its trigger's accessible name"" restates the already- Approved KBDL-007 accessible-naming requirement, KBDL-CMP-003, and the adopted WCAG 2.2 SC 4.1.2 Name, Role, Value — not SC 1.4.13, which does not address naming. ""Contains only non- interactive text"" and ""leaves focus on its trigger"" are not dictated by SC 1.4.13 or the WAI-ARIA tooltip role definition alone (the ARIA 1.2 spec describes tooltip as advisory but does not itself prohibit interactive descendants); these two clauses are normative because the approved KBDL-008 prompt explicitly requires ""Informational, non-interactive purpose"" and ""Interactive-content prohibition"" as mandatory Tooltip fields. This requirement does not treat the APG tooltip pattern (explicitly non-consensus, see §4) as a source for any clause",components-system.md §10–§12,components-system.md §10–§12,components-system.md §10–§12,"Manual focus-containment, keyboard, and ARIA-relationship review once implemented; project-owner review of the Recommended subset (not yet performed)",Not verified — no implementation exists yet,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,None — Approved,None,PASS,None
KBDL-CMP-073,Recommended,Recommended,Assumed,Assumed,Not applicable,Not applicable,authoritative/prompt/decision/standard/prior Approved requirement,"Recommended (new KBDL-specific timing/placement policy, not dictated by the non-consensus APG tooltip pattern)",components-system.md §10–§12,components-system.md §10–§12,components-system.md §10–§12,"Manual focus-containment, keyboard, and ARIA-relationship review once implemented; project-owner review of the Recommended subset (not yet performed)",Not verified — no implementation exists yet,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,components-system.md — 33.2 Recommended Decisions — Ready for Approval — item 3,None,PASS,None
KBDL-CMP-074,Recommended,Recommended,Assumed,Assumed,Not applicable,Not applicable,authoritative/prompt/decision/standard/prior Approved requirement,Recommended (new component-level taxonomy and dismissal policy),components-system.md §10–§12,components-system.md §10–§12,components-system.md §10–§12,"Manual focus-containment, keyboard, and ARIA-relationship review once implemented; project-owner review of the Recommended subset (not yet performed)",Not verified — no implementation exists yet,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval,components-system.md — 33.2 Recommended Decisions — Ready for Approval — item 4,None,PASS,None
