Requirement ID,Lifecycle,Authority source,Effective authority,Targets,Missing targets,Resolved
KBDL-CMP-088,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","""important, time-sensitive messages"" and ""must not move focus by default"" restate the adopted WAI-ARIA 1.2 alert role definition, which specifies an assertive live region for important, time-sensitive information without describing any inherent focus-moving behavior. ""Must not be used for routine or successful updates"" is not itself dictated by the ARIA alert role definition (which describes what the role announces, not which messages a component must avoid); this restriction is normative because the approved KBDL-008 prompt explicitly requires ""Do not use alert for every successful or routine update"" as a mandatory Alert constraint",None,None,True
KBDL-CMP-089,Recommended,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Recommended (new component-level taxonomy),None,None,False
KBDL-CMP-090,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","""sensitive information must not be exposed"" extends the existing KBDL security-safe-disclosure principle, components-core.md §37. ""Critical information must not be presented only in a transient toast without a persistent path"" and ""must not move focus to itself by default"" are not directly dictated by WCAG 2.2 SC 2.2.1 Timing Adjustable (which governs user-adjustable time limits on content generally, not the specific toast/persistent-path pattern) or by KBDL-A11Y-031 (which requires programmatic determinability, not a persistence guarantee); these two clauses are normative because the approved KBDL-008 prompt explicitly lists both as mandatory Toast/Snackbar ""Do not"" constraints. SC 2.2.1's adjustable-timing principle is cited as supporting rationale, not as the direct source of the persistent-path requirement",KBDL-A11Y-031,None,True
KBDL-CMP-091,Recommended,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Recommended (new component-level timing and queueing policy),None,None,False
KBDL-CMP-092,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Approved (restates KBDL-A11Y-031 and the adopted WAI-ARIA 1.2 status/log role and aria-live/aria-atomic definitions),KBDL-A11Y-031,None,True
KBDL-CMP-093,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (restates the adopted WCAG 2.2 SC 1.1.1 Non-text Content and SC 4.1.2 Name, Role, Value)",None,None,True
KBDL-CMP-094,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Approved (restates the adopted WAI-ARIA 1.2 progressbar role definition and native <progress> semantics),None,None,True
KBDL-CMP-095,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Approved (restates the adopted WAI-ARIA 1.2 meter role definition and native <meter> semantics),None,None,True
KBDL-CMP-096,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","""hidden from assistive technology as decorative"" restates the adopted WAI-ARIA 1.2 aria-hidden semantics for purely decorative content. ""An equivalent loading announcement must be available through a separate status mechanism"" restates KBDL-A11Y-031. ""Must not expose meaningless placeholder shapes as if they were content"" is not itself dictated by either of those sources; it is normative because the approved KBDL-008 prompt explicitly requires ""Decorative accessibility treatment"" and ""Equivalent loading announcement"" as mandatory Skeleton fields, which together imply placeholder shapes must not be presented as meaningful content",KBDL-A11Y-031,None,True
KBDL-CMP-097,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (restates KBDL-A11Y-031 and the locked component-state-clarity rule, principles.md §5.1)",KBDL-A11Y-031,None,True
KBDL-CMP-098,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (extends the already-Approved KBDL-007 submit-loading/duplicate-submission-prevention contract, components-core.md §23, to the surface-level loading indicator); project-owner-approved KBDL-007/008 implementation prompt",None,None,True
KBDL-CMP-099,Recommended,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Recommended (new component-level taxonomy),None,None,False
KBDL-CMP-100,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","this requirement is normative because the approved KBDL-008 prompt explicitly requires ""Preservation of entered criteria"" as a mandatory No-Results State field. WCAG 2.2 SC 3.3.7 Redundant Entry (which prohibits requiring re-entry of information already supplied earlier in the same process) is cited as supporting rationale by analogy, not as a direct restatement — SC 3.3.7 governs multi-step process re-entry generally and does not by itself mandate preserving search/filter state specifically on a no-results result",None,None,True
KBDL-CMP-101,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","that an error must be identified and described restates the already-adopted WCAG 2.2 SC 3.3.1 Error Identification, which requires errors be identified and described in text, but does not itself require classifying an error as ""recoverable or blocking"" or specifying a ""retry or alternative action"" — SC 3.3.1 governs identification, not remediation-path taxonomy. The recoverable/blocking classification and the retry/alternative-action requirement are normative because the approved KBDL-008 prompt explicitly requires ""Recoverable versus blocking error,"" ""Retry,"" and ""Alternative action"" as mandatory Error State fields, consistent with the already-Approved Technical Utility recovery-support principle, principles.md §3. The prohibition on exposing stack traces, internal exception details, credentials, or private data restates KBDL-CMP-064",KBDL-CMP-064,None,True
KBDL-CMP-102,Recommended,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Recommended (new component-level taxonomy),None,None,False
KBDL-CMP-103,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (extends the already-Approved KBDL correctness/safety principle, principles.md §4 item 1, and the existing KBDL-007 form-recovery data-preservation pattern); project-owner-approved KBDL-007/008 implementation prompt",None,None,True
KBDL-CMP-104,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (extends the existing KBDL security principle already established in components-core.md §37, ""a disabled button is not access control""); project-owner-approved KBDL-007/008 implementation prompt",None,None,True
KBDL-CMP-105,Recommended,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Recommended (new component-level threshold and interaction model; the APG grid pattern is not automatically Approved),None,None,False
KBDL-CMP-106,Recommended,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Recommended (new component-level threshold and interaction model; the APG tree pattern is not automatically Approved),None,None,False
KBDL-CMP-107,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Approved (restates the already-adopted WCAG 2.2 SC 2.2.2),None,None,True
KBDL-CMP-108,Recommended,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Recommended (new component-level policy),None,None,False
KBDL-CMP-109,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (restates the already-adopted WCAG 2.2 SC 1.4.1 Use of Color, SC 1.3.1 Info and Relationships, and SC 2.1.1 Keyboard, applied to chart content, using the existing approved Data-display roles rather than inventing new ones)",None,None,True
KBDL-CMP-110,Recommended,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Recommended (new component-level taxonomy and interaction model),None,None,False
KBDL-CMP-111,Recommended,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Recommended (new component-level transformation policy; the exact trigger point depends on the eventual approved KBDL-RSP-002 breakpoint values, cited here only as related context, not as authority)",KBDL-RSP-002,None,True
KBDL-CUS-001,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",KBDL-DEC-004 plus the mandatory KBDL-010 prompt,KBDL-DEC-004,None,True
KBDL-CUS-002,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",KBDL lifecycle conventions and mandatory KBDL-010 prompt; project-owner-approved KBDL-010 implementation prompt,None,None,True
KBDL-CUS-003,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Mandatory KBDL-010 classification model; project-owner-approved KBDL-010 implementation prompt,None,None,True
KBDL-CUS-004,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Mandatory KBDL-010 Class A rule and owning-module lifecycle rules; project-owner-approved KBDL-010 implementation prompt,None,None,True
KBDL-CUS-005,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","KBDL-PRN-005, KBDL-PRO-005, and mandatory KBDL-010 prompt",KBDL-PRN-005; KBDL-PRO-005,None,True
KBDL-CUS-006,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",KBDL governance plus mandatory KBDL-010 Classes C and D; project-owner-approved KBDL-010 implementation prompt,None,None,True
KBDL-CUS-007,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","KBDL-GOV-002, governance exception process, and mandatory KBDL-010 Classes E/F",KBDL-GOV-002,None,True
KBDL-CUS-008,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Mandatory KBDL-010 workflow; project-owner-approved KBDL-010 implementation prompt,None,None,True
KBDL-CUS-009,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Mandatory KBDL-010 intake fields; project-owner-approved KBDL-010 implementation prompt,None,None,True
KBDL-CUS-010,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","KBDL-DEC-004, conventions, and mandatory KBDL-010 record fields",KBDL-DEC-004,None,True
KBDL-CUS-011,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Mandatory KBDL-010 impact and evidence clauses; project-owner-approved KBDL-010 implementation prompt,None,None,True
KBDL-CUS-012,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Mandatory KBDL-010 change and rollback clauses; project-owner-approved KBDL-010 implementation prompt,None,None,True
KBDL-CUS-013,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Approved foundation requirements plus mandatory KBDL-010 boundary; project-owner-approved KBDL-010 implementation prompt,None,None,True
KBDL-CUS-014,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved KBDL-THM-003, 005, 006, 013, 014 plus mandatory KBDL-010 boundary",KBDL-THM-003,None,True
KBDL-CUS-015,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Approved motion requirements plus mandatory KBDL-010 boundary; project-owner-approved KBDL-010 implementation prompt,None,None,True
KBDL-CUS-016,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Approved responsive requirements plus mandatory KBDL-010 boundary; project-owner-approved KBDL-010 implementation prompt,None,None,True
KBDL-CUS-017,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","KBDL-GOV-002, Approved accessibility requirements, and mandatory KBDL-010 boundary",KBDL-GOV-002,None,True
KBDL-CUS-018,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Approved KBDL-007 requirements plus mandatory KBDL-010 boundary; project-owner-approved KBDL-010 implementation prompt,None,None,True
KBDL-CUS-019,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Approved KBDL-008 requirements plus mandatory KBDL-010 boundary; project-owner-approved KBDL-010 implementation prompt,None,None,True
KBDL-CUS-020,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved KBDL-PRO-001–008, 010–015, 019–026 plus mandatory KBDL-010 boundary",KBDL-PRO-001,None,True
KBDL-CUS-021,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Prior Approved security/correctness requirements plus mandatory KBDL-010 boundary; project-owner-approved KBDL-010 implementation prompt,None,None,True
KBDL-CUS-022,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Mandatory KBDL-010 handoff and scope clauses; project-owner-approved KBDL-010 implementation prompt,None,None,True
KBDL-CUS-023,Recommended,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Not applicable — pending explicit project-owner approval; assignment of a CUS ID does not grant implementation authority,None,None,False
KBDL-CUS-024,Recommended,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Not applicable — pending explicit project-owner approval; assignment of a CUS ID does not grant implementation authority,None,None,False
KBDL-CUS-025,Recommended,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Not applicable — pending explicit project-owner approval; assignment of a CUS ID does not grant implementation authority,None,None,False
KBDL-CUS-026,Recommended,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Not applicable — pending explicit project-owner approval; assignment of a CUS ID does not grant implementation authority,None,None,False
KBDL-CUS-027,Recommended,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Not applicable — pending explicit project-owner approval; assignment of a CUS ID does not grant implementation authority,None,None,False
KBDL-CUS-028,Recommended,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Not applicable — pending explicit project-owner approval; assignment of a CUS ID does not grant implementation authority,None,None,False
KBDL-CUS-029,Recommended,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Not applicable — pending explicit project-owner approval; assignment of a CUS ID does not grant implementation authority,None,None,False
KBDL-CUS-030,Deferred,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Not applicable — deliberately deferred; assignment of a CUS ID does not grant implementation authority,None,None,False
KBDL-FND-001,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Project-owner-approved KBDL-003 implementation prompt; authoritative provenance: Confirmed (derived from KBDL-002),None,None,True
KBDL-FND-002,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Project-owner-approved KBDL-003 implementation prompt; authoritative provenance: Confirmed,None,None,True
KBDL-FND-003,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Project-owner-approved KBDL-003 implementation prompt; authoritative provenance: Confirmed,None,None,True
KBDL-FND-004,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Project-owner-approved KBDL-003 implementation prompt; authoritative provenance: Confirmed,None,None,True
KBDL-FND-005,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Project-owner-approved KBDL-003 implementation prompt; authoritative provenance: Confirmed,None,None,True
KBDL-FND-006,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Project-owner-approved KBDL-003 implementation prompt; authoritative provenance: Confirmed,None,None,True
KBDL-FND-007,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Project-owner-approved KBDL-003 implementation prompt; authoritative provenance: Confirmed,None,None,True
KBDL-FND-008,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Project-owner-approved KBDL-003 implementation prompt; authoritative provenance: Confirmed,None,None,True
KBDL-FND-009,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Approved (project owner approved via the foundation decision packet; see KBDL-DEC-012),KBDL-DEC-012,None,True
KBDL-FND-010,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Approved (project owner approved via the foundation decision packet; see KBDL-DEC-012),KBDL-DEC-012,None,True
KBDL-FND-011,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Approved (project owner approved via the foundation decision packet; see KBDL-DEC-012),KBDL-DEC-012,None,True
KBDL-FND-012,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Approved (project owner approved via the foundation decision packet; see KBDL-DEC-012),KBDL-DEC-012,None,True
KBDL-GOV-001,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Project-owner-approved KBDL-001 prompt and KBDL-DEC-002,KBDL-DEC-002,None,True
KBDL-GOV-002,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Project-owner-approved KBDL-001 prompt and KBDL-DEC-010,KBDL-DEC-010,None,True
KBDL-GOV-003,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Project-owner-approved KBDL-001 prompt and KBDL-DEC-011,KBDL-DEC-011,None,True
KBDL-MOT-001,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (directly restates the locked Motion Purpose rule, principles.md §5.1); project-owner-approved KBDL-005 implementation prompt",None,None,True
KBDL-MOT-002,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Project-owner-approved KBDL-005 implementation prompt; authoritative provenance: User-provided,None,None,True
KBDL-MOT-003,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Approved (directly extends KBDL-PRN-002),KBDL-PRN-002,None,True
KBDL-MOT-004,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (structural requirement; the categories' exact intensity defaults remain Recommended, see KBDL-MOT-006)",KBDL-MOT-006,None,True
KBDL-MOT-005,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Approved (per KBDL-DEC-014; the specific five-level structure and names were new KBDL-005 policy until this approval),KBDL-DEC-014,None,True
KBDL-MOT-006,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (per KBDL-DEC-014, decision packet item 14)",KBDL-DEC-014,None,True
KBDL-MOT-007,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (per KBDL-DEC-014, decision packet item 2, together with KBDL-MOT-008, as one timing system)",KBDL-DEC-014; KBDL-MOT-008,None,True
KBDL-MOT-008,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (per KBDL-DEC-014, decision packet item 2, together with KBDL-MOT-007, as one timing system)",KBDL-DEC-014; KBDL-MOT-007,None,True
KBDL-MOT-009,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (per KBDL-DEC-014, decision packet item 3)",KBDL-DEC-014,None,True
KBDL-MOT-010,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (per KBDL-DEC-014, decision packet item 4)",KBDL-DEC-014,None,True
KBDL-MOT-011,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (per KBDL-DEC-014, decision packet item 5)",KBDL-DEC-014,None,True
KBDL-MOT-012,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Approved (directly restates the safety/correctness priority already established in KBDL-PRN-002 and §3.3),KBDL-PRN-002,None,True
KBDL-MOT-013,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (per KBDL-DEC-014, decision packet item 15)",KBDL-DEC-014,None,True
KBDL-MOT-014,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (directly restates Technical Utility's ""visible progress"" and ""error prevention"" qualities); project-owner-approved KBDL-005 implementation prompt",None,None,True
KBDL-MOT-015,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Approved (directly restates accessibility's requirement for a non-gesture equivalent); project-owner-approved KBDL-005 implementation prompt,None,None,True
KBDL-MOT-016,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (directly restates the locked component-state-clarity rule — ""must not rely on color/motion alone"" — and Accessibility by Default); project-owner-approved KBDL-005 implementation prompt",None,None,True
KBDL-MOT-017,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (directly restates the locked Motion Purpose rule that continuous motion must be controlled, and the already-Approved reduced-motion requirement KBDL-THM-012a)",KBDL-THM-012a,None,True
KBDL-MOT-018,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (directly restates accessibility's requirement that content remain accessible without script/animation, and the reduced-motion requirement); project-owner-approved KBDL-005 implementation prompt",None,None,True
KBDL-MOT-019,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (directly restates WCAG 2.2 AA's autoplay-with-sound prohibition and pause/stop requirement, already adopted under KBDL-DEC-010)",KBDL-DEC-010,None,True
KBDL-MOT-020,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (per KBDL-DEC-014, decision packet item 10; the underlying non-blocking, readable, focus-preserving requirements were already Approved under KBDL-THM-012/012a and are unaffected)",KBDL-DEC-014; KBDL-THM-012,None,True
KBDL-MOT-021,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Approved (directly restates safety/correctness and state-comprehension priorities); project-owner-approved KBDL-005 implementation prompt,None,None,True
KBDL-MOT-022,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (directly restates KBDL-THM-012a and KBDL's enhanced motion-safety baseline, KBDL-DEC-010)",KBDL-DEC-010; KBDL-THM-012a,None,True
KBDL-MOT-023,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (directly restates KBDL's enhanced motion-safety requirement, KBDL-DEC-010)",KBDL-DEC-010,None,True
KBDL-MOT-024,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (directly restates Performance-Aware Enhancement, KBDL-PRN-003/§6.9)",KBDL-PRN-003,None,True
KBDL-MOT-025,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Approved (directly restates Accessibility by Default); project-owner-approved KBDL-005 implementation prompt,None,None,True
KBDL-MOT-026,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (directly restates KBDL-PRN-007, Adaptability Without Fragmentation)",KBDL-PRN-007,None,True
KBDL-MOT-027,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Approved (this governance rule itself directly restates conventions.md §1.1); project-owner-approved KBDL-005 implementation prompt,None,None,True
KBDL-MOT-028,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (per KBDL-DEC-014, decision packet item 6)",KBDL-DEC-014,None,True
KBDL-MOT-029,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (per KBDL-DEC-014, decision packet item 7)",KBDL-DEC-014,None,True
KBDL-MOT-030,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (per KBDL-DEC-014, decision packet item 8)",KBDL-DEC-014,None,True
KBDL-MOT-031,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (per KBDL-DEC-014, decision packet item 9)",KBDL-DEC-014,None,True
KBDL-MOT-032,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (per KBDL-DEC-014, decision packet item 11)",KBDL-DEC-014,None,True
KBDL-MOT-033,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (per KBDL-DEC-014, decision packet item 12)",KBDL-DEC-014,None,True
KBDL-MOT-034,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (per KBDL-DEC-014, decision packet item 13)",KBDL-DEC-014,None,True
KBDL-PRN-001,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Project-owner-approved KBDL-002 implementation prompt; authoritative provenance: User-provided (blueprint) and Confirmed (derived from KBDL-001 decisions),None,None,True
KBDL-PRN-002,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Project-owner-approved KBDL-002 implementation prompt; authoritative provenance: User-provided,None,None,True
KBDL-PRN-003,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Project-owner-approved KBDL-002 implementation prompt; authoritative provenance: User-provided,None,None,True
KBDL-PRN-004,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Project-owner-approved KBDL-002 implementation prompt; authoritative provenance: User-provided,None,None,True
KBDL-PRN-005,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Project-owner-approved KBDL-002 implementation prompt; authoritative provenance: User-provided,None,None,True
KBDL-PRN-006,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Project-owner-approved KBDL-002 implementation prompt; authoritative provenance: User-provided,None,None,True
KBDL-PRN-007,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Project-owner-approved KBDL-002 implementation prompt; authoritative provenance: User-provided,None,None,True
KBDL-PRN-008,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Project-owner-approved KBDL-002 implementation prompt; authoritative provenance: User-provided,None,None,True
KBDL-PRO-001,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","restates and consolidates the already-Approved KBDL-PRN-007, KBDL-FND-008, KBDL-THM-006, KBDL-MOT-026, KBDL-A11Y-040, KBDL-CMP-051, and KBDL-CMP-066, each of which independently requires shared architecture in its own module",KBDL-A11Y-040; KBDL-CMP-051; KBDL-CMP-066; KBDL-FND-008; KBDL-MOT-026; KBDL-PRN-007; KBDL-THM-006,None,True
KBDL-PRO-002,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","the accessibility-preference distinction restates the already-Approved independence of reduced-motion and forced-colors preferences from any presentational grouping, accessibility.md §44; the complete terminology distinction is an explicit mandatory clause of the approved KBDL-009 prompt's Terminology section",None,None,True
KBDL-PRO-003,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","restates principles.md §9.4 and the design-decision hierarchy, principles.md §8; project-owner-approved KBDL-009 implementation prompt",None,None,True
KBDL-PRO-004,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",restates principles.md §5.2 and the already-Approved per-module profile-interpretation sections cited in §3; project-owner-approved KBDL-009 implementation prompt,None,None,True
KBDL-PRO-005,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",restates principles.md §5.3; project-owner-approved KBDL-009 implementation prompt,None,None,True
KBDL-PRO-006,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","scope-control requirement, explicit mandatory clause of the approved KBDL-009 prompt's Locked/Controlled/ Open section",None,None,True
KBDL-PRO-007,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",the required field list is an explicit mandatory clause of the approved KBDL-009 prompt's Profile Selection and Declaration section,None,None,True
KBDL-PRO-008,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","explicit mandatory clause of the approved KBDL-009 prompt's Profile Selection and Declaration section; also extends the already-Approved Accessibility by Default principle, principles.md §6.8",None,None,True
KBDL-PRO-009,Recommended,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Not applicable — pending explicit project-owner approval; assignment of a PRO ID does not grant implementation authority,None,None,False
KBDL-PRO-010,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","consolidates the already-Approved Showcase interpretation already established in principles.md §9.1, foundations/README.md §4.1, themes/README.md §8 Showcase, motion/patterns.md §10.1, and responsive.md §28; project-owner-approved KBDL-009 implementation prompt",None,None,True
